# ASAS-SN SkyPatrol ID: 77309520961
# ATLAS-REFCAT2: 171242176299269296
# Gaia DR2: 1605296635935908864
# TESS Input Catalog (TIC): 441713986
# Million Quasars Catalog (MILLIQUAS): SBS 1428+529
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SBS 1428+529
# GLADE HyperLEDA: 84225
# GLADE 2MASS Extended Source Catalog: 14303120+5242258


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456631.135659,3.9767,0.0578,14.9610,0.0158,17.8075,1.70,V,G,bc
2456632.132248,4.0215,0.0744,14.9488,0.0201,17.5327,1.35,V,G,bc
2456637.1270265,3.8362,0.0582,15.0000,0.0165,17.8003,1.63,V,G,bc
2456638.1138438,4.0042,0.1089,14.9535,0.0296,17.1198,1.50,V,G,bc
2456652.0818011,3.9355,0.0667,14.9723,0.0184,17.6515,1.54,V,G,bc
2456658.0638676,3.8625,0.0751,14.9926,0.0211,17.5228,2.21,V,G,bc
2456678.0119285,4.1025,0.1099,14.9272,0.0291,17.1100,2.59,V,G,bc
2456683.0021127,3.8188,0.0875,15.0050,0.0249,17.3570,2.73,V,G,bc
2456700.9427944,4.3875,0.1616,14.8542,0.0400,16.6914,2.59,V,G,bc
2456702.0539603,3.7848,0.1492,15.0147,0.0428,16.7780,1.56,V,G,bc
2456729.8958617,3.9034,0.1875,14.9812,0.0522,16.5299,2.24,V,G,bc
2456736.8461393,3.7481,0.1030,15.0253,0.0299,17.1797,1.61,V,B,bc
2456740.8374108,3.9348,0.0713,14.9725,0.0197,17.5793,1.63,V,G,bc
2456742.0219799,4.0304,0.0657,14.9464,0.0177,17.6679,2.02,V,G,bc
2456751.8029301,3.8749,0.0648,14.9891,0.0182,17.6827,2.03,V,G,bc
2456752.7988169,3.9221,0.0754,14.9760,0.0209,17.5187,1.59,V,G,bc
2456756.7890118,4.4578,0.1078,14.8370,0.0263,17.1307,2.29,V,G,bc
2456757.9086267,3.9769,0.0979,14.9609,0.0268,17.2355,2.48,V,G,bc
2456758.8148096,4.0200,0.1257,14.9492,0.0340,16.9638,3.10,V,G,bc
2456767.9279812,4.0216,0.2501,14.9488,0.0676,16.2169,2.89,V,B,bc
2456771.9185655,3.9679,0.0986,14.9634,0.0270,17.2278,1.83,V,G,bc
2456772.9422073,3.8354,0.0633,15.0003,0.0179,17.7096,2.06,V,G,bc
2456781.8967308,3.9805,0.0658,14.9599,0.0180,17.6664,1.64,V,B,bc
2456782.7358576,3.9132,0.1833,14.9785,0.0509,16.5543,1.54,V,B,bc
2456783.9096547,3.7503,0.0835,15.0246,0.0242,17.4084,1.78,V,G,bc
2456784.8944928,4.0504,0.0714,14.9410,0.0192,17.5777,2.49,V,G,bc
2456785.8958089,3.9857,0.0745,14.9585,0.0203,17.5326,2.52,V,G,bc
2456787.767767,4.0881,0.1094,14.9310,0.0291,17.1144,1.79,V,G,bc
2456788.8844777,4.0148,0.0892,14.9506,0.0241,17.3365,1.83,V,G,bc
2456794.9843908,3.8269,0.0933,15.0027,0.0265,17.2872,2.30,V,G,bc
2456796.8820482,3.8396,0.0944,14.9991,0.0267,17.2745,1.51,V,B,bc
2456797.9794959,3.8276,0.0875,15.0025,0.0248,17.3574,1.62,V,G,bc
2456798.9425147,3.8827,0.0617,14.9869,0.0173,17.7371,2.34,V,G,bc
2456800.958279,3.8668,0.0660,14.9914,0.0186,17.6635,1.48,V,G,bc
2456801.949127,4.1495,0.0600,14.9148,0.0157,17.7670,1.94,V,G,bc
2456802.9054111,3.9166,0.0635,14.9775,0.0176,17.7062,1.80,V,G,bc
2456803.9526823,4.0583,0.0631,14.9389,0.0169,17.7120,1.66,V,G,bc
2456804.8767371,3.9627,0.0544,14.9648,0.0149,17.8742,1.76,V,G,bc
2456805.8827289,4.0487,0.0766,14.9415,0.0206,17.5014,2.11,V,G,bc
2456807.9591166,3.7709,0.0870,15.0187,0.0251,17.3630,2.51,V,G,bc
2456808.9280508,3.7960,0.0662,15.0115,0.0189,17.6606,2.25,V,B,bc
2456810.9224679,4.1352,0.0647,14.9185,0.0170,17.6854,2.39,V,G,bc
2456811.870425,3.9433,0.0615,14.9701,0.0169,17.7404,1.42,V,G,bc
2456812.8508558,4.2250,0.0627,14.8952,0.0161,17.7188,1.51,V,G,bc
2456813.8725834,3.7225,0.1559,15.0327,0.0455,16.7300,1.61,V,B,bc
2456814.8546173,3.8438,0.0824,14.9979,0.0233,17.4231,1.49,V,B,bc
2456815.8494549,4.0109,0.0858,14.9517,0.0233,17.3785,1.58,V,G,bc
2456816.8881345,3.5859,0.0958,15.0733,0.0290,17.2591,1.45,V,G,bc
2456818.9002954,3.5534,0.1414,15.0832,0.0432,16.8365,1.37,V,G,bc
2456819.8440937,3.8041,0.0986,15.0092,0.0282,17.2282,1.41,V,G,bc
2456820.8468367,3.8712,0.1312,14.9902,0.0368,16.9173,1.45,V,G,bc
2456822.8974115,4.4290,0.1268,14.8440,0.0311,16.9546,1.69,V,G,bc
2456823.9045186,4.2379,0.0859,14.8919,0.0220,17.3775,1.89,V,B,bc
2456824.834684,3.9441,0.0921,14.9699,0.0254,17.3019,1.58,V,G,bc
2456826.8829619,4.0870,0.0811,14.9313,0.0216,17.4401,1.67,V,G,bc
2456827.8757117,4.0787,0.0743,14.9335,0.0198,17.5356,1.62,V,G,bc
2456828.883121,3.9767,0.0540,14.9610,0.0148,17.8804,1.81,V,G,bc
2456829.8365181,4.0835,0.0514,14.9322,0.0137,17.9348,1.65,V,G,bc
2456832.8728896,3.8823,0.0513,14.9871,0.0144,17.9369,1.40,V,G,bc
2456833.854302,3.9243,0.0644,14.9754,0.0178,17.6901,2.04,V,G,bc
2456835.8266349,3.6986,0.0560,15.0397,0.0165,17.8415,1.38,V,G,bc
2456846.8025776,3.9963,0.1142,14.9556,0.0311,17.0685,1.38,V,G,bc
2456848.8116316,3.9877,0.1492,14.9580,0.0407,16.7782,1.43,V,B,bc
2456851.7968408,3.9964,0.0963,14.9556,0.0262,17.2529,1.40,V,B,bc
2456855.7984366,4.1196,0.0685,14.9227,0.0181,17.6227,1.44,V,G,bc
2456857.7967638,4.2321,0.0592,14.8934,0.0152,17.7812,1.32,V,G,bc
2456862.7773847,3.9807,0.0870,14.9599,0.0238,17.3636,1.45,V,G,bc
2456863.7778839,4.0776,0.0695,14.9338,0.0185,17.6081,1.49,V,G,bc
2456864.7693327,4.1053,0.0607,14.9264,0.0161,17.7539,1.37,V,G,bc
2456866.7690902,4.0573,0.0523,14.9392,0.0140,17.9165,1.52,V,G,bc
2456867.7709341,3.6661,0.0619,15.0493,0.0184,17.7325,1.35,V,U,bc
2456869.7611836,4.1061,0.1229,14.9262,0.0325,16.9889,1.37,V,B,bc
2456873.7470491,3.6226,0.0975,15.0622,0.0292,17.2402,1.47,V,B,bc
2456874.7486227,4.1723,0.1012,14.9088,0.0264,17.1996,1.71,V,B,bc
2456875.7548586,3.8567,0.0849,14.9942,0.0239,17.3904,1.55,V,B,bc
2456876.7398561,3.3939,0.2100,15.1330,0.0672,16.4070,1.48,V,B,bc
2456885.7346101,4.0405,0.2148,14.9437,0.0578,16.3821,1.57,V,G,bc
2456984.1587997,3.9355,0.1401,14.9723,0.0387,16.8465,1.71,V,G,bc
2456992.15963,3.8220,0.1848,15.0041,0.0525,16.5458,1.69,V,G,bc
2456994.1542269,4.2048,0.0961,14.9004,0.0248,17.2557,1.72,V,G,bc
2456995.1491054,3.9403,0.1450,14.9710,0.0400,16.8087,1.76,V,G,bc
2456998.1427292,3.9615,0.1740,14.9651,0.0477,16.6110,2.07,V,G,bc
