# ASAS-SN SkyPatrol ID: 206158678567
# ATLAS-REFCAT2: 177482339683453881
# Gaia DR2: 1602755939441535104
# TESS Input Catalog (TIC): 224312934
# Million Quasars Catalog (MILLIQUAS): MARK 290
# AllWISE AGN Catalog: WISEA J153552.40+575409.5
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MARK 290
# GLADE 2MASS Extended Source Catalog: 15355241+5754095


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455978.1677988,6.7749,0.1900,14.3825,0.0305,16.5153,2.64,V,G,ba
2455998.0932788,6.3654,0.1111,14.4502,0.0190,17.0982,2.15,V,G,ba
2456003.0881681,6.1996,0.0947,14.4789,0.0166,17.2718,2.05,V,G,ba
2456329.172577,6.6588,0.1475,14.4013,0.0241,16.7901,2.29,V,G,ba
2456354.1285924,6.6051,0.1317,14.4101,0.0217,16.9137,2.20,V,G,ba
2456385.9209453,6.2912,0.0841,14.4630,0.0145,17.4004,2.09,V,G,ba
2456387.0279607,6.5857,0.0727,14.4133,0.0120,17.5587,1.91,V,G,bb
2456390.9450465,6.2963,0.0927,14.4621,0.0160,17.2946,2.18,V,G,ba
2456395.9595703,6.2259,0.0773,14.4743,0.0135,17.4925,2.33,V,G,ba
2456399.9475923,6.0845,0.0750,14.4992,0.0134,17.5253,2.19,V,G,ba
2456415.0595312,6.2896,0.0785,14.4632,0.0136,17.4757,1.75,V,G,bb
2456436.8842884,6.4493,0.2449,14.4360,0.0413,16.2398,2.74,V,G,ba
2456447.8852491,5.8604,0.0636,14.5400,0.0118,17.7035,2.03,V,G,bb
2456451.8858651,5.5821,0.0633,14.5928,0.0123,17.7086,1.73,V,G,bb
2456457.8431337,6.0744,0.1035,14.5010,0.0185,17.1752,2.05,V,G,ba
2456459.8704876,6.4017,0.0740,14.4440,0.0126,17.5387,1.74,V,G,bb
2456461.850262,5.9131,0.0837,14.5302,0.0154,17.4051,1.78,V,G,ba
2456461.8516563,5.9565,0.1111,14.5223,0.0203,17.0985,1.85,V,G,ba
2456462.8700132,5.9451,0.1022,14.5244,0.0187,17.1891,1.87,V,G,bb
2456464.8471945,6.1667,0.1937,14.4846,0.0341,16.4948,1.74,V,G,ba
2456475.8366778,6.0486,0.0698,14.5056,0.0125,17.6023,1.76,V,G,ba
2456475.9015976,5.8174,0.0690,14.5479,0.0129,17.6158,2.09,V,G,bb
2456485.7984846,6.1584,0.0684,14.4861,0.0121,17.6251,2.04,V,G,ba
2456494.8219734,6.7356,0.1321,14.3888,0.0213,16.9102,1.73,V,G,bb
2456509.7907049,6.1679,0.0933,14.4844,0.0164,17.2875,2.01,V,G,ba
2456517.7619354,7.1829,0.1633,14.3190,0.0247,16.6798,2.06,V,B,ba
2456533.7284461,6.9358,0.2450,14.3570,0.0384,16.2396,2.11,V,G,ba
2456658.1317067,6.6572,0.0704,14.4016,0.0115,17.5930,1.78,V,B,bb
2456659.1232121,6.1769,0.0575,14.4829,0.0101,17.8123,2.48,V,G,bb
2456683.040463,6.7607,0.0784,14.3848,0.0126,17.4768,1.81,V,G,ba
2456701.0715084,5.9969,0.0836,14.5150,0.0152,17.4069,1.73,V,G,bb
2456701.9872463,6.3315,0.2054,14.4560,0.0353,16.4307,2.43,V,B,ba
2456731.1276978,5.6595,0.0586,14.5778,0.0112,17.7933,2.07,V,G,bb
2456735.0438827,5.6905,0.1221,14.5719,0.0233,16.9953,2.18,V,G,ba
2456735.9735068,5.8937,0.0830,14.5338,0.0153,17.4142,1.80,V,G,bb
2456736.012561,5.6501,0.1323,14.5796,0.0255,16.9084,1.60,V,G,ba
2456736.9765311,5.6342,0.1264,14.5827,0.0244,16.9579,1.78,V,B,ba
2456736.9898695,5.9060,0.1109,14.5315,0.0204,17.1000,2.00,V,G,bb
2456741.0178962,5.9606,0.0537,14.5215,0.0098,17.8865,2.20,V,B,bb
2456741.1014533,5.6568,0.0875,14.5783,0.0168,17.3579,2.21,V,G,ba
2456743.9678086,5.8889,0.0598,14.5347,0.0110,17.7714,2.24,V,G,ba
2456743.9973799,5.9873,0.0519,14.5167,0.0094,17.9255,2.14,V,G,bb
2456755.970465,5.7610,0.0807,14.5585,0.0152,17.4454,2.62,V,B,ba
2456756.0585158,5.7981,0.0740,14.5516,0.0139,17.5391,2.21,V,G,bb
2456756.9277387,5.6215,0.0756,14.5852,0.0146,17.5156,1.71,V,G,bb
2456757.9637057,5.8459,0.0892,14.5426,0.0166,17.3369,1.70,V,G,bb
2456758.8229266,6.0642,0.1662,14.5028,0.0298,16.6605,2.38,V,G,ba
2456764.9946805,5.0740,0.1422,14.6964,0.0305,16.8299,2.01,V,B,ba
2456766.9534243,5.6864,0.1037,14.5727,0.0198,17.1728,2.63,V,B,ba
2456772.0963598,5.4983,0.0647,14.6092,0.0128,17.6847,2.00,V,G,bb
2456772.9495196,5.2208,0.0574,14.6654,0.0120,17.8146,2.08,V,G,ba
2456773.1229756,4.9638,0.0961,14.7202,0.0210,17.2561,2.22,V,B,bb
2456781.9159837,5.3999,0.0736,14.6288,0.0148,17.5452,2.10,V,G,ba
2456781.9466571,5.1909,0.0460,14.6717,0.0096,18.0545,1.75,V,G,bb
2456783.7845462,5.1770,0.0890,14.6746,0.0187,17.3388,1.65,V,G,ba
2456783.8223286,5.3076,0.0599,14.6475,0.0123,17.7680,1.76,V,G,bb
2456784.7836009,5.3883,0.0887,14.6311,0.0179,17.3424,2.44,V,G,ba
2456784.8000662,5.2940,0.0840,14.6503,0.0172,17.4018,1.75,V,G,bb
2456785.7784085,5.2286,0.0998,14.6638,0.0207,17.2147,1.66,V,G,ba
2456785.7892811,5.3436,0.0716,14.6402,0.0146,17.5754,1.85,V,G,bb
2456787.7986035,5.0554,0.0993,14.7004,0.0213,17.2201,1.59,V,G,ba
2456787.8068518,5.3167,0.1181,14.6457,0.0242,17.0313,1.72,V,G,bb
2456788.9044301,5.2262,0.1430,14.6643,0.0297,16.8239,2.29,V,G,ba
2456788.9207004,5.0514,0.0793,14.7013,0.0171,17.4638,2.04,V,G,bb
2456794.9280299,4.6618,0.0928,14.7884,0.0216,17.2931,1.83,V,B,bb
2456796.0255767,5.3768,0.1014,14.6335,0.0205,17.1969,2.77,V,B,ba
2456796.9124763,5.1207,0.0967,14.6864,0.0205,17.2488,1.87,V,G,ba
2456797.0514055,5.5708,0.0836,14.5950,0.0163,17.4062,1.87,V,B,bb
2456798.9005421,5.0879,0.0614,14.6934,0.0131,17.7415,1.83,V,G,ba
2456798.9173118,5.2174,0.0548,14.6662,0.0114,17.8661,1.74,V,G,bb
2456799.9306465,5.2644,0.0468,14.6564,0.0097,18.0378,1.74,V,G,bb
2456799.9445806,5.1718,0.0607,14.6757,0.0128,17.7542,2.01,V,G,ba
2456801.8712027,5.6038,0.0553,14.5886,0.0107,17.8550,2.00,V,G,ba
2456801.9128708,5.4005,0.0560,14.6287,0.0113,17.8422,1.81,V,G,bb
2456804.8971769,5.4765,0.0596,14.6135,0.0118,17.7749,2.04,V,G,ba
2456804.9148425,5.4769,0.0518,14.6134,0.0103,17.9261,1.71,V,G,bb
2456807.8890404,5.8317,0.0591,14.5453,0.0110,17.7835,2.42,V,G,ba
2456807.9306544,5.5099,0.0440,14.6069,0.0087,18.1029,2.07,V,G,bb
2456811.892699,5.5158,0.0582,14.6058,0.0115,17.8001,1.73,V,G,ba
2456811.9946671,5.7423,0.0558,14.5621,0.0106,17.8450,1.96,V,G,bb
2456812.7487272,5.5025,0.1035,14.6084,0.0204,17.1750,2.14,V,B,ba
2456813.7942256,5.5334,0.2710,14.6023,0.0532,16.1301,1.82,V,B,bb
2456814.8129592,5.5830,0.0847,14.5926,0.0165,17.3932,1.70,V,B,bb
2456814.8687676,5.4814,0.1071,14.6125,0.0212,17.1381,1.69,V,G,ba
2456815.8716413,5.6617,0.0621,14.5774,0.0119,17.7289,1.67,V,G,ba
2456815.8919929,5.5933,0.0557,14.5906,0.0108,17.8483,1.98,V,G,bb
2456816.8484424,5.5021,0.0546,14.6085,0.0108,17.8701,1.77,V,G,bb
2456816.8626164,5.6307,0.1041,14.5834,0.0201,17.1687,1.73,V,G,ba
2456817.8417523,5.3533,0.0986,14.6382,0.0200,17.2272,1.88,V,G,bb
2456817.8668579,5.6476,0.1057,14.5801,0.0203,17.1524,1.72,V,G,ba
2456818.8690142,5.5959,0.0779,14.5901,0.0151,17.4835,1.75,V,G,ba
2456818.8832142,5.6095,0.0999,14.5875,0.0194,17.2133,1.78,V,B,bb
2456819.8640977,5.9759,0.1260,14.5188,0.0229,16.9612,1.87,V,B,ba
2456820.8695886,5.7191,0.1297,14.5665,0.0247,16.9299,1.83,V,B,ba
2456820.8838235,6.2528,0.1864,14.4696,0.0324,16.5362,1.82,V,G,bb
2456822.8711278,5.9695,0.1361,14.5199,0.0248,16.8779,1.76,V,B,ba
2456822.8886712,5.3670,0.1127,14.6354,0.0228,17.0829,2.17,V,B,bb
2456823.8974665,5.7369,0.1330,14.5631,0.0252,16.9028,2.14,V,B,bb
2456824.8799584,5.3120,0.1177,14.6466,0.0241,17.0350,1.67,V,G,ba
2456824.8975196,5.6456,0.0705,14.5805,0.0136,17.5912,2.07,V,G,bb
2456825.8543791,5.4869,0.0826,14.6115,0.0164,17.4205,1.66,V,B,ba
2456825.9659781,5.2626,0.1207,14.6568,0.0249,17.0079,2.01,V,B,bb
2456826.8743937,5.5186,0.0383,14.6052,0.0075,18.2545,2.11,V,G,bb
2456827.8728734,5.7553,0.0625,14.5596,0.0118,17.7221,1.66,V,G,ba
2456828.8906595,5.8496,0.0510,14.5420,0.0095,17.9427,2.16,V,G,bb
2456830.8739303,5.6462,0.0582,14.5804,0.0112,17.8007,1.80,V,B,ba
2456830.8834642,5.5864,0.0483,14.5920,0.0094,18.0030,2.24,V,B,bb
2456833.8804986,5.6798,0.0577,14.5740,0.0110,17.8100,2.07,V,G,ba
2456835.8640531,5.7204,0.0448,14.5662,0.0085,18.0852,1.64,V,G,bb
2456846.8254863,5.4676,0.1056,14.6153,0.0210,17.1533,2.11,V,B,ba
2456846.8455853,5.6640,0.0870,14.5770,0.0167,17.3631,1.73,V,B,bb
2456848.8230436,5.7801,0.1294,14.5549,0.0243,16.9325,2.07,V,B,ba
2456848.858162,5.4132,0.0970,14.6261,0.0195,17.2455,1.76,V,B,bb
2456850.8418926,5.8727,0.1761,14.5377,0.0326,16.5980,2.05,V,B,ba
2456850.8537732,5.5379,0.1602,14.6014,0.0314,16.7008,1.81,V,B,bb
2456853.9089473,6.0360,0.3538,14.5079,0.0637,15.8405,1.76,V,B,bb
2456854.9095795,5.6800,0.1199,14.5739,0.0229,17.0151,2.97,V,G,ba
2456856.8959555,5.3985,0.0464,14.6291,0.0093,18.0461,2.02,V,G,bb
2456862.8011847,5.6158,0.0418,14.5863,0.0081,18.1595,2.11,V,G,ba
2456865.8020984,6.0119,0.0484,14.5122,0.0087,18.0007,1.84,V,G,ba
2456867.8047133,5.8420,0.0615,14.5434,0.0114,17.7401,1.69,V,U,ba
2456869.7824676,5.8053,0.0950,14.5502,0.0178,17.2684,1.85,V,B,ba
2456873.7853038,5.7750,0.0861,14.5559,0.0162,17.3752,2.24,V,B,ba
2456873.8076405,5.5686,0.0749,14.5954,0.0146,17.5263,1.73,V,B,bb
2456874.7876755,5.7936,0.0785,14.5524,0.0147,17.4753,2.51,V,B,ba
2456874.8036978,5.8366,0.0836,14.5444,0.0156,17.4073,1.81,V,B,bb
2456875.7895194,5.5643,0.0820,14.5963,0.0160,17.4277,2.29,V,B,ba
2456875.8117896,5.8136,0.0885,14.5487,0.0165,17.3452,1.75,V,B,bb
2456876.7994138,5.6181,0.0749,14.5858,0.0145,17.5254,1.82,V,B,bb
2456881.8403186,5.4379,0.1116,14.6212,0.0223,17.0931,1.58,V,G,bb
2456883.7649295,5.5500,0.0526,14.5990,0.0103,17.9092,2.08,V,G,ba
2456883.7876875,5.6612,0.0425,14.5775,0.0082,18.1421,1.71,V,G,bb
2456886.767487,5.6191,0.0520,14.5856,0.0101,17.9216,2.08,V,G,ba
2456887.7591451,5.5502,0.0588,14.5990,0.0115,17.7897,1.85,V,G,ba
2456887.7839398,5.4015,0.0439,14.6285,0.0088,18.1069,1.69,V,G,bb
2456890.7522793,5.4729,0.0640,14.6142,0.0127,17.6963,2.17,V,G,ba
2456891.7492581,5.5870,0.0489,14.5918,0.0095,17.9901,2.16,V,G,ba
2456891.773532,5.5050,0.0534,14.6079,0.0106,17.8926,1.76,V,G,bb
2456892.7493105,5.2943,0.0758,14.6503,0.0156,17.5136,2.08,V,G,ba
2456894.7444552,5.2821,0.0600,14.6528,0.0124,17.7664,2.11,V,G,ba
2456894.7674545,5.3224,0.0523,14.6445,0.0107,17.9169,1.61,V,G,bb
2456896.7402444,5.4061,0.0727,14.6276,0.0146,17.5591,2.30,V,G,ba
2456897.7425317,5.4093,0.0571,14.6269,0.0115,17.8201,1.76,V,G,bb
2456899.7654864,5.6722,0.0404,14.5754,0.0077,18.1970,2.81,V,G,ba
2456900.7292054,5.6272,0.1496,14.5840,0.0289,16.7749,2.30,V,G,ba
2456900.7550208,5.4666,0.0446,14.6155,0.0089,18.0901,1.76,V,G,bb
2456902.7421318,5.4955,0.0695,14.6098,0.0137,17.6074,1.73,V,G,bb
2456904.7410981,5.5909,0.0940,14.5911,0.0183,17.2800,2.20,V,B,ba
2456906.7471471,5.7766,0.1251,14.5556,0.0235,16.9695,1.77,V,G,bb
2456908.7503192,5.4786,0.1357,14.6131,0.0269,16.8808,2.08,V,G,bb
2456909.7233829,5.5951,0.1834,14.5903,0.0356,16.5539,2.68,V,G,ba
2456910.756835,5.7341,0.1129,14.5636,0.0214,17.0804,1.81,V,G,bb
2456911.7337994,5.8197,0.0468,14.5475,0.0087,18.0362,2.02,V,B,bb
2456912.7306518,6.0022,0.0783,14.5140,0.0142,17.4786,1.68,V,G,bb
2456913.7263361,6.0407,0.0622,14.5071,0.0112,17.7283,1.65,V,G,bb
2456915.7258884,5.7579,0.0803,14.5591,0.0152,17.4502,1.77,V,G,bb
2456916.7216108,5.7982,0.1065,14.5516,0.0200,17.1436,1.86,V,G,bb
2456917.7181281,5.2020,0.1443,14.6694,0.0301,16.8144,2.00,V,G,bb
2456919.7139428,5.2030,0.1755,14.6692,0.0367,16.6014,1.96,V,B,bb
2457000.1520077,5.5379,0.2763,14.6014,0.0542,16.1087,1.67,V,G,ba
2457001.1491211,5.3448,0.1631,14.6399,0.0332,16.6812,1.69,V,G,ba
2457008.1543128,6.3081,0.1483,14.4600,0.0256,16.7843,1.76,V,B,ba
2457010.1680381,5.5939,0.1220,14.5905,0.0237,16.9967,2.11,V,G,bb
2457012.1548091,5.7725,0.0743,14.5564,0.0140,17.5344,1.68,V,G,ba
2457019.1624816,5.8075,0.0574,14.5498,0.0107,17.8151,2.17,V,G,bb
2457021.1337391,5.4524,0.0603,14.6183,0.0120,17.7623,1.65,V,G,ba
2457031.1016582,6.2788,0.2002,14.4651,0.0347,16.4588,1.70,V,G,ba
2457031.1548359,5.9339,0.0998,14.5264,0.0183,17.2141,1.75,V,G,bb
2457032.1399116,5.8859,0.0793,14.5353,0.0146,17.4645,1.76,V,G,bb
2457035.1256856,5.9786,0.0862,14.5183,0.0157,17.3738,1.64,V,G,ba
2457036.1267021,5.9682,0.0772,14.5202,0.0141,17.4932,1.68,V,G,ba
2457037.1239583,5.9183,0.0607,14.5293,0.0111,17.7546,1.78,V,G,bb
2457039.1078819,5.8156,0.0597,14.5483,0.0112,17.7721,1.68,V,G,ba
2457040.1342864,5.7197,0.0473,14.5663,0.0090,18.0243,1.70,V,G,bb
2457041.1236827,5.8723,0.0533,14.5378,0.0099,17.8957,1.62,V,G,ba
2457042.1407198,5.5428,0.0406,14.6005,0.0080,18.1914,2.00,V,G,bb
2457043.0961864,5.7838,0.0567,14.5543,0.0107,17.8286,1.67,V,G,ba
2457044.1313428,5.5851,0.0439,14.5922,0.0085,18.1069,1.65,V,G,bb
2457045.1190904,5.9902,0.0599,14.5162,0.0109,17.7694,1.73,V,G,ba
2457046.1323664,5.8267,0.0398,14.5462,0.0074,18.2126,2.05,V,G,bb
2457047.0832839,5.8522,0.0684,14.5415,0.0127,17.6251,1.64,V,G,ba
2457049.1224396,5.7647,0.0527,14.5578,0.0099,17.9070,1.84,V,G,bb
2457050.0940113,5.7680,0.0609,14.5572,0.0115,17.7509,1.69,V,G,ba
2457051.0829552,5.5885,0.0583,14.5916,0.0113,17.7991,1.66,V,G,ba
2457051.1189134,5.7300,0.0611,14.5644,0.0116,17.7474,1.90,V,G,bb
2457053.1100562,5.6598,0.0386,14.5778,0.0074,18.2445,2.38,V,G,bb
2457054.0837677,5.3164,0.1047,14.6457,0.0214,17.1626,1.75,V,G,ba
2457055.1131085,5.7864,0.0857,14.5538,0.0161,17.3802,2.20,V,G,bb
2457061.0636384,5.2335,0.1470,14.6628,0.0305,16.7938,1.86,V,B,ba
2457061.0695356,5.1265,0.1066,14.6852,0.0226,17.1427,1.84,V,B,bb
2457065.0614122,5.0300,0.0918,14.7059,0.0198,17.3054,2.07,V,G,ba
2457065.0972377,5.2172,0.0799,14.6662,0.0166,17.4560,2.06,V,G,bb
2457070.0493826,5.3933,0.0703,14.6301,0.0142,17.5956,1.88,V,G,ba
2457070.0838996,5.1306,0.0542,14.6844,0.0115,17.8764,2.12,V,G,bb
2457072.0627819,5.3034,0.0800,14.6484,0.0164,17.4551,1.64,V,G,ba
2457072.0802974,5.3628,0.0492,14.6363,0.0100,17.9815,1.80,V,G,bb
2457077.0384018,5.3210,0.0591,14.6448,0.0121,17.7839,1.62,V,G,ba
2457077.0728631,5.2497,0.0559,14.6594,0.0116,17.8434,1.68,V,G,bb
2457079.0348388,5.2148,0.0669,14.6667,0.0139,17.6489,1.68,V,G,ba
2457079.0522776,5.1285,0.0557,14.6848,0.0118,17.8486,1.73,V,G,bb
2457084.0229095,5.5900,0.1336,14.5912,0.0260,16.8982,1.81,V,G,ba
2457084.0644816,5.0692,0.0915,14.6974,0.0196,17.3087,2.08,V,G,bb
2457092.0898482,5.4861,0.0987,14.6116,0.0196,17.2263,2.04,V,B,bb
2457096.1468964,5.6763,0.0642,14.5746,0.0123,17.6932,1.77,V,B,ba
2457097.0489902,5.8576,0.0711,14.5405,0.0132,17.5833,1.65,V,G,ba
2457097.1160781,5.6484,0.0432,14.5800,0.0083,18.1243,1.69,V,G,bb
2457100.1227495,5.8456,0.0676,14.5427,0.0126,17.6383,1.64,V,G,ba
2457101.0791157,5.9939,0.0671,14.5155,0.0122,17.6451,1.64,V,G,ba
2457101.1409564,5.7956,0.0688,14.5520,0.0129,17.6181,1.73,V,G,bb
2457101.9727872,5.6018,0.0431,14.5890,0.0084,18.1261,1.69,V,G,bb
2457103.9701738,5.7851,0.0616,14.5540,0.0116,17.7387,1.64,V,G,ba
2457105.0045523,6.2356,0.1268,14.4726,0.0221,16.9545,1.71,V,B,bb
