# ASAS-SN SkyPatrol ID: 197568961194
# ATLAS-REFCAT2: 170542413253984891
# Gaia DR2: 1403919328962013312
# TESS Input Catalog (TIC): 159981811
# Million Quasars Catalog (MILLIQUAS): SDSS J160518.09+520712.6
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J160518.09+520712.6
# GLADE HyperLEDA: SDSSJ160518.09+520712.6


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455997.135982,1.5079,0.2168,16.0139,0.1563,16.3722,2.31,V,B,ba
2456001.1407186,1.1835,0.0897,16.2769,0.0824,17.3299,2.32,V,G,ba
2456337.1411368,1.6882,0.1043,15.8912,0.0671,17.1670,2.06,V,G,ba
2456351.9673981,1.5207,0.1658,16.0046,0.1185,16.6635,2.27,V,G,ba
2456352.9503331,2.1299,0.1771,15.6389,0.0904,16.5920,2.22,V,G,ba
2456357.0631094,1.6469,0.0864,15.9181,0.0571,17.3705,1.99,V,G,ba
2456380.9844047,1.6092,0.1694,15.9432,0.1144,16.6402,2.08,V,G,ba
2456388.9379012,1.6277,0.1161,15.9308,0.0776,17.0500,2.21,V,B,ba
2456389.9360981,1.5398,0.0918,15.9911,0.0648,17.3058,2.17,V,G,ba
2456395.904633,1.7824,0.0916,15.8323,0.0559,17.3076,2.34,V,G,ba
2456399.0991445,1.6681,0.0830,15.9042,0.0541,17.4150,2.01,V,G,ba
2456402.0665177,1.3705,0.0837,16.1176,0.0664,17.4053,1.83,V,G,ba
2456406.9465092,2.0297,0.1987,15.6912,0.1064,16.4669,2.16,V,G,ba
2456408.943621,1.4151,0.1958,16.0828,0.1504,16.4830,2.14,V,G,ba
2456416.9299044,1.2688,0.1670,16.2013,0.1430,16.6559,2.20,V,B,ba
2456439.9648462,1.2192,0.1862,16.2446,0.1660,16.5373,1.81,V,G,ba
2456447.9323517,1.8053,0.0707,15.8184,0.0426,17.5881,2.69,V,G,ba
2456451.8830809,1.6130,0.0729,15.9407,0.0491,17.5551,2.21,V,G,ba
2456456.873554,1.8046,0.0878,15.8188,0.0529,17.3538,2.39,V,G,ba
2456460.866167,1.4542,0.1245,16.0532,0.0931,16.9743,2.05,V,G,ba
2456463.8583552,1.2687,0.1375,16.2013,0.1178,16.8665,1.69,V,G,ba
2456468.9251625,2.0425,0.1973,15.6844,0.1050,16.4744,2.01,V,G,ba
2456473.8485572,1.6189,0.0889,15.9367,0.0597,17.3398,2.18,V,G,ba
2456477.8368899,1.6127,0.0818,15.9409,0.0552,17.4300,1.76,V,G,ba
2456482.8954535,1.5036,0.0837,16.0170,0.0605,17.4056,2.33,V,G,ba
2456485.8325349,1.5013,0.0934,16.0186,0.0676,17.2862,2.13,V,G,ba
2456488.8255351,1.5931,0.1200,15.9541,0.0819,17.0141,1.71,V,B,ba
2456492.7986927,1.7240,0.1459,15.8685,0.0920,16.8021,1.77,V,G,ba
