# ASAS-SN SkyPatrol ID: 661432076403
# GLADE GWGC: PGC2296087
# GLADE PGC Number: 2296087
# GLADE HyperLEDA: PGC2296087
# GLADE 2MASS Extended Source Catalog: 15552903+4719023


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456649.1594342,2.0182,0.1097,15.6973,0.0591,17.1115,1.69,V,G,bd
2456652.1532084,1.9846,0.0660,15.7156,0.0362,17.6634,2.69,V,G,bd
2456658.134485,1.9191,0.1269,15.7521,0.0719,16.9539,1.79,V,B,bd
2456676.0799577,1.7738,0.1106,15.8375,0.0678,17.1032,2.90,V,G,bd
2456677.1220377,1.9970,0.1144,15.7088,0.0623,17.0659,2.27,V,G,bd
2456678.1735352,2.0243,0.1529,15.6941,0.0821,16.7513,2.20,V,G,bd
2456701.0363519,1.3972,0.1173,16.0966,0.0912,17.0396,1.51,V,G,bd
2456731.0749719,1.7727,0.1019,15.8382,0.0624,17.1924,1.57,V,G,bd
2456735.9814572,2.0613,0.0967,15.6744,0.0510,17.2483,1.48,V,G,bd
2456737.0004573,1.9524,0.0725,15.7333,0.0404,17.5609,1.47,V,B,bd
2456741.0152504,1.8824,0.0539,15.7730,0.0311,17.8827,2.12,V,G,bd
2456742.1159689,1.8221,0.0538,15.8083,0.0321,17.8849,1.43,V,G,bd
2456751.0755947,2.0133,0.0576,15.7000,0.0311,17.8122,1.46,V,G,bd
2456757.1278886,1.7343,0.0640,15.8619,0.0401,17.6961,1.59,V,G,bd
2456757.861658,1.6203,0.0958,15.9358,0.0643,17.2586,1.48,V,G,bd
2456758.9738038,1.9187,0.0845,15.7523,0.0479,17.3955,1.54,V,G,bd
2456766.9736594,1.9461,0.0951,15.7369,0.0531,17.2664,1.81,V,G,bd
2456771.1016904,1.8039,0.0654,15.8193,0.0394,17.6733,1.53,V,G,bd
2456782.7940588,2.0631,0.0722,15.6735,0.0381,17.5655,1.52,V,G,bd
2456783.808608,1.9650,0.0658,15.7264,0.0364,17.6675,1.47,V,G,bd
2456784.7945442,1.8311,0.0679,15.8030,0.0403,17.6334,2.02,V,G,bd
2456787.7791841,2.1054,0.1110,15.6514,0.0573,17.0987,1.82,V,G,bd
2456788.9234278,1.9797,0.1419,15.7183,0.0779,16.8322,1.56,V,B,bd
2456796.0638004,2.0332,0.1207,15.6894,0.0645,17.0081,1.46,V,G,bd
2456797.0568778,2.0433,0.0806,15.6839,0.0429,17.4461,1.48,V,G,bd
2456799.0388931,1.8087,0.0706,15.8164,0.0424,17.5901,1.48,V,G,bd
2456801.9156084,1.9307,0.0623,15.7455,0.0351,17.7261,1.45,V,G,bd
2456803.9181556,1.8262,0.1210,15.8059,0.0720,17.0056,1.54,V,B,bd
2456805.9160844,1.8624,0.0644,15.7846,0.0376,17.6895,1.52,V,G,bd
2456808.8668956,1.9799,0.0674,15.7182,0.0370,17.6402,1.60,V,B,bd
2456811.9036427,1.9572,0.0478,15.7307,0.0265,18.0145,1.49,V,G,bd
2456812.8953697,1.8447,0.0611,15.7950,0.0360,17.7470,1.45,V,G,bd
2456813.802335,2.3001,0.1848,15.5554,0.0873,16.5457,1.64,V,B,bd
2456815.7587428,1.9598,0.0824,15.7292,0.0457,17.4222,1.58,V,G,bd
2456816.8767955,1.7740,0.0730,15.8374,0.0447,17.5537,1.49,V,G,bd
2456818.8889048,1.8486,0.0775,15.7926,0.0455,17.4898,1.48,V,G,bd
2456819.8846022,1.7670,0.1298,15.8417,0.0799,16.9289,1.51,V,B,bd
2456821.9850077,2.0191,0.1456,15.6969,0.0784,16.8044,1.49,V,G,bd
2456822.8799067,2.1491,0.1185,15.6292,0.0599,17.0283,1.64,V,G,bd
2456823.9956719,1.8956,0.0993,15.7654,0.0569,17.2204,2.00,V,B,bd
2456824.8914732,2.1756,0.0886,15.6159,0.0442,17.3443,1.53,V,G,bd
2456825.980521,1.8619,0.2953,15.7849,0.1724,16.0367,1.53,V,B,bd
2456826.880101,1.9520,0.0510,15.7336,0.0284,17.9442,1.51,V,G,bd
2456828.8870479,1.7301,0.0613,15.8646,0.0385,17.7437,1.78,V,G,bd
2456832.9334943,1.9832,0.0692,15.7164,0.0379,17.6115,1.44,V,G,bd
2456835.9277667,2.0319,0.0519,15.6900,0.0277,17.9251,1.62,V,G,bd
2456846.8441549,1.9424,0.1558,15.7389,0.0872,16.7311,1.60,V,B,bd
2456847.7999799,1.7862,0.0865,15.8299,0.0527,17.3692,1.51,V,B,bd
2456849.8430322,1.9039,0.1404,15.7607,0.0801,16.8440,1.67,V,G,bd
2456850.8478056,1.9515,0.1571,15.7338,0.0875,16.7218,1.64,V,G,bd
2456855.8918374,1.9294,0.0663,15.7462,0.0374,17.6583,1.48,V,G,bd
2456856.8328866,1.9362,0.0603,15.7424,0.0339,17.7610,1.43,V,G,bd
2456882.7813861,1.5984,0.0781,15.9506,0.0531,17.4802,1.92,V,G,bd
2456883.7819768,1.7857,0.0632,15.8303,0.0385,17.7108,1.91,V,G,bd
2456885.7805561,1.7549,0.0668,15.8491,0.0414,17.6497,1.53,V,G,bd
2456888.7678962,1.6202,0.0681,15.9359,0.0457,17.6287,1.57,V,G,bd
2456889.7672653,1.7466,0.0570,15.8543,0.0355,17.8218,1.45,V,G,bd
2456890.7693373,1.7114,0.0577,15.8764,0.0367,17.8091,1.42,V,G,bd
2456891.7706697,1.7349,0.0593,15.8616,0.0371,17.7804,1.48,V,G,bd
2456892.767437,2.0297,0.0673,15.6912,0.0360,17.6422,1.56,V,G,bd
2456894.7615652,1.9967,0.0590,15.7090,0.0321,17.7856,1.54,V,G,bd
2456897.752573,1.8410,0.0742,15.7971,0.0438,17.5358,1.48,V,G,bd
2456900.7522012,1.6477,0.0812,15.9176,0.0536,17.4379,1.46,V,G,bd
2456902.7392992,1.9007,0.0870,15.7625,0.0498,17.3631,1.48,V,G,bd
2456905.7401319,1.8625,0.0841,15.7845,0.0491,17.3998,1.68,V,B,bd
2456906.7384383,1.8415,0.1002,15.7968,0.0592,17.2098,1.48,V,G,bd
2456908.7563481,1.9050,0.1335,15.7600,0.0762,16.8984,1.68,V,G,bd
2456910.7482226,1.8612,0.1152,15.7853,0.0673,17.0591,1.52,V,G,bd
2456911.7220682,1.7635,0.1350,15.8438,0.0832,16.8867,1.99,V,B,bd
2456912.718509,2.2920,0.1347,15.5593,0.0639,16.8888,1.53,V,B,bd
2456916.7142548,1.7503,0.2510,15.8520,0.1558,16.2134,1.69,V,G,bd
2456918.7129049,2.1530,0.2160,15.6272,0.1090,16.3763,1.59,V,G,bd
2457010.1709604,1.7767,0.2124,15.8357,0.1299,16.3944,1.67,V,G,bd
2457011.1683164,1.6538,0.1561,15.9136,0.1026,16.7288,1.64,V,B,bd
2457019.1584514,1.7670,0.0920,15.8417,0.0566,17.3025,2.41,V,G,bd
2457021.1617025,1.7259,0.0652,15.8672,0.0411,17.6766,1.64,V,G,bd
2457031.1490006,2.1246,0.1042,15.6416,0.0533,17.1674,1.74,V,G,bd
2457035.1341326,1.6624,0.0804,15.9079,0.0525,17.4497,1.50,V,G,bd
2457036.1340312,1.7959,0.0789,15.8241,0.0478,17.4690,1.48,V,G,bd
2457039.1602629,1.8222,0.0760,15.8083,0.0453,17.5100,1.61,V,G,bd
2457040.1314753,1.8335,0.0509,15.8016,0.0302,17.9452,1.55,V,G,bd
2457042.1293953,1.9555,0.0588,15.7316,0.0327,17.7891,1.48,V,G,bd
2457044.1195613,1.8673,0.0550,15.7818,0.0320,17.8612,1.46,V,G,bd
2457046.1124922,1.6790,0.0606,15.8972,0.0393,17.7556,1.51,V,G,bd
2457049.0979505,1.8228,0.0501,15.8079,0.0299,17.9621,1.50,V,G,bd
2457051.1160325,1.8269,0.0501,15.8055,0.0298,17.9620,1.45,V,G,bd
2457053.1128746,1.8086,0.0585,15.8164,0.0352,17.7941,2.11,V,G,bd
2457055.1102484,1.7243,0.1066,15.8682,0.0672,17.1432,1.68,V,G,bd
2457061.0954907,1.6685,0.1012,15.9040,0.0659,17.1995,2.38,V,B,bd
2457065.091504,1.8307,0.0753,15.8032,0.0447,17.5197,1.69,V,G,bd
2457070.0878716,1.8487,0.0542,15.7926,0.0319,17.8777,1.70,V,G,bd
2457071.0392998,1.7495,0.0675,15.8525,0.0419,17.6390,1.47,V,G,bd
2457074.0633841,2.0053,0.0688,15.7043,0.0373,17.6192,1.54,V,G,bd
2457078.05438,1.8712,0.0645,15.7795,0.0374,17.6892,1.73,V,G,bd
2457081.0553166,2.1804,0.0681,15.6134,0.0339,17.6295,1.55,V,G,bd
2457084.0703996,1.8086,0.1017,15.8164,0.0611,17.1944,1.85,V,G,bd
2457092.0543142,1.9949,0.0878,15.7100,0.0478,17.3537,1.51,V,G,bd
2457098.1424316,2.0151,0.0710,15.6991,0.0383,17.5842,1.46,V,G,bd
2457100.0619158,1.8367,0.0753,15.7997,0.0446,17.5207,1.51,V,G,bd
2457101.959748,1.9010,0.0738,15.7623,0.0422,17.5420,1.44,V,G,bd
2457105.9956138,1.9272,0.0607,15.7474,0.0342,17.7553,1.53,V,G,bd
2457109.9484718,2.0822,0.0752,15.6635,0.0393,17.5211,1.58,V,G,bd
2457112.9227832,1.9220,0.1301,15.7504,0.0736,16.9268,1.47,V,G,bd
2457113.9232127,1.6777,0.1099,15.8980,0.0712,17.1095,1.45,V,G,bd
2457116.9723882,1.8302,0.0940,15.8035,0.0558,17.2791,1.50,V,B,bd
2457119.9315553,1.3958,0.1197,16.0977,0.0932,17.0172,1.50,V,G,bd
2457122.0453048,1.7794,0.0878,15.8341,0.0536,17.3536,1.50,V,G,bd
2457125.0287633,1.9012,0.0575,15.7622,0.0329,17.8139,1.58,V,G,bd
2457125.9647433,1.9329,0.0614,15.7443,0.0345,17.7419,1.46,V,G,bd
2457128.9497311,2.0858,0.0921,15.6616,0.0480,17.3015,1.47,V,G,bd
2457130.9406857,2.0243,0.0543,15.6941,0.0292,17.8746,1.43,V,G,bd
2457133.9478363,1.8033,0.0676,15.8196,0.0407,17.6378,1.56,V,G,bd
2457136.9040702,1.7303,0.0577,15.8645,0.0363,17.8087,1.53,V,G,bd
2457148.9588641,2.0029,0.1007,15.7056,0.0546,17.2051,1.49,V,G,bd
2457150.9531043,1.4324,0.0899,16.0696,0.0682,17.3280,1.60,V,G,bd
2457153.8282369,1.8053,0.0787,15.8184,0.0474,17.4730,1.49,V,B,bd
2457156.9713032,1.8120,0.0637,15.8144,0.0382,17.7025,1.63,V,G,bd
2457161.8863089,1.4856,0.0971,16.0300,0.0710,17.2447,1.50,V,B,bd
2457162.9191632,1.7836,0.0474,15.8315,0.0289,18.0227,1.61,V,G,bd
2457164.916479,2.1953,0.0752,15.6061,0.0373,17.5211,1.45,V,G,bd
2457167.8756956,1.7810,0.0679,15.8331,0.0415,17.6323,1.58,V,G,bd
2457171.9583054,2.3486,0.1446,15.5327,0.0669,16.8116,1.44,V,G,bd
2457173.8049847,1.7861,0.0991,15.8300,0.0603,17.2218,1.62,V,G,bd
2457175.9709902,2.5392,0.1525,15.4480,0.0653,16.7544,1.49,V,G,bd
2457177.8359862,1.5680,0.1150,15.9714,0.0797,17.0610,1.61,V,G,bd
2457178.8340379,1.9315,0.0984,15.7450,0.0554,17.2302,1.62,V,G,bd
2457180.9528183,1.8222,0.0689,15.8083,0.0411,17.6174,1.47,V,B,bd
2457181.863967,1.8155,0.0421,15.8123,0.0252,18.1529,1.51,V,G,bd
2457182.7414089,1.1964,0.2881,16.0637,99.9990,16.0637,1.94,V,G,bd
2457183.9280251,1.8694,0.0494,15.7805,0.0287,17.9779,1.62,V,G,bd
2457189.9223086,1.8391,0.0742,15.7982,0.0439,17.5362,1.47,V,B,bd
2457190.8600466,1.9447,0.1075,15.7376,0.0601,17.1339,2.02,V,B,bd
2457191.860088,1.6996,0.0627,15.8839,0.0401,17.7201,1.49,V,G,bd
2457194.8911638,1.8546,0.0666,15.7892,0.0390,17.6541,1.68,V,G,bd
2457197.8022043,1.9279,0.0762,15.7471,0.0430,17.5073,1.51,V,G,bd
2457201.8265091,2.1764,0.1038,15.6154,0.0519,17.1714,1.61,V,G,bd
2457204.8974993,1.4758,0.1432,16.0372,0.1055,16.8222,1.47,V,G,bd
2457206.9000107,2.2480,0.1247,15.5803,0.0603,16.9724,1.52,V,G,bd
2457209.9095281,2.1960,0.0955,15.6057,0.0473,17.2626,1.75,V,G,bd
2457210.8518397,2.0077,0.0605,15.7031,0.0328,17.7572,1.55,V,G,bd
2457216.8547705,1.7975,0.0520,15.8231,0.0314,17.9232,1.58,V,G,bd
2457221.7473491,1.4909,0.1738,16.0262,0.1267,16.6119,1.54,V,G,bd
2457222.8723622,1.8017,0.0636,15.8206,0.0384,17.7029,1.50,V,G,bd
2457227.790907,1.6828,0.0773,15.8947,0.0499,17.4917,1.48,V,G,bd
2457231.8495726,1.9020,0.1262,15.7617,0.0721,16.9600,1.45,V,G,bd
2457235.8355078,1.7448,0.1386,15.8554,0.0863,16.8580,1.64,V,G,bd
2457237.7927171,2.0541,0.0635,15.6782,0.0336,17.7058,1.47,V,G,bd
2457242.8110937,1.7943,0.0654,15.8251,0.0396,17.6739,1.52,V,G,bd
2457244.8158894,1.9956,0.0632,15.7096,0.0344,17.7106,1.44,V,G,bd
2457246.7972644,1.8091,0.0534,15.8162,0.0321,17.8938,1.43,V,G,bd
2457250.7926804,2.0459,0.0596,15.6826,0.0317,17.7736,1.45,V,G,bd
2457262.7486511,1.7672,0.0814,15.8416,0.0501,17.4358,1.49,V,G,bd
2457267.7375885,1.8099,0.0695,15.8156,0.0418,17.6070,1.45,V,G,bd
2457271.7276116,1.7938,0.0610,15.8254,0.0370,17.7483,1.44,V,G,bd
2457382.1718961,1.7591,0.1865,15.8465,0.1152,16.5358,1.96,V,G,bd
2457386.1614342,1.7932,0.0756,15.8257,0.0458,17.5163,1.48,V,G,bd
2457387.1580734,1.9379,0.0756,15.7415,0.0424,17.5156,1.66,V,G,bd
2457395.1690104,1.7650,0.0789,15.8429,0.0486,17.4694,1.70,V,G,bd
2457397.1459756,1.8393,0.0483,15.7982,0.0285,18.0027,1.54,V,G,bd
2457399.1810492,2.5929,0.4745,15.4253,0.1989,15.5218,1.62,V,G,bd
2457400.1394656,1.8202,0.0389,15.8095,0.0232,18.2385,1.49,V,G,bd
2457403.129734,1.9471,0.0631,15.7363,0.0352,17.7129,1.51,V,G,bd
2457407.1216675,1.9107,0.0538,15.7568,0.0306,17.8858,1.48,V,G,bd
2457411.1063485,1.9181,0.0983,15.7526,0.0557,17.2311,1.45,V,G,bd
2457413.1525305,1.8194,0.0964,15.8100,0.0576,17.2525,1.57,V,G,bd
2457416.0937338,1.6596,0.1099,15.9098,0.0719,17.1103,1.59,V,G,bd
2457419.1185687,1.9998,0.0538,15.7073,0.0292,17.8861,1.49,V,G,bd
2457422.1028828,1.9939,0.0552,15.7105,0.0301,17.8572,1.49,V,G,bd
2457425.1077814,1.7319,0.0601,15.8635,0.0377,17.7650,1.49,V,G,bd
