# ASAS-SN SkyPatrol ID: 8590355714
# ATLAS-REFCAT2: 169742269375174100
# Gaia DR2: 1593010555568405760
# TESS Input Catalog (TIC): 230200062
# Million Quasars Catalog (MILLIQUAS): MCG 9-25-022
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 9-25-022
# GLADE 2MASS Extended Source Catalog: 15074504+5127096


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455978.1600323,4.1354,0.0404,14.9185,0.0106,18.1962,2.71,V,G,ba
2455989.1232877,4.0784,0.0431,14.9336,0.0115,18.1271,2.47,V,G,ba
2455997.1038559,3.3848,0.1664,15.1360,0.0534,16.6596,2.27,V,G,ba
2456003.0844768,3.9971,0.0564,14.9554,0.0153,17.8351,2.05,V,G,ba
2456320.148313,4.2155,0.0992,14.8977,0.0256,17.2211,1.99,V,G,ba
2456326.1505165,4.1244,0.0530,14.9214,0.0140,17.9010,2.22,V,G,ba
2456344.937875,3.7848,0.0833,15.0147,0.0239,17.4105,1.73,V,G,ba
2456353.1413479,4.4604,0.0998,14.8363,0.0243,17.2143,2.02,V,B,ba
2456354.0915871,4.4001,0.0650,14.8511,0.0161,17.6801,2.19,V,G,ba
2456357.1008415,4.4144,0.0530,14.8476,0.0131,17.9009,1.77,V,G,ba
2456365.9810963,3.9106,0.1458,14.9792,0.0405,16.8033,2.09,V,B,ba
2456377.0051279,4.2697,0.0810,14.8838,0.0206,17.4411,1.88,V,G,ba
2456377.9944291,3.4072,0.1787,15.1288,0.0570,16.5819,2.15,V,B,ba
2456389.8164692,3.7878,0.0559,15.0138,0.0160,17.8447,2.36,V,G,ba
2456393.9392329,3.9867,0.0369,14.9582,0.0100,18.2962,2.39,V,G,ba
2456398.0022033,3.9594,0.0500,14.9657,0.0137,17.9650,2.09,V,B,ba
2456401.8925415,3.9332,0.0586,14.9729,0.0162,17.7920,2.24,V,G,ba
2456405.9376463,3.8037,0.0884,15.0093,0.0252,17.3468,1.78,V,G,ba
2456410.9249164,2.8990,0.1823,15.3042,0.0683,16.5605,2.14,V,B,ba
2456416.9379837,3.9279,0.0531,14.9744,0.0147,17.9003,2.16,V,B,ba
2456439.9684462,3.8432,0.0908,14.9981,0.0257,17.3166,1.76,V,G,ba
2456449.8326203,3.9891,0.0392,14.9576,0.0107,18.2288,2.81,V,G,ba
2456458.8491661,4.1161,0.0522,14.9236,0.0138,17.9192,2.13,V,G,ba
