# ASAS-SN SkyPatrol ID: 661427292454
# Million Quasars Catalog (MILLIQUAS): MCG 8-28-019


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455978.1600323,4.5663,0.0463,14.8109,0.0110,18.0476,2.71,V,G,ba
2455989.1232877,4.7474,0.0326,14.7687,0.0075,18.4309,2.47,V,G,ba
2455997.1038559,4.9758,0.1572,14.7176,0.0343,16.7212,2.27,V,G,ba
2456003.0844768,4.4669,0.0597,14.8348,0.0145,17.7728,2.05,V,G,ba
2456320.148313,5.3275,0.1258,14.6435,0.0257,16.9631,1.99,V,G,ba
2456326.1505165,4.8485,0.0576,14.7458,0.0129,17.8115,2.22,V,G,ba
2456326.1715363,4.6422,0.0902,14.7930,0.0211,17.3241,2.28,V,G,bb
2456339.0014527,4.5960,0.0700,14.8038,0.0166,17.5998,2.14,V,G,bb
2456344.937875,4.7362,0.1514,14.7712,0.0347,16.7621,1.73,V,G,ba
2456353.1413479,4.7631,0.1134,14.7651,0.0259,17.0754,2.02,V,B,ba
2456354.0915871,4.7989,0.0818,14.7569,0.0185,17.4307,2.19,V,G,ba
2456357.1008415,4.7222,0.0542,14.7744,0.0125,17.8772,1.77,V,G,ba
2456365.9810963,4.7664,0.1616,14.7643,0.0369,16.6910,2.09,V,B,ba
2456377.0051279,4.4544,0.1077,14.8378,0.0263,17.1316,1.88,V,G,ba
2456377.9944291,3.5993,0.2499,15.0692,0.0755,16.2178,2.15,V,B,ba
2456378.1196137,2.8125,0.4828,15.3371,0.1866,15.5029,1.99,V,B,bb
2456389.8164692,4.6743,0.0689,14.7855,0.0160,17.6170,2.36,V,G,ba
2456392.9239291,4.7236,0.0625,14.7741,0.0144,17.7233,1.98,V,G,bb
2456393.9392329,4.5815,0.0525,14.8073,0.0125,17.9115,2.39,V,G,ba
2456396.9849603,4.6674,0.0510,14.7871,0.0119,17.9428,1.77,V,G,bb
2456398.0022033,4.4186,0.0566,14.8466,0.0139,17.8301,2.09,V,B,ba
2456400.0096487,4.3891,0.0561,14.8538,0.0139,17.8407,1.80,V,G,bb
2456401.8925415,4.6252,0.0615,14.7970,0.0145,17.7397,2.24,V,G,ba
2456402.9746346,4.7898,0.0643,14.7590,0.0146,17.6913,1.76,V,G,bb
2456402.9766972,4.7790,0.0942,14.7614,0.0214,17.2776,1.77,V,G,bb
2456405.9376463,4.7591,0.1053,14.7660,0.0240,17.1563,1.78,V,G,ba
2456410.9249164,5.0003,0.1969,14.7123,0.0428,16.4768,2.14,V,B,ba
2456412.0169435,4.8909,0.1005,14.7363,0.0223,17.2073,1.78,V,G,bb
2456416.9379837,4.7306,0.0560,14.7725,0.0129,17.8425,2.16,V,B,ba
2456436.9018498,4.9361,0.1745,14.7263,0.0384,16.6077,1.68,V,G,bb
2456439.9684462,4.3751,0.1098,14.8573,0.0273,17.1109,1.76,V,G,ba
2456444.8972802,4.4205,0.0715,14.8461,0.0176,17.5764,1.66,V,G,bb
2456449.8326203,4.7176,0.0538,14.7755,0.0124,17.8846,2.81,V,G,ba
2456451.8243055,4.7533,0.0620,14.7673,0.0142,17.7306,1.75,V,G,bb
2456458.8491661,4.5382,0.0663,14.8176,0.0159,17.6586,2.13,V,G,ba
2456459.8550633,4.6095,0.1038,14.8006,0.0245,17.1714,1.81,V,G,bb
2456462.8249221,4.9652,0.1181,14.7199,0.0259,17.0314,1.73,V,G,ba
2456462.8642952,4.6777,0.1068,14.7847,0.0248,17.1410,1.82,V,G,bb
2456466.8421787,4.4332,0.2044,14.8430,0.0501,16.4361,1.81,V,B,ba
2456468.8514667,4.4736,0.1248,14.8331,0.0303,16.9720,2.00,V,G,bb
2456471.8134728,4.6490,0.0556,14.7914,0.0130,17.8493,1.65,V,G,bb
2456471.8957425,4.6876,0.0781,14.7824,0.0181,17.4810,2.56,V,G,ba
2456476.822198,4.9021,0.0627,14.7338,0.0139,17.7193,1.84,V,G,ba
2456480.8384359,4.8921,0.0975,14.7360,0.0217,17.2396,1.82,V,B,bb
2456482.7962556,4.8173,0.0521,14.7528,0.0118,17.9203,2.18,V,G,ba
2456486.8032016,4.5948,0.0573,14.8041,0.0136,17.8169,1.80,V,G,ba
2456487.8307065,4.7850,0.0531,14.7601,0.0121,17.8993,1.66,V,G,bb
2456490.8031743,4.6432,0.1262,14.7927,0.0295,16.9601,2.24,V,B,bb
2456491.7783276,4.6848,0.0860,14.7830,0.0200,17.3762,1.74,V,G,ba
2456494.8329193,4.7685,0.1943,14.7638,0.0443,16.4914,1.67,V,B,bb
2456505.7916763,4.9646,0.0784,14.7201,0.0172,17.4772,2.23,V,G,ba
2456506.7728388,4.6815,0.0578,14.7838,0.0134,17.8085,1.85,V,G,ba
2456507.8087587,4.8629,0.0679,14.7425,0.0152,17.6321,3.05,V,G,bb
2456508.7795892,4.8791,0.0626,14.7389,0.0139,17.7211,1.82,V,G,ba
2456512.7741711,4.8759,0.0646,14.7396,0.0144,17.6869,1.73,V,G,ba
2456517.7843818,4.5461,0.0616,14.8157,0.0147,17.7379,2.43,V,G,bb
2456518.7470117,4.8288,0.1005,14.7502,0.0226,17.2072,1.79,V,B,ba
2456522.7477043,4.7596,0.1209,14.7659,0.0276,17.0065,1.73,V,G,ba
2456528.730018,4.3705,0.2264,14.8585,0.0563,16.3251,1.83,V,B,ba
2456533.7427338,4.9287,0.0898,14.7280,0.0198,17.3296,2.79,V,G,bb
2456536.7419094,4.7890,0.0791,14.7592,0.0180,17.4669,2.47,V,B,bb
2456537.7472173,4.7779,0.0647,14.7617,0.0147,17.6856,2.31,V,G,bb
2456537.7485933,4.6810,0.0810,14.7839,0.0188,17.4407,2.28,V,G,bb
2456538.7410342,4.6964,0.0733,14.7804,0.0170,17.5490,2.37,V,G,bb
2456631.1610311,4.6442,0.1320,14.7925,0.0309,16.9111,2.30,V,G,ba
2456632.1562507,5.1404,0.0917,14.6823,0.0194,17.3063,2.41,V,G,ba
2456639.1617124,4.5704,0.2436,14.8099,0.0579,16.2456,2.95,V,B,ba
2456651.1136611,4.6107,0.0899,14.8004,0.0212,17.3284,2.81,V,G,ba
2456651.1409821,4.6238,0.0718,14.7973,0.0169,17.5721,2.00,V,G,bb
2456653.1365806,4.5845,0.0913,14.8066,0.0216,17.3116,1.99,V,G,ba
2456653.1395196,4.2612,0.0915,14.8860,0.0233,17.3086,3.48,V,B,bb
