# ASAS-SN SkyPatrol ID: 128849923137
# ATLAS-REFCAT2: 155712534675712825
# Gaia DR2: 1352838630075616384
# TESS Input Catalog (TIC): 72806854
# Million Quasars Catalog (MILLIQUAS): MARK 501
# AAVSO International Variable Star Index: MRK 501
# GLADE HyperLEDA: UGC10599
# GLADE 2MASS Extended Source Catalog: 16535220+3945369


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456658.1743853,16.4733,0.1843,13.4178,0.0122,16.5488,1.73,V,G,bd
2456683.1316396,16.0079,0.1160,13.4489,0.0079,17.0514,2.36,V,G,bd
2456701.0525429,15.9235,0.1372,13.4547,0.0094,16.8691,1.52,V,G,bd
2456731.0723223,16.4140,0.1029,13.4217,0.0068,17.1815,1.61,V,G,bd
2456734.1034376,16.3217,0.1354,13.4279,0.0090,16.8837,1.47,V,G,bd
2456736.0236131,15.8626,0.1382,13.4588,0.0095,16.8611,1.45,V,G,bd
2456737.0259185,15.9803,0.1052,13.4508,0.0072,17.1575,1.44,V,G,bd
2456741.1230129,16.3153,0.0884,13.4283,0.0059,17.3466,2.05,V,G,bd
2456744.0187387,16.0654,0.0613,13.4451,0.0041,17.7432,1.57,V,G,bd
2456752.0828072,16.4298,0.0620,13.4207,0.0041,17.7312,1.58,V,G,bd
2456756.9222427,16.4535,0.0775,13.4191,0.0051,17.4894,1.78,V,G,bd
2456757.8951742,16.0508,0.1113,13.4460,0.0075,17.0962,1.44,V,G,bd
2456758.9900057,16.5342,0.1085,13.4138,0.0071,17.1243,1.46,V,G,bd
2456759.9984738,16.3232,0.1060,13.4278,0.0071,17.1487,1.94,V,G,bd
2456766.9893887,16.0213,0.1033,13.4480,0.0070,17.1767,2.20,V,G,bd
2456772.122343,16.3187,0.0776,13.4281,0.0052,17.4874,2.06,V,G,bd
2456783.9658227,16.4763,0.0597,13.4176,0.0039,17.7732,1.56,V,G,bd
2456784.9573395,16.7017,0.0890,13.4029,0.0058,17.3389,1.56,V,G,bd
2456785.9609442,16.5545,0.0814,13.4125,0.0053,17.4364,1.94,V,G,bd
2456787.8123115,16.0494,0.1112,13.4461,0.0075,17.0972,1.64,V,G,bd
2456788.9472228,16.1793,0.0839,13.4374,0.0056,17.4031,1.61,V,G,bd
2456796.0474188,16.4350,0.0890,13.4204,0.0059,17.3394,1.46,V,B,bd
2456797.0596175,16.7915,0.0869,13.3971,0.0056,17.3644,1.47,V,G,bd
2456797.9374187,16.7412,0.0723,13.4003,0.0047,17.5642,1.49,V,G,bd
2456799.0615967,16.1608,0.0635,13.4386,0.0043,17.7061,1.46,V,G,bd
2456800.9443732,16.5586,0.0778,13.4122,0.0051,17.4846,1.46,V,G,bd
2456802.9302316,16.6319,0.0597,13.4074,0.0039,17.7732,1.45,V,G,bd
2456805.9717002,16.8877,0.0720,13.3909,0.0046,17.5695,1.62,V,G,bd
2456808.9394872,16.8561,0.0925,13.3929,0.0060,17.2974,1.50,V,B,bd
2456810.9110443,16.7514,0.0690,13.3997,0.0045,17.6158,1.60,V,G,bd
2456812.7569573,16.9189,0.0979,13.3889,0.0063,17.2352,1.54,V,G,bd
2456813.9240351,16.8740,0.0920,13.3917,0.0059,17.3027,1.55,V,B,bd
2456814.8243534,17.0239,0.1028,13.3821,0.0066,17.1822,1.42,V,G,bd
2456815.746716,16.1122,0.1477,13.4419,0.0100,16.7885,1.71,V,B,bd
2456816.9051848,16.6739,0.0926,13.4047,0.0060,17.2957,1.50,V,G,bd
2456817.908284,16.7938,0.0935,13.3969,0.0061,17.2849,1.54,V,G,bd
2456818.8945802,16.5318,0.0962,13.4140,0.0063,17.2549,1.46,V,G,bd
2456819.9017732,16.7244,0.1468,13.4014,0.0095,16.7959,1.50,V,G,bd
2456820.8988395,16.5520,0.1860,13.4127,0.0122,16.5384,1.49,V,G,bd
2456822.9061466,16.9669,0.1332,13.3858,0.0085,16.9008,1.63,V,G,bd
2456823.991941,16.6441,0.0952,13.4066,0.0062,17.2654,1.78,V,B,bd
2456824.909766,16.7970,0.1005,13.3967,0.0065,17.2064,1.56,V,B,bd
2456826.028208,16.6366,0.2210,13.4071,0.0144,16.3515,1.51,V,B,bd
2456827.0199575,16.2840,0.0678,13.4304,0.0045,17.6338,1.61,V,G,bd
2456829.9082052,16.1704,0.0646,13.4380,0.0043,17.6869,1.59,V,G,bd
2456833.8900447,16.2942,0.0578,13.4297,0.0039,17.8074,1.81,V,G,bd
2456846.8628344,16.2338,0.0785,13.4337,0.0053,17.4754,1.56,V,B,bd
2456847.8650935,16.2023,0.0830,13.4358,0.0056,17.4152,1.51,V,B,bd
2456849.8575756,16.7199,0.1811,13.4017,0.0118,16.5673,1.69,V,B,bd
2456850.8656651,16.8639,0.1236,13.3924,0.0080,16.9819,1.62,V,B,bd
2456851.9343783,17.6054,0.5082,13.3457,0.0314,15.4474,1.57,V,B,bd
2456852.9391022,16.9052,0.1501,13.3897,0.0096,16.7717,2.25,V,B,bd
2456853.9308584,16.5862,0.1483,13.4104,0.0097,16.7844,1.82,V,B,bd
2456854.9307262,16.8750,0.1045,13.3917,0.0067,17.1646,1.79,V,G,bd
2456856.8537901,16.8188,0.0837,13.3953,0.0054,17.4052,1.49,V,G,bd
2456857.8654015,16.7968,0.0778,13.3967,0.0050,17.4852,1.47,V,B,bd
