# ASAS-SN SkyPatrol ID: 386547906256
# ATLAS-REFCAT2: 107563210078980874
# Gaia DR2: 2686325468953026816
# Million Quasars Catalog (MILLIQUAS): PGC 1145145
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 1145145
# GLADE 2MASS Extended Source Catalog: 21240188-0021583


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456592.7693462,1.7226,0.1299,15.8693,0.0820,16.9285,2.42,V,B,bc
2456593.752259,1.4205,0.1494,16.0787,0.1143,16.7764,1.80,V,B,bc
2456597.7469321,2.2191,0.1473,15.5943,0.0722,16.7918,1.72,V,G,bc
2456600.7650723,1.6430,0.1211,15.9207,0.0801,17.0048,1.79,V,G,bc
2456614.6945228,1.6016,0.1027,15.9484,0.0697,17.1834,2.30,V,G,bc
2456615.6944292,1.5246,0.1042,16.0019,0.0743,17.1679,1.55,V,G,bc
2456618.6913683,1.4583,0.0987,16.0502,0.0736,17.2260,2.23,V,G,bc
2456619.7188587,1.7658,0.0985,15.8424,0.0606,17.2289,2.31,V,G,bc
2456752.136859,1.8657,0.1523,15.7827,0.0887,16.7558,3.09,V,G,bc
2456758.1190125,1.7002,0.0774,15.8835,0.0495,17.4908,2.42,V,G,bc
2456765.0995537,1.6974,0.1840,15.8853,0.1178,16.5504,3.62,V,B,bc
2456773.0887232,1.7730,0.1452,15.8380,0.0890,16.8075,3.02,V,G,bc
2456785.0540793,1.2738,0.1065,16.1971,0.0909,17.1444,2.82,V,G,bc
2456787.0401668,2.0066,0.0985,15.7036,0.0533,17.2291,3.05,V,B,bc
2456788.0426976,1.5072,0.0742,16.0144,0.0535,17.5365,2.54,V,G,bc
2456789.0473802,1.5664,0.1371,15.9725,0.0951,16.8697,2.29,V,G,bc
2456800.9977881,1.8323,0.0755,15.8023,0.0448,17.5178,1.79,V,G,bc
2456803.0157962,1.8936,0.0815,15.7666,0.0468,17.4351,2.23,V,B,bc
2456805.0245207,1.8008,0.0744,15.8211,0.0449,17.5339,2.26,V,G,bc
2456809.011836,1.8577,0.0735,15.7874,0.0430,17.5462,2.53,V,G,bc
2456810.0201643,1.6923,0.0581,15.8886,0.0373,17.8014,2.43,V,G,bc
2456812.0085914,1.6089,0.0633,15.9435,0.0427,17.7093,1.61,V,G,bc
2456813.0202965,1.7994,0.0553,15.8220,0.0334,17.8550,1.61,V,G,bc
2456815.0170674,1.8334,0.0817,15.8017,0.0485,17.4311,1.72,V,B,bc
2456816.0047751,1.7601,0.0550,15.8459,0.0340,17.8606,1.62,V,G,bc
2456819.0022198,1.4199,0.0979,16.0791,0.0749,17.2355,1.48,V,G,bc
2456819.9936371,1.9410,0.1034,15.7397,0.0579,17.1762,1.50,V,G,bc
2456827.9162691,1.4055,0.0779,16.0902,0.0602,17.4840,2.13,V,G,bc
2456830.0008233,1.7602,0.0650,15.8459,0.0401,17.6805,1.91,V,G,bc
2456830.9929681,1.9140,0.0647,15.7549,0.0367,17.6850,1.88,V,G,bc
2456834.9893544,1.7821,0.0584,15.8325,0.0356,17.7959,1.46,V,G,bc
2456835.959908,1.7728,0.0572,15.8381,0.0351,17.8188,1.38,V,G,bc
2456839.7367043,1.7440,0.0609,15.8559,0.0380,17.7502,2.01,V,G,be
2456845.6397787,1.7545,0.1216,15.8494,0.0753,16.9998,1.60,V,G,be
2456846.9441222,1.7985,0.1132,15.8225,0.0684,17.0773,1.42,V,G,bc
2456848.9130363,1.6605,0.0957,15.9092,0.0627,17.2595,1.37,V,B,bc
2456855.8742942,1.7297,0.0707,15.8649,0.0444,17.5889,1.43,V,G,bc
2456857.0616547,1.6944,0.1006,15.8873,0.0645,17.2061,1.61,V,G,bc
2456858.0940614,1.8363,0.0585,15.7999,0.0346,17.7943,1.41,V,B,bc
2456864.9433785,1.6286,0.0515,15.9303,0.0344,17.9320,1.47,V,G,bc
2456867.7171258,1.8126,0.0794,15.8140,0.0476,17.4633,2.11,V,U,be
2456873.6815205,1.9227,0.0749,15.7500,0.0423,17.5265,1.56,V,G,be
2456877.6658164,1.6089,0.1158,15.9435,0.0782,17.0529,1.43,V,G,be
2456883.6754767,1.4886,0.1674,16.0278,0.1222,16.6530,1.39,V,B,be
2456885.0201515,1.6371,0.0839,15.9246,0.0557,17.4027,1.46,V,G,bc
2456885.9039527,1.7130,0.0815,15.8754,0.0517,17.4348,1.45,V,G,bc
2456886.9296763,1.7498,0.0614,15.8523,0.0382,17.7416,1.91,V,G,bc
2456888.8975954,1.9115,0.0641,15.7563,0.0364,17.6956,1.63,V,G,bc
2456889.8968745,1.6844,0.0519,15.8937,0.0335,17.9240,1.64,V,G,bc
2456890.8941619,1.7485,0.0559,15.8531,0.0348,17.8433,1.45,V,G,bc
2456891.8966179,1.6868,0.0576,15.8921,0.0371,17.8111,1.53,V,G,bc
2456895.6387682,1.5788,0.0762,15.9640,0.0525,17.5074,1.48,V,G,be
