# ASAS-SN SkyPatrol ID: 661431540144
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J212900.75+001057.3


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456222.731796,1.3823,0.1508,16.1083,0.1186,16.7663,2.00,V,B,bb
2456233.7996574,1.0040,0.0825,16.4554,0.0894,17.4207,1.73,V,G,bb
2456236.7716477,1.0241,0.0522,16.4339,0.0554,17.9190,1.72,V,G,bb
2456241.6999345,1.0378,0.0525,16.4195,0.0550,17.9113,2.03,V,G,bb
2456388.1340155,1.0545,0.1815,16.4022,0.1871,16.5653,1.95,V,B,bb
2456396.1063597,1.1543,0.1095,16.3040,0.1031,17.1139,2.07,V,B,bb
2456400.1177072,1.2180,0.0589,16.2457,0.0525,17.7876,2.14,V,G,bb
2456406.0926023,1.0324,0.0837,16.4252,0.0881,17.4056,2.22,V,G,bb
2456409.090538,0.9397,0.1542,16.5273,0.1783,16.7424,2.10,V,G,bb
2456412.0966319,0.8017,0.0878,16.6998,0.1191,17.3534,2.14,V,G,bb
2456417.0974505,1.0637,0.0882,16.3928,0.0902,17.3482,2.24,V,G,bb
2456438.023523,1.3869,0.1529,16.1047,0.1198,16.7513,2.13,V,G,bb
2456447.9626429,1.0333,0.0713,16.4242,0.0750,17.5790,1.70,V,G,bb
2456450.0387073,1.0845,0.0722,16.3717,0.0723,17.5667,2.01,V,G,bb
2456460.0016267,1.0370,0.0433,16.4203,0.0454,18.1212,1.70,V,G,bb
2456462.0048645,1.0238,0.0458,16.4342,0.0486,18.0598,1.69,V,G,bb
2456463.9924598,1.1858,0.0977,16.2748,0.0895,17.2378,1.73,V,G,bb
2456465.9788689,1.2470,0.1632,16.2201,0.1422,16.6806,1.66,V,G,bb
2456470.9682098,1.0176,0.1419,16.4409,0.1516,16.8323,1.71,V,B,bb
2456473.9809429,1.1752,0.0638,16.2845,0.0590,17.7001,1.75,V,G,bb
2456475.978413,1.1592,0.0613,16.2994,0.0575,17.7436,1.66,V,G,bb
2456478.9387199,0.8334,0.0687,16.6576,0.0896,17.6204,1.71,V,B,bb
2456479.938275,1.2230,0.0556,16.2412,0.0494,17.8498,1.67,V,G,bb
2456482.9690847,1.2579,0.0601,16.2107,0.0520,17.7648,2.07,V,G,bb
2456485.966058,0.9953,0.0566,16.4648,0.0619,17.8295,1.99,V,G,bb
2456488.9271048,1.2192,0.0834,16.2446,0.0744,17.4089,1.72,V,B,bb
2456491.9160363,1.0143,0.0684,16.4444,0.0733,17.6251,1.81,V,G,bb
2456493.9402517,1.4052,0.1734,16.0905,0.1341,16.6149,2.01,V,B,bb
2456505.9081404,1.0923,0.0496,16.3639,0.0494,17.9736,2.01,V,G,bb
2456506.89614,1.1298,0.0691,16.3273,0.0665,17.6140,1.66,V,G,bb
2456511.8797965,1.0735,0.0589,16.3828,0.0596,17.7871,1.74,V,G,bb
2456516.8994489,1.2188,0.0556,16.2449,0.0496,17.8500,1.69,V,G,bb
