# ASAS-SN SkyPatrol ID: 292057811597
# ATLAS-REFCAT2: 120163231159016898
# Gaia DR2: 1742408102446019200
# TESS Input Catalog (TIC): 292027122
# Million Quasars Catalog (MILLIQUAS): UGC 11763
# AAVSO International Variable Star Index: ASASSN-V J213227.82+100819.3
# AllWISE AGN Catalog: WISEA J213227.82+100819.2
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 11763
# GLADE HyperLEDA: UGC11763


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456220.8930742,4.9348,0.0709,14.7266,0.0156,17.5853,2.70,V,G,ba
2456227.7305933,4.4894,0.0912,14.8293,0.0221,17.3119,2.75,V,G,ba
2456230.7367934,4.6546,0.1102,14.7901,0.0257,17.1070,2.30,V,G,ba
2456232.8064068,4.5831,0.0773,14.8069,0.0183,17.4916,2.33,V,G,ba
2456237.7624567,4.6398,0.0630,14.7935,0.0148,17.7133,2.29,V,G,ba
2456241.7377648,4.6466,0.0596,14.7919,0.0139,17.7739,2.12,V,G,ba
2456246.7095608,4.7512,0.0603,14.7678,0.0138,17.7612,2.58,V,G,ba
2456276.6987702,5.2148,0.0832,14.6667,0.0173,17.4122,2.88,V,G,ba
2456288.7050126,5.2414,0.1417,14.6612,0.0294,16.8338,3.36,V,G,ba
2456300.7100502,4.9015,0.0854,14.7340,0.0189,17.3839,2.17,V,G,ba
2456381.1347569,4.7379,0.1735,14.7708,0.0398,16.6140,1.97,V,G,ba
2456391.11848,4.8191,0.0801,14.7524,0.0181,17.4530,2.08,V,G,ba
2456397.1047306,5.0252,0.0893,14.7069,0.0193,17.3353,2.10,V,G,ba
2456401.1234086,4.6503,0.0728,14.7911,0.0170,17.5576,2.31,V,G,ba
2456406.0966594,4.4793,0.0778,14.8318,0.0189,17.4854,2.03,V,G,ba
2456409.0831772,4.5631,0.1588,14.8116,0.0378,16.7100,2.20,V,G,ba
2456412.0888615,4.2874,0.1079,14.8793,0.0274,17.1295,2.13,V,G,ba
2456417.0879809,4.6685,0.0875,14.7868,0.0204,17.3575,2.06,V,G,ba
2456445.0326052,4.8296,0.0740,14.7500,0.0167,17.5395,2.96,V,G,ba
2456448.0367306,4.9602,0.0632,14.7210,0.0138,17.7110,2.93,V,G,ba
2456451.0023283,4.7018,0.0699,14.7791,0.0162,17.6006,2.32,V,G,ba
2456453.978452,4.8554,0.1358,14.7442,0.0304,16.8802,1.83,V,B,ba
2456459.9847355,4.7113,0.0725,14.7769,0.0167,17.5621,2.05,V,G,ba
2456461.9937159,4.6452,0.0687,14.7923,0.0161,17.6200,1.76,V,G,ba
2456463.9813855,4.5313,0.0986,14.8192,0.0236,17.2278,1.69,V,G,ba
2456465.9733309,4.5180,0.1459,14.8224,0.0351,16.8021,1.67,V,G,ba
2456469.9756046,5.2155,0.1427,14.6665,0.0297,16.8262,2.09,V,G,ba
2456472.9700866,4.7832,0.0817,14.7605,0.0186,17.4321,2.27,V,G,ba
2456474.9897509,4.6374,0.0780,14.7941,0.0183,17.4820,1.79,V,G,ba
2456477.9510722,4.7264,0.0666,14.7735,0.0153,17.6531,1.80,V,G,ba
2456481.943323,4.7666,0.0739,14.7643,0.0168,17.5414,2.06,V,G,ba
2456484.9227004,4.8291,0.0712,14.7501,0.0160,17.5810,2.04,V,G,ba
2456487.9145566,4.6468,0.0696,14.7919,0.0163,17.6064,2.00,V,G,ba
2456489.9660073,4.7898,0.0639,14.7590,0.0145,17.6980,2.01,V,G,ba
2456491.9383612,4.5683,0.0946,14.8104,0.0225,17.2721,2.00,V,G,ba
2456493.9235197,4.7173,0.1391,14.7755,0.0320,16.8543,2.26,V,G,ba
2456505.8985585,4.7793,0.0761,14.7614,0.0173,17.5086,2.07,V,G,ba
2456506.8875972,4.7323,0.0673,14.7721,0.0155,17.6425,2.00,V,G,ba
2456511.8737004,4.7545,0.0652,14.7670,0.0149,17.6764,2.15,V,G,ba
2456516.882086,4.6276,0.0660,14.7964,0.0155,17.6642,1.82,V,G,ba
2456519.8606293,4.8753,0.0723,14.7398,0.0161,17.5650,1.69,V,G,ba
2456520.8473214,4.5375,0.0874,14.8177,0.0209,17.3587,1.80,V,G,ba
2456523.8996942,5.2383,0.1209,14.6618,0.0251,17.0067,2.03,V,B,ba
2456527.8831114,5.1284,0.0916,14.6848,0.0194,17.3081,1.71,V,G,ba
2456531.905954,4.9537,0.0661,14.7225,0.0145,17.6619,1.73,V,G,ba
2456533.8850131,5.3009,0.0610,14.6489,0.0125,17.7482,1.68,V,G,ba
2456536.8304352,5.2260,0.0541,14.6644,0.0112,17.8798,1.73,V,G,ba
2456539.8887069,5.2772,0.0614,14.6538,0.0126,17.7418,2.35,V,G,ba
2456549.7830161,5.2268,0.0846,14.6642,0.0176,17.3940,1.70,V,G,ba
2456556.8173514,5.0041,0.1081,14.7115,0.0235,17.1278,1.82,V,G,ba
2456565.7204911,5.5734,0.0675,14.5945,0.0132,17.6392,1.98,V,G,ba
2456571.7801713,5.5347,0.0517,14.6020,0.0102,17.9289,2.02,V,G,ba
2456592.7805463,5.5240,0.0611,14.6041,0.0120,17.7479,1.81,V,G,ba
2456593.7634498,5.2788,0.0591,14.6534,0.0122,17.7827,1.74,V,G,ba
2456597.7581611,5.3379,0.0517,14.6413,0.0105,17.9292,1.69,V,G,ba
2456600.776276,5.3580,0.0503,14.6373,0.0102,17.9576,2.03,V,G,ba
2456751.1410267,5.6096,0.1375,14.5875,0.0266,16.8663,2.13,V,G,ba
2456753.1300243,6.0368,0.0905,14.5078,0.0163,17.3211,3.10,V,G,ba
2456756.1245755,5.8990,0.0630,14.5328,0.0116,17.7132,2.64,V,G,ba
2456759.1087084,5.9254,0.0888,14.5280,0.0163,17.3418,2.03,V,B,ba
2456765.1104831,6.2548,0.1459,14.4692,0.0254,16.8020,1.81,V,G,ba
2456773.1006293,6.1094,0.1019,14.4948,0.0181,17.1915,2.74,V,G,ba
2456782.0613247,5.6844,0.0616,14.5731,0.0118,17.7380,2.41,V,B,ba
2456784.0714578,5.8196,0.0616,14.5475,0.0115,17.7385,2.08,V,G,ba
2456788.0237014,5.7630,0.1240,14.5582,0.0234,16.9784,1.82,V,G,ba
2456789.0555025,5.8259,0.1047,14.5464,0.0195,17.1624,2.43,V,G,ba
2456793.0440745,5.3926,0.1660,14.6303,0.0335,16.6618,2.15,V,G,ba
2456800.9893732,5.6964,0.0638,14.5708,0.0122,17.7003,2.02,V,G,ba
2456803.0289538,5.8230,0.0575,14.5469,0.0107,17.8128,2.19,V,G,ba
2456805.045102,5.7836,0.0597,14.5543,0.0112,17.7726,2.26,V,G,ba
2456811.0322608,5.9467,0.0544,14.5241,0.0099,17.8733,2.57,V,G,ba
2456813.0337875,5.9566,0.0442,14.5223,0.0081,18.0976,1.63,V,G,ba
2456814.9708745,6.0463,0.0501,14.5061,0.0090,17.9631,1.63,V,G,ba
2456816.0131724,5.7143,0.0580,14.5674,0.0110,17.8038,1.68,V,G,ba
2456818.0245829,5.8241,0.0685,14.5467,0.0128,17.6234,1.66,V,G,ba
2456819.0136468,5.7513,0.1034,14.5604,0.0195,17.1761,1.70,V,G,ba
2456820.0138821,6.0552,0.1013,14.5045,0.0182,17.1985,1.76,V,G,ba
