# ASAS-SN SkyPatrol ID: 154619145679
# ATLAS-REFCAT2: 176282632053762236
# Gaia DR2: 1422124905055684352
# TESS Input Catalog (TIC): 229689407
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 9-29-011
# GLADE HyperLEDA: 60473
# GLADE 2MASS Extended Source Catalog: 17324924+5654043


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456448.9494243,2.9785,0.0657,15.2748,0.0240,17.6679,2.02,V,G,bb
2456457.9160254,2.8581,0.0950,15.3196,0.0361,17.2681,2.00,V,G,bb
2456487.8768346,2.9900,0.0590,15.2706,0.0214,17.7853,1.79,V,G,bb
2456736.9951687,2.9361,0.1018,15.2903,0.0377,17.1934,2.00,V,B,bb
2456741.0505055,2.9589,0.0743,15.2820,0.0273,17.5350,2.27,V,G,bb
2456742.0437174,3.0322,0.0443,15.2554,0.0159,18.0966,1.78,V,G,bb
2456751.0351808,3.0370,0.0393,15.2537,0.0141,18.2269,2.11,V,G,bb
2456755.9585257,4.0294,0.2754,14.9467,0.0743,16.1125,2.05,V,B,bb
2456756.9670432,3.0038,0.0894,15.2656,0.0323,17.3341,1.62,V,G,bb
2456758.0198488,2.9249,0.0652,15.2945,0.0242,17.6765,1.83,V,G,bb
2456759.0274023,3.4167,0.1043,15.1258,0.0332,17.1669,2.06,V,B,bb
2456765.0148787,3.1783,0.1219,15.2043,0.0417,16.9976,2.31,V,G,bb
2456767.0228984,3.2798,0.0644,15.1702,0.0213,17.6908,2.01,V,B,bb
2456772.0121878,2.8745,0.0582,15.3134,0.0220,17.8000,2.08,V,G,bb
2456781.9854745,3.1214,0.0481,15.2239,0.0167,18.0081,2.04,V,G,bb
2456785.9081352,2.9456,0.0703,15.2868,0.0259,17.5947,1.76,V,G,bb
2456787.9783817,3.2189,0.0906,15.1905,0.0306,17.3198,1.74,V,G,bb
2456788.9985679,2.8715,0.0847,15.3145,0.0320,17.3932,2.16,V,G,bb
2456794.961784,3.0494,0.0653,15.2492,0.0233,17.6754,1.77,V,B,bb
2456795.9746442,2.8296,0.1167,15.3305,0.0448,17.0450,1.68,V,B,bb
2456799.0241382,2.9699,0.0564,15.2779,0.0207,17.8334,1.74,V,G,bb
2456799.9667533,2.9746,0.0395,15.2762,0.0145,18.2196,1.70,V,G,bb
2456801.9575473,3.1472,0.0440,15.2150,0.0152,18.1032,1.73,V,G,bb
2456803.9626674,3.0189,0.0530,15.2601,0.0191,17.9026,1.71,V,G,bb
