# ASAS-SN SkyPatrol ID: 214749500174
# ATLAS-REFCAT2: 167771179661987834
# Gaia DR2: 934279223673371008
# TESS Input Catalog (TIC): 335491499
# Million Quasars Catalog (MILLIQUAS): MCG 8-15-009
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 8-15-009
# GLADE GWGC: PGC022026
# GLADE PGC Number: 22026
# GLADE HyperLEDA: PGC022026
# GLADE 2MASS Extended Source Catalog: 07515188+4948517


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456243.0492086,4.5910,0.0425,14.8050,0.0101,18.1403,2.20,V,G,bb
2456269.0256106,4.3808,0.0618,14.8559,0.0153,17.7348,2.02,V,G,bb
2456273.0108992,4.1916,0.0477,14.9038,0.0124,18.0163,2.29,V,G,bb
2456337.7504935,4.4824,0.0488,14.8310,0.0118,17.9910,1.99,V,G,bb
2456371.826066,4.4488,0.0875,14.8392,0.0214,17.3570,1.77,V,G,bb
2456537.1274486,4.2079,0.0795,14.8996,0.0205,17.4617,1.72,V,G,bb
2456544.1217994,4.5107,0.0605,14.8242,0.0146,17.7586,1.96,V,G,bb
2456555.086938,4.6207,0.2113,14.7980,0.0497,16.3999,1.82,V,G,bb
2456557.08414,5.1670,0.1701,14.6767,0.0358,16.6357,2.04,V,G,bb
2456564.0662182,4.1800,0.3061,14.9068,0.0796,15.9978,2.10,V,B,bb
2456576.0236068,4.3589,0.0589,14.8613,0.0147,17.7868,1.80,V,G,bb
2456596.0519304,4.4546,0.0564,14.8378,0.0138,17.8343,2.66,V,G,bb
2456598.0481791,4.8011,0.0599,14.7564,0.0136,17.7697,2.09,V,G,bb
2456600.0448714,4.4437,0.0533,14.8404,0.0130,17.8955,1.82,V,G,bb
2456615.9155169,4.5630,0.1167,14.8117,0.0278,17.0450,3.39,V,G,bb
2456619.909466,4.5412,0.1156,14.8169,0.0277,17.0550,4.13,V,B,bb
2456624.8946617,4.7133,0.0474,14.7765,0.0109,18.0230,2.27,V,B,bb
2456625.8918833,4.5926,0.0509,14.8046,0.0120,17.9454,2.04,V,G,bb
2456629.8801231,4.7952,0.0663,14.7578,0.0150,17.6583,1.76,V,G,bb
2456631.8757431,4.6523,0.0579,14.7906,0.0135,17.8064,2.20,V,G,bb
2456636.8611828,4.5697,0.0859,14.8101,0.0204,17.3778,2.11,V,G,bb
2456637.862875,4.6318,0.1261,14.7954,0.0296,16.9602,2.03,V,G,bb
2456638.8550588,4.5455,0.0931,14.8158,0.0223,17.2899,1.86,V,G,bb
2456639.9654115,4.1359,0.6537,14.9184,0.1718,15.1740,2.45,V,B,bb
2456640.9054929,4.2222,0.2539,14.8959,0.0654,16.2007,3.84,V,B,bb
2456642.8638046,4.5950,0.1664,14.8041,0.0394,16.6596,1.73,V,G,bb
2456648.9692231,4.5133,0.0633,14.8236,0.0152,17.7097,2.01,V,G,bb
2456655.8949645,0.8934,0.0935,16.5822,0.1137,17.2858,1.67,V,G,bb
2456658.9428558,4.5212,0.0474,14.8216,0.0114,18.0230,2.23,V,G,bb
