# ASAS-SN SkyPatrol ID: 94490489223
# ATLAS-REFCAT2: 163131181841929790
# Gaia DR2: 926582333041407616
# TESS Input Catalog (TIC): 29104880
# Million Quasars Catalog (MILLIQUAS): NPM 1G+46.0092
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+46.0092
# GLADE HyperLEDA: 2272950
# GLADE 2MASS Extended Source Catalog: 07524421+4556576


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455972.0228699,3.5907,0.0673,15.0718,0.0204,17.6417,2.10,V,G,ba
2455981.8827474,3.7020,0.0409,15.0387,0.0120,18.1834,2.33,V,G,ba
2455985.8605189,3.8647,0.0669,14.9920,0.0188,17.6491,2.12,V,G,ba
2456225.0513403,3.7333,0.0490,15.0296,0.0143,17.9870,2.64,V,G,ba
2456228.016169,3.4517,0.1275,15.1147,0.0401,16.9487,2.35,V,G,ba
2456233.0531566,3.5699,0.1124,15.0782,0.0342,17.0859,2.34,V,G,ba
2456236.1438647,3.9095,0.0894,14.9795,0.0249,17.3334,2.13,V,B,ba
2456239.0752227,3.7484,0.0657,15.0252,0.0191,17.6681,2.06,V,G,ba
2456242.0671432,3.6976,0.0337,15.0400,0.0099,18.3925,2.14,V,G,ba
2456269.0205431,3.7121,0.0549,15.0357,0.0161,17.8638,2.34,V,G,ba
2456272.992249,3.6585,0.0394,15.0515,0.0117,18.2223,2.16,V,G,ba
2456310.9156887,3.6121,0.0529,15.0654,0.0159,17.9032,1.77,V,G,ba
2456316.9007655,3.8952,0.1134,14.9835,0.0316,17.0757,2.05,V,G,ba
2456318.988142,3.7940,0.1694,15.0120,0.0485,16.6403,1.76,V,G,ba
2456325.8834701,3.5599,0.0499,15.0812,0.0152,17.9666,2.25,V,G,ba
2456337.7352355,3.7980,0.0578,15.0109,0.0166,17.8066,2.60,V,G,ba
2456350.7421951,3.3768,0.1185,15.1385,0.0382,17.0279,2.36,V,G,ba
2456355.8886831,3.8252,0.0495,15.0031,0.0141,17.9754,2.00,V,G,ba
2456385.7670247,3.6453,0.0776,15.0555,0.0231,17.4882,2.14,V,G,ba
2456391.7917048,3.5794,0.0607,15.0753,0.0184,17.7535,2.24,V,G,ba
2456399.7741918,3.7261,0.1048,15.0316,0.0306,17.1616,2.92,V,G,ba
2456405.7505622,3.7359,0.1213,15.0288,0.0353,17.0029,2.11,V,G,ba
2456410.7396602,3.7770,0.0725,15.0169,0.0209,17.5619,2.91,V,G,ba
2456528.1309473,3.7542,0.2675,15.0235,0.0774,16.1442,1.70,V,G,ba
2456532.135823,3.9892,0.2714,14.9576,0.0739,16.1284,1.99,V,G,ba
2456534.1326052,3.6606,0.1996,15.0509,0.0593,16.4621,2.11,V,G,ba
2456537.1095099,3.7426,0.0755,15.0268,0.0219,17.5173,1.85,V,G,ba
2456538.1154571,3.6475,0.0915,15.0548,0.0273,17.3084,1.77,V,G,ba
2456544.1012621,3.4654,0.0979,15.1104,0.0307,17.2349,2.15,V,G,ba
2456554.0908269,3.6007,0.1953,15.0688,0.0589,16.4858,1.94,V,G,ba
2456556.0815468,3.6997,0.2129,15.0394,0.0626,16.3919,1.78,V,G,ba
2456557.1033382,3.5258,0.1731,15.0916,0.0534,16.6166,1.92,V,G,ba
