# ASAS-SN SkyPatrol ID: 661427006428
# Million Quasars Catalog (MILLIQUAS): PGC 2047443
# AllWISE AGN Catalog: WISEA J075221.89+341935.8
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 2047443
# GLADE HyperLEDA: SDSSJ075221.86+341935.6


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455949.9352266,0.3752,0.0595,17.5242,0.1724,17.7759,2.61,V,G,bb
2455952.0166029,0.7235,0.0320,16.8112,0.0480,18.4503,2.83,V,G,ba
2455954.9393192,0.3160,0.0557,17.7105,0.1917,17.8473,2.98,V,G,bb
2455956.0387635,0.7623,0.0315,16.7544,0.0449,18.4665,2.51,V,G,ba
2455958.9824019,0.9127,0.0729,16.5590,0.0868,17.5562,1.71,V,G,bb
2455968.900397,0.5821,0.0614,17.0474,0.1146,17.7427,2.34,V,G,ba
2455972.913735,0.7185,0.0457,16.8186,0.0692,18.0619,2.23,V,B,ba
2455972.9175166,0.6320,0.0602,16.9580,0.1035,17.7635,2.02,V,B,bb
2455978.032227,0.7634,0.0646,16.7529,0.0920,17.6862,1.77,V,B,bb
2456000.7991703,0.8426,0.0437,16.6457,0.0564,18.1105,2.08,V,G,ba
2456000.8068863,0.7318,0.0438,16.7989,0.0651,18.1078,1.71,V,G,bb
2456221.1308989,0.7154,0.0521,16.8233,0.0791,17.9206,2.00,V,G,bb
2456225.0433111,0.6672,0.0438,16.8992,0.0714,18.1077,2.78,V,G,ba
2456227.0715971,0.7773,0.0357,16.7333,0.0500,18.3299,2.31,V,G,ba
2456227.0830829,0.7571,0.0532,16.7619,0.0764,17.8969,2.02,V,G,bb
2456230.0356342,0.7591,0.1274,16.7590,0.1824,16.9493,2.34,V,G,ba
2456234.0577706,0.7244,0.0724,16.8098,0.1087,17.5627,2.18,V,G,ba
2456239.0407818,0.6444,0.0499,16.9370,0.0842,17.9669,2.08,V,G,ba
2456241.0636608,0.8092,0.0507,16.6896,0.0681,17.9495,2.37,V,G,bb
2456242.0753181,0.7005,0.0376,16.8463,0.0584,18.2734,2.11,V,G,ba
2456251.0321252,0.6602,0.1189,16.9105,0.1957,17.0245,1.73,V,G,bb
2456258.0982146,1.0699,0.1060,16.3865,0.1077,17.1488,2.05,V,B,bb
2456258.9973977,0.8453,0.0993,16.6422,0.1277,17.2196,2.19,V,B,ba
2456268.0510208,0.8014,0.0528,16.7002,0.0717,17.9052,2.37,V,G,ba
2456271.9922894,0.7503,0.0350,16.7716,0.0507,18.3514,2.04,V,G,ba
2456273.022963,0.9771,0.0470,16.4850,0.0523,18.0314,2.27,V,G,bb
2456277.0313173,0.8107,0.0354,16.6877,0.0474,18.3408,2.21,V,G,ba
2456277.9644629,0.8356,0.0328,16.6548,0.0427,18.4226,2.39,V,G,ba
2456287.9993975,0.9548,0.2779,16.1028,99.9990,16.1028,2.15,V,B,ba
2456300.0082225,0.8022,0.0510,16.6991,0.0692,17.9425,2.07,V,G,bb
2456300.9570225,0.7479,0.0284,16.7752,0.0413,18.5783,1.79,V,G,ba
2456302.9540122,0.7594,0.0511,16.7586,0.0732,17.9407,1.74,V,G,ba
2456308.9537828,0.9107,0.0584,16.5613,0.0697,17.7969,2.03,V,G,ba
2456308.9686563,0.7415,0.0582,16.7845,0.0852,17.8009,2.11,V,G,bb
2456310.9235933,0.8744,0.0408,16.6055,0.0507,18.1851,1.75,V,G,ba
2456313.9277692,0.6158,0.0574,16.9862,0.1014,17.8146,2.25,V,G,ba
2456313.958578,0.6733,0.0625,16.8892,0.1010,17.7220,1.81,V,G,bb
2456315.9427957,0.6829,0.0708,16.8740,0.1128,17.5866,2.08,V,G,bb
2456319.9056192,0.7233,0.1149,16.8115,0.1727,17.0614,2.09,V,B,ba
2456319.9333664,0.3621,0.1711,16.6293,99.9990,16.6293,2.32,V,G,bb
2456323.9207667,0.6259,0.0865,16.9685,0.1502,17.3700,2.00,V,G,bb
2456324.9078556,1.0667,0.1068,16.3897,0.1088,17.1412,2.51,V,G,ba
2456327.9149047,0.7931,0.0520,16.7114,0.0712,17.9226,2.12,V,G,bb
2456329.7640417,0.7784,0.0357,16.7318,0.0498,18.3319,2.30,V,G,ba
2456337.8228475,0.9032,0.0531,16.5703,0.0639,17.8999,2.10,V,G,bb
2456338.7668138,0.8201,0.0429,16.6752,0.0568,18.1321,2.31,V,G,ba
2456348.8302142,0.9958,0.1314,16.4643,0.1434,16.9162,3.19,V,B,bb
2456348.8370497,0.3467,0.1181,17.0322,99.9990,17.0322,2.04,V,G,ba
2456355.7753228,0.7958,0.0530,16.7078,0.0723,17.9025,2.21,V,B,ba
2456359.7536079,0.8614,0.0402,16.6218,0.0507,18.2030,2.23,V,G,ba
2456360.7625392,0.7907,0.0581,16.7148,0.0799,17.8021,2.06,V,G,ba
2456381.8111859,0.7068,0.0932,16.8366,0.1433,17.2891,1.67,V,G,bb
2456385.7476976,0.6086,0.0475,16.9989,0.0848,18.0212,2.28,V,G,ba
2456390.7399916,0.8041,0.0440,16.6965,0.0595,18.1042,1.99,V,G,bb
2456391.7533269,0.6891,0.0447,16.8640,0.0706,18.0854,2.37,V,G,ba
2456400.7404714,0.8470,0.0796,16.6401,0.1022,17.4598,2.60,V,G,ba
