# ASAS-SN SkyPatrol ID: 661427220775
# Million Quasars Catalog (MILLIQUAS): PGC 2253583
# Chandra Source Catalog: 2CXO J075643.7+445123
# GLADE HyperLEDA: 2253583
# GLADE 2MASS Extended Source Catalog: 07564370+4451244


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456593.0500629,1.5228,0.1882,16.0032,0.1344,16.5257,1.49,V,B,bc
2456594.0468839,1.8025,0.1441,15.8201,0.0869,16.8155,1.60,V,B,bc
2456596.1377774,1.9387,0.1837,15.7410,0.1030,16.5518,2.42,V,G,bc
2456615.9211905,1.8768,0.2190,15.7763,0.1268,16.3615,2.34,V,G,bc
2456625.9030907,1.7767,0.0559,15.8357,0.0342,17.8443,1.49,V,G,bc
2456629.8892315,1.7073,0.0740,15.8790,0.0471,17.5395,1.40,V,G,bc
2456630.8643348,1.6870,0.0890,15.8920,0.0574,17.3384,1.62,V,G,bc
2456631.8673071,1.8581,0.0898,15.7871,0.0525,17.3295,1.38,V,G,bc
2456635.8543315,1.6023,0.0972,15.9479,0.0660,17.2427,2.49,V,G,bc
2456636.8522653,1.5414,0.1424,15.9900,0.1004,16.8287,1.81,V,G,bc
2456637.9749427,1.9369,0.1021,15.7420,0.0573,17.1899,1.76,V,G,bc
2456655.8923086,1.6523,0.0771,15.9145,0.0507,17.4951,1.73,V,G,bc
2456658.9293384,1.4709,0.0836,16.0408,0.0618,17.4064,2.84,V,G,bc
2456675.8494375,1.5524,0.1336,15.9822,0.0935,16.8980,2.56,V,G,bd
2456675.8494375,1.6871,0.1900,15.8919,0.1224,16.5155,1.71,V,G,bc
2456676.9000329,1.6386,0.0888,15.9236,0.0589,17.3413,2.14,V,G,bd
2456676.9000329,1.4838,0.1039,16.0313,0.0761,17.1711,2.28,V,G,bc
2456683.9032519,2.2112,0.0728,15.5982,0.0358,17.5570,2.78,V,G,bd
2456683.9032519,1.8503,0.0695,15.7917,0.0408,17.6070,2.33,V,G,bc
2456701.8445814,1.8860,0.1508,15.7710,0.0869,16.7663,1.46,V,G,bd
2456701.8445814,2.1330,0.1794,15.6373,0.0914,16.5779,1.44,V,G,bc
2456730.816073,1.4163,0.1163,16.0819,0.0893,17.0482,1.77,V,B,bd
2456730.816073,1.9787,0.1291,15.7189,0.0709,16.9348,2.34,V,B,bc
2456736.8017307,1.7900,0.0698,15.8276,0.0424,17.6020,1.49,V,G,bd
2456736.8017307,1.7190,0.0781,15.8716,0.0494,17.4804,1.33,V,G,bc
2456741.8028326,1.6728,0.0701,15.9012,0.0455,17.5985,1.51,V,G,bc
2456741.8028326,2.1100,0.0894,15.6491,0.0460,17.3345,1.54,V,G,bd
2456757.7675624,1.6418,0.1296,15.9215,0.0858,16.9306,1.67,V,G,bd
2456757.7675624,1.5754,0.1090,15.9663,0.0752,17.1191,1.63,V,G,bc
2456770.7591829,2.6247,0.2924,15.4121,0.1211,16.0475,1.53,V,G,bd
2456770.7591829,2.1282,0.2835,15.6398,0.1448,16.0811,2.47,V,G,bc
2456771.7533133,1.7740,0.0766,15.8374,0.0469,17.5020,2.29,V,G,bd
2456771.7533133,1.5701,0.0887,15.9700,0.0614,17.3424,1.75,V,G,bc
2456787.7403124,1.3222,0.1226,16.1565,0.1008,16.9910,2.68,V,G,bd
2456787.7403124,2.1038,0.1396,15.6523,0.0721,16.8502,1.39,V,G,bc
2456788.7432813,1.6883,0.1773,15.8911,0.1141,16.5908,1.79,V,G,bd
2456788.7432813,1.8237,0.1356,15.8074,0.0808,16.8819,1.41,V,G,bc
2456899.1358944,1.4783,0.1960,16.0353,0.1441,16.4818,2.17,V,B,bc
2456899.1358944,1.7654,0.1501,15.8427,0.0924,16.7717,2.17,V,B,bd
2456901.1400566,1.6900,0.2810,15.8900,0.1808,16.0904,1.91,V,G,bc
2456904.1380947,1.6181,0.2085,15.9373,0.1400,16.4148,1.75,V,G,bd
2456904.1380947,1.5489,0.2477,15.9847,0.1738,16.2277,1.79,V,G,bc
2456905.1271908,1.7026,0.0920,15.8820,0.0587,17.3029,1.62,V,B,bc
2456905.1271908,1.8559,0.0966,15.7884,0.0566,17.2501,1.58,V,B,bd
2456910.1301374,2.1755,0.2322,15.6159,0.1160,16.2978,1.79,V,G,bd
2456910.1301374,1.5927,0.2413,15.9544,0.1646,16.2561,1.73,V,G,bc
2456914.127235,2.4828,0.1491,15.4724,0.0653,16.7786,1.95,V,G,bc
2456914.127235,2.2337,0.1158,15.5872,0.0564,17.0527,1.76,V,G,bd
2456915.1241366,1.8135,0.1221,15.8135,0.0732,16.9960,1.66,V,G,bd
2456915.1241366,1.7848,0.1096,15.8308,0.0667,17.1130,1.70,V,G,bc
2456917.1169973,2.1122,0.0993,15.6479,0.0511,17.2199,1.65,V,G,bd
2456917.1169973,1.7247,0.0774,15.8680,0.0488,17.4904,1.89,V,G,bc
2456921.1111825,1.8162,0.0847,15.8119,0.0507,17.3927,1.67,V,G,bd
2456921.1111825,1.9642,0.1103,15.7268,0.0610,17.1064,1.67,V,G,bc
2456923.1130059,1.8607,0.0801,15.7856,0.0468,17.4533,1.63,V,G,bd
2456923.1130059,1.6398,0.0866,15.9228,0.0574,17.3684,1.76,V,G,bc
2456924.1247738,1.7131,0.0817,15.8753,0.0518,17.4321,1.66,V,G,bd
2456924.1247738,1.5758,0.1135,15.9661,0.0783,17.0751,1.55,V,G,bc
2456932.0948858,1.9034,0.0828,15.7610,0.0473,17.4178,2.01,V,G,bc
2456932.0948858,1.7110,0.0779,15.8766,0.0495,17.4836,1.82,V,G,bd
2456933.0673276,1.5881,0.0859,15.9576,0.0588,17.3773,2.09,V,G,bd
2456933.0673276,1.9525,0.0811,15.7333,0.0452,17.4392,2.02,V,G,bc
2456934.0906048,1.7454,0.0828,15.8551,0.0516,17.4169,1.54,V,G,bd
2456934.0906048,1.0497,0.1108,16.4072,0.1147,17.1012,1.60,V,G,bc
2456936.0707842,1.5738,0.0929,15.9674,0.0641,17.2926,1.76,V,G,bc
2456936.0707842,1.9758,0.0975,15.7204,0.0536,17.2399,1.67,V,G,bd
2456940.0804951,1.5328,0.1840,15.9961,0.1304,16.5506,1.71,V,B,bd
2456940.0804951,1.6180,0.1815,15.9373,0.1219,16.5654,1.65,V,B,bc
2456961.0222666,1.6558,0.0856,15.9123,0.0562,17.3816,1.69,V,G,bd
2456961.0222666,1.7509,0.0764,15.8516,0.0475,17.5039,1.78,V,G,bc
2456968.0244679,1.4113,0.1613,16.0857,0.1242,16.6935,1.62,V,G,bc
2456968.0244679,1.7233,0.1509,15.8689,0.0952,16.7659,1.70,V,G,bd
2456970.9934756,1.8353,0.1475,15.8005,0.0874,16.7902,2.12,V,G,bc
2456970.9934756,1.9544,0.1551,15.7322,0.0863,16.7359,1.74,V,G,bd
2456977.9816485,1.8357,0.1458,15.8003,0.0863,16.8029,1.83,V,G,bd
2456977.9816485,1.4868,0.0817,16.0291,0.0598,17.4312,1.48,V,G,bc
2456979.0160124,1.7077,0.0857,15.8788,0.0545,17.3803,1.57,V,B,bd
2456979.0160124,1.7649,0.0736,15.8430,0.0454,17.5446,1.42,V,B,bc
2456981.0180766,1.7218,0.0754,15.8698,0.0476,17.5192,1.62,V,G,bd
2456981.0180766,1.7035,0.0691,15.8814,0.0441,17.6130,1.79,V,G,bc
2456983.0085941,1.9522,0.0822,15.7335,0.0458,17.4245,1.55,V,G,bc
2456983.0085941,1.7877,0.0586,15.8290,0.0356,17.7929,1.61,V,G,bd
2456985.0037424,1.6118,0.0694,15.9415,0.0468,17.6090,1.59,V,G,bd
2456985.0037424,1.8334,0.0886,15.8017,0.0525,17.3434,1.64,V,G,bc
2456988.9231904,2.0336,0.0700,15.6891,0.0374,17.6000,1.50,V,G,bd
2456988.9231904,1.6271,0.0828,15.9312,0.0553,17.4167,1.39,V,G,bc
2456990.9591793,1.8004,0.1071,15.8214,0.0646,17.1381,1.47,V,G,bd
2456990.9591793,1.8491,0.1025,15.7924,0.0603,17.1853,1.47,V,G,bc
2456992.0004499,1.7502,0.0715,15.8521,0.0444,17.5760,1.61,V,G,bd
2456992.0004499,2.0440,0.0981,15.6836,0.0522,17.2327,1.47,V,G,bc
2456993.9074436,1.9664,0.1257,15.7256,0.0695,16.9638,1.83,V,G,bc
2456993.9074576,1.9007,0.1308,15.7625,0.0748,16.9207,1.76,V,G,bd
2456998.9710566,2.0070,0.1938,15.7034,0.1050,16.4940,1.43,V,G,bc
2456998.9710566,1.5239,0.1471,16.0024,0.1049,16.7932,1.53,V,G,bd
2457003.9774824,1.8653,0.1237,15.7829,0.0721,16.9816,1.40,V,G,bc
2457003.9774824,1.9311,0.1264,15.7453,0.0711,16.9584,1.47,V,G,bd
2457006.9819669,1.7457,0.0622,15.8548,0.0387,17.7275,1.73,V,G,bd
2457006.9819669,1.6685,0.0797,15.9040,0.0519,17.4589,1.66,V,G,bc
2457008.9763084,2.0386,0.1022,15.6864,0.0545,17.1887,1.41,V,G,bc
2457008.9763084,1.9086,0.0854,15.7580,0.0487,17.3832,1.51,V,G,bd
2457012.9696287,1.6359,0.0921,15.9254,0.0612,17.3019,1.52,V,G,bd
2457012.9696287,1.8037,0.1015,15.8194,0.0611,17.1966,1.39,V,G,bc
2457016.9611776,1.8257,0.0793,15.8062,0.0472,17.4639,1.41,V,G,bc
2457016.9611776,1.6380,0.0750,15.9240,0.0497,17.5254,1.62,V,G,bd
2457020.8374393,1.6408,0.1114,15.9221,0.0738,17.0950,1.48,V,G,bd
2457020.8374393,1.6951,0.1163,15.8868,0.0745,17.0489,1.36,V,G,bc
2457023.9491727,1.5989,0.1213,15.9503,0.0825,17.0024,2.05,V,G,bd
2457023.9491727,2.2006,0.1593,15.6034,0.0787,16.7068,1.60,V,G,bc
2457030.9267531,1.8485,0.0987,15.7927,0.0580,17.2264,1.49,V,G,bd
2457030.9267531,2.0980,0.1395,15.6553,0.0723,16.8508,1.38,V,G,bc
2457031.9986306,1.3215,0.1293,16.1571,0.1063,16.9337,1.58,V,G,bd
2457031.9986306,1.7693,0.1217,15.8403,0.0748,16.9991,1.49,V,G,bc
2457032.9264586,1.7445,0.1101,15.8556,0.0686,17.1077,1.78,V,G,bd
2457032.9264586,1.8663,0.0832,15.7824,0.0485,17.4121,1.65,V,G,bc
2457034.9250382,1.7865,0.0923,15.8297,0.0562,17.2993,1.46,V,G,bd
2457034.9264307,1.8029,0.0760,15.8199,0.0458,17.5104,1.32,V,G,bc
2457035.8747069,1.6606,0.0751,15.9091,0.0491,17.5237,1.48,V,G,bd
2457035.8747069,1.8301,0.0942,15.8036,0.0560,17.2771,1.34,V,G,bc
2457036.917474,1.5970,0.0671,15.9515,0.0457,17.6452,1.43,V,G,bd
2457036.917474,1.7312,0.0665,15.8639,0.0418,17.6551,1.37,V,G,bc
2457038.932777,1.7669,0.0626,15.8418,0.0385,17.7205,1.37,V,G,bc
2457038.932777,1.6909,0.0632,15.8895,0.0406,17.7113,1.54,V,G,bd
2457040.9182001,1.8071,0.0673,15.8174,0.0405,17.6428,1.50,V,G,bd
2457040.9182001,2.0086,0.0965,15.7025,0.0522,17.2508,1.37,V,G,bc
2457042.9157005,1.8336,0.0953,15.8015,0.0565,17.2645,1.48,V,G,bd
2457042.9157005,1.5087,0.0911,16.0133,0.0656,17.3136,1.35,V,G,bc
2457044.9251333,1.9950,0.1332,15.7099,0.0726,16.9015,1.46,V,G,bd
2457044.9251615,1.5792,0.1285,15.9637,0.0885,16.9399,1.38,V,G,bc
2457045.9081208,1.7806,0.0822,15.8333,0.0502,17.4252,1.54,V,G,bd
2457045.9081208,1.6245,0.0910,15.9330,0.0609,17.3153,1.39,V,G,bc
2457048.9140678,1.7322,0.0866,15.8633,0.0543,17.3689,1.53,V,G,bc
2457048.9140724,2.0065,0.0802,15.7037,0.0434,17.4526,1.64,V,G,bd
2457049.8972691,1.6636,0.0803,15.9071,0.0525,17.4508,1.45,V,G,bd
2457051.8434937,1.7149,0.1325,15.8742,0.0840,16.9068,1.38,V,G,bc
2457051.8434937,1.4030,0.1226,16.0922,0.0949,16.9915,1.52,V,G,bd
2457055.905387,1.1632,0.1342,16.2956,0.1254,16.8929,1.68,V,G,bd
2457060.9224335,1.5833,0.1185,15.9608,0.0813,17.0284,2.44,V,B,bd
2457060.9224335,1.6582,0.1297,15.9107,0.0850,16.9302,1.55,V,B,bc
2457062.9402983,1.6187,0.0849,15.9369,0.0570,17.3897,2.31,V,G,bd
2457062.9402983,1.7569,0.1041,15.8479,0.0644,17.1689,1.46,V,G,bc
2457069.9583844,1.5852,0.0607,15.9596,0.0416,17.7548,1.50,V,G,bd
2457069.9597897,2.1357,0.1398,15.6359,0.0712,16.8483,1.48,V,G,bc
2457071.8713995,1.5534,0.0687,15.9815,0.0481,17.6198,1.50,V,G,bd
2457071.8713995,1.8078,0.0954,15.8169,0.0573,17.2639,1.45,V,G,bc
2457076.7970994,1.8982,0.1080,15.7639,0.0618,17.1288,1.57,V,G,bc
2457076.7970994,1.7232,0.0732,15.8689,0.0462,17.5512,1.47,V,G,bd
2457078.8477028,1.6162,0.0990,15.9385,0.0666,17.2233,1.48,V,G,bd
2457078.8477028,1.7933,0.1030,15.8256,0.0624,17.1805,1.59,V,G,bc
2457084.8513358,1.8379,0.1862,15.7990,0.1101,16.5377,1.66,V,G,bd
2457084.8513358,1.3721,0.1600,16.1163,0.1268,16.7018,1.40,V,G,bc
2457095.8759673,1.7472,0.0678,15.8539,0.0422,17.6344,1.58,V,G,bd
2457095.8759673,1.8706,0.0718,15.7799,0.0417,17.5720,1.43,V,G,bc
2457097.8693609,1.5531,0.0770,15.9818,0.0539,17.4965,1.41,V,G,bd
2457097.8693609,1.7067,0.0734,15.8794,0.0467,17.5488,1.35,V,G,bc
2457098.8416128,1.5599,0.1027,15.9770,0.0715,17.1838,1.40,V,G,bc
2457098.8416128,1.8286,0.0814,15.8045,0.0484,17.4356,1.52,V,G,bd
2457100.8599972,1.6866,0.0801,15.8923,0.0516,17.4536,1.50,V,G,bd
