# ASAS-SN SkyPatrol ID: 661430967462
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 4417


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456596.0533006,16.7814,0.2356,13.3977,0.0153,16.2818,2.55,V,G,bc
2456598.0481791,17.7883,0.1498,13.3344,0.0092,16.7736,1.62,V,G,bc
2456600.0448714,17.3079,0.1581,13.3642,0.0099,16.7154,2.36,V,G,bc
2456606.0347576,16.6479,0.1383,13.4064,0.0090,16.8606,2.16,V,B,bc
2456625.8918833,16.9149,0.0454,13.3891,0.0029,18.0707,1.56,V,G,bc
2456629.8801231,16.9145,0.0592,13.3891,0.0038,17.7819,1.44,V,G,bc
2456630.8728056,17.1337,0.0646,13.3752,0.0041,17.6871,1.64,V,G,bc
2456631.8757431,17.0646,0.0583,13.3795,0.0037,17.7988,1.42,V,G,bc
2456633.8925942,17.0706,0.0995,13.3792,0.0063,17.2176,3.23,V,B,bc
2456636.8611828,17.0608,0.0837,13.3798,0.0053,17.4053,1.82,V,G,bc
2456637.862875,17.3921,0.1584,13.3589,0.0099,16.7132,1.98,V,G,bc
2456638.8550659,17.1662,0.0824,13.3731,0.0052,17.4231,1.46,V,G,bc
2456642.8638046,17.5986,0.1392,13.3461,0.0086,16.8535,1.72,V,G,bc
2456655.8949645,17.3904,0.0627,13.3590,0.0039,17.7196,1.60,V,G,bc
2456658.9428558,16.9618,0.0536,13.3861,0.0034,17.8897,2.87,V,G,bc
2456675.8133232,17.2932,0.1517,13.3651,0.0095,16.7602,1.78,V,G,bc
2456676.9028017,17.3143,0.0884,13.3638,0.0056,17.3461,2.39,V,G,bc
2456683.9190319,17.2441,0.0594,13.3682,0.0037,17.7777,2.56,V,G,bc
2456701.8401272,17.1154,0.2178,13.3763,0.0138,16.3671,1.47,V,G,bc
2456730.8127311,16.8669,0.0990,13.3922,0.0064,17.2232,2.20,V,B,bc
2456736.833732,16.9816,0.0745,13.3848,0.0048,17.5318,1.39,V,G,bc
2456741.8108696,17.0044,0.0566,13.3834,0.0036,17.8297,1.61,V,G,bc
2456757.7649106,16.6829,0.0969,13.4041,0.0063,17.2471,1.58,V,G,bc
2456758.7316574,17.4587,0.1036,13.3547,0.0065,17.1739,1.56,V,G,bc
2456767.7910602,17.2366,0.0715,13.3686,0.0045,17.5772,1.72,V,B,bc
2456905.1403976,17.8759,0.1931,13.3291,0.0117,16.4977,1.77,V,B,bc
2456908.1280636,16.8285,0.0662,13.3947,0.0043,17.6603,1.93,V,G,bc
2456911.139242,17.2436,0.1779,13.3682,0.0112,16.5872,1.86,V,B,bc
2456912.14221,17.0212,0.3812,13.3823,0.0243,15.7595,1.73,V,B,bc
2456919.1065609,17.6907,0.1009,13.3404,0.0062,17.2026,1.73,V,B,bc
2456920.1255591,17.7358,0.0896,13.3377,0.0055,17.3322,1.64,V,G,bc
2456924.1115715,17.2050,0.0660,13.3706,0.0042,17.6630,1.57,V,G,bc
2456932.1008754,17.2940,0.0621,13.3650,0.0039,17.7291,1.72,V,G,bc
2456933.0820859,17.2219,0.0897,13.3696,0.0057,17.3303,2.10,V,G,bc
2456936.0922798,17.2989,0.0728,13.3647,0.0046,17.5563,1.74,V,G,bc
2456939.0845286,17.7841,0.2730,13.3347,0.0167,16.1218,1.59,V,B,bc
2456940.0602667,17.3047,0.1270,13.3644,0.0080,16.9527,1.67,V,G,bc
2456944.0760428,17.2272,0.0976,13.3692,0.0062,17.2382,2.47,V,G,bc
2456967.9612482,17.3472,0.1652,13.3617,0.0104,16.6672,1.71,V,G,bc
2456972.019727,16.9003,0.1051,13.3900,0.0068,17.1582,1.71,V,G,bc
2456979.010036,17.2168,0.0654,13.3699,0.0041,17.6739,1.40,V,G,bc
2456981.0149437,17.2448,0.0595,13.3681,0.0038,17.7753,1.94,V,G,bc
2456983.0114146,17.4606,0.0665,13.3546,0.0041,17.6560,1.57,V,G,bc
2456984.9788304,17.2870,0.0709,13.3655,0.0045,17.5850,1.63,V,G,bc
2456988.9350445,17.1626,0.0517,13.3733,0.0033,17.9278,1.45,V,G,bc
2456990.985062,17.3087,0.0483,13.3641,0.0030,18.0023,1.48,V,G,bc
2456993.9104002,17.4656,0.1373,13.3543,0.0085,16.8684,1.92,V,G,bc
2456996.0300702,17.3887,0.1742,13.3591,0.0109,16.6100,1.36,V,B,bc
2456998.9740029,17.2323,0.1447,13.3689,0.0091,16.8113,1.47,V,G,bc
2457000.9842491,17.0396,0.1113,13.3811,0.0071,17.0963,1.52,V,G,bc
2457004.003945,17.3460,0.1056,13.3618,0.0066,17.1533,1.36,V,G,bc
2457006.9880777,17.2343,0.0604,13.3688,0.0038,17.7595,1.59,V,G,bc
2457008.9885761,17.1400,0.0593,13.3748,0.0038,17.7801,1.47,V,B,bc
2457012.9755679,16.9921,0.0586,13.3842,0.0037,17.7927,1.38,V,G,bc
2457017.9371872,16.7535,0.0550,13.3995,0.0036,17.8617,1.52,V,G,bc
2457020.8844342,17.3645,0.0825,13.3606,0.0052,17.4217,1.36,V,G,bc
2457023.9625225,17.2219,0.1061,13.3696,0.0067,17.1481,1.63,V,G,bc
2457030.9295737,16.6098,0.1122,13.4089,0.0073,17.0878,1.36,V,G,bc
2457031.9353821,17.0700,0.0883,13.3792,0.0056,17.3477,1.52,V,B,bc
2457032.9292684,16.9697,0.0748,13.3856,0.0048,17.5280,1.61,V,G,bc
2457035.0401616,17.0358,0.0612,13.3814,0.0039,17.7452,1.37,V,G,bc
2457035.8690334,16.9550,0.0684,13.3865,0.0044,17.6248,1.36,V,G,bc
2457036.9233475,17.3887,0.1300,13.3591,0.0081,16.9273,1.35,V,G,bc
2457037.9316428,17.4430,0.0789,13.3557,0.0049,17.4695,1.39,V,G,bc
2457039.9411999,17.0252,0.0540,13.3820,0.0034,17.8815,1.38,V,G,bc
2457041.9369614,17.3032,0.0624,13.3645,0.0039,17.7248,1.46,V,G,bc
2457043.9265056,17.1172,0.0697,13.3762,0.0044,17.6035,1.38,V,G,bc
2457045.9196865,17.3928,0.0815,13.3589,0.0051,17.4348,1.36,V,G,bc
2457050.013447,17.1454,0.0571,13.3744,0.0036,17.8208,1.38,V,G,bc
2457051.8671355,16.7005,0.0922,13.4030,0.0060,17.3008,1.43,V,G,bc
2457052.9145825,17.1363,0.0768,13.3750,0.0049,17.4991,1.52,V,G,bc
2457060.9072434,16.9212,0.1145,13.3887,0.0074,17.0651,1.51,V,B,bc
2457062.9291961,17.0734,0.1002,13.3790,0.0064,17.2098,1.56,V,G,bc
2457065.8833017,17.1299,0.0720,13.3754,0.0046,17.5696,1.36,V,G,bc
2457066.8883062,17.0374,0.0446,13.3813,0.0028,18.0892,1.60,V,G,bc
2457070.873588,17.1935,0.0615,13.3714,0.0039,17.7410,1.45,V,G,bc
2457072.8740503,17.2067,0.0731,13.3705,0.0046,17.5531,1.43,V,G,bc
2457077.7735835,16.8239,0.0680,13.3950,0.0044,17.6309,1.56,V,G,bc
2457084.8563962,16.8747,0.1146,13.3917,0.0074,17.0646,1.34,V,G,bc
2457097.8660827,16.9885,0.0490,13.3844,0.0031,17.9858,1.40,V,G,bc
2457099.8838804,17.0108,0.0429,13.3830,0.0027,18.1305,1.60,V,G,bc
2457101.8554082,17.1523,0.0643,13.3740,0.0041,17.6920,1.45,V,G,bc
2457103.8573386,17.3686,0.0637,13.3604,0.0040,17.7025,1.46,V,G,bc
2457106.7976903,16.8834,0.0696,13.3911,0.0045,17.6051,1.69,V,G,bc
2457109.8305312,16.9049,0.0693,13.3898,0.0045,17.6112,1.62,V,G,bc
2457113.8413219,17.2669,0.1007,13.3667,0.0063,17.2046,1.42,V,G,bc
2457118.8158062,16.9985,0.1406,13.3838,0.0090,16.8426,1.39,V,B,bc
2457119.82541,17.2513,0.1054,13.3677,0.0066,17.1550,1.37,V,G,bc
2457121.7680978,17.2858,0.0762,13.3656,0.0048,17.5078,1.51,V,G,bc
2457125.8040014,17.0755,0.0731,13.3788,0.0047,17.5523,1.38,V,G,bc
2457130.7692292,17.2997,0.0779,13.3647,0.0049,17.4830,1.48,V,G,bc
2457133.7860951,17.0601,0.0674,13.3798,0.0043,17.6406,1.81,V,G,bc
2457134.7527014,16.9230,0.0590,13.3886,0.0038,17.7851,1.52,V,G,bc
2457138.7368685,16.7647,0.0853,13.3988,0.0055,17.3854,2.54,V,G,bc
2457144.7321735,17.3235,0.1487,13.3632,0.0093,16.7815,2.24,V,G,bc
2457145.7387973,16.9064,0.1425,13.3897,0.0092,16.8278,1.72,V,G,bc
2457283.1304001,17.2603,0.0966,13.3672,0.0061,17.2501,1.67,V,G,bc
2457288.1189177,17.2818,0.0841,13.3658,0.0053,17.4001,1.40,V,G,bc
2457293.1023366,17.1585,0.1260,13.3736,0.0080,16.9612,1.42,V,B,bc
2457297.0934502,17.3944,0.1034,13.3588,0.0065,17.1763,1.86,V,G,bc
2457304.1108915,17.0447,0.0473,13.3808,0.0030,18.0260,1.36,V,G,bc
2457308.0707013,17.0713,0.0530,13.3791,0.0034,17.9023,1.41,V,G,bc
2457311.0538515,17.2716,0.0660,13.3665,0.0042,17.6640,1.47,V,G,bc
2457315.0441868,17.2887,0.0735,13.3654,0.0046,17.5462,1.42,V,B,bc
2457318.0650572,17.0211,0.0690,13.3823,0.0044,17.6146,1.37,V,G,bc
2457320.0270477,17.2163,0.0910,13.3699,0.0057,17.3148,1.44,V,G,bc
2457322.0223311,17.8215,0.1397,13.3324,0.0085,16.8490,1.44,V,G,bc
2457325.0134675,16.9442,0.1322,13.3872,0.0085,16.9091,1.76,V,G,bc
2457330.0648819,17.1568,0.0738,13.3737,0.0047,17.5428,1.46,V,B,bc
2457333.0301851,17.1900,0.0580,13.3716,0.0037,17.8032,1.50,V,G,bc
2457342.9713415,17.2616,0.0641,13.3671,0.0040,17.6951,1.44,V,G,bc
2457344.9877681,17.0081,0.0712,13.3831,0.0045,17.5818,1.46,V,G,bc
2457358.0694908,17.1824,0.0760,13.3721,0.0048,17.5109,1.41,V,G,bc
2457360.0354436,17.1251,0.0560,13.3757,0.0036,17.8428,1.39,V,G,bc
2457362.0624109,17.2083,0.0588,13.3704,0.0037,17.7890,1.35,V,G,bc
2457365.0514413,17.1340,0.0485,13.3751,0.0031,17.9976,1.45,V,G,bc
2457367.8998963,16.8644,0.0579,13.3924,0.0037,17.8056,1.68,V,B,bc
2457370.0071303,17.2840,0.0543,13.3657,0.0034,17.8756,1.41,V,G,bc
2457378.0743832,16.6688,0.1177,13.4050,0.0077,17.0355,1.49,V,G,bc
2457380.8933791,17.0854,0.1423,13.3782,0.0091,16.8294,1.73,V,G,bc
2457388.0636606,17.3502,0.0736,13.3615,0.0046,17.5456,1.37,V,G,bc
2457388.9606508,17.1275,0.0488,13.3755,0.0031,17.9906,1.54,V,G,bc
2457389.8705067,17.2192,0.0526,13.3697,0.0033,17.9094,1.56,V,G,bc
2457391.977123,16.7982,0.0576,13.3966,0.0037,17.8109,1.38,V,G,bc
2457394.906632,17.0508,0.0427,13.3804,0.0027,18.1351,1.52,V,G,bc
