# ASAS-SN SkyPatrol ID: 661430160947
# AllWISE AGN Catalog: WISEA J084137.88+545506.6
# GLADE HyperLEDA: 3134791
# GLADE 2MASS Extended Source Catalog: 08413787+5455069


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456601.061225,2.4141,0.0675,15.5029,0.0304,17.6394,2.70,V,G,bd
2456632.0174568,2.2589,0.0675,15.5750,0.0325,17.6387,1.47,V,B,bd
2456641.9149414,2.2199,0.1069,15.5939,0.0523,17.1403,2.49,V,G,bd
2456648.974533,2.0186,0.0819,15.6971,0.0441,17.4297,1.82,V,G,bd
2456655.9002903,2.2668,0.0386,15.5712,0.0185,18.2460,1.92,V,G,bd
2456675.8133232,2.0922,0.1389,15.6583,0.0722,16.8554,1.78,V,G,bc
2456675.8661027,2.3922,0.0911,15.5128,0.0414,17.3136,2.39,V,G,bd
2456676.9028017,2.4517,0.1073,15.4861,0.0476,17.1355,2.39,V,G,bc
2456676.9249491,2.3970,0.0770,15.5106,0.0349,17.4965,2.03,V,G,bd
2456677.9499781,2.1708,0.0658,15.6182,0.0329,17.6675,2.35,V,G,bd
2456678.9520271,2.5132,0.0538,15.4592,0.0233,17.8855,2.77,V,G,bd
2456683.9190319,2.1978,0.0622,15.6048,0.0308,17.7280,2.56,V,G,bc
2456700.8888546,2.1977,0.1171,15.6049,0.0579,17.0412,1.45,V,G,bd
2456701.8401272,2.7365,0.2406,15.3668,0.0956,16.2593,1.47,V,G,bc
2456730.8059135,2.3753,0.0988,15.5205,0.0452,17.2260,1.67,V,G,bd
2456730.8127311,2.5290,0.1593,15.4524,0.0685,16.7067,2.20,V,B,bc
2456736.8310992,2.2597,0.0531,15.5746,0.0255,17.8993,1.43,V,G,bd
2456736.833732,2.1592,0.0881,15.6241,0.0444,17.3495,1.39,V,G,bc
2456741.8108696,2.2090,0.0752,15.5993,0.0370,17.5222,1.61,V,G,bc
2456741.829624,2.3552,0.0569,15.5297,0.0263,17.8240,1.61,V,G,bd
2456757.7649106,1.9134,0.1229,15.7552,0.0698,16.9886,1.58,V,G,bc
2456757.7810103,2.4797,0.0775,15.4738,0.0340,17.4887,1.53,V,G,bd
2456758.7316574,2.2713,0.1449,15.5691,0.0693,16.8096,1.56,V,G,bc
2456767.7910602,2.3587,0.0763,15.5281,0.0352,17.5054,1.72,V,B,bc
2456770.7883013,2.2933,0.0683,15.5586,0.0324,17.6260,1.51,V,G,bd
2456788.756808,2.1879,0.0905,15.6097,0.0450,17.3205,1.66,V,B,bd
2456800.7392953,2.0725,0.1890,15.6686,0.0991,16.5212,2.27,V,G,bd
2456905.1403976,2.8275,0.2868,15.3313,0.1102,16.0685,1.77,V,B,bc
2456908.1280636,2.3801,0.0661,15.5183,0.0302,17.6621,1.93,V,G,bc
2456910.1400325,2.6112,0.3179,15.4177,0.1323,15.9568,1.74,V,B,bd
2456911.139242,3.0932,0.2022,15.2338,0.0710,16.4480,1.86,V,B,bc
2456912.14221,2.2257,0.3485,15.5911,0.1702,15.8570,1.73,V,B,bc
2456919.1065609,2.4351,0.1181,15.4935,0.0527,17.0319,1.73,V,B,bc
2456920.1255591,2.3467,0.1036,15.5336,0.0480,17.1737,1.64,V,G,bc
2456924.1115715,2.6414,0.0858,15.4052,0.0353,17.3782,1.57,V,G,bc
2456924.1307515,2.2908,0.0553,15.5598,0.0262,17.8563,1.67,V,G,bd
2456932.1008754,2.3508,0.0695,15.5317,0.0321,17.6079,1.72,V,G,bc
2456933.0820859,2.2915,0.0921,15.5595,0.0437,17.3013,2.10,V,G,bc
2456933.0942238,2.3086,0.0705,15.5514,0.0332,17.5923,2.16,V,G,bd
2456936.0922798,2.1219,0.0843,15.6430,0.0432,17.3980,1.74,V,G,bc
2456936.1097692,2.3004,0.0544,15.5553,0.0257,17.8741,1.71,V,B,bd
2456939.0845286,2.0581,0.3132,15.6761,0.1654,15.9727,1.59,V,B,bc
2456939.1110793,2.4842,0.1711,15.4718,0.0749,16.6294,1.60,V,B,bd
