# ASAS-SN SkyPatrol ID: 85899999044
# ATLAS-REFCAT2: 162891271780631660
# Gaia DR2: 918111764179975680
# TESS Input Catalog (TIC): 801941108
# GLADE 2MASS Extended Source Catalog: 08284278+4544333
# GLADE SDSS-DR12 QSO Catalog: 082842.73+454433.2


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455937.9872744,1.3445,0.0913,16.1384,0.0738,17.3107,4.16,V,G,ba
2455972.026527,1.1209,0.0612,16.3359,0.0594,17.7454,2.09,V,G,ba
2455985.8643226,1.2585,0.0355,16.2101,0.0306,18.3374,2.14,V,G,ba
2456221.1271834,1.4028,0.0386,16.0923,0.0299,18.2466,2.41,V,G,ba
2456227.0868413,1.3486,0.0305,16.1351,0.0245,18.5034,2.32,V,G,ba
2456231.0354727,1.0722,0.0995,16.3840,0.1009,17.2179,2.45,V,G,ba
2456235.0759675,1.3903,0.0741,16.1020,0.0579,17.5376,2.17,V,G,ba
2456238.1006679,1.1771,0.0471,16.2828,0.0435,18.0307,2.17,V,G,ba
2456244.0593416,1.3158,0.0352,16.1618,0.0291,18.3466,2.02,V,G,ba
2456259.0610648,1.3268,0.0791,16.1528,0.0648,17.4675,2.11,V,B,ba
2456316.9181385,1.3548,0.0780,16.1301,0.0626,17.4821,2.06,V,G,ba
2456319.8682957,1.0524,0.1609,16.4043,0.1662,16.6960,2.22,V,G,ba
2456324.9247119,1.1208,0.0741,16.3360,0.0718,17.5382,2.29,V,G,ba
2456328.8596462,1.1814,0.0340,16.2788,0.0313,18.3825,2.50,V,G,ba
2456338.7747809,1.1585,0.0431,16.3000,0.0405,18.1252,2.30,V,G,ba
2456350.7767859,0.9988,0.0767,16.4611,0.0835,17.5005,2.35,V,G,ba
2456355.8844426,1.2565,0.0431,16.2119,0.0373,18.1253,2.01,V,G,ba
2456359.8288328,1.1780,0.0306,16.2819,0.0283,18.4970,2.02,V,G,ba
2456381.7992207,1.2585,0.0359,16.2101,0.0310,18.3244,2.08,V,G,ba
2456391.7303118,1.2055,0.0648,16.2569,0.0584,17.6838,2.88,V,G,ba
2456405.7707503,1.3302,0.0904,16.1500,0.0739,17.3215,2.01,V,G,ba
2456412.7600425,1.0938,0.0538,16.3624,0.0535,17.8854,2.80,V,B,ba
2456537.1343877,0.5231,0.1594,16.7062,99.9990,16.7062,1.98,V,G,ba
2456544.1315068,1.4628,0.0763,16.0468,0.0567,17.5054,2.17,V,G,ba
2456556.0926741,0.7680,0.2220,16.3466,99.9990,16.3466,1.79,V,G,ba
2456558.114047,0.7875,0.1789,16.5807,99.9990,16.5807,2.08,V,G,ba
2456576.0360881,1.2720,0.0528,16.1986,0.0451,17.9065,2.21,V,G,ba
2456590.0679258,1.1306,0.1064,16.3265,0.1023,17.1448,2.25,V,B,bd
2456593.0682142,1.2077,0.0706,16.2548,0.0636,17.5899,2.08,V,B,bd
2456640.8617182,1.6514,0.1788,15.9152,0.1177,16.5812,1.90,V,B,bd
2456641.8562114,0.8287,0.1987,16.4668,99.9990,16.4668,2.69,V,G,bd
