# ASAS-SN SkyPatrol ID: 180388692569
# ATLAS-REFCAT2: 134531157170285809
# Gaia DR2: 674793036409477888
# TESS Input Catalog (TIC): 62705018
# GLADE HyperLEDA: 21632


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456598.0425756,3.4503,0.0434,15.1151,0.0137,18.1193,2.65,V,G,bd
2456601.0387983,3.4105,0.0643,15.1277,0.0205,17.6925,2.45,V,G,bd
2456631.9922821,3.5126,0.0577,15.0957,0.0178,17.8097,1.47,V,B,bd
2456637.8662219,3.4964,0.1540,15.1007,0.0479,16.7434,3.03,V,G,bd
2456641.8394572,3.5205,0.1401,15.0933,0.0433,16.8462,3.15,V,G,bd
2456642.9698981,3.6774,0.1045,15.0459,0.0309,17.1643,1.53,V,G,bd
2456652.8115184,3.3904,0.0379,15.1342,0.0122,18.2645,1.73,V,G,bd
2456656.8996335,3.3298,0.0563,15.1537,0.0184,17.8364,1.58,V,G,bd
2456676.7500302,3.4306,0.0576,15.1214,0.0182,17.8122,1.56,V,G,bd
2456677.9228999,3.4407,0.0702,15.1182,0.0222,17.5961,2.51,V,G,bd
2456730.7527061,3.5086,0.1335,15.0970,0.0413,16.8989,1.89,V,G,bd
2456736.7972981,3.3493,0.0597,15.1474,0.0194,17.7726,1.47,V,G,bd
2456741.7994267,3.4298,0.0497,15.1216,0.0157,17.9720,1.53,V,G,bd
2456759.7734064,3.2539,0.1012,15.1788,0.0338,17.1991,2.51,V,G,bd
2456771.7592563,3.5096,0.0580,15.0966,0.0180,17.8029,2.10,V,G,bd
2456788.7337406,2.9067,0.3760,15.3013,0.1406,15.7744,1.99,V,B,bd
2456899.1388556,4.0165,0.3147,14.9502,0.0852,15.9675,2.10,V,G,bd
2456903.1388749,3.2670,0.2008,15.1744,0.0668,16.4553,1.72,V,G,bd
2456905.130132,3.3312,0.0788,15.1533,0.0257,17.4707,1.65,V,B,bd
2456911.1320422,3.1955,0.1889,15.1984,0.0643,16.5219,1.78,V,B,bd
2456912.1291714,2.8772,0.1079,15.3124,0.0407,17.1302,1.64,V,B,bd
2456914.1242651,3.7945,0.1094,15.0119,0.0314,17.1144,1.72,V,G,bd
2456915.1211391,3.3334,0.0957,15.1526,0.0312,17.2606,1.59,V,G,bd
2456923.1115534,3.2072,0.0716,15.1945,0.0243,17.5753,1.63,V,G,bd
2456924.105671,3.4889,0.0764,15.1030,0.0238,17.5052,1.62,V,G,bd
2456925.1039831,3.3974,0.0636,15.1319,0.0204,17.7029,2.05,V,G,bd
2456933.0613714,3.3055,0.0716,15.1617,0.0235,17.5757,1.87,V,G,bd
2456936.0852284,3.4330,0.0589,15.1206,0.0187,17.7866,1.66,V,G,bd
2456940.0833965,3.6943,0.1324,15.0410,0.0390,16.9077,1.57,V,B,bd
2456961.0311004,3.5906,0.0618,15.0719,0.0187,17.7356,1.66,V,G,bd
2456968.0097089,3.4790,0.1917,15.1061,0.0599,16.5060,1.61,V,G,bd
2456971.0284424,3.5868,0.0993,15.0730,0.0301,17.2201,1.72,V,G,bd
2456977.9786213,3.5057,0.0510,15.0979,0.0158,17.9442,1.90,V,G,bd
2456980.0119151,3.6266,0.0721,15.0610,0.0216,17.5682,1.58,V,G,bd
2456982.0135992,3.3968,0.0538,15.1321,0.0172,17.8858,1.69,V,G,bd
2456984.0078239,3.5914,0.0572,15.0716,0.0173,17.8191,1.58,V,G,bd
2456987.006279,3.5790,0.0596,15.0754,0.0181,17.7741,1.52,V,G,bd
2456989.0037031,3.3062,0.0535,15.1615,0.0176,17.8914,1.45,V,G,bd
2456990.9791015,3.3992,0.0610,15.1314,0.0195,17.7487,1.48,V,G,bd
2456992.9208534,3.4960,0.0490,15.1008,0.0152,17.9878,1.54,V,G,bd
2456993.9209531,3.4658,0.0565,15.1103,0.0177,17.8327,1.63,V,G,bd
2456997.9867386,3.6079,0.1552,15.0667,0.0468,16.7352,1.69,V,B,bd
2457003.8643487,3.7920,0.0864,15.0126,0.0248,17.3712,1.44,V,G,bd
2457006.9787214,3.4975,0.0732,15.1004,0.0227,17.5515,1.65,V,G,bd
2457007.9703678,3.4608,0.0821,15.1118,0.0258,17.4271,1.60,V,B,bd
2457008.973209,3.3405,0.0633,15.1503,0.0206,17.7089,1.63,V,G,bd
2457012.9667134,3.4720,0.0380,15.1083,0.0119,18.2643,1.49,V,G,bd
2457017.9430121,3.5537,0.0577,15.0831,0.0177,17.8088,1.58,V,G,bd
2457020.9495023,3.3816,0.0579,15.1370,0.0186,17.8051,1.51,V,G,bd
2457023.8418072,3.4298,0.0861,15.1216,0.0273,17.3747,1.68,V,G,bd
2457030.9324081,3.6959,0.1496,15.0405,0.0440,16.7748,1.44,V,G,bd
2457032.9236516,3.2681,0.0798,15.1740,0.0265,17.4580,1.84,V,G,bd
2457034.9222061,3.4087,0.0612,15.1283,0.0195,17.7447,1.44,V,G,bd
2457036.7752411,3.3370,0.0759,15.1514,0.0247,17.5117,1.49,V,G,bd
2457037.9231124,3.3103,0.0565,15.1601,0.0185,17.8327,1.42,V,G,bd
2457039.9440433,3.5230,0.0639,15.0925,0.0197,17.6986,1.53,V,G,bd
2457041.9254494,3.4235,0.0598,15.1236,0.0190,17.7715,1.49,V,G,bd
2457042.9071944,3.3704,0.0570,15.1406,0.0184,17.8230,1.45,V,G,bd
2457044.9222878,3.5935,0.0467,15.0710,0.0141,18.0389,1.47,V,G,bd
2457046.9098454,3.4185,0.0568,15.1252,0.0181,17.8268,1.51,V,G,bd
2457048.9106646,3.5060,0.0432,15.0978,0.0134,18.1248,1.64,V,G,bd
2457049.9031053,3.5326,0.0764,15.0896,0.0235,17.5050,1.55,V,G,bd
2457051.8913945,3.2472,0.0791,15.1810,0.0265,17.4673,1.63,V,G,bd
2457060.9801506,3.3507,0.0757,15.1470,0.0246,17.5143,2.44,V,B,bd
2457062.9517701,3.2243,0.0732,15.1887,0.0247,17.5514,2.53,V,G,bd
2457065.9184769,3.3961,0.0675,15.1323,0.0216,17.6383,1.63,V,G,bd
2457069.8745819,3.5459,0.0437,15.0855,0.0134,18.1108,1.62,V,G,bd
2457071.8685326,3.6674,0.0540,15.0489,0.0160,17.8817,1.48,V,G,bd
2457076.7415364,3.4732,0.0658,15.1079,0.0206,17.6669,1.50,V,G,bd
2457077.8504108,3.6887,0.0654,15.0426,0.0193,17.6730,1.57,V,G,bd
2457091.8038386,3.3696,0.0401,15.1408,0.0129,18.2040,1.49,V,G,bd
2457095.882522,3.5001,0.0615,15.0996,0.0191,17.7396,1.61,V,G,bd
2457098.8798246,3.5203,0.0631,15.0933,0.0195,17.7125,1.52,V,G,bd
2457099.8242811,3.4006,0.0517,15.1309,0.0165,17.9285,1.64,V,G,bd
2457101.8118965,3.4413,0.0834,15.1180,0.0264,17.4091,1.53,V,G,bd
2457102.8368174,3.4941,0.0764,15.1014,0.0238,17.5053,1.63,V,G,bd
2457104.8270566,3.4140,0.0751,15.1266,0.0239,17.5226,1.68,V,B,bd
2457105.8518286,3.5221,0.0831,15.0928,0.0257,17.4131,1.56,V,G,bd
2457112.8421326,3.4246,0.1068,15.1233,0.0339,17.1407,1.48,V,G,bd
2457113.8097016,3.6415,0.1205,15.0566,0.0360,17.0099,1.47,V,G,bd
2457114.8368454,3.0721,0.1431,15.2412,0.0506,16.8235,1.51,V,G,bd
2457116.8282706,3.1675,0.2267,15.2080,0.0778,16.3237,1.54,V,G,bd
2457118.8253916,3.6147,0.2386,15.0646,0.0718,16.2680,1.46,V,B,bd
2457119.7575145,3.5329,0.0728,15.0895,0.0224,17.5576,1.48,V,G,bd
2457124.788585,3.4437,0.0732,15.1172,0.0231,17.5506,1.49,V,G,bd
2457126.7666363,3.3066,0.0648,15.1613,0.0213,17.6831,1.58,V,G,bd
2457128.769306,3.5585,0.0798,15.0816,0.0244,17.4571,1.46,V,B,bd
2457130.775621,3.4303,0.0754,15.1214,0.0239,17.5191,1.51,V,G,bd
2457131.7573036,3.4834,0.0571,15.1048,0.0178,17.8203,1.66,V,G,bd
2457132.7577486,3.6355,0.0929,15.0584,0.0278,17.2922,1.63,V,G,bd
2457134.7626136,3.4583,0.0674,15.1126,0.0212,17.6410,1.60,V,G,bd
2457144.7417795,3.2159,0.1129,15.1915,0.0382,17.0807,1.84,V,G,bd
2457277.1408657,4.0195,0.1427,14.9493,0.0386,16.8259,1.58,V,G,bd
2457278.1295049,3.3338,0.0971,15.1524,0.0317,17.2446,1.53,V,G,bd
2457285.1067412,3.3765,0.0789,15.1386,0.0254,17.4699,1.80,V,G,bd
2457289.0978557,3.5762,0.0815,15.0762,0.0248,17.4345,1.68,V,G,bd
2457291.1077119,3.4633,0.0510,15.1111,0.0160,17.9440,1.66,V,G,bd
2457298.0765792,3.2018,0.0667,15.1963,0.0226,17.6518,1.64,V,G,bd
2457299.0724114,3.5954,0.0844,15.0704,0.0255,17.3970,1.59,V,G,bd
2457304.1031716,3.4836,0.0530,15.1047,0.0165,17.9018,1.43,V,G,bd
2457306.0795019,3.5085,0.0493,15.0970,0.0153,17.9794,1.50,V,G,bd
2457309.0436679,3.5682,0.0590,15.0787,0.0180,17.7845,1.44,V,G,bd
2457310.0543153,3.3853,0.0757,15.1358,0.0243,17.5144,1.61,V,G,bd
2457311.0879132,3.4680,0.0483,15.1096,0.0151,18.0022,1.51,V,G,bd
2457314.0668874,3.3630,0.0536,15.1429,0.0173,17.8896,1.45,V,G,bd
2457317.0222055,3.2644,0.0696,15.1753,0.0232,17.6056,1.49,V,G,bd
2457318.073392,3.3542,0.0647,15.1458,0.0210,17.6846,1.46,V,G,bd
2457319.0196364,3.5065,0.0540,15.0976,0.0167,17.8807,1.48,V,G,bd
2457321.0113356,3.2397,0.0902,15.1835,0.0303,17.3244,1.45,V,G,bd
2457323.0104586,3.4971,0.1561,15.1005,0.0485,16.7288,1.60,V,G,bd
2457324.0252263,3.6425,0.1219,15.0563,0.0364,16.9975,1.52,V,G,bd
2457344.9459858,3.4325,0.0746,15.1207,0.0236,17.5302,1.49,V,G,bd
2457353.9833,3.9580,0.1390,14.9661,0.0382,16.8550,1.48,V,G,bd
2457359.099959,3.6201,0.0573,15.0630,0.0172,17.8170,1.50,V,G,bd
2457359.9447023,3.3688,0.0527,15.1411,0.0170,17.9070,1.47,V,G,bd
2457362.0738727,3.4887,0.0532,15.1031,0.0166,17.8967,1.48,V,G,bd
2457364.0360392,3.3117,0.0746,15.1597,0.0245,17.5302,1.44,V,G,bd
2457365.9152481,3.4354,0.0494,15.1198,0.0156,17.9789,1.58,V,G,bd
2457366.9155075,3.4290,0.0583,15.1219,0.0185,17.7987,1.63,V,G,bd
2457368.9502271,3.3609,0.0552,15.1436,0.0179,17.8571,1.47,V,G,bd
2457370.9619316,3.4148,0.0473,15.1264,0.0151,18.0249,1.51,V,G,bd
2457374.8916973,3.5922,0.0578,15.0714,0.0175,17.8078,1.73,V,G,bd
2457380.8459576,3.8298,0.1411,15.0019,0.0400,16.8387,1.63,V,G,bd
2457386.0881819,3.6531,0.0820,15.0531,0.0244,17.4273,1.52,V,G,bd
2457386.9865794,3.4264,0.0631,15.1227,0.0200,17.7127,1.60,V,G,bd
2457387.9185267,3.4421,0.0654,15.1177,0.0207,17.6730,1.47,V,G,bd
2457388.9227393,3.4748,0.0519,15.1075,0.0162,17.9242,1.49,V,G,bd
2457390.9311967,3.5297,0.0385,15.0904,0.0119,18.2483,1.62,V,G,bd
2457395.0429072,3.5035,0.0516,15.0985,0.0160,17.9303,1.50,V,G,bd
2457396.8147706,3.5741,0.0569,15.0769,0.0173,17.8250,1.52,V,G,bd
2457397.903886,3.5494,0.0452,15.0844,0.0138,18.0743,1.55,V,G,bd
2457399.8805083,3.6047,0.0807,15.0676,0.0243,17.4450,1.47,V,G,bd
2457401.8166166,3.6314,0.0542,15.0596,0.0162,17.8765,1.56,V,G,bd
2457402.9514909,3.5871,0.0477,15.0729,0.0145,18.0156,1.59,V,G,bd
2457404.7722517,3.3412,0.0571,15.1500,0.0186,17.8207,1.54,V,G,bd
2457405.8844207,3.5802,0.0629,15.0750,0.0191,17.7154,1.42,V,G,bd
2457407.7966759,3.4867,0.0990,15.1037,0.0309,17.2229,1.58,V,G,bd
2457413.9937508,3.5755,0.0848,15.0764,0.0258,17.3911,1.51,V,G,bd
2457414.7877429,3.5186,0.0457,15.0939,0.0141,18.0615,1.63,V,G,bd
2457418.0069199,3.3217,0.0568,15.1564,0.0186,17.8257,1.51,V,G,bd
2457420.0000625,3.4318,0.0553,15.1210,0.0175,17.8559,1.52,V,G,bd
2457420.9927017,3.6641,0.0521,15.0499,0.0155,17.9200,1.52,V,G,bd
2457422.9935955,3.4594,0.0544,15.1123,0.0171,17.8741,1.50,V,G,bd
2457424.9866421,3.5587,0.0512,15.0816,0.0156,17.9398,1.49,V,G,bd
2457427.9650426,3.4506,0.0422,15.1150,0.0133,18.1483,1.51,V,G,bd
2457429.7898595,3.4029,0.0480,15.1302,0.0153,18.0103,1.46,V,G,bd
2457430.8085218,3.3985,0.0480,15.1316,0.0153,18.0102,1.66,V,G,bd
2457431.8034568,3.4921,0.0487,15.1021,0.0152,17.9925,2.38,V,G,bd
2457432.752083,3.4160,0.0478,15.1260,0.0152,18.0131,1.52,V,G,bd
2457433.7447127,3.3391,0.0613,15.1507,0.0199,17.7444,1.58,V,G,bd
2457434.7489448,3.3403,0.0758,15.1503,0.0247,17.5131,1.47,V,G,bd
2457440.884567,3.1842,0.1353,15.2023,0.0462,16.8838,1.59,V,G,bd
2457442.8973191,3.5853,0.0976,15.0735,0.0296,17.2382,1.58,V,G,bd
2457443.7997257,3.4282,0.0710,15.1221,0.0225,17.5840,1.53,V,G,bd
2457445.7366262,3.3592,0.0474,15.1442,0.0153,18.0228,1.64,V,G,bd
2457448.8710171,3.4945,0.0548,15.1013,0.0170,17.8655,1.56,V,G,bd
2457450.9031311,3.5341,0.0486,15.0891,0.0150,17.9953,1.47,V,G,bd
2457452.7803025,3.4514,0.0492,15.1148,0.0155,17.9834,1.76,V,G,bd
2457454.7810434,3.4176,0.0411,15.1255,0.0131,18.1777,1.54,V,G,bd
2457458.8748951,3.4517,0.0514,15.1147,0.0162,17.9356,1.50,V,G,bd
2457461.7557473,3.3713,0.0815,15.1403,0.0263,17.4349,1.51,V,B,bd
2457462.7369331,3.3790,0.0539,15.1378,0.0173,17.8829,1.71,V,G,bd
2457467.8351639,3.3220,0.0910,15.1563,0.0298,17.3151,1.47,V,G,bd
2457471.8563136,3.0471,0.0996,15.2501,0.0355,17.2172,1.49,V,G,bd
2457475.8425032,3.4225,0.0491,15.1239,0.0156,17.9837,1.46,V,G,bd
2457477.7707085,3.1970,0.0586,15.1979,0.0199,17.7919,1.56,V,G,bd
2457478.8238652,3.4833,0.0567,15.1048,0.0177,17.8280,1.48,V,G,bd
2457480.824388,3.3851,0.0594,15.1358,0.0191,17.7776,1.74,V,G,bd
2457481.8167382,3.4376,0.0456,15.1192,0.0144,18.0657,1.69,V,G,bd
2457482.8170991,3.4020,0.0514,15.1304,0.0164,17.9340,1.58,V,G,bd
2457487.7769937,3.3526,0.0635,15.1463,0.0206,17.7060,1.55,V,G,bd
2457490.7740249,3.4291,0.0534,15.1218,0.0169,17.8927,1.69,V,G,bd
2457495.7636381,3.2510,0.0814,15.1797,0.0272,17.4364,1.53,V,G,bd
2457499.768532,3.5173,0.0878,15.0943,0.0271,17.3532,1.65,V,G,bd
2457503.7583497,3.3176,0.0476,15.1577,0.0156,18.0194,1.60,V,G,bd
2457507.7445923,3.4477,0.0602,15.1160,0.0190,17.7641,1.81,V,G,bd
2457509.7413794,3.3417,0.0603,15.1499,0.0196,17.7610,1.78,V,G,bd
2457640.1428476,4.2549,0.3383,14.8876,0.0864,15.8891,1.66,V,G,bd
2457646.1222014,3.6615,0.0527,15.0506,0.0156,17.9080,1.47,V,G,bd
2457661.081962,3.5743,0.0521,15.0768,0.0158,17.9209,1.47,V,G,bd
2457667.8860596,3.4667,0.0731,15.1100,0.0229,17.5519,1.34,V,G,bh
2457669.0919834,3.4859,0.0475,15.1040,0.0148,18.0198,1.43,V,G,bd
2457671.0682979,3.4627,0.0589,15.1113,0.0185,17.7870,1.49,V,G,bd
2457672.0638475,3.5193,0.0571,15.0936,0.0176,17.8203,1.51,V,G,bd
2457676.0394473,3.4758,0.1041,15.1071,0.0325,17.1692,1.54,V,G,bd
2457678.1060878,3.5320,0.1027,15.0897,0.0316,17.1831,1.49,V,G,bd
2457687.1412406,3.7453,0.0656,15.0261,0.0190,17.6708,1.46,V,G,bd
2457687.8456806,3.4564,0.0480,15.1132,0.0151,18.0090,1.41,V,G,bh
2457689.0820241,3.5187,0.0606,15.0938,0.0187,17.7558,1.51,V,G,bd
2457691.0813089,3.4952,0.1047,15.1011,0.0325,17.1630,1.65,V,B,bd
2457692.0809363,3.3777,0.0527,15.1382,0.0170,17.9082,1.64,V,G,bd
2457696.0040586,3.4918,0.0539,15.1022,0.0168,17.8828,1.49,V,G,bd
2457697.8224145,3.5421,0.0585,15.0866,0.0180,17.7939,1.38,V,G,bh
2457700.0938697,3.3866,0.0536,15.1354,0.0172,17.8898,1.49,V,G,bd
2457701.1090471,3.2198,0.0709,15.1902,0.0239,17.5862,1.52,V,B,bd
2457702.0402206,3.6243,0.1097,15.0617,0.0329,17.1118,1.54,V,G,bd
2457703.1272031,3.4206,0.0462,15.1245,0.0147,18.0500,1.53,V,G,bd
2457704.963927,3.6363,0.0918,15.0581,0.0275,17.3047,1.63,V,G,bd
2457707.0431354,3.3302,0.0869,15.1536,0.0284,17.3648,1.58,V,G,bd
2457719.157622,3.5807,0.1248,15.0749,0.0379,16.9719,1.78,V,B,bd
2457724.7566986,3.5612,0.0473,15.0808,0.0144,18.0262,1.40,V,G,bh
2457727.7665794,3.4276,0.0506,15.1223,0.0160,17.9524,1.42,V,G,bh
2457730.8022473,3.4028,0.0450,15.1302,0.0144,18.0790,1.82,V,G,bh
