# ASAS-SN SkyPatrol ID: 249108434891
# ATLAS-REFCAT2: 139931200874196770
# Gaia DR2: 874308870198356352
# TESS Input Catalog (TIC): 171524685
# Million Quasars Catalog (MILLIQUAS): IC 486
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: IC 486


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455940.9631756,10.1286,0.0788,13.9459,0.0085,17.4714,3.03,V,G,bb
2455946.9413538,10.0904,0.0503,13.9500,0.0054,17.9577,2.57,V,G,bb
2455979.8691474,9.8083,0.0403,13.9808,0.0045,18.1990,1.78,V,B,bb
2456002.8223192,9.7345,0.0292,13.9890,0.0033,18.5487,2.17,V,G,bb
2456222.1006672,10.0512,0.0461,13.9542,0.0050,18.0530,2.03,V,G,bb
2456227.0943542,9.6853,0.0398,13.9945,0.0045,18.2122,2.06,V,G,bb
2456234.0870803,10.0369,0.0828,13.9558,0.0090,17.4178,2.05,V,G,bb
2456244.0554197,9.9410,0.0496,13.9662,0.0054,17.9744,2.61,V,G,bb
2456251.0282325,9.7379,0.0428,13.9886,0.0048,18.1339,1.74,V,G,bb
2456258.0873148,9.3544,0.0938,14.0322,0.0109,17.2822,2.09,V,B,bb
2456269.0333805,9.8987,0.0527,13.9708,0.0058,17.9075,2.05,V,B,bb
2456273.0190676,9.9357,0.0428,13.9668,0.0047,18.1329,2.27,V,G,bb
2456277.0475845,10.0279,0.0445,13.9568,0.0048,18.0910,2.34,V,G,bb
2456300.9760632,9.5925,0.0371,14.0050,0.0042,18.2888,2.18,V,G,bb
2456302.976476,9.9400,0.0415,13.9663,0.0045,18.1671,2.21,V,G,bb
2456313.946303,9.8614,0.0587,13.9749,0.0065,17.7913,1.76,V,G,bb
2456315.9355692,9.6350,0.0553,14.0001,0.0062,17.8547,2.08,V,G,bb
2456323.9145624,10.1796,0.0658,13.9405,0.0070,17.6675,2.00,V,G,bb
2456327.9069785,9.8753,0.0394,13.9734,0.0043,18.2236,2.09,V,G,bb
2456337.8150957,9.9019,0.0440,13.9705,0.0048,18.1032,2.13,V,G,bb
2456348.833615,9.8381,0.0930,13.9775,0.0103,17.2911,3.26,V,B,bb
2456381.7461747,9.8633,0.0465,13.9747,0.0051,18.0433,1.81,V,B,bb
2456390.7333604,9.8139,0.0401,13.9802,0.0044,18.2038,2.09,V,G,bb
2456395.7578405,9.5552,0.0351,14.0092,0.0040,18.3477,1.83,V,G,bb
2456402.765054,9.7634,0.0703,13.9858,0.0078,17.5946,1.77,V,B,bb
2456406.763195,9.7682,0.0619,13.9852,0.0069,17.7325,1.84,V,G,bb
2456408.7608172,9.8154,0.0956,13.9800,0.0106,17.2609,1.81,V,G,bb
