# ASAS-SN SkyPatrol ID: 661427312292
# Million Quasars Catalog (MILLIQUAS): PGC 2371975
# AllWISE AGN Catalog: WISEA J111547.45+502405.7
# Chandra Source Catalog: 2CXO J111547.4+502405
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 2371975
# GLADE HyperLEDA: 2371975
# GLADE 2MASS Extended Source Catalog: 11154749+5024063


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456239.1411887,0.6715,0.0411,16.8922,0.0665,18.1775,2.05,V,G,ba
2456317.9705788,0.6785,0.0853,16.8808,0.1366,17.3851,1.81,V,G,ba
2456320.0582779,0.9296,0.1050,16.5391,0.1227,17.1598,1.99,V,G,ba
2456328.0350251,0.7343,0.0321,16.7951,0.0474,18.4477,2.05,V,G,ba
2456338.8780688,0.6347,0.0369,16.9534,0.0632,18.2950,2.18,V,G,ba
2456348.9320604,0.6790,0.1126,16.8800,0.1802,17.0835,1.82,V,G,ba
2456355.013459,0.3256,0.0545,17.6780,0.1819,17.8717,2.06,V,G,ba
2456359.8479748,0.5894,0.0351,17.0338,0.0647,18.3499,2.10,V,G,ba
2456360.8520655,0.6207,0.0293,16.9776,0.0513,18.5451,1.82,V,G,ba
2456371.979387,0.6513,0.0348,16.9253,0.0581,18.3573,1.73,V,G,ba
2456388.7375624,0.6814,0.1098,16.8762,0.1751,17.1110,3.32,V,B,ba
2456389.7330814,0.6599,0.0478,16.9110,0.0787,18.0147,3.15,V,G,ba
2456393.8475975,0.6911,0.0312,16.8609,0.0491,18.4762,2.20,V,G,ba
2456403.8085174,0.4391,0.0750,17.3533,0.1856,17.5251,2.16,V,G,ba
2456409.8300131,0.7443,0.0805,16.7804,0.1175,17.4485,2.18,V,G,ba
2456436.7866177,0.8539,0.0807,16.6313,0.1027,17.4455,2.79,V,G,ba
2456445.7865945,0.6296,0.0470,16.9622,0.0812,18.0319,2.85,V,G,ba
2456451.7743088,0.6222,0.0397,16.9749,0.0694,18.2150,2.00,V,G,ba
2456458.7629549,0.6670,0.0528,16.8994,0.0860,17.9061,2.03,V,G,ba
