# ASAS-SN SkyPatrol ID: 60130814577
# ATLAS-REFCAT2: 159302513359149979
# Gaia DR2: 1357324774955900672
# TESS Input Catalog (TIC): 115351624
# Million Quasars Catalog (MILLIQUAS): PGC 2205540
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 2205540
# GLADE HyperLEDA: 2205540
# GLADE 2MASS Extended Source Catalog: 16452060+4245280


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456231.6947904,1.3720,0.1042,16.1164,0.0826,17.1673,2.90,V,G,ba
2456235.693569,1.5559,0.0991,15.9798,0.0692,17.2223,2.98,V,G,ba
2456339.0305926,1.3765,0.0336,16.1128,0.0265,18.3974,2.18,V,B,ba
2456350.0710951,1.3748,0.1075,16.1142,0.0850,17.1341,2.20,V,G,ba
2456355.149486,1.4234,0.0573,16.0765,0.0438,17.8165,2.06,V,G,ba
2456358.1465978,1.4966,0.0576,16.0220,0.0419,17.8108,1.83,V,G,ba
2456359.1435752,1.3613,0.0318,16.1249,0.0254,18.4571,1.80,V,G,ba
2456371.039485,1.2611,0.0423,16.2079,0.0365,18.1456,1.74,V,G,ba
2456381.0469904,1.4615,0.1011,16.0478,0.0752,17.2007,2.02,V,G,ba
2456388.1195842,1.3193,0.0551,16.1589,0.0454,17.8599,2.11,V,B,ba
2456392.9588079,1.2995,0.0358,16.1754,0.0299,18.3286,2.17,V,G,ba
2456397.0049866,1.3546,0.0375,16.1303,0.0301,18.2776,2.11,V,G,ba
2456400.0063137,1.3999,0.0365,16.0945,0.0284,18.3055,2.19,V,G,ba
2456402.9877873,1.6217,0.0526,15.9348,0.0353,17.9094,2.13,V,G,ba
2456405.9794944,1.3488,0.0935,16.1349,0.0753,17.2856,2.01,V,G,ba
2456411.9978316,1.4202,0.0701,16.0789,0.0537,17.5975,2.10,V,G,ba
2456416.98556,1.1652,0.0508,16.2937,0.0474,17.9484,2.18,V,G,ba
2456451.8993869,1.2961,0.0385,16.1782,0.0323,18.2492,2.22,V,G,ba
2456459.8832345,1.3585,0.0483,16.1271,0.0386,18.0030,2.07,V,G,ba
2456462.8843111,1.3672,0.0651,16.1202,0.0518,17.6779,2.04,V,G,ba
2456471.8787939,1.2199,0.0489,16.2440,0.0436,17.9894,2.45,V,G,ba
2456474.9784812,1.3914,0.0526,16.1011,0.0411,17.9097,2.00,V,G,ba
2456478.8505347,1.4188,0.0371,16.0800,0.0285,18.2875,1.99,V,G,ba
2456479.8502859,1.2945,0.0394,16.1795,0.0331,18.2226,1.86,V,G,ba
2456483.8892199,1.3171,0.0304,16.1607,0.0251,18.5064,2.36,V,G,ba
2456486.8512716,1.3121,0.0367,16.1648,0.0304,18.3015,2.08,V,G,ba
2456489.8327334,1.3291,0.0530,16.1509,0.0433,17.9022,1.76,V,G,ba
2456490.8352022,1.3017,0.0620,16.1735,0.0518,17.7316,1.76,V,G,ba
2456493.8401683,1.6941,0.0860,15.8874,0.0552,17.3765,2.10,V,G,ba
2456511.8065057,1.2384,0.0421,16.2276,0.0369,18.1525,2.11,V,G,ba
2456512.818605,1.3380,0.0399,16.1436,0.0324,18.2100,2.11,V,G,ba
2456518.7691906,1.3149,0.0549,16.1626,0.0454,17.8640,1.73,V,B,ba
2456521.7955709,1.5328,0.0841,15.9960,0.0596,17.4006,2.00,V,G,ba
2456523.7912012,1.1879,0.0897,16.2728,0.0821,17.3305,2.07,V,G,ba
2456527.7825217,1.5197,0.0696,16.0054,0.0498,17.6052,1.76,V,G,ba
2456533.8122725,1.2025,0.0436,16.2596,0.0394,18.1127,1.74,V,G,ba
2456536.7638616,1.3850,0.0439,16.1062,0.0345,18.1062,1.82,V,B,ba
2456537.7345268,1.3515,0.0283,16.1328,0.0227,18.5839,1.77,V,G,ba
2456538.7341177,1.3602,0.0477,16.1258,0.0381,18.0157,1.68,V,G,ba
2456548.7453018,1.3358,0.0610,16.1455,0.0496,17.7491,1.84,V,G,ba
2456559.71279,1.5077,0.1008,16.0140,0.0727,17.2033,1.78,V,G,ba
2456570.7085657,1.5115,0.0820,16.0113,0.0590,17.4278,1.73,V,G,ba
2456676.1076481,1.3435,0.1249,16.1392,0.1011,16.9706,1.74,V,G,ba
2456678.1219773,1.4189,0.0787,16.0799,0.0603,17.4720,2.05,V,G,ba
2456682.114605,1.0918,0.1310,16.3644,0.1304,16.9196,1.74,V,G,ba
2456683.1074829,1.2051,0.0591,16.2572,0.0533,17.7833,1.78,V,G,ba
2456701.0822552,1.0647,0.1312,16.3917,0.1339,16.9176,1.66,V,G,ba
2456730.1064421,1.2740,0.0553,16.1969,0.0472,17.8547,2.06,V,G,ba
2456735.0590688,0.9933,0.1666,16.4670,0.1823,16.6583,2.14,V,B,ba
2456736.020747,1.3400,0.1096,16.1420,0.0889,17.1125,1.69,V,G,ba
2456737.0126639,1.0406,0.1123,16.4165,0.1173,17.0863,1.71,V,B,ba
2456740.0327634,1.4239,0.1285,16.0761,0.0981,16.9397,1.66,V,B,ba
2456742.0329105,1.6336,0.0687,15.9269,0.0457,17.6203,1.79,V,G,ba
2456751.0513793,1.2308,0.0451,16.2343,0.0398,18.0770,1.69,V,G,ba
2456756.9168643,1.4243,0.1338,16.0758,0.1021,16.8959,3.32,V,G,ba
2456757.9812649,1.3987,0.0911,16.0954,0.0708,17.3135,1.75,V,G,ba
2456758.995344,1.6820,0.0939,15.8952,0.0607,17.2805,2.17,V,G,ba
2456760.0011603,1.5886,0.0970,15.9572,0.0664,17.2450,2.22,V,G,ba
2456783.957633,1.5329,0.0497,15.9960,0.0353,17.9704,2.04,V,G,ba
2456785.9544746,1.1199,0.0541,16.3369,0.0525,17.8787,2.16,V,G,ba
2456788.9418089,1.3936,0.0739,16.0994,0.0577,17.5403,2.34,V,G,ba
2456794.9336249,1.4457,0.1178,16.0596,0.0886,17.0343,1.66,V,B,ba
2456798.0281655,1.5467,0.0581,15.9863,0.0408,17.8025,2.06,V,G,ba
2456801.051527,1.3020,0.0444,16.1732,0.0371,18.0927,1.89,V,G,ba
2456804.0352477,1.4239,0.0890,16.0761,0.0679,17.3388,2.05,V,B,ba
2456807.9681842,1.4966,0.0488,16.0220,0.0354,17.9915,2.39,V,G,ba
2456812.0281394,1.4274,0.0533,16.0734,0.0406,17.8961,1.66,V,G,ba
2456813.9189067,1.0432,0.1082,16.4139,0.1127,17.1270,1.74,V,B,ba
2456814.8963647,1.5523,0.0759,15.9823,0.0532,17.5111,1.65,V,G,ba
2456816.9651698,1.2301,0.0595,16.2349,0.0526,17.7760,1.75,V,G,ba
2456818.9031432,1.2322,0.1006,16.2330,0.0887,17.2060,1.74,V,G,ba
2456819.8989241,1.3979,0.1012,16.0961,0.0787,17.1990,1.81,V,G,ba
2456820.9016829,1.5524,0.1476,15.9823,0.1033,16.7900,1.71,V,G,ba
2456825.0074923,1.2949,0.0703,16.1792,0.0590,17.5956,1.68,V,B,ba
2456826.0135012,-0.0320,0.3004,16.0183,99.9990,16.0183,1.67,V,B,ba
2456827.0029987,1.3864,0.0603,16.1050,0.0473,17.7616,1.66,V,G,ba
2456829.899566,1.3515,0.0514,16.1327,0.0414,17.9343,1.66,V,G,ba
2456832.8209811,1.4944,0.0511,16.0236,0.0372,17.9414,1.79,V,G,ba
2456835.8756331,1.2988,0.0505,16.1759,0.0423,17.9535,2.16,V,G,ba
2456846.8599661,1.4089,0.0895,16.0876,0.0690,17.3333,2.05,V,B,ba
2456848.8639093,1.5599,0.1075,15.9771,0.0749,17.1343,1.85,V,B,ba
2456852.9267862,1.3731,0.1374,16.1155,0.1088,16.8672,3.05,V,B,ba
2456856.9110568,1.3999,0.0480,16.0945,0.0373,18.0096,1.65,V,G,ba
2456867.8415291,1.4319,0.0482,16.0700,0.0366,18.0046,1.62,V,U,ba
2456869.8192242,1.7827,0.1419,15.8321,0.0865,16.8326,1.67,V,B,ba
2456873.8170771,1.3862,0.0566,16.1052,0.0444,17.8310,2.26,V,B,ba
2456874.8284187,1.5216,0.1006,16.0040,0.0719,17.2057,2.38,V,G,ba
2456875.8281043,1.3611,0.0777,16.1250,0.0620,17.4865,2.08,V,G,ba
2456876.8164182,1.4855,0.1036,16.0301,0.0758,17.1744,1.74,V,B,ba
2456881.8206482,1.3236,0.1074,16.1554,0.0882,17.1352,2.02,V,G,ba
2456883.7962416,1.3202,0.0428,16.1582,0.0352,18.1337,1.88,V,G,ba
2456885.7953668,1.3374,0.0438,16.1441,0.0356,18.1092,2.07,V,G,ba
2456887.7993151,1.4886,0.0532,16.0278,0.0388,17.8977,1.76,V,G,ba
2456894.7820508,1.2990,0.0527,16.1758,0.0441,17.9081,2.00,V,G,ba
2456897.7697966,1.3281,0.0414,16.1517,0.0339,18.1701,1.80,V,G,ba
2456899.7825488,1.4795,0.0472,16.0345,0.0346,18.0286,2.20,V,G,ba
2456900.7719786,1.4112,0.0523,16.0858,0.0403,17.9169,1.77,V,G,ba
2456902.7656993,1.1410,0.0567,16.3166,0.0540,17.8281,2.04,V,G,ba
2456904.7677183,1.2856,0.0854,16.1870,0.0722,17.3835,2.06,V,B,ba
2456907.745887,1.5658,0.0829,15.9730,0.0575,17.4164,2.08,V,G,ba
2456909.740449,1.3210,0.1309,16.1575,0.1077,16.9197,2.29,V,G,ba
2456912.7486606,1.1876,0.0542,16.2731,0.0496,17.8767,1.79,V,G,ba
2456913.7407938,1.3305,0.0452,16.1497,0.0369,18.0743,2.02,V,G,ba
2456914.7348946,1.5208,0.0500,16.0046,0.0357,17.9654,2.05,V,G,ba
2456915.7320702,1.5579,0.0463,15.9784,0.0323,18.0475,2.18,V,G,ba
2456917.7299583,1.2779,0.0521,16.1936,0.0443,17.9201,2.33,V,G,ba
2456919.7296071,1.2607,0.0447,16.2082,0.0385,18.0876,2.17,V,G,ba
2456920.7335643,1.4010,0.0381,16.0937,0.0295,18.2611,2.18,V,G,ba
2456923.7117494,1.4322,0.1208,16.0697,0.0917,17.0074,2.36,V,B,ba
2457021.1736788,1.9180,0.2265,15.7526,0.1284,16.3245,1.68,V,G,ba
2457024.1577949,1.3795,0.0481,16.1105,0.0379,18.0062,2.00,V,G,ba
2457032.157287,1.6523,0.0755,15.9146,0.0497,17.5168,1.75,V,G,ba
2457038.1534913,1.3406,0.0466,16.1415,0.0378,18.0405,1.66,V,G,ba
2457040.1484617,1.4273,0.0355,16.0735,0.0270,18.3376,1.66,V,G,ba
2457042.1464677,1.4054,0.0416,16.0903,0.0322,18.1648,1.64,V,G,ba
2457044.1429896,1.2507,0.0430,16.2169,0.0374,18.1284,1.77,V,G,ba
2457046.13519,1.4022,0.0432,16.0927,0.0335,18.1230,1.67,V,G,ba
2457048.1299597,1.2657,0.0510,16.2040,0.0438,17.9432,1.70,V,G,ba
2457050.1300458,1.3874,0.0429,16.1043,0.0336,18.1307,1.68,V,G,ba
2457052.1354508,1.6517,0.0581,15.9150,0.0382,17.8018,1.73,V,G,ba
2457054.1124562,1.5021,0.0496,16.0181,0.0359,17.9730,1.76,V,G,ba
2457055.1187907,1.4754,0.0895,16.0375,0.0660,17.3325,1.65,V,G,ba
2457061.0983455,1.1843,0.0849,16.2761,0.0779,17.3905,1.79,V,G,ba
2457065.111918,1.5112,0.0600,16.0115,0.0431,17.7678,2.03,V,G,ba
2457070.0803683,1.5264,0.0435,16.0006,0.0310,18.1163,2.14,V,G,ba
2457072.0831159,1.3765,0.0361,16.1128,0.0285,18.3174,1.67,V,G,ba
2457077.0700258,1.4230,0.0367,16.0768,0.0280,18.3008,1.65,V,G,ba
2457081.0752485,1.2418,0.0630,16.2247,0.0551,17.7140,1.67,V,G,ba
2457083.0864467,1.3086,0.0479,16.1677,0.0398,18.0107,1.66,V,G,ba
2457092.0126547,1.5806,0.1196,15.9627,0.0822,17.0183,2.00,V,B,ba
2457097.112806,1.3416,0.0420,16.1408,0.0340,18.1539,1.67,V,B,ba
2457100.1162133,1.3710,0.0493,16.1172,0.0391,17.9794,1.62,V,G,ba
2457103.0081654,1.4764,0.0501,16.0367,0.0369,17.9633,1.63,V,G,ba
2457107.0246909,1.2591,0.0314,16.2096,0.0271,18.4686,1.64,V,G,ba
2457110.978571,1.2978,0.0693,16.1768,0.0580,17.6111,1.66,V,G,ba
2457113.9877407,1.2570,0.1001,16.2115,0.0866,17.2111,1.74,V,G,ba
2457114.9463455,1.4650,0.0883,16.0452,0.0655,17.3480,2.04,V,G,ba
2457121.123877,1.3642,0.1623,16.1226,0.1293,16.6868,2.07,V,B,ba
2457122.0645603,1.2827,0.0523,16.1895,0.0444,17.9151,1.80,V,G,ba
2457125.0224992,1.1192,0.0561,16.3375,0.0545,17.8390,2.03,V,B,ba
2457125.9776102,1.3398,0.0464,16.1422,0.0376,18.0467,1.76,V,G,ba
2457130.9280068,1.3382,0.0399,16.1434,0.0324,18.2111,1.67,V,G,ba
2457133.9579809,1.3513,0.0521,16.1329,0.0419,17.9211,1.73,V,G,ba
2457136.9358095,1.3572,0.0370,16.1281,0.0296,18.2920,1.63,V,G,ba
2457144.9094759,0.8704,0.1355,16.6105,0.1692,16.8828,1.84,V,G,ba
2457150.0361073,1.2678,0.1014,16.2021,0.0869,17.1977,1.62,V,G,ba
2457153.9957998,1.3517,0.1127,16.1326,0.0907,17.0821,1.70,V,B,ba
2457155.9132386,1.3471,0.0414,16.1363,0.0334,18.1709,1.81,V,G,ba
2457157.9429144,1.4318,0.0427,16.0701,0.0324,18.1356,2.03,V,G,ba
2457162.9332111,1.3421,0.0408,16.1403,0.0330,18.1860,1.66,V,G,ba
2457165.8204637,1.2898,0.0471,16.1834,0.0397,18.0303,1.66,V,G,ba
2457166.946522,1.2469,0.0403,16.2202,0.0351,18.1987,1.82,V,G,ba
2457171.8513989,1.3863,0.0911,16.1052,0.0714,17.3134,1.66,V,B,ba
2457174.8845222,1.2636,0.1066,16.2058,0.0917,17.1425,1.66,V,G,ba
2457175.9965684,1.4510,0.1540,16.0556,0.1153,16.7437,1.73,V,G,ba
2457181.0177367,1.3336,0.0584,16.1472,0.0476,17.7955,1.69,V,G,ba
2457181.9344453,1.4070,0.0445,16.0890,0.0344,18.0906,1.79,V,G,ba
2457184.9766378,1.4686,0.0391,16.0425,0.0289,18.2326,1.84,V,G,ba
2457189.9549347,1.2539,0.0546,16.2141,0.0473,17.8701,1.72,V,G,ba
2457191.8795044,1.3038,0.0433,16.1718,0.0361,18.1213,1.62,V,G,ba
2457194.951807,1.3091,0.0333,16.1673,0.0276,18.4072,2.11,V,G,ba
2457197.8302322,1.3868,0.0492,16.1047,0.0386,17.9827,1.68,V,G,ba
2457201.8388309,1.4484,0.0840,16.0576,0.0631,17.4012,1.61,V,G,ba
2457204.9318433,1.1084,0.1093,16.3481,0.1072,17.1159,1.61,V,B,ba
2457209.9387178,1.2253,0.0832,16.2392,0.0738,17.4126,1.71,V,G,ba
2457210.8549408,1.4064,0.0378,16.0895,0.0292,18.2677,1.72,V,G,ba
2457216.8985182,1.3089,0.0419,16.1675,0.0348,18.1574,1.76,V,G,ba
2457222.862739,1.3115,0.0348,16.1654,0.0288,18.3584,1.64,V,G,ba
