# ASAS-SN SkyPatrol ID: 163208895902
# ATLAS-REFCAT2: 139122060079289957
# Gaia DR2: 1445315357631689856
# TESS Input Catalog (TIC): 199500236
# Million Quasars Catalog (MILLIQUAS): SDSS J134401.90+255628.3
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J134401.90+255628.3
# GLADE HyperLEDA: 1756077
# GLADE 2MASS Extended Source Catalog: 13440189+2556285


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455963.149408,1.7383,0.0299,15.8595,0.0187,18.5234,2.24,V,G,bb
2455967.1591044,1.9566,0.0780,15.7310,0.0433,17.4822,1.72,V,B,bb
2455972.1123962,1.9640,0.0417,15.7269,0.0231,18.1608,2.06,V,G,bb
2455979.0949849,1.7801,0.0477,15.8337,0.0291,18.0161,2.12,V,G,bb
2455998.0466648,1.6676,0.0811,15.9045,0.0529,17.4393,1.72,V,G,bb
2456000.0409622,2.0770,0.0784,15.6662,0.0410,17.4763,1.66,V,B,bb
2456001.0380937,1.7958,0.0397,15.8241,0.0240,18.2147,1.65,V,G,bb
2456002.0353232,1.7558,0.0491,15.8486,0.0304,17.9838,1.65,V,G,bb
2456003.0340042,1.7480,0.0442,15.8534,0.0275,18.0991,1.98,V,G,bb
2456004.0306824,1.7640,0.0327,15.8435,0.0202,18.4250,2.02,V,G,bb
2456318.1618954,1.7460,0.0281,15.8547,0.0175,18.5890,2.30,V,G,bb
2456324.1527644,1.4374,0.0898,16.0658,0.0679,17.3288,1.97,V,G,bb
2456328.1555171,1.7460,0.0329,15.8547,0.0205,18.4178,2.18,V,G,bb
2456339.0091754,1.7817,0.0206,15.8327,0.0126,18.9264,2.16,V,G,bb
2456380.9632061,1.8545,0.0868,15.7892,0.0509,17.3665,1.97,V,G,bb
2456388.8710985,1.8448,0.0318,15.7949,0.0187,18.4578,1.74,V,B,bb
2456389.8747204,1.8984,0.0324,15.7638,0.0186,18.4360,1.71,V,G,bb
2456392.9455377,1.7828,0.0240,15.8320,0.0146,18.7610,1.80,V,G,bb
2456399.8742399,1.6969,0.0336,15.8857,0.0215,18.3978,1.78,V,G,bb
2456401.9206038,1.7355,0.0432,15.8612,0.0270,18.1245,1.76,V,G,bb
2456406.9012455,1.8144,0.0802,15.8129,0.0480,17.4521,1.76,V,G,bb
2456414.8784685,1.7970,0.0254,15.8234,0.0154,18.6982,1.88,V,G,bb
2456439.8642499,1.8417,0.0514,15.7967,0.0304,17.9342,1.82,V,G,bb
2456448.8355743,1.8012,0.0312,15.8209,0.0188,18.4787,2.04,V,G,bb
2456452.8304694,1.9467,0.0405,15.7365,0.0226,18.1946,1.78,V,G,bb
2456458.821081,1.8496,0.0344,15.7921,0.0202,18.3698,1.82,V,G,bb
2456462.8192142,1.8663,0.0625,15.7823,0.0364,17.7229,2.04,V,G,bb
2456466.8168777,1.7537,0.0986,15.8499,0.0611,17.2280,2.27,V,B,bb
2456473.8289312,1.7361,0.0331,15.8608,0.0207,18.4128,1.81,V,G,bb
2456478.8094671,1.7303,0.0310,15.8645,0.0195,18.4846,2.02,V,G,bb
2456479.7989477,1.8185,0.0306,15.8105,0.0183,18.4972,2.10,V,G,bb
2456484.7913025,1.7760,0.0330,15.8362,0.0202,18.4175,2.30,V,G,bb
2456489.7687961,1.7940,0.0504,15.8252,0.0305,17.9558,2.46,V,G,bb
2456497.7669931,1.6980,0.0652,15.8849,0.0417,17.6767,2.56,V,G,bb
2456513.7390819,2.0254,0.1135,15.6935,0.0609,17.0753,2.79,V,G,bb
2456632.1389168,1.9547,0.0492,15.7321,0.0274,17.9823,2.40,V,B,bb
2456638.1110467,1.8173,0.0381,15.8112,0.0228,18.2586,1.80,V,G,bb
2456644.1077304,1.7594,0.0882,15.8464,0.0545,17.3490,2.06,V,G,bb
2456645.080706,1.9461,0.1055,15.7369,0.0589,17.1538,3.35,V,G,bb
2456649.0685868,1.9896,0.0877,15.7129,0.0479,17.3550,2.04,V,G,bb
2456657.0877862,1.8879,0.0343,15.7698,0.0197,18.3744,2.61,V,G,bb
2456658.0994482,1.8648,0.0351,15.7832,0.0205,18.3485,1.82,V,G,bb
2456659.0937042,1.8586,0.0331,15.7868,0.0194,18.4128,2.56,V,G,bb
2456682.9955798,1.8252,0.0354,15.8065,0.0211,18.3387,1.65,V,G,bb
2456684.0004921,1.7675,0.0352,15.8414,0.0216,18.3470,2.11,V,G,bb
2456700.9401126,2.0488,0.0897,15.6810,0.0476,17.3300,1.64,V,G,bb
2456702.0481903,1.8853,0.0761,15.7714,0.0439,17.5084,1.88,V,G,bb
2456729.8932346,1.8918,0.0914,15.7676,0.0525,17.3096,1.70,V,G,bb
2456734.0591642,2.2066,0.1569,15.6005,0.0773,16.7231,1.70,V,B,bb
2456735.9559107,1.3680,0.0892,16.1196,0.0708,17.3369,1.65,V,G,bb
2456736.9533377,2.0140,0.0677,15.6996,0.0365,17.6359,1.71,V,G,bb
2456740.826616,1.9324,0.0496,15.7445,0.0279,17.9747,1.72,V,G,bb
2456742.0139089,1.8194,0.0270,15.8100,0.0161,18.6345,1.70,V,G,bb
2456752.7878347,1.9057,0.0518,15.7596,0.0295,17.9267,1.86,V,G,bb
2456756.0474207,1.8378,0.0340,15.7991,0.0201,18.3824,2.18,V,G,bb
2456756.7808578,1.9249,0.0756,15.7488,0.0427,17.5166,1.77,V,G,bb
2456757.9059359,1.7955,0.0585,15.8243,0.0354,17.7949,1.73,V,G,bb
2456758.8308946,1.7697,0.0727,15.8400,0.0446,17.5591,1.69,V,G,bb
2456767.9241119,2.0074,0.1333,15.7032,0.0722,16.9005,2.15,V,B,bb
2456770.8984971,1.7853,0.0656,15.8305,0.0399,17.6701,2.08,V,G,bb
2456770.8998633,1.8167,0.1223,15.8116,0.0732,16.9937,2.14,V,G,bb
2456772.939239,1.7068,0.0383,15.8793,0.0244,18.2548,2.13,V,G,bb
2456781.7408508,1.9641,0.0537,15.7269,0.0297,17.8866,2.51,V,G,bb
2456783.7496307,1.9176,0.0452,15.7529,0.0256,18.0749,2.47,V,G,bb
2456784.7726972,1.8151,0.0413,15.8125,0.0248,18.1715,2.00,V,G,bb
2456785.8876229,1.8187,0.0558,15.8104,0.0333,17.8466,1.62,V,G,bb
2456787.8788753,1.6986,0.0687,15.8845,0.0439,17.6206,1.54,V,G,bb
2456794.9899329,1.6591,0.0748,15.9101,0.0490,17.5277,1.86,V,G,bb
2456796.9790723,1.6389,0.0670,15.9234,0.0444,17.6478,1.72,V,G,bb
2456797.8651017,1.7607,0.0337,15.8456,0.0208,18.3932,1.60,V,G,bb
2456798.8591768,1.7631,0.0391,15.8441,0.0241,18.2330,1.84,V,G,bb
2456800.9779573,1.9194,0.0414,15.7519,0.0234,18.1708,1.72,V,G,bb
2456801.9463225,1.7272,0.0409,15.8664,0.0257,18.1835,1.80,V,G,bb
2456802.8530697,1.7864,0.0350,15.8299,0.0213,18.3514,1.66,V,G,bb
2456805.8630693,1.8175,0.0307,15.8111,0.0183,18.4960,1.67,V,G,bb
2456806.8591571,1.8249,0.0307,15.8067,0.0183,18.4934,1.76,V,G,bb
2456807.8581122,1.8301,0.0257,15.8036,0.0152,18.6895,1.83,V,G,bb
2456808.8476413,1.7970,0.0618,15.8234,0.0374,17.7344,1.93,V,B,bb
2456810.8404598,1.6987,0.0317,15.8845,0.0203,18.4606,2.00,V,G,bb
2456811.8581809,1.7902,0.0328,15.8275,0.0199,18.4225,1.59,V,G,bb
2456812.8453163,1.8308,0.0297,15.8032,0.0177,18.5288,1.69,V,G,bb
2456813.8496528,1.6469,0.1085,15.9181,0.0716,17.1243,1.67,V,B,bb
2456814.8354219,1.6625,0.0621,15.9079,0.0406,17.7293,1.85,V,G,bb
2456815.841188,1.7628,0.0643,15.8443,0.0396,17.6925,1.79,V,G,bb
2456816.8286155,1.5548,0.0723,15.9806,0.0505,17.5645,1.65,V,G,bb
2456817.8307148,1.8833,0.0866,15.7725,0.0500,17.3689,1.78,V,G,bb
2456818.8294525,1.7521,0.0661,15.8509,0.0410,17.6617,1.78,V,G,bb
2456819.8355648,1.7106,0.0805,15.8769,0.0512,17.4477,1.57,V,G,bb
2456820.8931068,1.7188,0.1664,15.8717,0.1053,16.6592,1.76,V,G,bb
2456821.8283627,1.8385,0.1099,15.7986,0.0650,17.1095,1.81,V,G,bb
2456822.8306948,1.9644,0.0740,15.7267,0.0409,17.5395,2.00,V,G,bb
2456823.8389088,1.7867,0.0952,15.8296,0.0579,17.2656,2.05,V,B,bb
2456824.8316601,1.8752,0.0492,15.7772,0.0285,17.9829,1.60,V,G,bb
2456825.828797,1.8358,0.0347,15.8002,0.0205,18.3628,1.79,V,B,bb
2456826.8260169,1.7402,0.0347,15.8583,0.0217,18.3616,2.02,V,G,bb
2456827.8182731,1.8170,0.0303,15.8114,0.0181,18.5098,1.74,V,G,bb
2456829.8966107,1.8220,0.0356,15.8084,0.0212,18.3336,2.13,V,G,bb
2456832.8095321,1.8846,0.0341,15.7717,0.0197,18.3795,1.76,V,B,bb
2456834.8292122,1.8428,0.0350,15.7961,0.0207,18.3516,2.01,V,G,bb
2456847.8316508,1.5326,0.1020,15.9962,0.0724,17.1905,1.75,V,B,bb
2456847.8330454,2.1053,0.2259,15.6515,0.1166,16.3274,1.66,V,B,bb
2456848.7915406,1.6878,0.0870,15.8915,0.0560,17.3637,1.71,V,B,bb
2456850.7981996,2.1077,0.1037,15.6503,0.0535,17.1732,1.72,V,B,bb
2456855.7810247,1.8446,0.0285,15.7950,0.0168,18.5751,1.65,V,G,bb
2456856.7822455,1.8040,0.0335,15.8192,0.0202,18.4008,1.72,V,G,bb
2456862.7602228,1.9435,0.0395,15.7383,0.0221,18.2196,1.84,V,G,bb
2456863.7721777,1.7628,0.0360,15.8443,0.0222,18.3225,1.62,V,G,bb
2456864.7664172,1.6505,0.0402,15.9158,0.0265,18.2011,1.69,V,G,bb
2456865.7721085,1.8432,0.0334,15.7959,0.0197,18.4014,1.71,V,G,bb
2456866.7660147,1.7888,0.0373,15.8284,0.0226,18.2839,1.70,V,G,bb
2456867.7675864,1.8091,0.0386,15.8161,0.0232,18.2448,1.59,V,U,bb
2456868.7602828,1.7893,0.0353,15.8281,0.0214,18.3429,1.62,V,G,bb
2456869.7512037,1.8887,0.0713,15.7694,0.0411,17.5790,1.75,V,B,bb
2456873.7441407,1.8644,0.1234,15.7835,0.0719,16.9841,1.99,V,B,bb
2456874.7446327,1.7107,0.1038,15.8768,0.0659,17.1724,2.22,V,B,bb
2456875.7380989,1.2605,0.1624,16.2084,0.1401,16.6856,2.11,V,B,bb
2456983.1597792,2.4471,0.2185,15.4881,0.0970,16.3639,1.75,V,B,bb
2456984.1527045,1.8446,0.0724,15.7950,0.0427,17.5628,1.63,V,G,bb
2456989.1418644,1.9357,0.0395,15.7427,0.0222,18.2195,1.65,V,G,bb
2456992.1536373,1.9948,0.0556,15.7100,0.0303,17.8503,1.64,V,G,bb
2457001.1461875,1.7842,0.0571,15.8312,0.0348,17.8215,2.04,V,G,bb
2457003.1363079,1.8430,0.0624,15.7959,0.0368,17.7249,2.06,V,G,bb
2457004.1332959,1.8054,0.0499,15.8183,0.0300,17.9676,2.05,V,G,bb
2457007.1231513,1.9548,0.0492,15.7320,0.0273,17.9833,2.44,V,G,bb
2457011.1422414,1.7781,0.0372,15.8349,0.0228,18.2850,2.07,V,G,bb
2457019.1120145,1.8098,0.0293,15.8157,0.0176,18.5453,2.05,V,G,bb
2457024.0986834,1.8533,0.0365,15.7899,0.0214,18.3078,1.79,V,G,bb
2457032.116663,1.6734,0.0749,15.9008,0.0486,17.5266,1.70,V,G,bb
2457037.07571,1.8243,0.0468,15.8070,0.0279,18.0366,1.76,V,G,bb
2457039.0662374,1.7607,0.0348,15.8456,0.0215,18.3588,2.23,V,G,bb
2457041.0693586,1.6538,0.0362,15.9136,0.0238,18.3164,1.83,V,G,bb
2457043.0706642,1.8454,0.0322,15.7946,0.0190,18.4423,2.44,V,G,bb
2457045.0686632,1.9243,0.0383,15.7491,0.0216,18.2555,1.63,V,G,bb
2457048.0847917,1.7493,0.0285,15.8526,0.0177,18.5740,1.99,V,G,bb
2457051.0597505,1.7730,0.0344,15.8380,0.0211,18.3713,1.78,V,G,bb
2457054.0552404,1.6879,0.0670,15.8914,0.0432,17.6465,2.41,V,G,bb
2457055.0556093,1.8826,0.0848,15.7729,0.0490,17.3916,2.22,V,G,bb
2457062.0282853,1.9491,0.0865,15.7352,0.0482,17.3703,1.75,V,G,bb
2457070.0277447,1.8653,0.0331,15.7829,0.0193,18.4121,1.96,V,G,bb
2457073.0228102,1.9862,0.0500,15.7147,0.0274,17.9643,1.64,V,B,bb
2457078.0087262,1.8197,0.0350,15.8098,0.0209,18.3517,1.84,V,G,bb
2457080.9945728,1.9137,0.0484,15.7551,0.0275,17.9994,1.65,V,G,bb
2457082.9257107,1.7114,0.0742,15.8764,0.0471,17.5364,1.89,V,G,bb
2457085.0045227,1.5679,0.0815,15.9715,0.0565,17.4350,1.86,V,G,bb
2457095.1089888,1.7965,0.0491,15.8237,0.0297,17.9840,1.83,V,B,bb
2457096.972229,1.7873,0.0325,15.8293,0.0198,18.4330,1.72,V,G,bb
2457099.8697474,1.8492,0.0396,15.7923,0.0233,18.2188,1.85,V,G,bb
2457101.0109451,1.7681,0.0416,15.8410,0.0256,18.1641,1.63,V,G,bb
2457103.9570869,1.8012,0.0378,15.8209,0.0228,18.2700,1.75,V,G,bb
2457106.9291874,1.8086,0.0324,15.8165,0.0195,18.4357,1.73,V,G,bb
2457110.8397862,1.8320,0.0309,15.8025,0.0184,18.4864,1.80,V,G,bb
2457112.0675127,1.8143,0.0301,15.8130,0.0181,18.5143,1.63,V,G,bb
2457112.8484939,1.8031,0.0724,15.8197,0.0436,17.5633,1.60,V,G,bb
2457113.9107934,1.7673,0.1006,15.8415,0.0619,17.2053,1.73,V,G,bb
2457114.8949261,1.9329,0.0937,15.7443,0.0527,17.2826,1.70,V,G,bb
2457121.0694325,1.8965,0.0921,15.7649,0.0528,17.3018,1.90,V,B,bb
2457121.8847141,1.8762,0.0584,15.7766,0.0339,17.7957,1.78,V,G,bb
2457126.0648366,1.7004,0.0469,15.8834,0.0300,18.0349,1.66,V,G,bb
2457131.0211038,1.7908,0.0427,15.8272,0.0259,18.1375,1.73,V,G,bb
2457131.944424,1.8181,0.0401,15.8108,0.0240,18.2036,1.84,V,G,bb
2457137.75871,1.6865,0.0544,15.8923,0.0351,17.8724,2.17,V,G,bb
2457138.8241192,1.9514,0.0568,15.7339,0.0317,17.8261,1.76,V,G,bb
2457148.9524133,1.5773,0.0833,15.9650,0.0574,17.4104,1.69,V,B,bb
2457149.8174606,1.7770,0.0398,15.8355,0.0243,18.2138,1.87,V,G,bb
2457156.8153759,1.9418,0.0337,15.7392,0.0188,18.3942,1.99,V,G,bb
2457161.8242438,1.8545,0.0811,15.7892,0.0475,17.4395,1.73,V,B,bb
2457162.9030598,1.8524,0.0327,15.7905,0.0192,18.4273,1.74,V,G,bb
2457164.8169975,1.7552,0.0425,15.8489,0.0263,18.1418,1.91,V,G,bb
2457167.8339138,1.8895,0.0490,15.7689,0.0282,17.9879,2.50,V,G,bb
2457171.9124969,1.8329,0.0728,15.8019,0.0432,17.5564,1.66,V,G,bb
2457175.9231184,1.6041,0.1174,15.9467,0.0796,17.0377,1.74,V,B,bb
2457177.8982342,1.4789,0.0731,16.0350,0.0538,17.5520,1.74,V,G,bb
2457178.8083276,1.8583,0.0617,15.7870,0.0361,17.7360,1.83,V,G,bb
2457181.7738684,1.8664,0.0310,15.7823,0.0181,18.4835,1.75,V,G,bb
2457184.7825398,1.6938,0.0445,15.8876,0.0285,18.0925,1.78,V,G,bb
2457189.8495696,1.8283,0.0411,15.8047,0.0244,18.1778,1.72,V,G,bb
2457193.8537495,1.8926,0.0384,15.7671,0.0221,18.2504,1.71,V,G,bb
2457195.8124409,1.8255,0.0343,15.8063,0.0204,18.3756,1.83,V,G,bb
2457197.8583335,1.7055,0.0559,15.8802,0.0356,17.8436,2.09,V,G,bb
2457201.8482083,1.6025,0.1044,15.9478,0.0708,17.1660,1.81,V,G,bb
2457205.8346103,1.5908,0.1013,15.9557,0.0692,17.1980,1.72,V,G,bb
2457208.7668228,1.7707,0.0326,15.8394,0.0200,18.4287,1.99,V,G,bb
2457215.8005749,1.7373,0.0386,15.8601,0.0241,18.2464,2.30,V,G,bb
2457221.7883553,1.7485,0.0487,15.8531,0.0302,17.9946,1.98,V,G,bb
2457227.7478358,1.8021,0.0703,15.8203,0.0424,17.5952,2.34,V,B,bb
2457233.7507081,1.9051,0.0858,15.7600,0.0489,17.3788,2.26,V,G,bb
2457235.7421558,1.5287,0.1820,15.9990,0.1294,16.5620,2.25,V,G,bb
2457354.1612268,1.9096,0.1530,15.7574,0.0871,16.7508,2.01,V,G,bb
2457356.1537254,1.7430,0.0556,15.8566,0.0346,17.8506,2.09,V,G,bb
2457360.146538,1.8677,0.0624,15.7815,0.0363,17.7242,1.86,V,G,bb
2457369.1356828,1.8826,0.0365,15.7729,0.0211,18.3059,1.66,V,G,bb
2457375.1185904,1.9169,0.0551,15.7533,0.0312,17.8597,2.09,V,B,bb
