# ASAS-SN SkyPatrol ID: 661431122709
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 9-19-087
# GLADE HyperLEDA: 35391
# GLADE 2MASS Extended Source Catalog: 11291611+5131235


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456239.1411887,2.9606,0.0661,15.2813,0.0243,17.6611,2.05,V,G,ba
2456317.9705788,3.1619,0.1333,15.2099,0.0458,16.8999,1.81,V,G,ba
2456320.0582779,3.1685,0.1445,15.2077,0.0496,16.8125,1.99,V,G,ba
2456328.0350251,2.9714,0.0522,15.2774,0.0191,17.9175,2.05,V,G,ba
2456337.8697988,3.0965,0.0536,15.2326,0.0188,17.8900,2.23,V,G,bb
2456338.8780688,3.1064,0.0562,15.2291,0.0197,17.8386,2.18,V,G,ba
2456348.9320604,3.2823,0.1637,15.1693,0.0542,16.6775,1.82,V,G,ba
2456355.013459,3.1111,0.0745,15.2275,0.0260,17.5317,2.06,V,G,ba
2456359.8479748,3.1428,0.0478,15.2165,0.0165,18.0137,2.10,V,G,ba
2456360.8520655,3.0895,0.0508,15.2351,0.0179,17.9485,1.82,V,G,ba
2456371.9243831,3.1814,0.0577,15.2032,0.0197,17.8085,2.16,V,G,bb
2456371.979387,3.0676,0.0479,15.2428,0.0170,18.0107,1.73,V,G,ba
2456387.7857881,2.9939,0.0495,15.2692,0.0180,17.9748,1.70,V,G,bb
2456388.7375624,3.2910,0.1824,15.1665,0.0603,16.5596,3.32,V,B,ba
2456389.7330814,2.9105,0.0723,15.2999,0.0270,17.5651,3.15,V,G,ba
2456392.8271669,3.2272,0.0363,15.1877,0.0122,18.3122,1.79,V,G,bb
2456393.8475975,2.9161,0.0484,15.2978,0.0180,17.9997,2.20,V,G,ba
2456397.8420778,2.9585,0.0574,15.2821,0.0211,17.8157,1.79,V,B,bb
2456403.8085174,3.2316,0.1024,15.1862,0.0344,17.1867,2.16,V,G,ba
2456409.8300131,3.1537,0.1307,15.2127,0.0450,16.9216,2.18,V,G,ba
2456409.852293,2.4096,0.1244,15.5049,0.0561,16.9752,1.62,V,G,bb
2456416.8527382,3.1833,0.0570,15.2026,0.0195,17.8228,1.72,V,G,bb
2456436.7866177,3.1539,0.1314,15.2127,0.0453,16.9162,2.79,V,G,ba
2456444.7998641,3.0738,0.0499,15.2406,0.0176,17.9676,1.99,V,B,bb
2456445.7865945,3.1843,0.0752,15.2022,0.0257,17.5214,2.85,V,G,ba
2456450.7968805,3.0889,0.0578,15.2353,0.0203,17.8070,1.81,V,G,bb
2456451.7743088,3.1950,0.0619,15.1986,0.0210,17.7338,2.00,V,G,ba
2456456.7794377,3.1021,0.0623,15.2306,0.0218,17.7266,2.13,V,G,bb
2456458.7629549,3.0587,0.0811,15.2460,0.0288,17.4396,2.03,V,G,ba
2456463.7496196,2.6187,0.1841,15.4146,0.0764,16.5500,2.00,V,G,ba
