# ASAS-SN SkyPatrol ID: 68720497337
# ATLAS-REFCAT2: 165431636638505391
# Gaia DR2: 831469762583140480
# TESS Input Catalog (TIC): 24023676
# Million Quasars Catalog (MILLIQUAS): CGCG 241-35
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 241-35
# GLADE 2MASS Extended Source Catalog: 10543925+4751438


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456590.1261449,3.7302,0.1985,15.0305,0.0578,16.4679,1.69,V,G,bc
2456594.105162,4.4924,0.2075,14.8286,0.0502,16.4198,1.53,V,B,bc
2456616.023804,2.5794,0.2126,15.4310,0.0896,16.3937,2.24,V,G,bc
2456625.0027936,3.3039,0.0476,15.1622,0.0157,18.0175,1.49,V,G,bc
2456630.9773391,3.4654,0.0649,15.1104,0.0204,17.6820,1.73,V,G,bc
2456638.013223,3.2511,0.0511,15.1797,0.0171,17.9421,1.62,V,G,bc
2456639.007675,3.2208,0.1052,15.1899,0.0355,17.1569,1.44,V,G,bc
2456652.0280744,3.2905,0.0539,15.1666,0.0178,17.8828,1.57,V,G,bc
2456674.9821002,3.1651,0.1263,15.2088,0.0434,16.9592,1.52,V,G,bc
2456676.9609353,3.7288,0.0989,15.0309,0.0288,17.2239,2.31,V,G,bc
2456751.7832093,3.3037,0.0619,15.1623,0.0204,17.7326,1.73,V,G,bc
2456787.8374709,2.8368,0.0932,15.3277,0.0357,17.2889,2.21,V,G,bc
2456797.8366322,3.0748,0.0566,15.2403,0.0200,17.8300,1.51,V,G,bc
2456800.7865282,3.4578,0.0739,15.1128,0.0232,17.5412,1.36,V,G,bc
2456804.7823271,3.3288,0.0455,15.1540,0.0149,18.0677,1.68,V,G,bc
2456815.7696986,3.3582,0.0821,15.1445,0.0266,17.4258,1.35,V,G,bc
2456818.7592892,3.3218,0.1209,15.1564,0.0396,17.0063,1.44,V,G,bc
2456819.7479668,2.9295,0.1282,15.2928,0.0476,16.9430,1.58,V,B,bc
2456936.1464934,3.2844,0.2873,15.1686,0.0951,16.0665,2.06,V,B,bc
2456938.1361075,4.0445,0.1550,14.9426,0.0417,16.7367,1.86,V,B,bc
2456979.0933739,3.2633,0.0695,15.1756,0.0231,17.6081,1.40,V,G,bc
2456980.0967827,3.3743,0.0715,15.1393,0.0230,17.5769,1.55,V,G,bc
2456982.0853013,3.2714,0.0710,15.1730,0.0236,17.5835,1.73,V,G,bc
2456985.0722556,3.1694,0.0707,15.2073,0.0242,17.5890,1.74,V,G,bc
2456994.0455882,3.2321,0.0756,15.1861,0.0254,17.5154,1.74,V,G,bc
2457034.9930829,3.3702,0.0653,15.1406,0.0211,17.6746,1.36,V,G,bc
2457036.0013505,3.2699,0.0684,15.1734,0.0227,17.6251,1.34,V,G,bc
2457036.9903965,3.2132,0.0659,15.1924,0.0223,17.6644,1.35,V,G,bc
2457100.9812968,3.2453,0.0527,15.1816,0.0176,17.9079,1.48,V,G,bc
2457102.9436381,3.3489,0.0698,15.1475,0.0227,17.6021,1.52,V,G,bc
2457118.9349597,3.5353,0.1059,15.0887,0.0326,17.1504,1.37,V,G,bc
2457125.9165839,3.4367,0.0708,15.1194,0.0224,17.5875,1.36,V,G,bc
2457144.8565123,2.9767,0.1221,15.2754,0.0446,16.9958,1.53,V,G,bc
2457161.7779934,3.3130,0.1367,15.1592,0.0449,16.8727,1.65,V,B,bc
2457163.7921483,3.1905,0.0575,15.2001,0.0196,17.8124,1.59,V,G,bc
2457167.7630693,3.2775,0.0682,15.1709,0.0226,17.6280,1.55,V,G,bc
2457339.0901112,3.7511,0.1362,15.0244,0.0395,16.8766,1.61,V,B,bc
2457343.0659462,3.4057,0.0686,15.1293,0.0219,17.6208,1.42,V,G,bc
2457350.0500349,3.1754,0.0929,15.2053,0.0318,17.2922,1.39,V,G,bc
2457357.046523,3.2504,0.1046,15.1799,0.0350,17.1634,1.40,V,G,bc
2457359.0659106,3.3971,0.0684,15.1320,0.0219,17.6241,1.40,V,G,bc
2457361.0848709,3.5736,0.0697,15.0770,0.0212,17.6040,1.36,V,G,bc
2457366.0023646,3.0158,0.0670,15.2613,0.0242,17.6470,1.64,V,G,bc
2457367.0028178,3.3251,0.0488,15.1553,0.0160,17.9903,1.69,V,G,bc
2457396.918996,3.3624,0.0715,15.1432,0.0231,17.5768,1.39,V,G,bc
2457398.9497969,3.3472,0.0457,15.1481,0.0149,18.0616,1.41,V,G,bc
2457401.9319746,3.4219,0.0547,15.1241,0.0174,17.8682,1.46,V,G,bc
2457428.006527,3.3852,0.0445,15.1358,0.0143,18.0926,1.55,V,G,bc
2457433.0577332,3.3370,0.0554,15.1514,0.0180,17.8542,1.37,V,G,bc
2457434.0236146,3.0921,0.0531,15.2341,0.0187,17.8993,1.47,V,G,bc
2457438.8149695,3.4847,0.1452,15.1044,0.0453,16.8075,1.35,V,G,bc
2457443.9127473,3.3086,0.0828,15.1607,0.0272,17.4179,1.37,V,G,bc
2457445.9361868,3.5252,0.0911,15.0918,0.0281,17.3136,1.45,V,G,bc
2457446.9022286,3.0881,0.0625,15.2356,0.0220,17.7219,1.38,V,G,bc
2457447.8284633,3.3180,0.0387,15.1576,0.0127,18.2424,1.35,V,G,bc
2457450.9523915,3.3730,0.0501,15.1397,0.0161,17.9638,1.38,V,G,bc
2457453.968484,3.1892,0.0487,15.2006,0.0166,17.9931,1.35,V,G,bc
2457466.7918314,3.3717,0.1398,15.1402,0.0451,16.8488,1.38,V,G,bc
2457470.7412264,3.5480,0.1491,15.0848,0.0457,16.7785,1.42,V,B,bc
2457478.9247517,3.1213,0.0578,15.2239,0.0201,17.8070,1.39,V,G,bc
2457494.8401465,3.0768,0.0956,15.2395,0.0338,17.2614,1.41,V,G,bc
2457509.7681371,3.2582,0.0555,15.1773,0.0185,17.8509,1.64,V,G,bc
2457513.8003478,3.3864,0.0497,15.1354,0.0159,17.9723,1.69,V,G,bc
2457524.7696633,2.8033,0.1557,15.3406,0.0604,16.7318,2.15,V,B,bc
2457679.1333823,3.4729,0.1442,15.1080,0.0451,16.8147,1.64,V,G,bc
2457688.1548975,2.0234,0.3648,15.6946,0.1960,15.8071,1.52,V,G,bc
2457695.1253965,3.3493,0.0616,15.1474,0.0200,17.7380,1.56,V,G,bc
2457708.0770612,3.9098,0.1489,14.9794,0.0414,16.7800,2.00,V,G,bc
2457735.9926738,3.3075,0.1681,15.1610,0.0553,16.6482,2.07,V,G,bc
2457736.9891502,3.4013,0.1302,15.1307,0.0416,16.9260,1.39,V,G,bc
2457758.9286312,3.3455,0.0502,15.1486,0.0163,17.9600,1.57,V,G,bc
