# ASAS-SN SkyPatrol ID: 68720557868
# ATLAS-REFCAT2: 167391634338569336
# Gaia DR2: 832960601562940672
# TESS Input Catalog (TIC): 318251336
# Million Quasars Catalog (MILLIQUAS): MS 10507+4946
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MS 10507+4946
# GLADE HyperLEDA: 2344785
# GLADE 2MASS Extended Source Catalog: 10534409+4929557
# GLADE SDSS-DR12 QSO Catalog: 105344.13+492956.0


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456328.0350297,1.2841,0.0269,16.1882,0.0228,18.6363,2.12,V,G,bb
2456338.8797692,1.2806,0.0473,16.1912,0.0402,18.0250,2.14,V,G,bb
2456348.9320604,1.3939,0.0887,16.0992,0.0692,17.3426,2.97,V,B,bb
2456371.979387,1.2003,0.0318,16.2616,0.0288,18.4550,2.00,V,G,bb
2456388.7360899,1.2225,0.0585,16.2416,0.0520,17.7942,2.06,V,B,bb
2456389.7330814,1.2203,0.0570,16.2436,0.0508,17.8223,2.03,V,G,bb
2456403.8085522,1.5233,0.0902,16.0029,0.0643,17.3249,1.87,V,G,bb
2456436.7866177,1.5676,0.1209,15.9717,0.0838,17.0061,2.11,V,G,bb
2456445.7865945,1.3416,0.0518,16.1407,0.0420,17.9256,2.08,V,G,bb
2456451.7743088,1.2142,0.0345,16.2491,0.0308,18.3691,1.79,V,G,bb
2456458.7629549,1.2540,0.0488,16.2140,0.0423,17.9922,2.12,V,G,bb
2456596.1160385,1.5751,0.1385,15.9665,0.0956,16.8586,2.60,V,B,bb
2456598.1202436,1.3551,0.0487,16.1299,0.0390,17.9942,2.13,V,G,bb
2456601.116519,1.1511,0.0388,16.3070,0.0366,18.2409,1.76,V,G,bb
2456615.0458658,1.3259,0.1254,16.1535,0.1028,16.9664,2.59,V,B,bb
2456619.0345709,1.5541,0.1091,15.9811,0.0763,17.1180,1.66,V,G,bb
2456625.0251512,1.2740,0.0392,16.1969,0.0335,18.2282,2.56,V,G,bb
2456632.0618801,1.1059,0.0378,16.3505,0.0372,18.2673,2.29,V,B,bb
2456633.9913176,1.1442,0.0742,16.3136,0.0705,17.5361,2.89,V,G,bb
2456638.9827277,1.3683,0.0975,16.1193,0.0774,17.2402,1.78,V,G,bb
2456642.9727106,1.2269,0.1371,16.2378,0.1215,16.8697,1.99,V,G,bb
2456648.9503151,1.1241,0.1092,16.3328,0.1056,17.1169,1.98,V,B,bb
2456655.9345687,1.0816,0.0435,16.3746,0.0437,18.1167,2.04,V,G,bb
2456658.9266368,1.2074,0.0482,16.2551,0.0434,18.0054,2.15,V,G,bb
2456683.0148213,1.3304,0.0417,16.1498,0.0341,18.1623,1.73,V,G,bb
2456684.0636358,1.2678,0.0390,16.2022,0.0335,18.2335,2.03,V,G,bb
2456701.850304,1.1530,0.1617,16.3052,0.1525,16.6905,1.70,V,G,bb
2456735.7944037,1.2223,0.0608,16.2418,0.0540,17.7534,1.72,V,G,bb
2456736.9711349,1.4082,0.0695,16.0881,0.0537,17.6068,1.75,V,G,bb
2456752.7769476,1.1985,0.0360,16.2632,0.0326,18.3222,1.69,V,G,bb
2456759.7984419,1.9617,0.2349,15.7282,0.1302,16.2850,2.26,V,B,bb
2456781.8325221,1.3304,0.0886,16.1499,0.0724,17.3444,1.62,V,B,bb
2456785.8201899,1.3041,0.0647,16.1715,0.0539,17.6847,1.75,V,G,bb
2456788.8156862,0.8381,0.0797,16.6515,0.1033,17.4592,1.75,V,B,bb
2456797.8008312,1.2185,0.0467,16.2452,0.0417,18.0391,1.67,V,G,bb
2456800.7919476,1.2034,0.0325,16.2588,0.0293,18.4342,1.75,V,G,bb
2456802.8011267,1.1893,0.0340,16.2716,0.0311,18.3837,1.69,V,G,bb
2456806.8030135,1.3717,0.0413,16.1166,0.0327,18.1735,1.76,V,G,bb
2456810.7843245,1.6482,0.0520,15.9173,0.0343,17.9227,1.73,V,G,bb
2456814.7712144,1.2079,0.0712,16.2547,0.0641,17.5813,1.67,V,G,bb
2456819.7648808,1.1873,0.0845,16.2734,0.0774,17.3953,1.71,V,G,bb
2456823.754426,1.6875,0.0663,15.8917,0.0427,17.6580,1.78,V,G,bb
2456827.7583946,1.2367,0.0613,16.2291,0.0538,17.7443,1.74,V,G,bb
2456961.1417116,1.2605,0.0460,16.2084,0.0396,18.0563,2.21,V,G,bb
2456962.1274916,1.1963,0.0535,16.2652,0.0486,17.8919,2.02,V,G,bb
2456968.119205,1.5076,0.2404,16.0141,0.1733,16.2600,1.99,V,G,bb
2456979.1050261,1.0285,0.0490,16.4292,0.0518,17.9867,2.09,V,G,bb
2456980.11126,0.9273,0.0686,16.5418,0.0804,17.6215,2.06,V,G,bb
2456981.096415,1.2163,0.0456,16.2472,0.0407,18.0653,2.15,V,G,bb
2456982.1361586,1.2962,0.0406,16.1781,0.0340,18.1920,1.77,V,G,bb
2456983.1228272,1.2174,0.0356,16.2462,0.0318,18.3333,1.70,V,G,bb
2456984.0652186,1.0912,0.0393,16.3650,0.0391,18.2276,1.70,V,G,bb
2456985.1283848,1.2699,0.0416,16.2004,0.0356,18.1635,1.71,V,B,bb
2456990.0476148,1.1309,0.0469,16.3262,0.0451,18.0351,1.77,V,B,bb
2456992.0808811,1.2941,0.0344,16.1799,0.0289,18.3695,1.69,V,G,bb
2456994.0610599,1.1625,0.0554,16.2963,0.0518,17.8542,1.74,V,G,bb
2456998.0375097,1.3368,0.1057,16.1446,0.0859,17.1526,1.79,V,B,bb
2457000.0349387,1.5470,0.1100,15.9861,0.0773,17.1090,1.85,V,G,bb
2457002.0409378,1.2674,0.1022,16.2025,0.0876,17.1891,2.01,V,G,bb
2457003.0620941,1.1064,0.0694,16.3500,0.0682,17.6094,2.13,V,G,bb
2457004.0620361,1.5399,0.0670,15.9910,0.0473,17.6469,1.97,V,G,bb
2457005.0658441,1.3680,0.0714,16.1196,0.0567,17.5782,2.36,V,G,bb
2457008.0681926,1.3323,0.0447,16.1483,0.0365,18.0868,2.11,V,B,bb
2457013.0056997,1.2139,0.0414,16.2494,0.0370,18.1709,2.20,V,G,bb
2457018.0487684,1.2777,0.0320,16.1937,0.0272,18.4502,2.18,V,G,bb
2457019.136351,1.0884,0.0509,16.3678,0.0508,17.9463,2.19,V,G,bb
2457021.0386612,1.2828,0.0341,16.1894,0.0289,18.3804,2.15,V,G,bb
2457023.9655242,1.3130,0.0671,16.1641,0.0556,17.6450,1.79,V,G,bb
2457030.9635952,1.4138,0.0906,16.0838,0.0697,17.3194,1.83,V,G,bb
2457032.0071268,1.3153,0.0925,16.1622,0.0765,17.2968,1.76,V,G,bb
2457033.0085383,1.0697,0.0738,16.3867,0.0750,17.5420,1.66,V,G,bb
2457035.0129391,1.0874,0.0478,16.3688,0.0478,18.0144,2.04,V,B,bb
2457036.0213841,1.1177,0.0730,16.3390,0.0710,17.5536,2.04,V,B,bb
2457037.0073784,1.2623,0.0444,16.2068,0.0382,18.0936,1.79,V,G,bb
2457039.0163564,1.1437,0.0373,16.3140,0.0355,18.2822,2.12,V,G,bb
2457042.0703337,1.1732,0.0432,16.2864,0.0401,18.1226,2.16,V,G,bb
2457043.9869107,1.2464,0.0509,16.2206,0.0444,17.9455,1.62,V,G,bb
2457047.0318318,1.1996,0.0289,16.2622,0.0262,18.5583,1.68,V,G,bb
2457050.0018319,1.1085,0.0356,16.3479,0.0349,18.3337,1.68,V,G,bb
2457051.9895973,1.0826,0.0556,16.3736,0.0558,17.8496,2.03,V,G,bb
2457053.9806604,1.2573,0.0694,16.2111,0.0600,17.6084,2.21,V,G,bb
2457055.9756562,1.4180,0.1391,16.0806,0.1066,16.8540,1.81,V,G,bb
2457062.1010003,1.3632,0.0832,16.1234,0.0664,17.4117,1.99,V,B,bb
2457064.9543658,1.2489,0.0521,16.2185,0.0454,17.9197,2.02,V,G,bb
2457068.9642743,1.0825,0.0356,16.3737,0.0357,18.3351,1.88,V,G,bb
2457070.9592207,1.1249,0.0394,16.3320,0.0381,18.2238,1.78,V,G,bb
2457072.9027036,1.2261,0.0427,16.2384,0.0378,18.1374,1.74,V,G,bb
2457076.9462374,1.2241,0.0372,16.2403,0.0330,18.2863,1.85,V,G,bb
2457078.8388711,1.2701,0.0592,16.2002,0.0507,17.7816,1.76,V,G,bb
2457080.8165689,1.2155,0.0409,16.2479,0.0366,18.1828,1.72,V,G,bb
2457084.9263543,1.2003,0.1333,16.2615,0.1207,16.9002,2.00,V,G,bb
2457096.7567857,1.2591,0.0490,16.2096,0.0423,17.9870,1.70,V,G,bb
2457097.9683352,1.3833,0.0513,16.1075,0.0403,17.9377,1.75,V,G,bb
2457100.0110329,1.0988,0.0421,16.3575,0.0417,18.1509,1.74,V,G,bb
2457101.976072,1.2564,0.0466,16.2120,0.0403,18.0411,1.69,V,G,bb
2457105.8993928,1.2190,0.0502,16.2448,0.0448,17.9601,1.71,V,G,bb
2457109.7497173,1.1910,0.0886,16.2700,0.0808,17.3442,1.88,V,G,bb
2457111.8855912,1.6410,0.1062,15.9220,0.0703,17.1473,1.68,V,G,bb
2457113.8849643,1.1744,0.1085,16.2852,0.1005,17.1233,1.68,V,G,bb
2457114.9401418,1.1283,0.1097,16.3287,0.1057,17.1120,1.81,V,G,bb
2457118.8060736,1.0651,0.0923,16.3913,0.0942,17.2993,1.70,V,B,bb
2457120.9248657,0.8373,0.1703,16.6343,99.9990,16.6343,1.67,V,B,bb
2457121.9479407,1.1532,0.0751,16.3050,0.0708,17.5226,1.72,V,G,bb
2457122.8265802,1.2348,0.0354,16.2308,0.0312,18.3385,1.67,V,G,bb
2457128.8526217,1.3493,0.0491,16.1345,0.0395,17.9849,1.73,V,G,bb
2457131.9058673,1.2843,0.0423,16.1881,0.0358,18.1474,1.68,V,G,bb
2457133.8229189,1.2802,0.0454,16.1916,0.0385,18.0702,2.03,V,G,bb
2457136.84577,1.2274,0.0669,16.2373,0.0592,17.6496,1.79,V,B,bb
2457144.8630534,1.1429,0.1342,16.3148,0.1277,16.8926,1.65,V,B,bb
2457148.8675171,1.2614,0.1423,16.2076,0.1226,16.8294,1.84,V,G,bb
2457150.80281,1.2208,0.0449,16.2431,0.0400,18.0822,1.79,V,G,bb
2457155.8488999,1.1493,0.0505,16.3087,0.0477,17.9549,1.65,V,B,bb
2457160.7861386,1.1725,0.0393,16.2870,0.0365,18.2255,1.66,V,G,bb
2457163.8209214,1.2073,0.0552,16.2552,0.0497,17.8571,1.74,V,G,bb
2457167.7435406,1.1984,0.0646,16.2633,0.0586,17.6872,2.13,V,G,bb
2457172.7868767,1.4920,0.1085,16.0254,0.0790,17.1240,1.81,V,B,bb
2457177.7843335,0.9704,0.0926,16.4924,0.1038,17.2954,2.05,V,G,bb
2457179.760235,1.0953,0.0422,16.3609,0.0418,18.1499,2.13,V,G,bb
2457183.7695058,1.1608,0.0444,16.2979,0.0416,18.0938,2.03,V,G,bb
2457187.7897298,1.3992,0.0840,16.0951,0.0652,17.4021,2.05,V,B,bb
2457322.1372997,1.2320,0.0798,16.2332,0.0704,17.4579,1.76,V,G,bb
2457330.1405612,1.1595,0.0522,16.2991,0.0490,17.9178,1.71,V,B,bb
2457335.1277748,1.2222,0.0481,16.2419,0.0428,18.0069,1.87,V,G,bb
2457343.1046231,1.1514,0.0548,16.3067,0.0517,17.8653,2.06,V,G,bb
2457350.1108809,1.1341,0.0342,16.3231,0.0328,18.3772,1.81,V,G,bb
2457359.0846841,1.3220,0.0570,16.1567,0.0469,17.8228,1.78,V,G,bb
2457362.1117245,1.3468,0.0506,16.1365,0.0408,17.9522,1.83,V,G,bb
2457365.0705156,1.1135,0.0422,16.3430,0.0412,18.1502,1.64,V,G,bb
2457368.0263857,1.2133,0.0268,16.2499,0.0240,18.6404,2.17,V,B,bb
2457373.1083025,1.2733,0.0341,16.1974,0.0291,18.3811,1.76,V,G,bb
2457379.9913946,1.2122,0.0871,16.2509,0.0781,17.3625,1.69,V,G,bb
2457383.9892612,1.2123,0.0778,16.2507,0.0697,17.4851,2.01,V,G,bb
2457388.0435532,1.2104,0.0540,16.2525,0.0485,17.8818,1.72,V,G,bb
2457389.0023141,1.1557,0.0424,16.3027,0.0399,18.1437,1.76,V,G,bb
2457396.1694113,1.2887,0.0501,16.1844,0.0423,17.9622,1.81,V,G,bb
2457396.9639426,1.2619,0.0334,16.2072,0.0288,18.4036,1.80,V,G,bb
2457399.946413,1.2136,0.0330,16.2496,0.0296,18.4162,1.69,V,G,bb
2457402.9362347,1.1951,0.0365,16.2663,0.0332,18.3055,2.00,V,G,bb
2457405.922577,1.2401,0.0549,16.2261,0.0481,17.8630,1.67,V,G,bb
2457407.0819523,1.3166,0.0412,16.1611,0.0340,18.1749,1.63,V,G,bb
2457407.9160399,1.1168,0.0745,16.3398,0.0725,17.5326,1.94,V,G,bb
2457409.9095857,1.3550,0.1031,16.1300,0.0827,17.1787,2.00,V,G,bb
2457411.9061143,1.2308,0.1068,16.2343,0.0943,17.1414,2.00,V,G,bb
2457413.0654233,1.0987,0.0828,16.3576,0.0819,17.4171,1.73,V,G,bb
2457415.9819662,0.7611,0.1087,16.7562,0.1552,17.1222,1.71,V,G,bb
2457418.0711222,1.3202,0.0497,16.1582,0.0409,17.9710,1.78,V,B,bb
2457420.0340702,1.2032,0.0367,16.2590,0.0332,18.3002,1.68,V,G,bb
2457422.0007617,1.2397,0.0330,16.2265,0.0289,18.4161,1.66,V,G,bb
2457423.8657778,1.4654,0.0480,16.0449,0.0356,18.0090,1.65,V,G,bb
2457428.0559251,1.2649,0.0479,16.2046,0.0412,18.0112,1.66,V,G,bb
2457436.8371781,1.3421,0.0814,16.1403,0.0659,17.4361,1.71,V,G,bb
2457438.9724336,1.0446,0.0763,16.4124,0.0794,17.5062,2.23,V,G,bb
2457440.919686,1.0650,0.1343,16.3914,0.1370,16.8923,2.06,V,G,bb
2457442.970079,1.2039,0.1043,16.2583,0.0941,17.1669,1.84,V,G,bb
2457444.9964312,1.2410,0.0835,16.2254,0.0732,17.4077,1.61,V,B,bb
2457446.92897,1.3705,0.0474,16.1176,0.0376,18.0222,1.68,V,G,bb
2457447.8437574,1.2965,0.0328,16.1778,0.0275,18.4211,1.73,V,G,bb
2457450.9752658,1.1949,0.0269,16.2664,0.0244,18.6388,1.66,V,G,bb
2457452.8605701,1.3440,0.0402,16.1388,0.0325,18.2009,1.71,V,G,bb
2457454.9496427,1.2303,0.0353,16.2348,0.0311,18.3444,1.78,V,G,bb
2457459.0188496,1.2387,0.0396,16.2274,0.0347,18.2195,1.69,V,G,bb
2457461.7825006,1.2371,0.0619,16.2288,0.0544,17.7329,1.77,V,B,bb
2457462.7522078,1.2831,0.0406,16.1891,0.0344,18.1910,1.71,V,G,bb
2457463.9856947,1.1897,0.0339,16.2711,0.0310,18.3854,1.73,V,G,bb
2457464.9166113,1.2714,0.0655,16.1991,0.0560,17.6709,1.81,V,G,bb
2457469.7978148,1.1444,0.0948,16.3133,0.0900,17.2705,1.68,V,G,bb
2457472.8058037,1.1715,0.0946,16.2879,0.0878,17.2727,1.69,V,B,bb
2457476.905139,1.4360,0.0457,16.0669,0.0346,18.0632,1.87,V,G,bb
2457477.7859936,1.2925,0.0356,16.1812,0.0300,18.3324,1.68,V,G,bb
2457479.8134052,1.1650,0.0274,16.2940,0.0256,18.6173,2.03,V,G,bb
2457481.8621698,1.2778,0.0307,16.1936,0.0261,18.4959,1.77,V,G,bb
2457485.7420834,1.1917,0.0346,16.2694,0.0316,18.3632,1.72,V,G,bb
2457489.8003623,1.3345,0.0479,16.1465,0.0390,18.0113,1.63,V,G,bb
2457492.8244631,1.2956,0.0464,16.1786,0.0390,18.0453,1.80,V,G,bb
2457495.9051717,1.2755,0.0839,16.1956,0.0715,17.4024,1.76,V,G,bb
2457502.8268242,1.1189,0.0568,16.3378,0.0552,17.8264,1.74,V,G,bb
2457504.7434848,1.2780,0.0368,16.1935,0.0313,18.2976,2.09,V,G,bb
2457507.8531046,1.1090,0.0328,16.3474,0.0321,18.4229,1.99,V,G,bb
2457509.8596829,1.2721,0.0331,16.1984,0.0283,18.4123,1.69,V,G,bb
2457511.8300019,1.2748,0.0353,16.1962,0.0301,18.3417,1.65,V,G,bb
2457514.790538,1.1877,0.0306,16.2730,0.0280,18.4991,1.64,V,G,bb
2457524.7966514,1.2189,0.0657,16.2448,0.0586,17.6683,2.17,V,B,bb
2457528.7823307,1.0947,0.0853,16.3615,0.0847,17.3851,1.93,V,G,bb
2457532.8108285,1.0375,0.0630,16.4198,0.0660,17.7142,1.86,V,G,bb
2457537.7886713,1.1741,0.0361,16.2855,0.0334,18.3183,1.80,V,G,bb
2457542.7789184,1.2053,0.0298,16.2570,0.0269,18.5272,1.69,V,G,bb
2457547.7580009,1.1760,0.0337,16.2838,0.0311,18.3933,2.06,V,G,bb
2457549.7623936,1.3577,0.0566,16.1278,0.0453,17.8310,2.02,V,G,bb
2457695.1291983,1.1844,0.0264,16.2760,0.0242,18.6579,1.75,V,G,bb
2457699.1169829,1.3359,0.0475,16.1453,0.0386,18.0215,1.75,V,G,bb
2457705.108102,1.7729,0.0483,15.8381,0.0296,18.0018,2.06,V,G,bb
2457707.0963189,1.3485,0.0927,16.1352,0.0747,17.2947,1.87,V,G,bb
2457711.1337707,1.1964,0.0730,16.2651,0.0663,17.5545,1.69,V,G,bb
2457720.0957889,1.2093,0.0310,16.2535,0.0279,18.4841,1.76,V,G,bb
2457737.0154507,1.2003,0.0884,16.2615,0.0800,17.3467,1.70,V,G,bb
2457745.1669006,1.1822,0.0650,16.2781,0.0598,17.6803,1.80,V,B,bb
2457752.1264196,1.2476,0.0285,16.2196,0.0248,18.5765,1.84,V,G,bb
2457757.9590141,1.2464,0.0342,16.2206,0.0298,18.3779,1.72,V,G,bb
2457758.9555183,1.3011,0.0320,16.1740,0.0267,18.4510,1.99,V,G,bb
2457761.9453145,1.2961,0.0632,16.1782,0.0530,17.7107,1.65,V,G,bb
2457764.9426926,1.9320,0.2179,15.7447,0.1226,16.3668,1.74,V,B,bb
2457765.9624836,1.2009,0.1652,16.2611,0.1496,16.6671,1.76,V,G,bb
2457766.9660012,1.1998,0.0889,16.2620,0.0806,17.3398,1.71,V,G,bb
2457770.0702814,1.1835,0.0701,16.2769,0.0644,17.5981,2.26,V,G,bb
2457773.0372638,1.1691,0.0388,16.2901,0.0361,18.2401,2.20,V,B,bb
2457777.0535633,1.2566,0.0323,16.2117,0.0279,18.4398,1.66,V,B,bb
2457780.0207582,1.2470,0.0265,16.2202,0.0231,18.6525,2.01,V,B,bb
2457782.950312,1.1551,0.0315,16.3032,0.0297,18.4649,1.73,V,B,bb
2457786.0268928,1.2965,0.0366,16.1779,0.0307,18.3031,1.72,V,B,bb
2457788.0734516,1.2548,0.0278,16.2134,0.0241,18.6032,1.75,V,B,bb
2457793.8593037,1.2786,0.1079,16.1930,0.0917,17.1302,1.74,V,G,bb
2457798.0194684,1.0253,0.0863,16.4326,0.0915,17.3724,2.04,V,G,bb
2457801.0476132,1.4375,0.0614,16.0658,0.0464,17.7419,1.87,V,B,bb
2457802.9947758,1.2314,0.0364,16.2338,0.0321,18.3098,1.70,V,G,bb
2457805.9276768,1.2344,0.0287,16.2312,0.0253,18.5673,2.04,V,B,bb
2457808.8173404,1.2076,0.1044,16.2549,0.0939,17.1659,1.78,V,B,bb
2457811.812111,1.2244,0.0459,16.2400,0.0407,18.0579,2.10,V,G,bb
2457817.8937875,1.3093,0.0397,16.1672,0.0330,18.2151,2.15,V,B,bb
2457819.8207622,1.2200,0.0491,16.2439,0.0437,17.9846,2.07,V,G,bb
2457823.95462,1.5231,0.1127,16.0030,0.0805,17.0823,2.04,V,G,bb
2457826.9851539,1.1291,0.0789,16.3279,0.0759,17.4699,2.03,V,B,bb
2457828.8606079,1.0640,0.1144,16.3924,0.1169,17.0659,1.62,V,B,bb
2457829.9974959,1.2967,0.0472,16.1777,0.0396,18.0273,1.64,V,B,bb
2457831.8884935,1.3270,0.0358,16.1526,0.0294,18.3263,1.80,V,B,bb
2457835.9647049,1.3323,0.0397,16.1483,0.0324,18.2152,1.71,V,G,bb
2457837.9433691,1.3332,0.0362,16.1476,0.0295,18.3149,2.07,V,G,bb
2457839.9810203,1.2050,0.0352,16.2574,0.0317,18.3465,1.75,V,G,bb
2457840.7282075,1.2301,0.0607,16.2349,0.0536,17.7552,1.81,V,G,bb
2457842.7247959,0.8051,0.0865,16.6951,0.1168,17.3695,1.70,V,G,bb
2457843.8566831,1.1960,0.0315,16.2654,0.0287,18.4656,1.78,V,G,bb
2457845.7485983,1.2104,0.0388,16.2524,0.0349,18.2395,1.75,V,G,bb
2457846.884026,1.3571,0.0442,16.1283,0.0354,18.0978,2.20,V,G,bb
2457848.7997447,1.0591,0.0525,16.3975,0.0539,17.9111,1.76,V,G,bb
2457850.9489568,1.2094,0.0715,16.2533,0.0642,17.5769,2.00,V,G,bb
2457853.7956394,0.4866,0.1286,16.9389,99.9990,16.9389,1.96,V,B,bb
2457854.7625192,1.5117,0.1086,16.0111,0.0781,17.1226,1.79,V,B,bb
2457858.924883,0.9514,0.0785,16.5138,0.0897,17.4747,1.77,V,G,bb
