# ASAS-SN SkyPatrol ID: 120259142503
# ATLAS-REFCAT2: 173251714006409729
# Gaia DR2: 842962721402340992
# TESS Input Catalog (TIC): 341687499
# Million Quasars Catalog (MILLIQUAS): MCG 9-19-073
# AllWISE AGN Catalog: WISEA J112536.14+542257.1
# Chandra Source Catalog: 2CXO J112536.1+542257
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 9-19-073


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455938.1013759,3.4729,0.0972,15.1080,0.0304,17.2427,4.00,V,G,ba
2455947.0871442,3.2332,0.0426,15.1857,0.0143,18.1396,3.11,V,G,ba
2455955.0669332,3.4300,0.0407,15.1215,0.0129,18.1892,1.99,V,G,ba
2455969.0315783,3.3672,0.1032,15.1416,0.0333,17.1783,2.54,V,G,ba
2455973.0428796,3.4403,0.0481,15.1183,0.0152,18.0076,2.25,V,B,ba
2455980.0079639,3.1431,0.0584,15.2164,0.0202,17.7960,2.50,V,G,ba
2455984.0098748,3.2632,0.0449,15.1757,0.0149,18.0829,2.36,V,G,ba
2455997.9522656,3.2478,0.0803,15.1808,0.0269,17.4499,2.18,V,B,ba
2456002.9368583,3.3197,0.0653,15.1570,0.0214,17.6744,2.03,V,G,ba
2456236.1518826,3.3135,0.1876,15.1591,0.0615,16.5292,2.22,V,G,ba
2456252.1564793,3.2154,0.0749,15.1917,0.0253,17.5268,2.18,V,G,ba
2456303.1112791,3.0505,0.0410,15.2489,0.0146,18.1798,1.74,V,G,ba
2456304.1120883,3.0795,0.0351,15.2386,0.0124,18.3501,1.77,V,G,ba
2456309.0921244,3.1071,0.0500,15.2289,0.0175,17.9641,1.86,V,G,ba
2456316.0777653,3.1556,0.0498,15.2121,0.0172,17.9694,2.09,V,G,ba
2456319.9714975,3.1709,0.2072,15.2068,0.0710,16.4211,2.13,V,G,ba
2456324.0527494,3.2587,0.0881,15.1772,0.0294,17.3495,1.87,V,G,ba
2456328.0421809,3.3196,0.0356,15.1571,0.0117,18.3333,2.07,V,G,ba
2456338.8987051,3.2616,0.0439,15.1762,0.0146,18.1058,2.19,V,B,ba
2456348.9388277,3.0153,0.1638,15.2615,0.0590,16.6768,1.82,V,G,ba
2456355.0587572,3.4174,0.0586,15.1255,0.0186,17.7934,2.04,V,G,ba
