# ASAS-SN SkyPatrol ID: 661431374943
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J161544.61+315750.2
# GLADE HyperLEDA: NGC6103
# GLADE 2MASS Extended Source Catalog: 16154462+3157507


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.1486793,7.1520,0.0617,14.3237,0.0094,17.7368,2.10,V,G,ba
2456349.0256808,7.5422,0.1733,14.2660,0.0250,16.6154,2.02,V,G,ba
2456355.0912635,7.3758,0.0959,14.2903,0.0141,17.2582,2.18,V,G,ba
2456358.1120057,7.0718,0.0694,14.3360,0.0107,17.6085,2.02,V,G,ba
2456359.1052589,7.3287,0.0656,14.2972,0.0097,17.6706,1.79,V,G,ba
2456371.012236,7.6325,0.0799,14.2531,0.0114,17.4563,1.79,V,G,ba
2456381.0400877,7.6581,0.1519,14.2495,0.0216,16.7588,1.83,V,G,ba
2456388.077731,7.4785,0.0940,14.2752,0.0137,17.2796,2.17,V,B,ba
2456392.0352359,7.3200,0.0711,14.2985,0.0106,17.5832,2.03,V,G,ba
2456396.0143507,7.3309,0.0651,14.2969,0.0097,17.6776,2.22,V,G,ba
2456399.0123828,7.3590,0.0813,14.2927,0.0120,17.4368,2.25,V,G,ba
2456401.9757992,7.3847,0.0829,14.2889,0.0122,17.4153,2.07,V,G,ba
2456404.0230746,7.3999,0.1243,14.2867,0.0183,16.9764,2.03,V,G,ba
2456409.9550953,7.3785,0.1432,14.2899,0.0211,16.8228,2.22,V,G,ba
2456415.9503764,7.3731,0.0805,14.2907,0.0119,17.4478,2.32,V,G,ba
2456447.8909167,7.3757,0.0579,14.2903,0.0085,17.8061,3.03,V,G,ba
2456450.8943821,7.6159,0.0858,14.2555,0.0122,17.3789,2.33,V,G,ba
2456459.8578711,7.2995,0.0880,14.3016,0.0131,17.3508,2.08,V,G,ba
2456462.9266458,7.4693,0.1430,14.2766,0.0208,16.8241,2.05,V,G,ba
2456465.9286291,7.5473,0.2137,14.2653,0.0308,16.3879,1.66,V,B,ba
2456469.9471545,7.0915,0.1626,14.3329,0.0249,16.6843,2.17,V,G,ba
2456473.9331917,7.5304,0.0691,14.2677,0.0100,17.6131,2.26,V,G,ba
2456476.9308576,7.4665,0.0785,14.2770,0.0114,17.4748,2.17,V,G,ba
2456482.8105102,7.2525,0.0818,14.3086,0.0123,17.4301,2.19,V,G,ba
2456485.8440107,7.2438,0.0669,14.3099,0.0100,17.6493,2.15,V,G,ba
2456488.8339381,7.5234,0.0777,14.2687,0.0112,17.4862,2.02,V,G,ba
2456490.8269304,7.4988,0.1065,14.2723,0.0154,17.1440,1.76,V,G,ba
2456493.8955988,7.0264,0.1668,14.3429,0.0258,16.6567,2.29,V,G,ba
2456508.8093129,7.4306,0.0727,14.2822,0.0106,17.5589,1.72,V,G,ba
2456513.8000359,7.4165,0.0568,14.2843,0.0083,17.8265,2.00,V,G,ba
2456519.768494,7.4012,0.1063,14.2865,0.0156,17.1460,1.69,V,G,ba
2456523.7773977,7.3119,0.1381,14.2997,0.0205,16.8618,2.09,V,G,ba
2456527.7714282,6.9974,0.1041,14.3474,0.0162,17.1687,1.75,V,G,ba
2456533.7621813,7.5098,0.0715,14.2707,0.0103,17.5772,1.73,V,G,ba
2456536.7531269,7.7786,0.1257,14.2325,0.0176,16.9644,1.72,V,B,ba
2456548.7200964,7.7074,0.1502,14.2425,0.0212,16.7705,1.83,V,G,ba
2456559.7070631,6.7849,0.2787,14.3809,0.0446,16.0995,1.92,V,B,ba
2456651.1553048,7.6221,0.1116,14.2546,0.0159,17.0931,1.74,V,G,bd
2456658.1454655,7.2328,0.0844,14.3115,0.0127,17.3959,2.10,V,B,ba
2456675.1091968,7.5522,0.1890,14.2646,0.0272,16.5214,1.61,V,G,bd
2456676.0882693,7.5401,0.1937,14.2663,0.0279,16.4943,1.71,V,G,ba
2456677.1164931,7.8725,0.1438,14.2195,0.0199,16.8181,2.05,V,G,bd
