# ASAS-SN SkyPatrol ID: 661426948616
# Million Quasars Catalog (MILLIQUAS): CGCG 167-16
# GLADE HyperLEDA: 56749
# GLADE 2MASS Extended Source Catalog: 16015399+3153318


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455998.1215997,6.2029,0.1123,14.4783,0.0197,17.0868,2.10,V,G,ba
2456004.1046839,5.8817,0.0521,14.5360,0.0096,17.9212,2.11,V,G,ba
2456337.0270819,6.2249,0.0453,14.4744,0.0079,18.0730,2.18,V,G,ba
2456345.1047915,6.3670,0.1074,14.4499,0.0183,17.1350,1.69,V,B,ba
2456352.1212048,6.0327,0.1182,14.5085,0.0213,17.0311,2.25,V,G,ba
2456353.1202444,6.3938,0.2355,14.4454,0.0400,16.2823,2.07,V,B,ba
2456354.1179973,6.1176,0.0949,14.4933,0.0169,17.2695,2.20,V,G,ba
2456357.1265376,5.7449,0.0760,14.5616,0.0144,17.5097,1.74,V,G,ba
2456365.0491962,5.9359,0.0497,14.5261,0.0091,17.9707,1.71,V,G,ba
2456376.9733865,5.9455,0.1672,14.5243,0.0306,16.6541,2.04,V,G,ba
2456387.0896446,6.2775,0.0741,14.4653,0.0128,17.5375,2.20,V,G,ba
2456390.0697721,6.1165,0.0545,14.4935,0.0097,17.8710,2.02,V,G,ba
2456393.0586413,6.1903,0.0565,14.4805,0.0099,17.8314,1.81,V,G,ba
2456402.0596095,6.2771,0.0571,14.4654,0.0099,17.8211,1.86,V,G,ba
2456403.9898108,6.1663,0.0550,14.4847,0.0097,17.8621,2.05,V,G,ba
2456412.9111247,6.3729,0.0974,14.4489,0.0166,17.2405,2.33,V,B,ba
2456434.9144493,6.0647,0.0853,14.5028,0.0153,17.3844,2.51,V,G,ba
2456444.0045523,6.1053,0.0608,14.4955,0.0108,17.7522,2.39,V,G,ba
2456449.8886105,6.1159,0.0557,14.4936,0.0099,17.8478,2.58,V,G,ba
2456451.0072593,6.1920,0.0453,14.4802,0.0080,18.0722,2.13,V,G,ba
2456459.843776,5.8333,0.0690,14.5450,0.0129,17.6158,2.07,V,G,ba
2456462.9435293,6.1851,0.1005,14.4814,0.0177,17.2073,2.07,V,G,ba
2456465.946787,6.0015,0.2045,14.5141,0.0370,16.4356,1.73,V,B,ba
2456468.9505575,6.1056,0.1167,14.4955,0.0208,17.0447,2.02,V,G,ba
2456473.8570661,6.0370,0.0507,14.5077,0.0091,17.9499,2.21,V,G,ba
2456477.8397562,6.1588,0.0435,14.4860,0.0077,18.1150,1.74,V,G,ba
2456482.8390985,6.1797,0.0550,14.4824,0.0097,17.8612,2.20,V,G,ba
2456485.8353935,6.1504,0.0408,14.4875,0.0072,18.1864,2.12,V,G,ba
2456488.8283447,6.4255,0.0705,14.4400,0.0119,17.5921,2.00,V,B,ba
2456492.809781,5.8684,0.1339,14.5385,0.0248,16.8953,1.74,V,G,ba
2456505.8100634,5.7702,0.0789,14.5568,0.0149,17.4698,2.15,V,G,ba
2456506.7927824,6.0462,0.0771,14.5061,0.0139,17.4953,1.77,V,G,ba
2456511.8218283,6.0778,0.0579,14.5004,0.0104,17.8053,2.17,V,G,ba
2456517.778695,6.0853,0.0781,14.4991,0.0140,17.4803,2.01,V,G,ba
2456521.7705042,6.0115,0.1082,14.5123,0.0196,17.1265,1.75,V,G,ba
2456523.7689092,5.8916,0.1212,14.5342,0.0224,17.0032,2.12,V,G,ba
2456527.7880425,5.7910,0.1231,14.5529,0.0231,16.9865,1.75,V,G,ba
2456533.8150347,6.4226,0.0931,14.4405,0.0157,17.2905,1.79,V,G,ba
2456539.7259719,5.9325,0.1148,14.5267,0.0210,17.0628,1.80,V,G,ba
2456544.7307853,5.9333,0.0831,14.5265,0.0152,17.4134,1.69,V,G,ba
2456556.7117138,6.1811,0.2529,14.4821,0.0445,16.2052,1.80,V,G,ba
2456651.1553048,6.0107,0.1524,14.5125,0.0276,16.7550,1.74,V,G,bd
