# ASAS-SN SkyPatrol ID: 128849459736
# ATLAS-REFCAT2: 144862414527641041
# Gaia DR2: 1321898338510691584
# TESS Input Catalog (TIC): 17380812
# Million Quasars Catalog (MILLIQUAS): SDSS J160548.66+304301.4


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455998.1215997,1.3403,0.0803,16.1418,0.0651,17.4507,2.10,V,G,ba
2456004.1046839,1.4747,0.0484,16.0380,0.0357,17.9992,2.11,V,G,ba
2456337.0270819,1.5371,0.0385,15.9930,0.0272,18.2493,2.18,V,G,ba
2456345.1047915,1.5931,0.0803,15.9542,0.0548,17.4508,1.69,V,B,ba
2456352.1212048,1.6523,0.1037,15.9145,0.0682,17.1731,2.25,V,G,ba
2456353.1202444,1.7046,0.1720,15.8807,0.1097,16.6236,2.07,V,B,ba
2456354.1179973,1.6359,0.0931,15.9254,0.0618,17.2902,2.20,V,G,ba
2456357.1265376,1.4283,0.0851,16.0727,0.0648,17.3874,1.74,V,G,ba
2456365.0491962,1.7430,0.0541,15.8565,0.0337,17.8791,1.71,V,G,ba
2456376.9733865,1.3192,0.1912,16.1590,0.1576,16.5085,2.04,V,G,ba
2456387.0896446,1.5216,0.0611,16.0040,0.0436,17.7481,2.20,V,G,ba
2456390.0697721,1.5201,0.0470,16.0051,0.0336,18.0323,2.02,V,G,ba
2456393.0586413,1.7331,0.0537,15.8627,0.0337,17.8870,1.81,V,G,ba
2456402.0596095,1.7068,0.0437,15.8793,0.0278,18.1113,1.86,V,G,ba
2456403.9898108,1.5219,0.0869,16.0038,0.0621,17.3648,2.05,V,G,ba
2456412.9111247,1.4893,0.0837,16.0273,0.0611,17.4057,2.33,V,B,ba
2456434.9144493,1.4016,0.1051,16.0932,0.0815,17.1588,2.51,V,G,ba
2456444.0045523,1.6264,0.0773,15.9317,0.0517,17.4915,2.39,V,G,ba
2456449.8886105,1.6596,0.0706,15.9098,0.0462,17.5905,2.58,V,G,ba
2456451.0072593,1.5630,0.0508,15.9749,0.0353,17.9480,2.13,V,G,ba
2456459.843776,1.7693,0.0615,15.8403,0.0378,17.7402,2.07,V,G,ba
2456462.9435293,1.3464,0.1102,16.1369,0.0889,17.1073,2.07,V,G,ba
2456465.946787,1.3929,0.2392,16.1000,0.1866,16.2656,1.73,V,B,ba
2456468.9505575,1.4735,0.1364,16.0389,0.1006,16.8753,2.02,V,G,ba
2456473.8570661,1.7665,0.0626,15.8420,0.0385,17.7205,2.21,V,G,ba
2456477.8397562,1.5354,0.0420,15.9942,0.0297,18.1549,1.74,V,G,ba
2456482.8390985,1.6282,0.0544,15.9305,0.0363,17.8731,2.20,V,G,ba
2456485.8353935,1.6867,0.0530,15.8922,0.0342,17.9014,2.12,V,G,ba
2456488.8283447,1.6042,0.0792,15.9466,0.0537,17.4654,2.00,V,B,ba
2456492.809781,1.8369,0.1639,15.7996,0.0970,16.6761,1.74,V,G,ba
2456505.8100634,1.6149,0.0777,15.9394,0.0523,17.4860,2.15,V,G,ba
2456506.7927824,1.5974,0.0886,15.9513,0.0603,17.3432,1.77,V,G,ba
2456511.8218283,1.6184,0.0598,15.9371,0.0401,17.7710,2.17,V,G,ba
2456517.778695,1.7158,0.0846,15.8736,0.0536,17.3946,2.01,V,G,ba
2456521.7705042,1.2549,0.1211,16.2132,0.1049,17.0044,1.75,V,G,ba
2456523.7689092,1.8006,0.1490,15.8213,0.0899,16.7796,2.12,V,G,ba
2456527.7880425,2.0012,0.1199,15.7065,0.0651,17.0153,1.75,V,G,ba
2456533.8150347,1.6217,0.0869,15.9348,0.0583,17.3646,1.79,V,G,ba
2456539.7259719,1.9308,0.1255,15.7454,0.0706,16.9662,1.80,V,G,ba
2456544.7307853,1.0200,0.0997,16.4383,0.1062,17.2160,1.69,V,G,ba
2456556.7117138,2.5810,0.2920,15.4303,0.1230,16.0491,1.80,V,G,ba
2456651.1553048,1.5784,0.0677,15.9643,0.0466,17.6361,1.74,V,G,bd
2456652.1385744,1.5096,0.0968,16.0126,0.0697,17.2481,1.76,V,G,bc
2456657.1580966,1.4837,0.0722,16.0314,0.0529,17.5657,1.39,V,G,bc
2456675.1091968,1.5639,0.1318,15.9743,0.0916,16.9126,1.61,V,G,bd
2456675.12014,1.6470,0.1344,15.9181,0.0887,16.8914,1.87,V,G,bc
2456677.0832374,1.7083,0.1619,15.8784,0.1030,16.6891,2.49,V,G,bc
2456677.1164931,1.4044,0.0970,16.0910,0.0751,17.2453,2.05,V,G,bd
2456678.1252346,1.5141,0.1091,16.0094,0.0783,17.1175,2.37,V,G,bc
2456678.1702438,1.3296,0.0886,16.1505,0.0725,17.3433,2.02,V,G,bd
2456701.0444563,1.3650,0.1525,16.1220,0.1215,16.7540,2.22,V,G,bc
2456701.076889,1.2840,0.0924,16.1883,0.0782,17.2985,1.49,V,G,bd
2456730.0548098,1.6140,0.0794,15.9400,0.0535,17.4628,2.34,V,B,bc
2456730.0893091,1.6676,0.1131,15.9046,0.0737,17.0788,1.55,V,B,bd
2456731.0620574,1.6113,0.1629,15.9418,0.1099,16.6822,1.68,V,G,bd
2456734.1060835,1.3293,0.1396,16.1507,0.1141,16.8502,1.48,V,G,bd
2456734.1299181,1.2932,0.1350,16.1807,0.1135,16.8864,2.22,V,G,bc
2456736.0959166,1.7629,0.0915,15.8442,0.0564,17.3093,1.51,V,G,bd
2456736.9818457,1.2794,0.1190,16.1922,0.1011,17.0236,1.66,V,B,bc
2456741.0205661,1.5298,0.0610,15.9982,0.0434,17.7482,1.92,V,G,bd
2456742.139155,1.4066,0.0743,16.0894,0.0574,17.5346,1.72,V,G,bc
2456744.0027427,1.7112,0.0502,15.8765,0.0319,17.9608,1.58,V,G,bd
2456751.0864153,1.7100,0.0788,15.8773,0.0501,17.4708,1.96,V,G,bc
2456752.116835,1.6547,0.0676,15.9130,0.0444,17.6368,1.57,V,G,bd
2456755.867174,1.5220,0.1507,16.0038,0.1077,16.7668,2.89,V,B,bc
2456757.872454,1.5515,0.0944,15.9829,0.0661,17.2749,1.48,V,G,bd
