# ASAS-SN SkyPatrol ID: 661427202863
# Million Quasars Catalog (MILLIQUAS): SDSS J160436.23+435247.3
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J160436.23+435247.3


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0085597,1.5962,0.0593,15.9521,0.0404,17.7789,2.24,V,G,ba
2456350.0093261,1.6775,0.2000,15.8982,0.1296,16.4600,2.32,V,G,ba
2456355.1384279,1.5996,0.0696,15.9498,0.0473,17.6059,2.08,V,G,ba
2456358.104702,1.4480,0.0496,16.0579,0.0372,17.9732,2.01,V,G,ba
2456359.1203476,1.7800,0.0518,15.8337,0.0316,17.9267,1.88,V,G,ba
2456371.9592778,1.6700,0.0617,15.9030,0.0402,17.7367,1.89,V,G,ba
2456381.1170039,1.5565,0.0962,15.9794,0.0672,17.2542,1.71,V,G,ba
2456389.9381108,1.5907,0.0455,15.9558,0.0311,18.0669,2.16,V,G,ba
2456393.122319,1.6795,0.0479,15.8968,0.0310,18.0121,1.76,V,G,ba
2456396.9816842,1.5428,0.0611,15.9890,0.0430,17.7473,2.14,V,B,ba
2456402.9502167,1.4903,0.0582,16.0266,0.0425,17.7992,2.13,V,G,ba
2456408.9531179,1.7656,0.1433,15.8426,0.0882,16.8216,2.17,V,G,ba
2456414.9457245,1.5367,0.0455,15.9933,0.0322,18.0667,2.32,V,G,ba
2456436.915112,1.7415,0.1099,15.8575,0.0686,17.1096,2.65,V,G,ba
2456444.9077224,1.4875,0.0459,16.0286,0.0335,18.0580,2.70,V,G,ba
2456449.8998719,1.6073,0.0473,15.9445,0.0320,18.0251,2.64,V,G,ba
2456453.8808159,1.3114,0.1609,16.1654,0.1334,16.6958,1.99,V,B,ba
2456458.8744167,1.6099,0.0539,15.9428,0.0364,17.8838,2.15,V,G,ba
2456461.9399618,1.7845,0.0846,15.8310,0.0515,17.3938,1.99,V,G,ba
2456464.8583462,1.3139,0.1197,16.1634,0.0990,17.0174,1.82,V,G,ba
2456467.9751529,2.0088,0.1561,15.7024,0.0845,16.7289,1.82,V,B,ba
2456471.8162658,1.6717,0.0500,15.9019,0.0325,17.9657,2.26,V,G,ba
2456475.9043962,1.6042,0.0593,15.9466,0.0402,17.7796,1.85,V,G,ba
2456480.8398194,1.6095,0.0654,15.9430,0.0441,17.6739,2.06,V,B,ba
2456484.8385644,1.5121,0.0487,16.0108,0.0350,17.9929,2.09,V,G,ba
2456487.8334698,1.5168,0.0470,16.0075,0.0337,18.0330,1.84,V,G,ba
2456490.8156504,1.3828,0.0702,16.1079,0.0552,17.5968,1.71,V,G,ba
2456493.8928516,1.4967,0.1237,16.0220,0.0899,16.9811,2.35,V,G,ba
2456507.814529,1.5471,0.0630,15.9860,0.0442,17.7147,1.84,V,G,ba
2456508.8033343,1.5503,0.0504,15.9838,0.0353,17.9572,1.81,V,G,ba
2456512.7994508,1.6444,0.0624,15.9198,0.0413,17.7241,2.03,V,G,ba
2456518.7637137,1.9210,0.0774,15.7510,0.0438,17.4906,1.69,V,B,ba
2456522.7671572,1.6112,0.1104,15.9419,0.0745,17.1045,1.76,V,G,ba
2456523.7746354,1.7042,0.1309,15.8810,0.0835,16.9196,2.09,V,G,ba
2456527.7686751,1.5919,0.0859,15.9550,0.0586,17.3779,1.79,V,G,ba
2456533.7593884,1.4693,0.0523,16.0420,0.0387,17.9157,1.71,V,G,ba
2456536.7503513,1.7668,0.0657,15.8418,0.0404,17.6683,1.79,V,B,ba
2456537.7527793,1.6079,0.0595,15.9441,0.0402,17.7757,1.76,V,G,ba
2456538.7437976,1.6650,0.0562,15.9062,0.0367,17.8385,1.73,V,G,ba
2456544.7363456,1.6021,0.0769,15.9481,0.0522,17.4969,1.72,V,G,ba
2456555.7179637,1.2604,0.2278,16.2085,0.1965,16.3185,1.78,V,B,ba
2456649.1594342,1.8555,0.1093,15.7886,0.0640,17.1159,1.69,V,G,bd
2456652.1532084,1.7481,0.0933,15.8533,0.0580,17.2877,2.69,V,G,bd
2456658.134485,0.9251,0.1333,16.5443,0.1566,16.9006,1.79,V,B,bd
2456658.134485,1.3455,0.1184,16.1376,0.0957,17.0289,2.22,V,B,ba
2456659.1258607,1.5717,0.0735,15.9689,0.0508,17.5469,2.40,V,G,ba
2456676.0799577,2.1451,0.1961,15.6312,0.0994,16.4811,2.90,V,G,bd
2456676.0799577,1.3088,0.1674,16.1676,0.1390,16.6528,1.71,V,G,ba
