# ASAS-SN SkyPatrol ID: 266288793869
# ATLAS-REFCAT2: 139282435550205964
# Gaia DR2: 1303611982672517120
# TESS Input Catalog (TIC): 236354689
# Million Quasars Catalog (MILLIQUAS): TON 256
# AllWISE AGN Catalog: WISEA J161413.20+260416.2
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: TON 256


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456003.1275556,2.5305,0.0414,15.4518,0.0178,18.1708,2.08,V,G,ba
2456220.7059709,2.4007,0.1186,15.5089,0.0537,17.0271,3.07,V,B,ba
2456227.6996293,2.2516,0.1319,15.5785,0.0637,16.9114,3.23,V,G,ba
2456338.0197971,2.5158,0.0355,15.4581,0.0153,18.3375,2.22,V,G,ba
2456349.0741105,2.2851,0.1249,15.5625,0.0594,16.9711,2.01,V,G,ba
2456355.1113261,2.4980,0.0723,15.4658,0.0315,17.5647,2.17,V,G,ba
2456358.1229638,2.5143,0.0492,15.4587,0.0213,17.9825,1.80,V,G,ba
2456359.0932863,2.3642,0.0390,15.5256,0.0179,18.2342,1.90,V,G,ba
2456377.0782953,2.6310,0.0825,15.4095,0.0341,17.4219,1.73,V,G,ba
2456387.093299,2.8722,0.0659,15.3143,0.0250,17.6645,2.26,V,G,ba
2456389.0662788,2.5500,0.0325,15.4434,0.0139,18.4312,2.09,V,G,ba
2456390.0579085,2.6812,0.0428,15.3890,0.0173,18.1347,2.06,V,G,ba
2456393.0520255,2.6450,0.0318,15.4037,0.0131,18.4550,2.05,V,G,ba
2456396.0627528,2.6436,0.0658,15.4043,0.0270,17.6673,2.11,V,G,ba
2456399.0023862,2.7839,0.0632,15.3481,0.0247,17.7102,2.32,V,B,ba
2456401.0213009,2.6533,0.0535,15.4003,0.0219,17.8924,2.31,V,G,ba
2456402.9918975,2.6180,0.0431,15.4149,0.0179,18.1268,2.12,V,G,ba
2456411.9411272,1.8370,0.3930,15.7263,99.9990,15.7263,2.20,V,B,ba
2456434.9179179,2.7103,0.0866,15.3772,0.0347,17.3687,2.60,V,G,ba
2456443.9872612,2.5922,0.0514,15.4256,0.0216,17.9340,2.46,V,G,ba
2456449.8970898,2.4850,0.0422,15.4715,0.0184,18.1503,2.68,V,G,ba
2456453.8835879,2.6393,0.0758,15.4061,0.0312,17.5126,1.82,V,B,ba
2456458.8772354,2.6645,0.0483,15.3957,0.0197,18.0017,2.15,V,G,ba
2456461.9511819,2.3411,0.0641,15.5362,0.0298,17.6955,2.07,V,G,ba
2456464.8694295,2.3986,0.1141,15.5099,0.0517,17.0689,1.77,V,G,ba
2456470.8573184,2.7183,0.0664,15.3741,0.0265,17.6574,2.16,V,G,ba
2456471.8276987,2.7232,0.0439,15.3721,0.0175,18.1057,2.29,V,G,ba
2456475.8903321,2.6141,0.0400,15.4165,0.0166,18.2067,1.70,V,G,ba
2456479.8899249,2.7030,0.0424,15.3802,0.0171,18.1429,1.99,V,G,ba
2456483.8536291,2.8323,0.0448,15.3294,0.0172,18.0836,2.31,V,G,ba
2456487.7916619,2.7025,0.0392,15.3804,0.0158,18.2279,1.76,V,G,ba
2456490.8324374,3.0330,0.0733,15.2551,0.0263,17.5501,1.73,V,G,ba
2456494.8287729,2.9098,0.1734,15.3001,0.0648,16.6148,2.06,V,G,ba
2456509.8095535,2.8603,0.0479,15.3188,0.0182,18.0112,2.06,V,G,ba
2456516.7756787,2.8771,0.0596,15.3124,0.0225,17.7741,1.69,V,G,ba
2456520.7775684,2.7625,0.0796,15.3565,0.0313,17.4601,1.75,V,G,ba
2456525.7595636,3.2370,0.1035,15.1844,0.0348,17.1748,1.83,V,G,ba
2456528.7689397,2.9204,0.0488,15.2962,0.0182,17.9914,1.69,V,G,ba
2456534.7571214,2.8613,0.0449,15.3184,0.0171,18.0810,1.83,V,G,ba
2456538.75486,2.8448,0.0463,15.3246,0.0177,18.0483,1.78,V,G,ba
2456549.7303334,2.9825,0.0872,15.2733,0.0318,17.3615,1.69,V,G,ba
2456659.1392458,2.6316,0.0659,15.4092,0.0272,17.6657,2.31,V,G,ba
2456675.1091968,2.3006,0.1210,15.5552,0.0572,17.0055,2.35,V,G,ba
2456677.1164931,2.4592,0.0981,15.4828,0.0434,17.2330,1.67,V,G,ba
2456678.1702508,2.5797,0.0871,15.4309,0.0367,17.3629,2.09,V,G,ba
2456701.076889,2.7981,0.1177,15.3426,0.0457,17.0351,1.69,V,G,ba
2456730.0893091,2.5418,0.0928,15.4469,0.0397,17.2933,2.10,V,B,ba
2456736.0959166,2.4563,0.1158,15.4841,0.0512,17.0534,1.62,V,G,ba
2456741.0205734,2.9630,0.0763,15.2805,0.0280,17.5057,2.33,V,G,ba
2456744.0027427,2.7161,0.0477,15.3749,0.0191,18.0161,1.75,V,G,ba
2456752.116835,2.6171,0.0553,15.4152,0.0230,17.8546,2.36,V,G,ba
2456752.9965686,2.6115,0.0441,15.4175,0.0183,18.1022,2.74,V,G,ba
2456757.8724469,2.9136,0.1287,15.2987,0.0480,16.9386,1.70,V,G,ba
2456770.9576619,2.5260,0.1487,15.4537,0.0640,16.7818,2.32,V,B,ba
2456778.0846044,2.9535,0.0503,15.2839,0.0185,17.9576,2.00,V,G,ba
2456781.9411729,2.6916,0.0556,15.3847,0.0225,17.8495,2.15,V,G,ba
2456782.7995623,2.5947,0.0751,15.4246,0.0315,17.5232,1.74,V,G,ba
2456783.8141359,2.6803,0.0718,15.3893,0.0291,17.5718,1.69,V,G,ba
2456784.9411133,2.8149,0.0879,15.3361,0.0339,17.3524,2.96,V,G,ba
2456785.9436398,2.5284,0.0486,15.4526,0.0209,17.9964,2.23,V,G,ba
2456788.9261311,2.6646,0.1125,15.3957,0.0459,17.0847,2.27,V,G,ba
2456796.0665045,2.7032,0.0987,15.3801,0.0397,17.2265,2.76,V,B,ba
2456796.9318371,2.7321,0.0689,15.3686,0.0274,17.6163,2.04,V,G,ba
2456797.9235972,2.6571,0.0460,15.3988,0.0188,18.0558,2.07,V,G,ba
2456798.9509692,2.8529,0.0623,15.3216,0.0238,17.7255,2.00,V,G,ba
2456800.9249307,2.7180,0.0397,15.3742,0.0159,18.2161,1.74,V,G,ba
2456802.9136748,2.6292,0.0463,15.4102,0.0192,18.0478,2.05,V,G,ba
2456805.9215595,2.7884,0.0510,15.3464,0.0199,17.9430,2.25,V,G,ba
2456808.8640684,2.5696,0.0509,15.4351,0.0216,17.9446,2.23,V,B,ba
2456811.9090467,2.7283,0.0461,15.3701,0.0184,18.0524,1.67,V,G,ba
2456813.9077091,2.8892,0.1088,15.3078,0.0409,17.1209,1.76,V,B,ba
2456814.8908358,2.6263,0.0606,15.4114,0.0251,17.7554,1.64,V,G,ba
2456816.8937962,2.6296,0.0834,15.4101,0.0345,17.4096,1.71,V,G,ba
2456818.8917496,2.4886,0.1185,15.4699,0.0517,17.0283,1.81,V,G,ba
2456822.9963147,2.7799,0.1570,15.3497,0.0614,16.7228,1.75,V,B,ba
2456823.9999143,2.5704,0.1178,15.4348,0.0498,17.0348,2.08,V,B,ba
2456824.8944753,2.6801,0.0830,15.3894,0.0337,17.4142,1.65,V,G,ba
2456825.9981111,2.6190,0.3280,15.4144,0.1361,15.9227,1.64,V,B,ba
2456826.9412498,2.6070,0.0531,15.4194,0.0222,17.8987,1.64,V,G,ba
2456828.9309655,2.5969,0.0449,15.4236,0.0188,18.0822,1.83,V,G,ba
2456829.8792746,2.7318,0.0458,15.3687,0.0182,18.0600,1.61,V,G,ba
2456832.867038,2.6238,0.0592,15.4124,0.0245,17.7819,1.74,V,G,ba
2456834.8717412,2.7890,0.0462,15.3462,0.0180,18.0497,2.32,V,G,ba
2456847.844769,2.6443,0.1204,15.4040,0.0495,17.0108,2.04,V,B,ba
2456848.8553092,2.5631,0.1240,15.4379,0.0526,16.9785,2.01,V,B,ba
2456850.8714675,2.6562,0.1381,15.3991,0.0565,16.8617,2.09,V,B,ba
2456855.8772432,2.7520,0.0621,15.3606,0.0245,17.7291,1.70,V,G,ba
2456856.8868343,2.7823,0.0515,15.3488,0.0201,17.9322,1.64,V,G,ba
2456857.8439203,2.7150,0.0549,15.3754,0.0220,17.8634,1.82,V,G,ba
2456863.8301012,2.5990,0.0406,15.4228,0.0170,18.1900,2.03,V,G,ba
2456864.8284069,2.8933,0.0445,15.3063,0.0167,18.0925,1.88,V,G,ba
2456866.8238755,2.7254,0.0370,15.3712,0.0148,18.2904,2.00,V,G,ba
2456875.822414,3.0295,0.0866,15.2564,0.0311,17.3680,2.22,V,G,ba
2456881.7928054,3.1228,0.1078,15.2234,0.0375,17.1311,2.13,V,G,ba
2456882.7897005,2.5565,0.0718,15.4407,0.0305,17.5727,2.05,V,G,ba
2456884.7944021,2.7004,0.0391,15.3812,0.0157,18.2331,2.22,V,G,ba
2456886.7958345,2.7613,0.0567,15.3570,0.0223,17.8282,2.29,V,G,ba
2456888.7752524,2.6654,0.0376,15.3954,0.0153,18.2744,1.72,V,G,ba
2456889.7774869,2.8660,0.0512,15.3166,0.0194,17.9387,1.83,V,G,ba
2456890.7749769,2.7795,0.0466,15.3499,0.0182,18.0408,2.05,V,G,ba
2456892.773427,2.8222,0.0465,15.3333,0.0179,18.0448,1.76,V,G,ba
2456894.7587508,2.8291,0.0508,15.3307,0.0195,17.9468,2.08,V,G,ba
2456896.7686264,2.7243,0.0385,15.3717,0.0154,18.2485,2.09,V,G,ba
2456898.7648491,2.6781,0.0427,15.3902,0.0173,18.1373,1.70,V,G,ba
2456900.76069,2.9070,0.0498,15.3012,0.0186,17.9685,2.05,V,G,ba
2456904.746981,2.7676,0.0767,15.3545,0.0301,17.5009,2.21,V,B,ba
2456906.7528624,2.8837,0.1120,15.3099,0.0422,17.0892,2.05,V,G,ba
2456907.7277661,2.6143,0.1182,15.4164,0.0491,17.0310,2.21,V,G,ba
2456908.7682719,2.5578,0.1245,15.4401,0.0529,16.9740,2.51,V,G,ba
2456910.765515,2.6882,0.1000,15.3861,0.0404,17.2123,2.26,V,G,ba
2456911.736756,2.6093,0.0489,15.4185,0.0204,17.9883,2.92,V,B,ba
2456912.736648,2.8996,0.0597,15.3039,0.0224,17.7732,2.07,V,G,ba
2456913.7321863,2.7259,0.0544,15.3710,0.0217,17.8741,2.06,V,G,ba
2456914.7200329,2.8574,0.1292,15.3199,0.0491,16.9344,2.23,V,G,ba
2456915.7166217,2.6934,0.1454,15.3840,0.0587,16.8062,2.33,V,G,ba
2456917.7209995,2.5934,0.0678,15.4251,0.0284,17.6340,2.56,V,G,ba
2456919.7170521,2.5413,0.0894,15.4472,0.0382,17.3344,2.39,V,B,ba
2456920.7161107,2.6514,0.0890,15.4011,0.0365,17.3389,2.61,V,B,ba
2457018.1580244,2.4774,0.0428,15.4748,0.0188,18.1329,1.70,V,G,ba
2457024.1642952,2.4516,0.0792,15.4862,0.0351,17.4656,1.85,V,G,ba
2457032.1515856,2.6586,0.0811,15.3981,0.0331,17.4403,1.71,V,G,ba
2457037.1440185,2.6563,0.0596,15.3991,0.0244,17.7735,1.64,V,G,ba
2457039.1393116,2.6843,0.0508,15.3877,0.0206,17.9484,1.69,V,G,ba
2457040.1229895,2.5587,0.0463,15.4397,0.0197,18.0490,1.70,V,G,ba
2457042.1350582,2.5423,0.0382,15.4467,0.0163,18.2575,1.65,V,G,ba
2457044.1284791,2.6507,0.0404,15.4014,0.0166,18.1969,1.85,V,G,ba
2457046.1209949,2.6991,0.0375,15.3817,0.0151,18.2783,1.65,V,G,ba
2457048.1386201,2.7493,0.0435,15.3617,0.0172,18.1160,1.64,V,G,ba
2457050.1158283,2.6495,0.0459,15.4019,0.0188,18.0578,1.71,V,G,ba
2457052.128892,2.5908,0.0315,15.4262,0.0132,18.4670,1.78,V,G,ba
2457054.1039934,2.5288,0.0509,15.4525,0.0219,17.9459,1.67,V,G,ba
2457055.1159496,2.6650,0.0717,15.3955,0.0292,17.5733,1.65,V,G,ba
2457061.1040277,2.2559,0.0787,15.5765,0.0379,17.4720,1.80,V,G,ba
2457069.092213,2.7991,0.0579,15.3422,0.0225,17.8059,1.73,V,G,ba
2457071.0793756,2.4563,0.0386,15.4841,0.0171,18.2451,1.63,V,G,ba
