# ASAS-SN SkyPatrol ID: 240518860082
# ATLAS-REFCAT2: 134342411932379227
# Gaia DR2: 1206013455075563008
# TESS Input Catalog (TIC): 445893154
# Million Quasars Catalog (MILLIQUAS): SDSS J160446.37+215726.1
# AllWISE AGN Catalog: WISEA J160446.37+215726.0
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J160446.37+215726.1


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0123707,1.7178,0.0500,15.8723,0.0317,17.9641,2.19,V,G,ba
2456345.0977588,1.4583,0.0764,16.0502,0.0569,17.5050,1.72,V,B,ba
2456352.1316586,1.7165,0.0979,15.8732,0.0620,17.2355,2.23,V,G,ba
2456354.1321361,1.4414,0.1017,16.0629,0.0767,17.1939,2.19,V,G,ba
2456358.0736196,1.2822,0.0613,16.1899,0.0519,17.7442,1.81,V,G,ba
2456359.0329213,1.5291,0.0510,15.9987,0.0362,17.9437,1.84,V,G,ba
2456387.0391619,1.7002,0.0673,15.8835,0.0430,17.6420,2.35,V,G,ba
2456389.0476685,1.5860,0.0571,15.9590,0.0392,17.8202,2.07,V,G,ba
2456390.0446791,1.5954,0.0384,15.9526,0.0261,18.2521,2.06,V,G,ba
2456393.0388012,1.5698,0.0408,15.9702,0.0283,18.1857,2.05,V,G,ba
2456396.0647145,1.4455,0.0584,16.0597,0.0439,17.7969,2.03,V,B,ba
2456398.9889785,1.6882,0.0557,15.8912,0.0359,17.8468,2.27,V,B,ba
2456401.0059645,1.6153,0.0389,15.9391,0.0262,18.2362,2.26,V,G,ba
2456402.9705509,1.4826,0.0518,16.0322,0.0380,17.9273,2.13,V,G,ba
2456406.9501169,1.7494,0.1280,15.8526,0.0795,16.9443,2.19,V,G,ba
2456412.9488764,1.6265,0.0669,15.9316,0.0447,17.6495,2.34,V,G,ba
2456435.9112425,1.1689,0.1455,16.2904,0.1353,16.8051,2.90,V,G,ba
2456444.8937994,1.5268,0.0573,16.0003,0.0408,17.8179,2.59,V,G,ba
2456451.8328423,1.6330,0.0638,15.9273,0.0425,17.7005,2.12,V,G,ba
2456459.8465558,1.5188,0.0731,16.0061,0.0523,17.5521,2.08,V,G,ba
2456463.8500621,1.7740,0.1210,15.8374,0.0741,17.0057,1.72,V,G,ba
2456468.9195827,2.1164,0.1955,15.6458,0.1004,16.4843,2.02,V,B,ba
2456473.8513781,1.4549,0.0532,16.0527,0.0398,17.8967,2.16,V,G,ba
2456477.8425799,1.4832,0.0603,16.0318,0.0442,17.7622,1.72,V,G,ba
2456482.8839284,1.5130,0.0562,16.0102,0.0404,17.8385,2.29,V,G,ba
2456486.8173185,1.5159,0.0632,16.0081,0.0453,17.7113,2.00,V,G,ba
2456491.7990435,1.8506,0.0954,15.7915,0.0560,17.2634,1.67,V,G,ba
2456497.8111929,1.9417,0.1298,15.7393,0.0727,16.9293,1.68,V,B,ba
2456510.8109095,1.6213,0.0750,15.9351,0.0503,17.5254,1.79,V,G,ba
2456517.7571776,1.6755,0.0730,15.8994,0.0474,17.5535,1.79,V,G,ba
2456521.7732643,1.5382,0.0978,15.9922,0.0691,17.2362,1.71,V,G,ba
2456523.7718592,1.9009,0.1631,15.7624,0.0933,16.6812,2.05,V,G,ba
2456528.7466652,1.5801,0.0493,15.9631,0.0339,17.9806,1.73,V,G,ba
2456534.7487412,1.3884,0.0726,16.1035,0.0568,17.5603,1.71,V,G,ba
2456537.7500078,1.4529,0.0496,16.0542,0.0371,17.9727,1.84,V,G,ba
2456549.7164182,1.9551,0.2126,15.7319,0.1182,16.3935,2.03,V,G,ba
2456651.1579446,1.4708,0.0683,16.0409,0.0505,17.6261,1.70,V,G,bd
2456658.1481585,1.5133,0.0679,16.0100,0.0487,17.6332,1.63,V,G,bd
2456675.106477,1.6459,0.0906,15.9188,0.0598,17.3195,1.60,V,G,bd
2456677.0974635,1.3793,0.0818,16.1106,0.0645,17.4299,1.80,V,G,bd
2456701.0498136,1.6809,0.1001,15.8959,0.0647,17.2111,1.42,V,G,bd
2456730.086663,1.5516,0.0698,15.9828,0.0489,17.6021,1.51,V,B,bd
2456731.0594391,1.6255,0.0682,15.9323,0.0456,17.6283,1.70,V,G,bd
2456735.9922432,1.4295,0.1139,16.0718,0.0866,17.0710,1.47,V,G,bd
2456741.1041341,1.5795,0.0629,15.9635,0.0433,17.7164,1.94,V,G,bd
2456744.0000838,1.4566,0.0436,16.0514,0.0326,18.1124,1.53,V,G,bd
2456755.9812792,1.4921,0.0743,16.0253,0.0541,17.5350,1.67,V,B,bd
2456757.9342019,1.4584,0.0567,16.0501,0.0422,17.8292,1.49,V,G,bd
2456771.9289158,1.5750,0.0432,15.9666,0.0298,18.1230,2.10,V,G,bd
2456772.966628,1.5836,0.0492,15.9607,0.0338,17.9827,2.11,V,G,bd
2456781.9351318,1.6498,0.0563,15.9162,0.0371,17.8367,1.53,V,G,bd
2456783.9439852,1.4985,0.0392,16.0206,0.0285,18.2283,1.62,V,G,bd
2456784.9357296,1.4920,0.0392,16.0253,0.0286,18.2291,1.68,V,G,bd
2456785.93824,1.2764,0.0626,16.1948,0.0533,17.7211,2.05,V,G,bd
2456787.7848186,1.6819,0.0993,15.8953,0.0642,17.2195,1.73,V,G,bd
2456788.803959,1.6215,0.1134,15.9350,0.0760,17.0761,1.44,V,G,bd
2456796.0365205,1.6090,0.0851,15.9434,0.0575,17.3881,1.47,V,B,bd
2456796.9263426,1.5989,0.0526,15.9502,0.0358,17.9090,1.42,V,G,bd
2456797.9207979,1.5832,0.0460,15.9610,0.0316,18.0560,1.43,V,G,bd
2456798.9537135,1.5389,0.0463,15.9918,0.0327,18.0478,1.47,V,G,bd
2456800.9194467,1.5150,0.0365,16.0088,0.0262,18.3060,1.46,V,G,bd
2456802.908205,1.6182,0.0494,15.9372,0.0332,17.9779,1.48,V,G,bd
2456805.9133123,1.5103,0.0549,16.0121,0.0395,17.8642,1.51,V,G,bd
2456808.8973931,1.5388,0.0712,15.9918,0.0503,17.5812,1.50,V,B,bd
2456811.9063364,1.6380,0.0462,15.9240,0.0306,18.0518,1.44,V,G,bd
2456812.8925735,1.4933,0.0486,16.0244,0.0354,17.9961,1.46,V,G,bd
2456813.9048725,1.3027,0.0942,16.1727,0.0786,17.2768,1.55,V,B,bd
2456814.8463931,1.4311,0.0675,16.0706,0.0513,17.6388,1.44,V,G,bd
2456815.8892405,1.3302,0.0563,16.1500,0.0460,17.8365,1.47,V,G,bd
2456818.8860572,1.6108,0.0693,15.9421,0.0467,17.6111,1.43,V,G,bd
2456822.9873381,1.6807,0.1060,15.8961,0.0685,17.1495,1.68,V,G,bd
2456824.9780202,1.6532,0.0650,15.9140,0.0427,17.6808,1.46,V,G,bd
2456826.9589103,1.6509,0.0545,15.9155,0.0359,17.8707,1.57,V,G,bd
2456829.9167685,1.5071,0.0422,16.0144,0.0305,18.1478,1.50,V,G,bd
2456830.8535755,1.6809,0.0498,15.8959,0.0322,17.9695,1.62,V,B,bd
2456833.9061008,1.4716,0.0504,16.0403,0.0372,17.9572,1.59,V,G,bd
2456834.8803522,1.3571,0.0465,16.1283,0.0372,18.0436,1.65,V,G,bd
2456847.8419036,1.4787,0.0859,16.0351,0.0631,17.3779,1.52,V,B,bd
2456851.8382106,1.5420,0.1159,15.9896,0.0817,17.0524,1.48,V,B,bd
2456855.847829,1.5611,0.0373,15.9762,0.0260,18.2820,1.49,V,G,bd
2456856.8358863,1.4463,0.0448,16.0592,0.0337,18.0838,1.46,V,G,bd
2456857.840894,1.4277,0.0500,16.0732,0.0380,17.9659,1.50,V,G,bd
2456882.7841672,1.5790,0.0575,15.9638,0.0396,17.8134,1.83,V,G,bd
2456883.7848342,1.6168,0.0476,15.9381,0.0320,18.0181,1.83,V,G,bd
2456884.7886472,1.4678,0.0454,16.0431,0.0337,18.0686,1.64,V,G,bd
2456886.7904996,1.4519,0.0749,16.0549,0.0561,17.5264,2.02,V,G,bd
2456887.7808681,1.5916,0.0630,15.9552,0.0430,17.7147,1.54,V,G,bd
2456890.7721604,1.5605,0.0556,15.9766,0.0387,17.8501,1.44,V,G,bd
2456891.7667122,1.4386,0.0592,16.0649,0.0447,17.7814,1.46,V,G,bd
2456892.7704341,1.5334,0.0385,15.9956,0.0273,18.2495,1.56,V,G,bd
2456894.7644907,1.5957,0.0527,15.9524,0.0359,17.9080,1.61,V,G,bd
2456896.763004,1.6008,0.0406,15.9490,0.0276,18.1902,1.47,V,G,bd
2456897.7540129,1.6363,0.0458,15.9251,0.0304,18.0608,1.43,V,G,bd
2456900.7493787,1.3544,0.0631,16.1304,0.0506,17.7122,1.45,V,G,bd
2456904.7382154,1.5546,0.0732,15.9807,0.0511,17.5518,1.55,V,B,bd
2456906.7442108,1.5252,0.0863,16.0015,0.0615,17.3721,1.50,V,G,bd
2456908.7623515,1.4957,0.1268,16.0226,0.0922,16.9543,1.55,V,G,bd
2456910.7539662,1.7007,0.0760,15.8832,0.0486,17.5105,1.49,V,G,bd
2456911.7249802,1.3832,0.0689,16.1075,0.0542,17.6161,1.84,V,B,bd
2456912.7246258,1.6145,0.0868,15.9397,0.0584,17.3660,1.49,V,B,bd
2456913.7206375,1.2262,0.1020,16.2384,0.0904,17.1912,1.56,V,G,bd
2456914.7171341,1.6605,0.1188,15.9092,0.0778,17.0255,1.58,V,G,bd
2456916.7156946,1.2904,0.1533,16.1830,0.1291,16.7485,1.59,V,G,bd
2457018.1639681,1.6583,0.0705,15.9106,0.0462,17.5921,1.61,V,G,bd
2457022.1566814,1.6068,0.0764,15.9448,0.0517,17.5051,1.81,V,G,bd
2457030.1530256,1.3089,0.0943,16.1675,0.0783,17.2762,2.09,V,G,bd
2457031.1405057,1.7187,0.1198,15.8718,0.0758,17.0162,1.65,V,G,bd
2457037.1326123,1.6171,0.0576,15.9379,0.0387,17.8106,1.43,V,G,bd
2457040.1286303,1.4907,0.0483,16.0263,0.0352,18.0017,1.52,V,G,bd
2457042.126562,1.5796,0.0439,15.9634,0.0302,18.1053,1.47,V,G,bd
2457044.1224518,1.3691,0.0587,16.1187,0.0466,17.7909,1.45,V,G,bd
2457046.1181771,1.5552,0.0501,15.9803,0.0350,17.9637,1.53,V,G,bd
2457048.1121377,1.4642,0.0391,16.0458,0.0290,18.2331,1.64,V,G,bd
2457050.1128641,1.3216,0.0475,16.1570,0.0391,18.0209,1.46,V,G,bd
2457052.1178599,1.4247,0.0485,16.0755,0.0370,17.9985,1.64,V,G,bd
2457054.0981363,1.6037,0.0631,15.9470,0.0428,17.7127,1.63,V,G,bd
2457056.1097439,1.5123,0.0873,16.0107,0.0628,17.3593,1.60,V,G,bd
2457061.089651,1.4734,0.0851,16.0390,0.0628,17.3879,2.19,V,G,bd
2457062.0537043,1.3092,0.0801,16.1673,0.0665,17.4534,2.21,V,G,bd
2457069.0805932,1.5548,0.0501,15.9806,0.0351,17.9620,1.81,V,G,bd
2457071.0765219,1.4935,0.0495,16.0243,0.0360,17.9756,1.47,V,G,bd
2457074.0723679,1.6036,0.0489,15.9471,0.0331,17.9901,1.58,V,G,bd
2457078.0659423,1.5158,0.0443,16.0081,0.0318,18.0967,1.61,V,G,bd
2457081.0581493,1.6440,0.0445,15.9200,0.0294,18.0922,1.54,V,G,bd
2457084.0601738,1.6257,0.1021,15.9322,0.0682,17.1902,1.57,V,G,bd
