# ASAS-SN SkyPatrol ID: 171799634051
# ATLAS-REFCAT2: 141512417173433622
# Gaia DR2: 1316820999972307328
# TESS Input Catalog (TIC): 236327913
# Million Quasars Catalog (MILLIQUAS): NPM 1G+28.0371
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+28.0371


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456003.1275556,1.5965,0.0687,15.9518,0.0468,17.6201,1.83,V,G,bb
2456220.7059709,2.1721,0.0877,15.6176,0.0439,17.3549,2.25,V,B,bb
2456227.7012303,1.6208,0.2089,15.9354,0.1401,16.4123,2.44,V,G,bb
2456338.0197971,1.9698,0.0501,15.7237,0.0276,17.9628,2.27,V,G,bb
2456349.0741105,1.8675,0.1306,15.7816,0.0760,16.9228,3.03,V,B,bb
2456377.0782953,1.8654,0.0977,15.7828,0.0569,17.2377,2.27,V,G,bb
2456387.093299,1.8978,0.0443,15.7642,0.0254,18.0960,1.76,V,G,bb
2456389.0662788,1.7693,0.0424,15.8403,0.0260,18.1442,2.07,V,G,bb
2456390.0579085,1.8008,0.0388,15.8211,0.0234,18.2399,2.01,V,G,bb
2456393.0520255,1.8599,0.0448,15.7860,0.0262,18.0832,2.06,V,G,bb
2456396.0627528,1.9033,0.0552,15.7610,0.0315,17.8575,2.06,V,B,bb
2456399.0023813,1.9774,0.0561,15.7196,0.0308,17.8408,1.70,V,B,bb
2456401.0213009,1.9097,0.0609,15.7573,0.0346,17.7512,2.07,V,G,bb
2456402.9919095,1.8889,0.0618,15.7693,0.0355,17.7354,2.04,V,G,bb
2456411.9411213,2.6215,0.2992,15.4134,0.1241,16.0225,1.79,V,B,bb
2456434.9179179,1.8423,0.0904,15.7964,0.0533,17.3224,1.74,V,G,bb
2456443.9872612,1.8098,0.0600,15.8157,0.0360,17.7678,1.71,V,G,bb
2456449.8970898,2.0740,0.0478,15.6678,0.0250,18.0140,2.02,V,G,bb
2456453.8835879,2.0216,0.0937,15.6955,0.0504,17.2826,1.77,V,B,bb
2456458.8772354,1.7641,0.0485,15.8435,0.0299,17.9977,1.78,V,G,bb
2456461.9511819,2.0475,0.0856,15.6817,0.0455,17.3807,2.01,V,G,bb
2456464.8694295,1.6216,0.1137,15.9349,0.0762,17.0729,2.06,V,G,bb
2456470.8573184,2.0829,0.0609,15.6631,0.0318,17.7516,1.75,V,G,bb
2456471.8276987,1.9914,0.0493,15.7119,0.0269,17.9800,1.79,V,G,bb
2456475.8917346,1.8742,0.0633,15.7777,0.0367,17.7091,2.02,V,G,bb
2456479.8899249,2.0099,0.0475,15.7018,0.0257,18.0216,1.78,V,G,bb
2456483.8536291,1.9747,0.0490,15.7210,0.0270,17.9862,2.11,V,G,bb
2456487.7916619,1.7596,0.0570,15.8462,0.0352,17.8234,2.04,V,G,bb
2456490.8324374,1.7250,0.0680,15.8678,0.0428,17.6315,1.93,V,G,bb
2456494.8287729,1.6107,0.1299,15.9422,0.0877,16.9279,1.69,V,B,bb
2456509.8095535,1.9529,0.0565,15.7331,0.0314,17.8330,1.91,V,G,bb
2456516.7756857,1.9693,0.0543,15.7240,0.0299,17.8763,2.23,V,G,bb
2456520.7775684,1.8558,0.0775,15.7885,0.0454,17.4897,2.15,V,G,bb
2456525.7595636,1.8795,0.1319,15.7747,0.0763,16.9121,2.53,V,G,bb
2456528.7689397,1.7942,0.0494,15.8251,0.0300,17.9770,2.02,V,G,bb
2456534.7571214,1.8790,0.0514,15.7749,0.0297,17.9351,2.04,V,G,bb
2456538.75486,1.9747,0.0540,15.7210,0.0297,17.8814,2.16,V,G,bb
2456549.7303334,1.7864,0.0785,15.8298,0.0478,17.4751,2.91,V,G,bb
2456651.1553048,1.6607,0.1114,15.9090,0.0729,17.0950,1.72,V,G,bb
2456651.1553048,2.0121,0.1299,15.7006,0.0702,16.9282,1.74,V,G,bd
2456659.1392458,2.0903,0.0609,15.6592,0.0317,17.7512,2.66,V,G,bb
2456675.1091968,1.3811,0.1478,16.1092,0.1164,16.7878,1.61,V,G,bd
2456677.1164931,2.1152,0.1431,15.6464,0.0736,16.8229,2.05,V,G,bd
2456678.1702438,2.3708,0.1353,15.5225,0.0620,16.8843,2.02,V,G,bd
2456701.076889,1.6395,0.1325,15.9230,0.0878,16.9071,1.78,V,G,bb
2456701.076889,1.7856,0.1536,15.8303,0.0935,16.7462,1.49,V,G,bd
2456730.0893091,1.8201,0.1309,15.8095,0.0781,16.9203,1.74,V,B,bb
