# ASAS-SN SkyPatrol ID: 146029407126
# ATLAS-REFCAT2: 138642419446555546
# Gaia DR2: 1315164035949511808
# TESS Input Catalog (TIC): 236329970
# Million Quasars Catalog (MILLIQUAS): PGC 1740204
# AllWISE AGN Catalog: WISEA J160746.71+253214.8
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 1740204
# GLADE HyperLEDA: 1740204
# GLADE 2MASS Extended Source Catalog: 16074670+2532143


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456003.1275556,0.8551,0.0577,16.6297,0.0733,17.8100,1.83,V,G,bb
2456220.7059709,0.8495,0.0798,16.6368,0.1021,17.4575,2.25,V,B,bb
2456227.7012303,1.4611,0.1436,16.0481,0.1068,16.8194,2.44,V,G,bb
2456338.0197971,0.9205,0.0329,16.5497,0.0388,18.4199,2.27,V,G,bb
2456349.0741105,1.1536,0.0751,16.3046,0.0708,17.5227,3.03,V,B,bb
2456377.0782953,0.9309,0.0717,16.5376,0.0838,17.5730,2.27,V,G,bb
2456387.093299,0.8882,0.0392,16.5885,0.0480,18.2292,1.76,V,G,bb
2456389.0662788,1.0069,0.0415,16.4523,0.0448,18.1662,2.07,V,G,bb
2456390.0579085,0.9979,0.0273,16.4621,0.0297,18.6225,2.01,V,G,bb
2456393.0520255,0.9298,0.0290,16.5388,0.0339,18.5557,2.06,V,G,bb
2456396.0627528,0.8883,0.0605,16.5883,0.0740,17.7581,2.06,V,B,bb
2456399.0023813,0.9491,0.0467,16.5166,0.0535,18.0397,1.70,V,B,bb
2456401.0213009,0.8421,0.0572,16.6464,0.0738,17.8198,2.07,V,G,bb
2456402.9919095,1.1533,0.0548,16.3049,0.0517,17.8646,2.04,V,G,bb
2456411.9411213,1.6503,0.2683,15.9158,0.1767,16.1409,1.79,V,B,bb
2456434.9179179,1.0106,0.0758,16.4484,0.0815,17.5135,1.74,V,G,bb
2456443.9872612,0.8783,0.0505,16.6007,0.0625,17.9547,1.71,V,G,bb
2456449.8970898,0.9275,0.0399,16.5415,0.0468,18.2099,2.02,V,G,bb
2456453.8835879,0.7770,0.0746,16.7337,0.1044,17.5301,1.77,V,B,bb
2456458.8772354,0.8773,0.0466,16.6019,0.0578,18.0404,1.78,V,G,bb
2456461.9511819,0.8951,0.0526,16.5801,0.0639,17.9092,2.01,V,G,bb
2456464.8694295,1.0352,0.1101,16.4222,0.1156,17.1076,2.06,V,G,bb
2456470.8573184,0.7759,0.0507,16.7353,0.0711,17.9494,1.75,V,G,bb
2456471.8276987,0.8250,0.0404,16.6687,0.0532,18.1974,1.79,V,G,bb
2456475.8917346,0.8770,0.0543,16.6023,0.0673,17.8753,2.02,V,G,bb
2456479.8899249,1.1637,0.0420,16.2952,0.0392,18.1548,1.78,V,G,bb
2456483.8536291,1.0576,0.0415,16.3989,0.0427,18.1666,2.11,V,G,bb
2456487.7916619,0.8780,0.0358,16.6011,0.0443,18.3271,2.04,V,G,bb
2456490.8324374,1.0246,0.0649,16.4334,0.0688,17.6819,1.93,V,G,bb
2456494.8287729,0.8012,0.1257,16.7004,0.1705,16.9640,1.69,V,B,bb
2456509.8095535,0.9397,0.0421,16.5274,0.0487,18.1507,1.91,V,G,bb
2456516.7756857,0.8162,0.0456,16.6802,0.0607,18.0654,2.23,V,G,bb
2456520.7775684,0.8779,0.0753,16.6011,0.0933,17.5201,2.15,V,G,bb
2456525.7595636,1.2454,0.1098,16.2215,0.0958,17.1106,2.53,V,G,bb
2456528.7689397,0.8931,0.0446,16.5825,0.0543,18.0889,2.02,V,G,bb
2456534.7571214,0.9275,0.0522,16.5415,0.0611,17.9191,2.04,V,G,bb
2456538.75486,0.9855,0.0442,16.4756,0.0487,18.0995,2.16,V,G,bb
2456549.7303334,0.7423,0.0772,16.7834,0.1130,17.4935,2.91,V,G,bb
2456651.1553048,0.8700,0.0743,16.6110,0.0929,17.5346,1.72,V,G,bb
2456659.1392458,1.0032,0.0577,16.4563,0.0625,17.8092,2.66,V,G,bb
2456701.076889,0.8882,0.0837,16.5885,0.1025,17.4049,1.78,V,G,bb
2456730.0893091,0.8894,0.0676,16.5870,0.0826,17.6376,1.74,V,B,bb
2456731.0620574,0.6129,0.1284,16.9407,99.9990,16.9407,1.74,V,G,bb
2456734.1060835,1.4024,0.1259,16.0926,0.0976,16.9621,1.77,V,G,bb
2456736.0959166,0.7759,0.0850,16.7352,0.1191,17.3887,1.71,V,G,bb
2456741.0205661,0.9074,0.0637,16.5652,0.0763,17.7021,2.22,V,G,bb
2456744.0027427,0.8598,0.0413,16.6238,0.0522,18.1717,2.20,V,G,bb
2456752.116835,0.8338,0.0336,16.6572,0.0439,18.3953,2.05,V,G,bb
2456757.872454,0.7891,0.1137,16.7169,0.1566,17.0727,1.74,V,G,bb
2456770.9576619,0.6672,0.1930,16.4984,99.9990,16.4984,2.33,V,B,bb
2456778.0845997,0.8191,0.0481,16.6764,0.0638,18.0078,1.99,V,G,bb
2456781.9411729,0.8450,0.0543,16.6426,0.0698,17.8760,1.81,V,G,bb
2456782.7995693,0.8744,0.0712,16.6056,0.0885,17.5817,1.68,V,G,bb
2456783.8141359,0.8812,0.0595,16.5971,0.0734,17.7757,1.71,V,G,bb
2456784.9411203,1.0040,0.0516,16.4554,0.0558,17.9314,1.64,V,G,bb
2456785.9436398,0.9631,0.0506,16.5006,0.0572,17.9509,1.67,V,G,bb
2456788.9261241,0.9134,0.0927,16.5582,0.1103,17.2949,2.06,V,G,bb
2456796.0665045,0.9633,0.1168,16.5004,0.1318,17.0437,1.75,V,B,bb
2456796.9318371,0.8260,0.0702,16.6673,0.0924,17.5959,1.66,V,G,bb
2456797.9235972,0.8777,0.0560,16.6015,0.0694,17.8416,1.75,V,G,bb
2456798.9509692,0.9957,0.0425,16.4645,0.0464,18.1416,1.70,V,G,bb
2456800.9249307,0.7689,0.0542,16.7451,0.0766,17.8777,1.68,V,G,bb
2456802.9136748,0.8433,0.0467,16.6448,0.0601,18.0399,1.70,V,G,bb
2456805.9215595,0.7391,0.0407,16.7880,0.0599,18.1871,1.72,V,G,bb
2456808.8640684,0.9110,0.0565,16.5610,0.0674,17.8318,2.02,V,B,bb
2456811.9090467,0.8442,0.0377,16.6437,0.0485,18.2728,1.72,V,G,bb
2456813.9077091,1.2284,0.1057,16.2365,0.0935,17.1521,1.82,V,B,bb
2456814.8908358,0.9153,0.0603,16.5559,0.0716,17.7616,1.98,V,G,bb
2456816.8937962,0.7501,0.0583,16.7720,0.0844,17.7986,1.79,V,G,bb
2456818.8917496,0.7899,0.0776,16.7159,0.1068,17.4870,1.70,V,G,bb
2456822.9963147,1.0487,0.1389,16.4082,0.1440,16.8553,2.13,V,B,bb
2456823.9999143,0.5183,0.1221,16.9954,99.9990,16.9954,2.12,V,B,bb
2456824.8944753,0.9347,0.0633,16.5331,0.0736,17.7091,2.07,V,G,bb
2456825.9981111,0.1733,0.3218,15.9435,99.9990,15.9435,2.04,V,B,bb
2456826.9412498,1.0069,0.0542,16.4523,0.0585,17.8775,2.09,V,G,bb
2456828.9309655,0.7829,0.0489,16.7255,0.0679,17.9891,2.02,V,G,bb
2456829.8792746,0.8650,0.0388,16.6173,0.0488,18.2402,2.17,V,G,bb
2456832.867038,0.8177,0.0439,16.6784,0.0584,18.1063,1.78,V,G,bb
2456834.8717465,0.7872,0.0488,16.7196,0.0673,17.9921,2.02,V,G,bb
2456847.844769,0.9721,0.1050,16.4905,0.1174,17.1592,1.71,V,G,bb
2456848.8553092,0.8238,0.1242,16.6703,0.1639,16.9769,1.69,V,B,bb
2456850.8728844,1.4587,0.1827,16.0499,0.1361,16.5581,1.74,V,B,bb
2456855.8772432,0.9630,0.0567,16.5007,0.0640,17.8277,1.66,V,G,bb
2456856.8868343,0.9014,0.0479,16.5725,0.0578,18.0109,1.82,V,G,bb
2456857.843931,0.9208,0.0323,16.5494,0.0381,18.4388,1.68,V,G,bb
2456863.8301012,0.8166,0.0426,16.6797,0.0567,18.1393,1.72,V,G,bb
2456864.8284069,0.8203,0.0344,16.6749,0.0456,18.3708,1.65,V,G,bb
2456866.8238708,1.1523,0.0424,16.3058,0.0400,18.1444,1.75,V,G,bb
2456875.822414,0.6762,0.0835,16.8846,0.1343,17.4078,2.02,V,G,bb
2456881.7928054,0.9015,0.0805,16.5724,0.0970,17.4481,1.69,V,G,bb
2456882.7897005,0.9185,0.0793,16.5520,0.0939,17.4635,1.72,V,G,bb
2456884.7944021,1.0818,0.0433,16.3745,0.0435,18.1210,1.70,V,G,bb
2456886.7958345,0.8077,0.0466,16.6916,0.0628,18.0404,2.05,V,G,bb
2456888.7752524,0.9247,0.0478,16.5448,0.0562,18.0132,1.64,V,G,bb
2456889.7774869,0.9485,0.0479,16.5172,0.0549,18.0121,1.77,V,G,bb
2456890.7749769,0.7885,0.0484,16.7177,0.0668,17.9993,1.69,V,G,bb
2456892.773427,0.8336,0.0406,16.6574,0.0530,18.1908,1.79,V,G,bb
2456894.7587508,0.8396,0.0593,16.6496,0.0767,17.7802,1.73,V,G,bb
2456896.7686264,0.9448,0.0483,16.5214,0.0556,18.0014,1.71,V,G,bb
2456898.7648491,0.9631,0.0449,16.5007,0.0506,18.0827,1.72,V,G,bb
2456900.76069,0.9424,0.0422,16.5241,0.0486,18.1501,1.74,V,G,bb
2456904.746981,0.8503,0.0843,16.6359,0.1077,17.3980,1.78,V,B,bb
2456906.7528671,0.8743,0.1106,16.6056,0.1375,17.1033,1.63,V,G,bb
2456907.7277661,0.9539,0.1071,16.5110,0.1221,17.1374,1.78,V,G,bb
2456908.7682719,1.2185,0.1419,16.2453,0.1265,16.8328,1.82,V,G,bb
2456911.736756,0.9435,0.0483,16.5230,0.0557,18.0017,2.04,V,B,bb
2456912.736648,0.8794,0.0639,16.5993,0.0790,17.6985,1.67,V,G,bb
2456913.7321863,0.8501,0.0452,16.6361,0.0578,18.0752,1.77,V,G,bb
2456914.7200329,0.8966,0.0920,16.5782,0.1116,17.3023,1.66,V,G,bb
2456915.7166217,1.0093,0.1456,16.4498,0.1569,16.8041,1.80,V,G,bb
2456917.7209995,0.9052,0.0745,16.5679,0.0894,17.5322,1.82,V,G,bb
2456919.7170521,0.6340,0.1087,16.9545,0.1864,17.1215,1.76,V,B,bb
2456920.7161107,1.0151,0.0781,16.4435,0.0836,17.4808,1.94,V,B,bb
2457018.1580292,0.7987,0.0728,16.7038,0.0990,17.5575,2.16,V,G,bb
2457024.1642952,0.8410,0.0912,16.6479,0.1178,17.3126,1.79,V,G,bb
2457032.1515856,0.9141,0.0886,16.5573,0.1053,17.3442,1.70,V,G,bb
2457037.1440185,0.9171,0.0576,16.5537,0.0682,17.8121,1.79,V,G,bb
2457039.1393116,0.8001,0.0641,16.7019,0.0871,17.6954,2.27,V,G,bb
2457040.1229895,0.8138,0.0481,16.6834,0.0642,18.0081,1.67,V,G,bb
2457042.1350582,0.7786,0.0470,16.7315,0.0656,18.0320,2.02,V,G,bb
2457044.1284791,0.9179,0.0406,16.5528,0.0481,18.1912,1.64,V,G,bb
2457046.1209949,0.7503,0.0403,16.7716,0.0583,18.1998,1.99,V,G,bb
2457048.1386201,0.9088,0.0467,16.5636,0.0559,18.0386,2.05,V,G,bb
2457050.1158283,0.7950,0.0519,16.7088,0.0709,17.9253,1.84,V,G,bb
2457052.1288966,0.9342,0.0410,16.5337,0.0476,18.1817,2.22,V,G,bb
2457054.1039934,1.0702,0.0616,16.3861,0.0626,17.7376,2.56,V,G,bb
2457055.1159496,1.0077,0.0785,16.4515,0.0847,17.4751,2.31,V,G,bb
2457061.1040277,0.9190,0.0873,16.5515,0.1032,17.3603,1.80,V,G,bb
2457069.0922177,0.8485,0.0488,16.6381,0.0625,17.9909,1.70,V,G,bb
2457071.0793756,0.9059,0.0422,16.5671,0.0507,18.1481,1.69,V,B,bb
2457074.0753963,0.9206,0.0453,16.5496,0.0535,18.0721,1.73,V,G,bb
2457078.0605582,0.8976,0.0524,16.5771,0.0635,17.9140,1.75,V,G,bb
2457079.0230082,0.7516,0.0534,16.7698,0.0772,17.8933,1.68,V,G,bb
2457083.0776482,0.8782,0.0573,16.6009,0.0710,17.8163,1.77,V,G,bb
2457085.0579436,0.7034,0.1117,16.8418,0.1725,17.0926,2.05,V,G,bb
2457095.1223352,0.8080,0.0787,16.6913,0.1059,17.4719,2.02,V,G,bb
2457097.0144528,0.8972,0.0479,16.5775,0.0580,18.0111,1.76,V,G,bb
2457099.0779595,0.8152,0.0445,16.6816,0.0593,18.0917,1.71,V,G,bb
2457099.9656931,0.8425,0.0407,16.6459,0.0525,18.1893,1.69,V,G,bb
2457103.0179821,0.8800,0.0540,16.5986,0.0667,17.8807,1.65,V,G,bb
2457105.9859079,0.8080,0.0555,16.6913,0.0746,17.8519,1.70,V,G,bb
2457109.9748526,0.8780,0.0567,16.6011,0.0702,17.8281,1.79,V,G,bb
2457111.933851,0.9625,0.0698,16.5013,0.0788,17.6027,1.69,V,G,bb
2457113.9295891,0.8697,0.1097,16.6114,0.1371,17.1118,1.67,V,G,bb
2457121.0916364,0.7932,0.0837,16.7113,0.1147,17.4060,1.77,V,B,bb
2457123.0572645,0.8883,0.0695,16.5884,0.0850,17.6081,1.77,V,G,bb
2457124.9551659,0.9510,0.0524,16.5143,0.0599,17.9138,1.73,V,G,bb
2457128.9658814,1.0412,0.0759,16.4159,0.0793,17.5115,1.79,V,G,bb
2457131.0146053,1.0115,0.0543,16.4473,0.0583,17.8763,1.73,V,G,bb
2457131.9771187,0.9445,0.0454,16.5217,0.0523,18.0686,1.71,V,G,bb
2457135.9194808,0.9606,0.0586,16.5034,0.0663,17.7925,1.64,V,G,bb
2457138.8626247,0.9236,0.0550,16.5460,0.0647,17.8613,1.63,V,G,bb
2457144.9126734,1.0461,0.1373,16.4108,0.1426,16.8683,1.81,V,G,bb
2457150.0080043,0.8749,0.0969,16.6049,0.1204,17.2468,1.83,V,G,bb
2457154.0181397,0.8465,0.0517,16.6408,0.0664,17.9286,1.66,V,B,bb
2457155.8895872,0.9216,0.0469,16.5484,0.0553,18.0339,1.70,V,G,bb
2457157.9364064,0.9253,0.0519,16.5440,0.0610,17.9245,1.75,V,G,bb
2457161.879976,0.8142,0.1066,16.6830,0.1424,17.1425,1.73,V,B,bb
2457162.9928423,0.9210,0.0367,16.5491,0.0433,18.3009,1.80,V,G,bb
2457165.8300948,0.7238,0.0452,16.8107,0.0679,18.0741,1.67,V,G,bb
2457167.9148327,0.9992,0.0593,16.4606,0.0645,17.7795,1.76,V,G,bb
2457171.8333728,0.8400,0.1286,16.6491,0.1665,16.9389,1.66,V,G,bb
2457173.7985339,0.9903,0.1352,16.4703,0.1484,16.8849,1.78,V,G,bb
2457176.952312,0.8511,0.1074,16.6348,0.1371,17.1353,1.81,V,G,bb
2457178.9469462,0.7449,0.1163,16.7795,0.1697,17.0483,1.69,V,B,bb
2457180.9924441,0.8730,0.0733,16.6072,0.0913,17.5491,1.66,V,G,bb
2457181.9247694,1.0772,0.0587,16.3790,0.0592,17.7908,1.63,V,G,bb
2457183.8669794,0.8834,0.0484,16.5943,0.0595,18.0004,1.70,V,G,bb
2457188.8974736,0.9280,0.0492,16.5409,0.0576,17.9833,1.70,V,G,bb
2457191.8435173,0.8963,0.0449,16.5786,0.0545,18.0809,1.71,V,G,bb
2457194.9420945,0.9264,0.0470,16.5428,0.0551,18.0331,2.07,V,G,bb
2457196.8956438,0.9479,0.0482,16.5179,0.0553,18.0045,2.03,V,G,bb
2457200.8011172,1.0364,0.0865,16.4209,0.0907,17.3703,1.66,V,G,bb
2457203.9375381,0.5900,0.1236,16.9824,99.9990,16.9824,1.69,V,G,bb
2457205.8656649,0.4753,0.1204,17.0109,99.9990,17.0109,1.68,V,B,bb
2457208.9116175,0.8982,0.0823,16.5764,0.0996,17.4233,1.77,V,G,bb
2457212.8003697,0.9725,0.0428,16.4901,0.0478,18.1335,1.78,V,G,bb
2457217.8185394,0.7659,0.0573,16.7494,0.0813,17.8174,1.87,V,G,bb
2457222.8220109,1.0021,0.0545,16.4575,0.0591,17.8713,1.73,V,G,bb
2457227.8201836,0.8079,0.0530,16.6914,0.0713,17.9020,2.01,V,G,bb
2457231.861191,0.9644,0.0973,16.4992,0.1096,17.2423,1.81,V,G,bb
2457237.8450281,1.0539,0.0681,16.4027,0.0703,17.6288,1.67,V,G,bb
2457240.8310451,0.8016,0.0500,16.6998,0.0679,17.9640,1.88,V,G,bb
2457243.8168176,0.7799,0.0485,16.7296,0.0677,17.9970,1.84,V,G,bb
2457245.8154239,1.0172,0.0430,16.4412,0.0460,18.1280,1.78,V,G,bb
2457250.8074028,0.7607,0.0648,16.7568,0.0927,17.6827,2.03,V,G,bb
2457251.7974623,0.9184,0.0330,16.5522,0.0390,18.4166,1.78,V,G,bb
2457256.8017387,1.0425,0.0630,16.4146,0.0657,17.7140,2.10,V,B,bb
2457262.7676015,0.7439,0.1115,16.7810,0.1629,17.0943,2.14,V,G,bb
2457266.7520465,0.8257,0.0385,16.6677,0.0507,18.2475,2.19,V,G,bb
2457270.7494715,0.7559,0.0511,16.7636,0.0734,17.9417,2.34,V,G,bb
2457273.7378824,0.9328,0.0367,16.5354,0.0427,18.3014,2.14,V,G,bb
2457275.7322194,0.9341,0.0540,16.5338,0.0628,17.8815,2.31,V,G,bb
