# ASAS-SN SkyPatrol ID: 661431361191
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: IRAS 15556+2736
# GLADE HyperLEDA: 84696
# GLADE 2MASS Extended Source Catalog: 15574349+2727530


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456003.1275556,2.2894,0.0531,15.5605,0.0252,17.8990,1.83,V,G,bb
2456220.7059709,2.5623,0.0859,15.4382,0.0364,17.3775,2.25,V,B,bb
2456227.7012303,2.8215,0.1698,15.3336,0.0654,16.6378,2.44,V,G,bb
2456338.0197971,2.5403,0.0366,15.4476,0.0157,18.3027,2.27,V,G,bb
2456349.0741105,2.2874,0.0684,15.5614,0.0325,17.6244,3.03,V,B,bb
2456377.0782953,2.3520,0.0774,15.5312,0.0358,17.4906,2.27,V,G,bb
2456387.093299,2.3615,0.0496,15.5268,0.0228,17.9743,1.76,V,G,bb
2456389.0662788,2.3788,0.0411,15.5189,0.0188,18.1780,2.07,V,G,bb
2456390.0579085,2.1912,0.0414,15.6081,0.0205,18.1700,2.01,V,G,bb
2456393.0520255,2.2294,0.0395,15.5893,0.0193,18.2197,2.06,V,G,bb
2456396.0627528,2.2030,0.0517,15.6022,0.0255,17.9296,2.06,V,B,bb
2456399.0023813,2.4589,0.0506,15.4829,0.0224,17.9513,1.70,V,B,bb
2456401.0213009,2.2787,0.0624,15.5656,0.0297,17.7253,2.07,V,G,bb
2456402.9919095,2.3846,0.0477,15.5162,0.0218,18.0154,2.04,V,G,bb
2456411.9411213,2.2653,0.2899,15.5720,0.1391,16.0566,1.79,V,B,bb
2456434.9179179,2.1507,0.0824,15.6283,0.0417,17.4219,1.74,V,G,bb
2456443.9872612,2.3880,0.0536,15.5147,0.0244,17.8889,1.71,V,G,bb
2456449.8970898,2.1733,0.0497,15.6170,0.0249,17.9706,2.02,V,G,bb
2456453.8835879,2.4319,0.0891,15.4949,0.0398,17.3375,1.77,V,B,bb
2456458.8772354,2.4636,0.0505,15.4808,0.0223,17.9547,1.78,V,G,bb
2456461.9511819,2.3972,0.0661,15.5105,0.0300,17.6617,2.01,V,G,bb
2456464.8694295,2.3369,0.1015,15.5382,0.0472,17.1958,2.06,V,G,bb
2456470.8573184,2.4295,0.0621,15.4960,0.0278,17.7293,1.75,V,G,bb
2456471.8276987,2.5082,0.0512,15.4614,0.0222,17.9397,1.79,V,G,bb
2456475.8917346,2.3921,0.0596,15.5128,0.0271,17.7736,2.02,V,G,bb
2456479.8899249,2.3380,0.0470,15.5377,0.0218,18.0326,1.78,V,G,bb
2456483.8536291,2.2772,0.0425,15.5663,0.0203,18.1413,2.11,V,G,bb
2456487.7916619,2.2898,0.0385,15.5603,0.0183,18.2478,2.04,V,G,bb
2456490.8324374,2.1807,0.0615,15.6133,0.0307,17.7394,1.93,V,G,bb
2456494.8287729,2.1483,0.1277,15.6295,0.0646,16.9471,1.69,V,B,bb
2456509.8095535,2.5348,0.0462,15.4499,0.0198,18.0499,1.91,V,G,bb
2456516.7756857,2.4916,0.0492,15.4686,0.0215,17.9831,2.23,V,G,bb
2456520.7775684,1.9288,0.0813,15.7465,0.0458,17.4374,2.15,V,G,bb
2456525.7595636,2.4500,0.1149,15.4869,0.0510,17.0616,2.53,V,G,bb
2456528.7689397,2.5599,0.0492,15.4392,0.0209,17.9822,2.02,V,G,bb
2456534.7571214,2.3082,0.0593,15.5516,0.0279,17.7803,2.04,V,G,bb
2456538.75486,2.4412,0.0508,15.4908,0.0226,17.9483,2.16,V,G,bb
2456549.7303334,2.3432,0.0814,15.5353,0.0378,17.4354,2.91,V,G,bb
2456651.1553048,2.5679,0.0769,15.4358,0.0325,17.4979,1.72,V,G,bb
2456659.1392458,2.3113,0.0587,15.5501,0.0276,17.7904,2.66,V,G,bb
2456701.076889,2.1001,0.1216,15.6542,0.0630,16.9996,1.78,V,G,bb
2456730.0893091,2.5468,0.1073,15.4448,0.0458,17.1358,1.74,V,B,bb
2456731.0620574,2.1218,0.1241,15.6430,0.0636,16.9779,1.74,V,G,bb
2456734.1060835,2.1108,0.1370,15.6486,0.0705,16.8705,1.77,V,G,bb
2456736.0959166,1.9378,0.0887,15.7415,0.0498,17.3419,1.71,V,G,bb
2456741.0205661,2.6151,0.0604,15.4161,0.0251,17.7591,2.22,V,G,bb
2456744.0027427,2.3140,0.0494,15.5489,0.0232,17.9784,2.20,V,G,bb
2456752.116835,2.4077,0.0412,15.5058,0.0186,18.1745,2.05,V,G,bb
2456757.872454,2.1613,0.0964,15.6230,0.0485,17.2526,1.74,V,G,bb
2456770.9576619,2.1365,0.1274,15.6355,0.0648,16.9493,2.33,V,B,bb
2456778.0845997,2.4278,0.0494,15.4968,0.0221,17.9788,1.99,V,G,bb
2456781.9411729,2.1861,0.0582,15.6106,0.0289,17.8001,1.81,V,G,bb
2456782.7995693,2.7395,0.0852,15.3656,0.0338,17.3868,1.68,V,G,bb
2456783.8141359,2.3541,0.0602,15.5302,0.0278,17.7643,1.71,V,G,bb
2456784.9411203,2.4306,0.0480,15.4955,0.0214,18.0101,1.64,V,G,bb
2456785.9436398,2.3621,0.0532,15.5265,0.0245,17.8970,1.67,V,G,bb
2456788.9261241,2.1078,0.1050,15.6502,0.0541,17.1594,2.06,V,G,bb
2456796.0665045,2.4635,0.1347,15.4809,0.0594,16.8891,1.75,V,B,bb
2456796.9318371,2.2789,0.0741,15.5655,0.0353,17.5381,1.66,V,G,bb
2456797.9235972,2.1930,0.0590,15.6072,0.0293,17.7848,1.75,V,G,bb
2456798.9509692,2.3562,0.0451,15.5292,0.0208,18.0774,1.70,V,G,bb
2456800.9249307,2.3411,0.0507,15.5362,0.0235,17.9509,1.68,V,G,bb
2456802.9136748,2.2480,0.0518,15.5803,0.0251,17.9259,1.70,V,G,bb
2456805.9215595,2.2822,0.0408,15.5639,0.0194,18.1856,1.72,V,G,bb
2456808.8640684,2.2189,0.0595,15.5945,0.0292,17.7755,2.02,V,B,bb
2456811.9090467,2.2393,0.0506,15.5845,0.0245,17.9525,1.72,V,G,bb
2456813.9077091,2.2230,0.0976,15.5924,0.0477,17.2384,1.82,V,B,bb
2456814.8908358,2.4404,0.0625,15.4911,0.0278,17.7222,1.98,V,G,bb
2456816.8937962,2.1432,0.0754,15.6321,0.0382,17.5196,1.79,V,G,bb
2456818.8917496,2.5370,0.1099,15.4490,0.0471,17.1098,1.70,V,G,bb
2456822.9963147,2.0652,0.1533,15.6724,0.0807,16.7482,2.13,V,B,bb
2456823.9999143,2.4870,0.1127,15.4706,0.0493,17.0822,2.12,V,B,bb
2456824.8944753,2.3648,0.0722,15.5253,0.0332,17.5655,2.07,V,G,bb
2456826.9412498,2.2622,0.0728,15.5735,0.0350,17.5572,2.09,V,G,bb
2456828.9309655,2.4353,0.0403,15.4934,0.0180,18.1997,2.02,V,G,bb
2456829.8792746,2.2496,0.0453,15.5795,0.0219,18.0712,2.17,V,G,bb
2456832.867038,2.3673,0.0581,15.5242,0.0267,17.8023,1.78,V,G,bb
2456834.8717465,2.3442,0.0511,15.5348,0.0237,17.9413,2.02,V,G,bb
2456847.844769,2.3364,0.1347,15.5384,0.0627,16.8891,1.71,V,G,bb
2456848.8553092,1.8582,0.1428,15.7871,0.0835,16.8259,1.69,V,B,bb
2456850.8728844,2.4480,0.2124,15.4878,0.0943,16.3944,1.74,V,B,bb
2456855.8772432,2.3295,0.0614,15.5416,0.0286,17.7420,1.66,V,G,bb
2456856.8868343,2.4415,0.0447,15.4906,0.0199,18.0876,1.82,V,G,bb
2456857.843931,2.2069,0.0428,15.6003,0.0211,18.1336,1.68,V,G,bb
2456863.8301012,2.5555,0.0543,15.4411,0.0231,17.8754,1.72,V,G,bb
2456864.8284069,2.3444,0.0414,15.5347,0.0192,18.1700,1.65,V,G,bb
2456866.8238708,2.2516,0.0417,15.5785,0.0202,18.1609,1.75,V,G,bb
2456875.822414,2.3502,0.0857,15.5320,0.0397,17.3793,2.02,V,G,bb
2456881.7928054,1.8871,0.0998,15.7703,0.0575,17.2150,1.69,V,G,bb
2456882.7897005,2.4624,0.0680,15.4814,0.0300,17.6314,1.72,V,G,bb
2456884.7944021,2.5443,0.0577,15.4459,0.0246,17.8097,1.70,V,G,bb
2456886.7958345,2.4342,0.0612,15.4939,0.0273,17.7462,2.05,V,G,bb
2456888.7752524,2.3062,0.0573,15.5525,0.0270,17.8161,1.64,V,G,bb
2456889.7774869,2.5574,0.0558,15.4403,0.0237,17.8462,1.77,V,G,bb
2456890.7749769,2.4364,0.0527,15.4929,0.0235,17.9087,1.69,V,G,bb
2456892.773427,2.6159,0.0494,15.4157,0.0205,17.9785,1.79,V,G,bb
2456894.7587508,2.2254,0.0611,15.5912,0.0298,17.7471,1.73,V,G,bb
2456896.7686264,2.4498,0.0594,15.4870,0.0263,17.7782,1.71,V,G,bb
2456898.7648491,2.3350,0.0505,15.5391,0.0235,17.9549,1.72,V,G,bb
2456900.76069,2.1967,0.0559,15.6053,0.0277,17.8436,1.74,V,G,bb
2456904.746981,2.2984,0.1124,15.5562,0.0532,17.0852,1.78,V,B,bb
2456906.7528671,2.6506,0.1162,15.4014,0.0477,17.0493,1.63,V,G,bb
