# ASAS-SN SkyPatrol ID: 103079623912
# ATLAS-REFCAT2: 154801219208195706
# Gaia DR2: 908999389766486400
# TESS Input Catalog (TIC): 159140212
# Million Quasars Catalog (MILLIQUAS): UGC 4229
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 4229
# GLADE GWGC: UGC04229
# GLADE PGC Number: 22816
# GLADE HyperLEDA: UGC04229
# GLADE 2MASS Extended Source Catalog: 08074095+3900147


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455954.9428394,6.4183,0.0430,14.4412,0.0073,18.1298,2.09,V,G,ba
2455970.9039631,6.4571,0.0327,14.4347,0.0055,18.4266,2.04,V,G,ba
2455984.8560831,6.3650,0.0519,14.4503,0.0089,17.9241,2.19,V,G,ba
2456222.0927832,5.8869,0.0529,14.5351,0.0098,17.9034,2.35,V,G,ba
2456227.0793136,6.4298,0.0587,14.4393,0.0099,17.7901,2.35,V,G,ba
2456230.0497195,6.6906,0.0957,14.3961,0.0155,17.2600,2.32,V,G,ba
2456239.0639147,6.4000,0.0431,14.4443,0.0073,18.1267,2.08,V,G,ba
2456243.0565344,6.3189,0.0330,14.4582,0.0057,18.4145,2.14,V,G,ba
2456244.0476194,6.4193,0.0364,14.4411,0.0062,18.3082,2.02,V,G,ba
2456258.0765686,6.5437,0.1509,14.4202,0.0251,16.7660,2.10,V,B,ba
2456259.031591,6.4743,0.0879,14.4318,0.0148,17.3522,2.10,V,B,ba
2456272.0190512,6.3655,0.0351,14.4502,0.0060,18.3485,1.81,V,G,ba
2456301.0066119,6.0954,0.0345,14.4973,0.0062,18.3666,1.67,V,G,ba
2456302.9996586,5.9958,0.0461,14.5152,0.0084,18.0533,1.73,V,G,ba
2456303.9978733,6.2337,0.0313,14.4729,0.0055,18.4727,2.08,V,G,ba
2456308.9606005,6.3646,0.0325,14.4504,0.0056,18.4327,2.04,V,G,ba
2456310.9573565,6.2933,0.0500,14.4626,0.0086,17.9646,1.75,V,G,ba
2456315.9499594,6.4518,0.0621,14.4356,0.0105,17.7289,2.08,V,G,ba
2456325.8912,6.3183,0.0308,14.4583,0.0053,18.4921,2.22,V,G,ba
2456329.8018166,6.2584,0.0352,14.4686,0.0061,18.3462,2.18,V,G,ba
2456344.7963453,6.6771,0.1111,14.3983,0.0181,17.0983,1.76,V,G,ba
2456355.7404941,6.2401,0.0311,14.4718,0.0054,18.4819,2.21,V,G,ba
2456365.7352804,6.4129,0.0712,14.4421,0.0121,17.5812,2.05,V,B,ba
2456385.7632935,6.0066,0.0500,14.5132,0.0090,17.9660,2.13,V,G,ba
2456391.7565991,6.3893,0.0387,14.4461,0.0066,18.2434,2.35,V,G,ba
2456399.7627502,6.5615,0.0853,14.4173,0.0141,17.3855,2.98,V,G,ba
2456405.7627237,6.6152,0.0858,14.4084,0.0141,17.3792,2.05,V,G,ba
2456412.7522501,6.6113,0.0561,14.4091,0.0092,17.8396,2.86,V,B,ba
2456535.1364539,5.9151,0.1520,14.5299,0.0279,16.7581,2.09,V,G,ba
2456537.1288394,6.0149,0.0856,14.5117,0.0155,17.3805,1.87,V,G,ba
2456538.1321978,6.1643,0.0850,14.4851,0.0150,17.3887,1.81,V,G,ba
2456544.1231933,6.5851,0.0593,14.4134,0.0098,17.7797,2.14,V,G,ba
2456555.0799807,6.3568,0.2247,14.4517,0.0384,16.3335,2.11,V,G,ba
2456557.0868997,7.3922,0.1930,14.2878,0.0284,16.4984,1.74,V,G,ba
2456563.0891584,6.3676,0.1129,14.4498,0.0193,17.0810,2.27,V,B,ba
2456568.0798211,6.3799,0.0573,14.4478,0.0098,17.8172,2.07,V,G,ba
2456575.0367162,6.3838,0.0898,14.4471,0.0153,17.3295,2.11,V,B,ba
2456601.0471622,6.4025,0.0532,14.4439,0.0090,17.8983,2.85,V,G,bd
2456632.0020571,6.2520,0.1725,14.4697,0.0300,16.6206,1.49,V,B,bd
2456637.8735416,6.0910,0.0778,14.4981,0.0139,17.4846,2.97,V,G,bd
2456640.9640227,6.2954,0.1978,14.4622,0.0341,16.4720,1.67,V,B,bd
2456648.9583811,5.9335,0.0706,14.5265,0.0129,17.5897,1.65,V,G,bd
2456653.1076831,6.1153,0.0413,14.4937,0.0073,18.1736,1.91,V,G,bd
2456656.9217047,6.1011,0.0378,14.4963,0.0067,18.2676,1.54,V,G,bd
2456675.7575411,6.1116,0.0926,14.4944,0.0165,17.2954,2.01,V,G,bd
2456676.8861474,6.6185,0.0848,14.4079,0.0139,17.3911,2.01,V,G,bd
2456677.9026988,6.1583,0.0647,14.4861,0.0114,17.6844,2.58,V,G,bd
2456683.7744478,6.4512,0.0702,14.4357,0.0118,17.5966,2.35,V,G,bd
2456696.7583423,6.3543,0.0970,14.4521,0.0166,17.2451,2.35,V,G,bd
2456730.7399591,6.3544,0.0769,14.4521,0.0132,17.4974,2.10,V,G,bd
2456736.7530271,6.0647,0.0447,14.5028,0.0080,18.0858,1.89,V,G,bd
2456740.7482205,6.1119,0.0460,14.4943,0.0082,18.0555,1.57,V,G,bd
2456752.7368685,6.2522,0.0969,14.4697,0.0168,17.2464,3.23,V,G,bd
2456757.7286163,6.2594,0.0951,14.4685,0.0165,17.2674,2.07,V,G,bd
