# ASAS-SN SkyPatrol ID: 137439129590
# ATLAS-REFCAT2: 145052606663838121
# Gaia DR2: 4599787898162731008
# TESS Input Catalog (TIC): 9783922
# Million Quasars Catalog (MILLIQUAS): MARK 506
# AllWISE AGN Catalog: WISEA J172239.93+305252.6
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MARK 506
# GLADE HyperLEDA: 60163
# GLADE 2MASS Extended Source Catalog: 17223993+3052521


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456676.1386411,5.7877,0.0697,14.5535,0.0131,17.6048,2.59,V,G,bd
2456677.1308726,5.6295,0.1241,14.5836,0.0240,16.9777,2.15,V,G,bd
2456678.1556624,5.5942,0.0743,14.5904,0.0144,17.5344,2.05,V,G,bd
2456735.9761731,5.3793,0.0955,14.6330,0.0193,17.2624,1.47,V,G,bd
2456741.1094823,5.6708,0.0471,14.5757,0.0090,18.0305,2.11,V,G,bd
2456744.0397577,5.7455,0.0505,14.5615,0.0096,17.9536,1.52,V,G,bd
2456752.0718216,5.6274,0.0493,14.5840,0.0095,17.9803,1.64,V,G,bd
2456757.9166356,5.4951,0.1020,14.6098,0.0202,17.1910,1.47,V,G,bd
2456759.0087235,5.5466,0.0789,14.5997,0.0155,17.4698,1.48,V,G,bd
2456760.0120132,5.8590,0.0875,14.5402,0.0162,17.3571,1.58,V,G,bd
2456771.1106338,5.8609,0.0574,14.5399,0.0107,17.8141,1.61,V,G,bd
2456781.9656461,5.4830,0.0634,14.6122,0.0126,17.7065,1.49,V,B,bd
2456784.9654437,5.7196,0.0548,14.5664,0.0104,17.8657,1.59,V,G,bd
2456785.9690677,5.7412,0.0534,14.5623,0.0101,17.8926,1.98,V,G,bd
2456787.9567488,5.8819,0.0731,14.5360,0.0135,17.5532,1.53,V,G,bd
2456788.9607532,5.6262,0.0628,14.5843,0.0121,17.7182,1.58,V,G,bd
2456794.9532985,5.7561,0.0469,14.5595,0.0089,18.0346,1.52,V,G,bd
2456796.0556124,5.7459,0.0630,14.5614,0.0119,17.7132,1.49,V,G,bd
2456796.9568671,5.8811,0.0846,14.5361,0.0156,17.3939,1.53,V,B,bd
2456798.0569356,5.7950,0.0508,14.5521,0.0095,17.9469,1.47,V,G,bd
2456799.0474555,5.8660,0.0540,14.5389,0.0100,17.8812,1.46,V,G,bd
2456801.06293,5.8652,0.0412,14.5391,0.0076,18.1741,1.41,V,G,bd
2456802.045465,5.6549,0.0450,14.5787,0.0086,18.0793,1.53,V,G,bd
2456803.0429529,5.8122,0.0461,14.5489,0.0086,18.0542,1.48,V,G,bd
2456804.0525676,5.6162,0.0482,14.5862,0.0093,18.0053,1.48,V,B,bd
2456805.0568252,5.8804,0.0507,14.5363,0.0094,17.9497,1.52,V,G,bd
2456806.0580664,5.6195,0.0461,14.5855,0.0089,18.0532,1.56,V,G,bd
2456809.0344766,5.7281,0.0405,14.5648,0.0077,18.1932,1.56,V,G,bd
2456810.0427278,5.7982,0.0506,14.5515,0.0095,17.9521,1.55,V,G,bd
2456810.9395733,5.6872,0.0433,14.5725,0.0083,18.1209,1.57,V,G,bd
2456812.0420608,5.6912,0.0363,14.5718,0.0069,18.3130,1.48,V,G,bd
2456812.9231426,5.8228,0.0503,14.5470,0.0094,17.9590,1.48,V,G,bd
2456814.9160361,5.7356,0.0612,14.5633,0.0116,17.7463,1.50,V,G,bd
2456815.9197038,5.5615,0.0488,14.5968,0.0095,17.9915,1.47,V,G,bd
2456816.9250555,5.7999,0.0670,14.5512,0.0125,17.6479,1.49,V,G,bd
2456817.9334035,5.8810,0.0669,14.5362,0.0124,17.6487,1.45,V,G,bd
2456818.9202659,5.6189,0.0668,14.5857,0.0129,17.6500,1.45,V,G,bd
2456819.9117443,5.7499,0.0976,14.5606,0.0185,17.2383,1.55,V,G,bd
2456820.9159437,5.8134,0.0929,14.5487,0.0174,17.2925,1.51,V,G,bd
2456821.9317286,5.6799,0.2123,14.5739,0.0406,16.3951,1.51,V,B,bd
2456822.9212081,5.7025,0.0881,14.5696,0.0168,17.3504,1.61,V,B,bd
2456826.9121143,5.7028,0.0451,14.5696,0.0086,18.0773,1.53,V,G,bd
2456827.9075208,5.8475,0.0479,14.5424,0.0089,18.0111,1.58,V,G,bd
2456829.9053324,5.7611,0.0391,14.5585,0.0074,18.2328,1.66,V,G,bd
2456832.8988471,5.7436,0.0353,14.5618,0.0067,18.3425,1.44,V,G,bd
2456834.9130421,5.7332,0.0490,14.5638,0.0093,17.9869,1.69,V,G,bd
2456835.8959569,5.6695,0.0530,14.5759,0.0102,17.9017,1.58,V,G,bd
2456846.88305,6.1611,0.0885,14.4856,0.0156,17.3454,1.56,V,G,bd
2456847.8826499,5.9446,0.0858,14.5245,0.0157,17.3791,1.55,V,G,bd
2456850.8743324,6.3955,0.1220,14.4451,0.0207,16.9963,1.58,V,G,bd
2456851.8708289,5.6954,0.1038,14.5710,0.0198,17.1723,1.51,V,G,bd
2456854.9541623,6.0567,0.0871,14.5042,0.0156,17.3624,1.59,V,G,bd
2456856.9476041,5.8323,0.0525,14.5452,0.0098,17.9120,1.50,V,G,bd
2456882.820196,6.4213,0.0740,14.4407,0.0125,17.5399,1.81,V,G,bd
2456883.8642077,6.4179,0.0825,14.4413,0.0140,17.4213,1.70,V,G,bd
2456884.8150592,6.5490,0.0672,14.4193,0.0111,17.6445,1.51,V,G,bd
2456888.8036816,6.6094,0.0719,14.4094,0.0118,17.5701,1.52,V,G,bd
2456889.8002031,6.4601,0.0697,14.4342,0.0117,17.6048,1.52,V,G,bd
2456890.8032715,6.4887,0.0641,14.4294,0.0107,17.6952,1.54,V,G,bd
2456891.7638444,6.6122,0.0657,14.4089,0.0108,17.6690,1.46,V,G,bd
2456892.8032212,6.4213,0.0647,14.4407,0.0110,17.6851,1.67,V,G,bd
2456897.7840113,6.5307,0.0670,14.4224,0.0111,17.6475,1.52,V,G,bd
2456899.7973237,6.3066,0.0609,14.4603,0.0105,17.7506,1.53,V,G,bd
2456900.7918397,6.4728,0.0654,14.4320,0.0110,17.6734,1.52,V,G,bd
2456904.7762614,6.5040,0.0864,14.4268,0.0144,17.3706,1.50,V,B,bd
2456907.7856994,6.5271,0.0862,14.4230,0.0143,17.3742,1.82,V,G,bd
2456908.7856886,7.3030,0.1843,14.3010,0.0274,16.5487,1.49,V,B,bd
2456909.7690318,6.5674,0.1222,14.4163,0.0202,16.9949,1.44,V,G,bd
2456910.7837823,6.2812,0.0993,14.4647,0.0172,17.2198,1.45,V,G,bd
2456911.7690419,6.5279,0.0924,14.4228,0.0154,17.2988,1.45,V,B,bd
2456912.76381,6.5230,0.0701,14.4237,0.0117,17.5985,1.53,V,G,bd
2456913.7648852,6.5075,0.0698,14.4262,0.0117,17.6020,1.72,V,G,bd
2456914.7644442,6.3779,0.0680,14.4481,0.0116,17.6319,1.48,V,G,bd
2456915.8086452,6.4600,0.0884,14.4342,0.0149,17.3461,1.60,V,G,bd
2456917.7577659,6.5830,0.0641,14.4137,0.0106,17.6947,1.47,V,G,bd
2456919.7547125,6.7004,0.0678,14.3945,0.0110,17.6350,1.47,V,G,bd
2456920.7508917,6.5511,0.0693,14.4190,0.0115,17.6113,1.46,V,G,bd
2456924.7430682,6.6312,0.0674,14.4058,0.0110,17.6412,1.59,V,G,bd
2456928.730999,6.6933,0.0815,14.3957,0.0132,17.4339,1.52,V,B,bd
2456931.7263576,6.4954,0.0807,14.4283,0.0135,17.4454,1.46,V,B,bd
2456933.7219191,6.8926,0.0991,14.3638,0.0156,17.2226,1.50,V,G,bd
2456938.71304,6.5489,0.1313,14.4194,0.0218,16.9166,1.52,V,B,bd
2456940.7062415,6.6819,0.0844,14.3975,0.0137,17.3962,1.52,V,B,bd
2456941.7457866,6.5830,0.0746,14.4137,0.0123,17.5302,1.82,V,G,bd
2457032.1660227,5.8694,0.0872,14.5383,0.0161,17.3611,1.69,V,G,bd
2457037.162268,6.5511,0.0804,14.4190,0.0133,17.4491,1.47,V,G,bd
2457040.156973,6.4351,0.0661,14.4384,0.0112,17.6617,1.65,V,G,bd
2457043.1619499,6.4750,0.0759,14.4317,0.0127,17.5116,1.53,V,G,bd
2457046.1496717,6.4254,0.0742,14.4400,0.0125,17.5370,1.58,V,G,bd
2457048.1592435,6.3243,0.0674,14.4573,0.0116,17.6402,1.69,V,G,bd
2457051.1451735,6.2559,0.0606,14.4691,0.0105,17.7568,1.54,V,G,bd
2457053.1411144,6.1755,0.0589,14.4831,0.0104,17.7871,1.99,V,G,bd
2457055.1301971,6.3670,0.0888,14.4499,0.0152,17.3417,1.69,V,G,bd
2457061.1213491,6.0063,0.1228,14.5133,0.0222,16.9897,2.34,V,G,bd
2457069.0979386,6.2415,0.0793,14.4716,0.0138,17.4642,1.79,V,G,bd
2457070.1054667,6.1225,0.0525,14.4925,0.0093,17.9123,2.06,V,G,bd
2457074.0956466,6.1069,0.0582,14.4952,0.0104,17.7999,1.61,V,G,bd
2457079.0638624,6.1942,0.0592,14.4798,0.0104,17.7812,1.55,V,G,bd
2457084.090752,6.1258,0.0695,14.4919,0.0123,17.6071,1.84,V,G,bd
2457092.034784,6.7418,0.1661,14.3878,0.0268,16.6616,1.62,V,B,bd
2457097.1258035,6.1081,0.0615,14.4950,0.0109,17.7398,1.47,V,G,bd
2457100.1195637,6.2943,0.0633,14.4624,0.0109,17.7089,1.54,V,G,bd
2457103.0334503,6.1351,0.0618,14.4902,0.0110,17.7342,1.51,V,G,bd
2457106.0153061,6.3120,0.0662,14.4594,0.0114,17.6598,1.49,V,G,bd
2457110.0037765,6.1422,0.0558,14.4890,0.0099,17.8457,1.52,V,G,bd
2457111.9972425,6.2473,0.0788,14.4706,0.0137,17.4715,1.50,V,G,bd
2457113.9780034,6.0838,0.1057,14.4993,0.0189,17.1523,1.52,V,G,bd
2457121.0948441,6.1789,0.0908,14.4825,0.0160,17.3170,1.55,V,G,bd
2457123.0284379,6.2709,0.0859,14.4665,0.0149,17.3768,1.46,V,G,bd
2457124.9648164,6.1953,0.0665,14.4796,0.0117,17.6545,1.54,V,G,bd
2457127.9650425,5.7314,0.0497,14.5641,0.0094,17.9719,1.52,V,G,bd
2457132.0370489,5.8670,0.0542,14.5387,0.0100,17.8781,1.51,V,G,bd
2457135.9578671,5.7032,0.0537,14.5695,0.0102,17.8871,1.47,V,G,bd
2457138.9204861,5.5868,0.0542,14.5919,0.0105,17.8784,1.49,V,G,bd
2457144.9738112,5.6731,0.0990,14.5752,0.0190,17.2229,1.53,V,G,bd
2457151.0624772,5.6176,0.0984,14.5859,0.0190,17.2297,1.59,V,G,bd
2457153.8797889,5.4141,0.0724,14.6260,0.0145,17.5624,1.45,V,B,bd
2457155.9612723,5.4949,0.0563,14.6099,0.0111,17.8357,1.48,V,G,bd
2457161.9088326,5.3864,0.0645,14.6315,0.0130,17.6890,1.45,V,B,bd
2457162.9363948,5.5486,0.0497,14.5993,0.0097,17.9709,1.48,V,G,bd
2457166.8433039,5.7178,0.0563,14.5667,0.0107,17.8368,1.58,V,G,bd
2457168.9821856,5.5684,0.0462,14.5955,0.0090,18.0498,1.46,V,G,bd
2457172.8255385,5.2074,0.0991,14.6682,0.0207,17.2224,1.48,V,G,bd
2457177.9783531,5.6848,0.0992,14.5730,0.0190,17.2210,1.48,V,G,bd
2457179.9692468,5.6873,0.0658,14.5725,0.0126,17.6669,1.73,V,G,bd
2457180.8380291,5.3832,0.0634,14.6322,0.0128,17.7072,1.51,V,G,bd
2457184.8524294,5.3354,0.0516,14.6419,0.0105,17.9306,1.50,V,G,bd
2457190.9583969,5.3891,0.0726,14.6310,0.0146,17.5599,1.79,V,B,bd
2457191.9378548,5.4416,0.0495,14.6205,0.0099,17.9754,1.48,V,G,bd
2457194.979622,5.4639,0.0515,14.6160,0.0103,17.9323,1.67,V,G,bd
2457196.9618093,5.4834,0.0439,14.6122,0.0087,18.1052,1.48,V,G,bd
2457200.7948036,5.3391,0.0664,14.6411,0.0135,17.6565,1.44,V,G,bd
