# ASAS-SN SkyPatrol ID: 257699182685
# ATLAS-REFCAT2: 108070466649284819
# Gaia DR2: 3266468696151334144
# Million Quasars Catalog (MILLIQUAS): PGC 1156143
# AllWISE AGN Catalog: WISEA J030639.57+000343.1
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 1156143
# GLADE 2MASS Extended Source Catalog: 03063958+0003426


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456222.9143069,1.1874,0.0421,16.2733,0.0385,18.1524,2.04,V,G,bb
2456226.9225807,1.1526,0.0783,16.3056,0.0738,17.4781,1.80,V,G,bb
2456228.9176493,1.1659,0.0943,16.2931,0.0880,17.2755,1.78,V,B,bb
2456235.0513353,1.2201,0.0645,16.2438,0.0575,17.6884,1.74,V,G,bb
2456239.9118648,1.1106,0.0452,16.3459,0.0443,18.0740,2.47,V,G,bb
2456242.9384811,1.2531,0.0421,16.2148,0.0365,18.1518,2.08,V,G,bb
2456246.0284954,1.2622,0.0478,16.2069,0.0411,18.0147,2.10,V,G,bb
2456268.9876295,1.0906,0.0540,16.3657,0.0539,17.8807,1.72,V,G,bb
2456272.90142,1.2228,0.0394,16.2414,0.0350,18.2231,2.08,V,G,bb
2456277.8364011,1.1928,0.0469,16.2684,0.0427,18.0354,2.28,V,G,bb
2456316.8799528,1.9012,0.1874,15.7622,0.1071,16.5307,1.98,V,G,bb
2456476.1227937,1.1887,0.2514,16.2116,99.9990,16.2116,1.88,V,B,bb
2456477.1199981,1.3528,0.2151,16.1317,0.1728,16.3807,1.70,V,B,bb
2456481.1108888,1.0184,0.1004,16.4400,0.1071,17.2083,2.11,V,B,bb
2456485.0989597,6.6254,0.1344,14.4068,0.0220,16.8914,1.98,V,G,bb
2456487.1029588,1.2099,0.0556,16.2529,0.0500,17.8489,1.88,V,G,bb
2456488.1190628,1.2470,0.1236,16.2201,0.1078,16.9820,1.78,V,G,bb
2456490.0993744,1.0230,0.0605,16.4351,0.0643,17.7583,1.73,V,G,bb
2456493.0774271,1.4077,0.0882,16.0885,0.0681,17.3487,1.96,V,G,bb
2456495.1259742,1.4748,0.1192,16.0380,0.0878,17.0219,2.01,V,G,bb
2456506.0644671,1.3029,0.0861,16.1725,0.0718,17.3746,1.88,V,G,bb
2456507.0498822,1.4130,0.0781,16.0844,0.0601,17.4811,1.78,V,G,bb
