# ASAS-SN SkyPatrol ID: 489627165220
# ATLAS-REFCAT2: 106700462941969871
# Gaia DR2: 3266240410049743616
# GLADE HyperLEDA: 11604
# GLADE 2MASS Extended Source Catalog: 03051059-0104314


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456592.9247651,2.0605,0.1980,15.6749,0.1045,16.4706,1.66,V,B,bc
2456593.9318724,2.8424,0.1011,15.3256,0.0387,17.2001,1.65,V,B,bc
2456600.9082605,2.6749,0.0569,15.3915,0.0231,17.8250,1.93,V,G,bc
2456608.8962743,2.7148,0.0811,15.3754,0.0325,17.4392,1.76,V,G,bc
2456615.7889903,3.4395,0.1571,15.1186,0.0496,16.7219,2.19,V,G,bc
2456625.786041,2.6645,0.0334,15.3957,0.0136,18.4018,1.79,V,G,bc
2456630.8531514,2.6541,0.0461,15.4000,0.0189,18.0536,1.46,V,G,bc
2456631.8478717,2.8110,0.0477,15.3376,0.0185,18.0153,1.44,V,G,bc
2456632.8309464,2.4739,0.0599,15.4763,0.0263,17.7679,2.44,V,G,bc
2456639.843055,3.7032,0.3970,15.0383,0.1165,15.7153,2.12,V,B,bc
2456652.8200226,2.7194,0.0326,15.3736,0.0130,18.4280,1.69,V,G,bc
2456656.8116682,2.7289,0.0349,15.3698,0.0139,18.3559,2.00,V,G,bc
2456675.7617168,2.6249,0.1050,15.4120,0.0435,17.1589,1.44,V,G,bc
2456701.7435718,2.4155,0.0800,15.5023,0.0360,17.4546,1.39,V,G,bc
2456836.9001006,2.7380,0.0545,15.3662,0.0216,17.8710,1.66,V,G,be
2456837.9040655,2.5149,0.0495,15.4585,0.0214,17.9756,1.62,V,G,be
2456841.9049244,2.2763,0.1859,15.5667,0.0888,16.5391,1.41,V,B,be
2456844.8886983,2.6134,0.0462,15.4168,0.0192,18.0505,1.43,V,G,be
2456849.8670813,3.1109,0.2485,15.2275,0.0868,16.2240,1.47,V,B,be
2456851.1008062,2.4739,0.1683,15.4763,0.0740,16.6468,1.68,V,B,bc
2456866.849004,2.7227,0.0930,15.3723,0.0371,17.2912,1.92,V,B,be
2456874.113854,2.4921,0.0450,15.4684,0.0196,18.0804,1.58,V,G,bc
2456874.8310514,2.6601,0.0612,15.3975,0.0250,17.7451,1.44,V,G,be
2456879.9076295,2.7873,0.0960,15.3468,0.0374,17.2563,1.43,V,G,be
