# ASAS-SN SkyPatrol ID: 94490535924
# ATLAS-REFCAT2: 163371233305337237
# Gaia DR2: 929592005604079360
# TESS Input Catalog (TIC): 192980714
# Million Quasars Catalog (MILLIQUAS): SDSS J081319.32+460849.6
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J081319.33+460849.7
# GLADE 2MASS Extended Source Catalog: 08131934+4608496


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455937.9872744,1.2869,0.0749,16.1859,0.0633,17.5257,4.16,V,G,ba
2455972.026527,1.1598,0.0450,16.2988,0.0422,18.0793,2.09,V,G,ba
2455985.8643226,1.3532,0.0411,16.1314,0.0330,18.1775,2.14,V,G,ba
2456221.1271834,1.5327,0.0429,15.9961,0.0304,18.1313,2.41,V,G,ba
2456227.0868413,1.3204,0.0387,16.1580,0.0318,18.2438,2.32,V,G,ba
2456231.0354727,1.2031,0.1141,16.2590,0.1031,17.0694,2.45,V,G,ba
2456235.0759675,1.2646,0.0998,16.2049,0.0858,17.2148,2.17,V,G,ba
2456238.1006679,1.3191,0.0508,16.1591,0.0419,17.9473,2.17,V,G,ba
2456244.0593416,1.2409,0.0286,16.2254,0.0250,18.5729,2.02,V,G,ba
2456316.9181385,1.4385,0.1494,16.0650,0.1129,16.7766,2.06,V,G,ba
2456319.8682957,1.2123,0.1281,16.2507,0.1149,16.9433,2.22,V,G,ba
2456324.9247119,1.4072,0.0733,16.0889,0.0566,17.5491,2.29,V,G,ba
2456328.8596462,1.2305,0.0468,16.2346,0.0413,18.0378,2.50,V,G,ba
2456338.7747809,1.1684,0.0532,16.2908,0.0495,17.8984,2.30,V,G,ba
2456350.7767859,1.4602,0.1090,16.0488,0.0811,17.1188,2.35,V,G,ba
2456355.8844426,1.2520,0.0571,16.2157,0.0496,17.8205,2.01,V,G,ba
2456359.8288328,1.2477,0.0345,16.2195,0.0301,18.3664,2.02,V,G,ba
2456381.7992207,1.1920,0.0429,16.2691,0.0391,18.1313,2.08,V,G,ba
2456391.7303118,1.0912,0.0913,16.3650,0.0909,17.3112,2.88,V,G,ba
2456405.7707503,1.3398,0.1150,16.1422,0.0933,17.0605,2.01,V,G,ba
2456412.7600425,1.1330,0.0617,16.3242,0.0592,17.7370,2.80,V,B,ba
2456537.1343877,0.9082,0.1573,16.5643,0.1882,16.7208,1.98,V,G,ba
2456544.1315068,1.0585,0.0822,16.3981,0.0844,17.4253,2.17,V,G,ba
2456554.108203,1.2575,0.1853,16.2110,0.1601,16.5429,2.05,V,B,ba
2456556.0926741,1.1582,0.2209,16.3003,0.2073,16.3519,1.79,V,G,ba
2456558.114047,0.8758,0.1535,16.6038,0.1905,16.7470,2.08,V,G,ba
2456576.0360881,1.2201,0.0586,16.2438,0.0522,17.7926,2.21,V,G,ba
2456594.0468839,1.3236,0.0882,16.1554,0.0724,17.3487,1.60,V,B,bc
2456596.1377774,1.5849,0.0966,15.9598,0.0663,17.2495,2.42,V,G,bc
2456615.9211905,0.4061,0.2236,16.3385,99.9990,16.3385,2.34,V,G,bc
2456625.9030907,1.4685,0.0619,16.0426,0.0458,17.7326,1.49,V,G,bc
2456629.8892315,1.1619,0.0353,16.2968,0.0330,18.3422,1.40,V,G,bc
2456630.8643348,1.4261,0.0532,16.0744,0.0405,17.8980,1.62,V,G,bc
2456631.8673071,1.1165,0.0685,16.3401,0.0667,17.6237,1.38,V,G,bc
2456635.8543315,1.4438,0.0696,16.0610,0.0524,17.6051,2.49,V,G,bc
2456636.8522653,1.2981,0.0821,16.1765,0.0687,17.4266,1.81,V,G,bc
2456637.9749427,1.4497,0.0564,16.0566,0.0423,17.8347,1.76,V,G,bc
2456655.8923086,1.2643,0.0441,16.2052,0.0379,18.1021,1.73,V,G,bc
2456658.9293384,1.1963,0.0439,16.2652,0.0399,18.1070,2.84,V,G,bc
2456675.8494375,1.4542,0.0959,16.0532,0.0717,17.2573,1.71,V,G,bc
2456676.9000329,1.1314,0.0689,16.3258,0.0662,17.6171,2.28,V,G,bc
2456683.9032519,1.3381,0.0359,16.1435,0.0291,18.3257,2.33,V,G,bc
2456701.8445814,1.2806,0.1039,16.1912,0.0882,17.1709,1.44,V,G,bc
2456730.816073,1.3019,0.0885,16.1734,0.0739,17.3449,2.34,V,B,bc
2456736.8017307,1.1747,0.0363,16.2849,0.0336,18.3136,1.33,V,G,bc
2456741.8028326,1.3213,0.0512,16.1573,0.0421,17.9392,1.51,V,G,bc
2456757.7675624,1.1011,0.0874,16.3552,0.0862,17.3590,1.63,V,G,bc
2456770.7591829,1.2327,0.0884,16.2326,0.0779,17.3468,2.47,V,G,bc
2456771.7533133,1.3473,0.0478,16.1361,0.0386,18.0127,1.75,V,G,bc
2456787.7403124,1.3287,0.0815,16.1512,0.0667,17.4344,1.39,V,G,bc
2456788.7432813,1.4132,0.0882,16.0843,0.0678,17.3487,1.41,V,G,bc
2456899.1358944,1.6957,0.1203,15.8864,0.0771,17.0117,2.17,V,B,bc
2456901.1400566,1.4282,0.2046,16.0728,0.1557,16.4352,1.91,V,G,bc
2456904.1380947,1.1249,0.1978,16.3320,0.1912,16.4717,1.79,V,G,bc
2456905.1271908,1.4999,0.0625,16.0196,0.0453,17.7221,1.62,V,B,bc
2456910.1301374,1.0172,0.2009,16.4413,0.2146,16.4551,1.73,V,G,bc
2456914.127235,1.2490,0.0797,16.2183,0.0694,17.4587,1.95,V,G,bc
2456915.1241366,1.1578,0.0927,16.3007,0.0870,17.2945,1.70,V,G,bc
2456917.1169973,1.3126,0.0686,16.1645,0.0568,17.6209,1.89,V,G,bc
2456921.1111825,1.3463,0.0574,16.1369,0.0463,17.8153,1.67,V,G,bc
2456923.1130059,1.2575,0.0476,16.2110,0.0412,18.0180,1.76,V,G,bc
2456924.1247738,1.1323,0.0517,16.3249,0.0496,17.9287,1.55,V,G,bc
2456932.0948858,1.1744,0.0537,16.2852,0.0497,17.8869,2.01,V,G,bc
2456933.0673276,1.3242,0.0549,16.1549,0.0451,17.8632,2.02,V,G,bc
2456934.0906048,1.0605,0.0856,16.3960,0.0877,17.3815,1.60,V,G,bc
2456936.0707842,1.1201,0.0529,16.3366,0.0513,17.9043,1.76,V,G,bc
2456940.0804951,1.2242,0.1308,16.2402,0.1161,16.9210,1.65,V,B,bc
2456961.0222666,1.3977,0.0590,16.0962,0.0459,17.7846,1.78,V,G,bc
2456968.0244679,0.9685,0.1383,16.4945,0.1552,16.8602,1.62,V,G,bc
2456970.0123461,3.1753,0.5228,15.2053,0.1790,15.4165,1.88,V,B,bc
2456970.9934756,1.2617,0.1352,16.2074,0.1164,16.8851,2.12,V,G,bc
2456977.9816485,1.1526,0.0621,16.3056,0.0585,17.7303,1.48,V,G,bc
2456979.0160124,1.2423,0.0568,16.2242,0.0497,17.8262,1.42,V,B,bc
2456981.0180766,1.3555,0.0469,16.1295,0.0376,18.0343,1.79,V,G,bc
2456983.0085941,1.4155,0.0471,16.0825,0.0361,18.0307,1.55,V,G,bc
2456985.0037424,1.2153,0.0436,16.2481,0.0390,18.1147,1.64,V,G,bc
2456988.9231904,1.1977,0.0516,16.2639,0.0468,17.9317,1.39,V,G,bc
2456990.9591793,1.4824,0.0571,16.0324,0.0418,17.8213,1.47,V,G,bc
2456992.0004499,1.3022,0.0355,16.1731,0.0296,18.3364,1.47,V,G,bc
2456993.9074436,1.1483,0.0964,16.3096,0.0912,17.2525,1.83,V,G,bc
2456998.9710566,1.6724,0.1168,15.9015,0.0759,17.0436,1.43,V,G,bc
2457003.9774824,1.2822,0.0516,16.1899,0.0437,17.9310,1.40,V,G,bc
2457006.9819669,1.3557,0.0524,16.1294,0.0420,17.9150,1.66,V,G,bc
2457008.9763084,1.3652,0.0536,16.1218,0.0427,17.8891,1.41,V,G,bc
2457012.9696287,1.2959,0.0375,16.1784,0.0314,18.2781,1.39,V,G,bc
2457016.9611776,1.3266,0.0429,16.1530,0.0351,18.1315,1.41,V,G,bc
2457020.8374393,1.2242,0.0655,16.2401,0.0582,17.6713,1.36,V,G,bc
2457023.9491727,1.3593,0.0779,16.1265,0.0623,17.4839,1.60,V,G,bc
2457030.9267531,1.2162,0.0718,16.2473,0.0642,17.5717,1.38,V,G,bc
2457031.9986306,1.3918,0.0779,16.1009,0.0609,17.4831,1.49,V,G,bc
2457032.9264586,1.2964,0.0535,16.1779,0.0449,17.8914,1.65,V,G,bc
2457034.9264307,1.3021,0.0429,16.1731,0.0358,18.1301,1.32,V,G,bc
2457035.8747069,1.1705,0.0460,16.2889,0.0427,18.0555,1.34,V,G,bc
2457036.917474,1.2405,0.0395,16.2258,0.0346,18.2207,1.37,V,G,bc
2457038.932777,1.3063,0.0356,16.1697,0.0296,18.3345,1.37,V,G,bc
2457040.9182001,1.3706,0.0388,16.1175,0.0308,18.2395,1.37,V,G,bc
2457042.9157005,1.2530,0.0451,16.2149,0.0391,18.0779,1.35,V,G,bc
2457044.9251615,1.3461,0.0697,16.1371,0.0563,17.6048,1.38,V,G,bc
2457045.9081208,1.2374,0.0363,16.2285,0.0319,18.3115,1.39,V,G,bc
2457048.9140678,1.2796,0.0474,16.1921,0.0403,18.0226,1.53,V,G,bc
2457051.8434937,1.4657,0.0658,16.0446,0.0488,17.6665,1.38,V,G,bc
2457060.9224335,1.5505,0.0869,15.9836,0.0609,17.3650,1.55,V,B,bc
2457062.9402983,1.2897,0.0616,16.1835,0.0519,17.7381,1.46,V,G,bc
2457069.9597897,1.2743,0.0740,16.1966,0.0632,17.5386,1.48,V,G,bc
2457071.8713995,1.3904,0.0478,16.1019,0.0374,18.0141,1.45,V,G,bc
2457076.7970994,1.4402,0.0520,16.0637,0.0392,17.9225,1.57,V,G,bc
2457078.8477028,1.2608,0.0488,16.2082,0.0421,17.9915,1.59,V,G,bc
2457084.8513358,1.3188,0.1097,16.1593,0.0905,17.1114,1.40,V,G,bc
2457095.8759673,1.1920,0.0487,16.2691,0.0444,17.9931,1.43,V,G,bc
2457097.8693609,1.3478,0.0349,16.1357,0.0282,18.3550,1.35,V,G,bc
2457098.8416128,1.1441,0.0472,16.3136,0.0449,18.0267,1.40,V,G,bc
2457100.8599972,1.3828,0.0463,16.1079,0.0364,18.0481,1.43,V,G,bc
2457104.7351391,1.4956,0.0505,16.0227,0.0367,17.9531,2.17,V,G,bc
2457106.8423133,1.3261,0.0637,16.1533,0.0522,17.7013,1.51,V,G,bc
2457109.8239983,1.3863,0.0717,16.1051,0.0562,17.5740,1.62,V,G,bc
2457113.8255809,1.2185,0.1098,16.2452,0.0979,17.1110,1.39,V,G,bc
2457114.7818504,1.2072,0.0864,16.2553,0.0777,17.3717,1.36,V,G,bc
2457116.8250669,1.3436,0.1059,16.1391,0.0857,17.1498,1.51,V,G,bc
2457118.812615,1.4012,0.1372,16.0935,0.1064,16.8694,1.41,V,B,bc
2457119.8123231,1.3437,0.0747,16.1390,0.0604,17.5287,1.40,V,G,bc
2457122.7773068,1.3123,0.0564,16.1647,0.0467,17.8347,1.48,V,G,bc
2457126.7730538,1.2150,0.0668,16.2483,0.0598,17.6505,1.57,V,G,bc
2457128.7597438,1.2939,0.0503,16.1801,0.0423,17.9577,1.42,V,G,bc
2457131.7669209,1.3427,0.0493,16.1399,0.0399,17.9813,1.65,V,G,bc
2457132.7704139,1.2400,0.0507,16.2262,0.0444,17.9498,1.60,V,G,bc
2457137.7395203,1.2176,0.1088,16.2460,0.0971,17.1209,2.35,V,B,bc
2457138.7498289,1.2905,0.0583,16.1829,0.0491,17.7982,2.26,V,G,bc
2457145.7292582,1.5955,0.2142,15.9525,0.1459,16.3852,1.82,V,G,bc
2457283.1163976,1.3201,0.0614,16.1582,0.0506,17.7418,1.52,V,G,bc
2457288.1018738,1.4166,0.0591,16.0817,0.0453,17.7840,1.41,V,G,bc
2457297.0781505,1.4043,0.0726,16.0912,0.0562,17.5607,1.79,V,G,bc
