# ASAS-SN SkyPatrol ID: 94490502240
# ATLAS-REFCAT2: 163291238202980950
# Gaia DR2: 928831246636351616
# TESS Input Catalog (TIC): 99174507
# Million Quasars Catalog (MILLIQUAS): MCG 8-15-056
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 8-15-056
# GLADE HyperLEDA: 23138
# GLADE 2MASS Extended Source Catalog: 08151687+4604303
# GLADE SDSS-DR12 QSO Catalog: 081516.86+460430.8


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455937.9872744,4.3936,0.0849,14.8527,0.0210,17.3896,4.16,V,G,ba
2455972.026527,4.7563,0.0543,14.7666,0.0124,17.8761,2.09,V,G,ba
2455985.8643226,4.6052,0.0448,14.8017,0.0106,18.0837,2.14,V,G,ba
2456221.1271834,3.7831,0.0639,15.0152,0.0184,17.6978,2.41,V,G,ba
2456227.0868413,4.5703,0.0485,14.8099,0.0115,17.9990,2.32,V,G,ba
2456231.0354727,4.7408,0.1082,14.7702,0.0248,17.1266,2.45,V,G,ba
2456235.0759675,4.6605,0.0936,14.7887,0.0218,17.2844,2.17,V,G,ba
2456238.1006679,4.5526,0.0445,14.8141,0.0106,18.0910,2.17,V,G,ba
2456244.0593416,4.5058,0.0339,14.8253,0.0082,18.3865,2.02,V,G,ba
2456259.0610648,4.3828,0.1249,14.8554,0.0310,16.9711,2.11,V,B,ba
2456316.9181385,4.2204,0.1579,14.8964,0.0407,16.7162,2.06,V,G,ba
2456319.8682957,4.6767,0.1335,14.7849,0.0310,16.8989,2.22,V,G,ba
2456324.9247119,4.3741,0.0669,14.8575,0.0166,17.6480,2.29,V,G,ba
2456328.8596462,4.2910,0.0407,14.8784,0.0103,18.1888,2.50,V,G,ba
2456338.7747809,4.5412,0.0594,14.8169,0.0142,17.7774,2.30,V,G,ba
2456350.7767859,4.2843,0.0972,14.8801,0.0247,17.2427,2.35,V,G,ba
2456355.8844426,4.2761,0.0487,14.8822,0.0124,17.9937,2.01,V,G,ba
2456359.8288328,4.2213,0.0328,14.8962,0.0085,18.4221,2.02,V,G,ba
2456381.7992207,4.5164,0.0474,14.8228,0.0114,18.0229,2.08,V,G,ba
2456391.7303118,4.2331,0.0780,14.8931,0.0200,17.4816,2.88,V,G,ba
2456405.7707503,4.3033,0.1022,14.8753,0.0258,17.1888,2.01,V,G,ba
2456412.7600425,4.5344,0.0517,14.8185,0.0124,17.9295,2.80,V,B,ba
2456537.1343877,4.2874,0.1461,14.8793,0.0370,16.8010,1.98,V,G,ba
2456544.1315068,4.3318,0.0678,14.8681,0.0170,17.6344,2.17,V,G,ba
2456554.108203,4.5160,0.1778,14.8229,0.0428,16.5877,2.05,V,B,ba
2456556.0926741,4.3650,0.1421,14.8598,0.0354,16.8308,1.79,V,G,ba
2456558.114047,4.6027,0.1213,14.8023,0.0287,17.0025,2.08,V,G,ba
2456576.0360881,4.4814,0.0509,14.8313,0.0124,17.9446,2.21,V,G,ba
2456593.0500629,4.4187,0.1922,14.8466,0.0473,16.5032,1.49,V,B,bc
2456593.0682142,4.4222,0.1232,14.8457,0.0303,16.9856,2.08,V,B,bd
2456594.0468839,4.9945,0.1529,14.7136,0.0333,16.7512,1.60,V,B,bc
2456596.1377774,4.2922,0.1290,14.8781,0.0327,16.9359,2.42,V,G,bc
2456615.9211905,5.4941,0.3181,14.6100,0.0629,15.9561,2.34,V,G,bc
2456625.9030907,4.4244,0.0508,14.8451,0.0125,17.9485,1.49,V,G,bc
2456629.8892315,4.2703,0.0527,14.8836,0.0134,17.9069,1.40,V,G,bc
2456630.8643348,4.4655,0.0542,14.8351,0.0132,17.8782,1.62,V,G,bc
2456631.8673071,4.5587,0.0546,14.8127,0.0130,17.8694,1.38,V,G,bc
2456635.8543315,4.1239,0.1060,14.9215,0.0279,17.1496,2.49,V,G,bc
2456636.8522653,3.9760,0.0799,14.9612,0.0218,17.4562,1.81,V,G,bc
2456637.9749427,4.3962,0.0762,14.8521,0.0188,17.5071,1.76,V,G,bc
2456640.8617182,3.4616,0.5621,15.1116,0.1765,15.3377,1.90,V,B,bd
2456641.8562114,4.3798,0.2078,14.8562,0.0516,16.4182,2.69,V,G,bd
2456655.8923086,4.5412,0.0473,14.8169,0.0113,18.0256,1.73,V,G,bc
2456658.9293384,4.6022,0.0478,14.8024,0.0113,18.0137,2.84,V,G,bc
2456675.8494375,4.4443,0.0815,14.8403,0.0199,17.4348,1.71,V,G,bc
2456676.9000329,4.3525,0.0696,14.8629,0.0174,17.6062,2.28,V,G,bc
2456678.9390239,4.3397,0.1236,14.8661,0.0310,16.9823,2.62,V,G,bd
2456683.9032519,4.3590,0.0385,14.8613,0.0096,18.2477,2.33,V,G,bc
2456701.8445814,4.5042,0.1104,14.8257,0.0266,17.1050,1.44,V,G,bc
2456730.8087372,4.6049,0.1173,14.8017,0.0277,17.0390,1.66,V,G,bd
2456730.816073,4.3674,0.0810,14.8592,0.0202,17.4407,2.34,V,B,bc
2456736.8017307,4.4475,0.0532,14.8395,0.0130,17.8984,1.33,V,G,bc
2456736.828451,4.4935,0.0787,14.8283,0.0190,17.4718,1.44,V,G,bd
2456741.8028326,4.4088,0.0562,14.8490,0.0138,17.8388,1.51,V,G,bc
2456757.7675624,4.3987,0.0834,14.8515,0.0206,17.4089,1.63,V,G,bc
2456770.7591829,4.5546,0.1526,14.8136,0.0364,16.7537,2.47,V,G,bc
2456771.7533133,4.5748,0.0596,14.8088,0.0142,17.7747,1.75,V,G,bc
2456787.7403124,4.2230,0.0931,14.8957,0.0240,17.2905,1.39,V,G,bc
2456788.7432813,4.4618,0.0937,14.8360,0.0228,17.2830,1.41,V,G,bc
2456899.1358944,4.2475,0.1453,14.8894,0.0372,16.8066,2.17,V,B,bc
2456901.1400566,4.9214,0.2318,14.7296,0.0512,16.2996,1.91,V,G,bc
2456904.1380947,3.9467,0.1760,14.9692,0.0485,16.5983,1.79,V,G,bc
2456905.1271908,4.4713,0.0608,14.8337,0.0148,17.7527,1.62,V,B,bc
2456910.1301374,4.3856,0.2371,14.8547,0.0588,16.2751,1.73,V,G,bc
2456914.127235,4.3047,0.0834,14.8749,0.0211,17.4098,1.95,V,G,bc
2456915.1241366,4.4054,0.0987,14.8498,0.0244,17.2263,1.70,V,G,bc
2456917.1169973,4.4215,0.0660,14.8459,0.0162,17.6634,1.89,V,G,bc
2456921.1111825,4.3210,0.0549,14.8708,0.0138,17.8627,1.67,V,G,bc
2456923.1130059,4.4500,0.0558,14.8389,0.0136,17.8459,1.76,V,G,bc
2456924.1247738,4.3492,0.0426,14.8637,0.0106,18.1398,1.55,V,G,bc
2456932.0948858,4.4754,0.0589,14.8327,0.0143,17.7865,2.01,V,G,bc
2456933.0673276,4.6148,0.0631,14.7994,0.0149,17.7120,2.02,V,G,bc
2456934.0906048,4.1462,0.0910,14.9156,0.0239,17.3147,1.60,V,G,bc
2456935.1071084,4.4408,0.0866,14.8411,0.0212,17.3685,1.57,V,G,bd
2456936.0707842,4.3606,0.0573,14.8609,0.0143,17.8173,1.76,V,G,bc
2456938.1054169,4.2951,0.1310,14.8774,0.0331,16.9194,1.72,V,B,bd
2456940.0804951,4.4830,0.1324,14.8309,0.0321,16.9078,1.65,V,B,bc
2456961.0222666,4.3085,0.0539,14.8740,0.0136,17.8829,1.78,V,G,bc
2456968.0244679,4.4052,0.1373,14.8499,0.0339,16.8680,1.62,V,G,bc
2456970.9934756,4.7262,0.1719,14.7735,0.0395,16.6242,2.12,V,G,bc
2456977.9816485,4.3621,0.0607,14.8605,0.0151,17.7547,1.48,V,G,bc
2456979.0160124,4.4667,0.0474,14.8348,0.0115,18.0220,1.42,V,B,bc
2456981.0180766,4.4678,0.0515,14.8346,0.0125,17.9336,1.79,V,G,bc
2456983.0085941,4.4241,0.0463,14.8452,0.0114,18.0480,1.55,V,G,bc
2456985.0037424,4.4126,0.0391,14.8480,0.0096,18.2323,1.64,V,G,bc
2456987.0122604,4.4153,0.0609,14.8474,0.0150,17.7505,1.53,V,G,bd
2456988.9231904,4.1767,0.0575,14.9077,0.0150,17.8139,1.39,V,G,bc
2456990.9591793,4.3600,0.0555,14.8611,0.0138,17.8525,1.47,V,G,bc
2456991.0221257,4.4254,0.0681,14.8449,0.0167,17.6292,1.48,V,G,bd
2456992.0004499,4.2422,0.0456,14.8908,0.0117,18.0650,1.47,V,G,bc
2456993.9074436,4.3726,0.1057,14.8579,0.0263,17.1520,1.83,V,G,bc
2456993.9358695,4.2805,0.1105,14.8810,0.0280,17.1043,1.76,V,G,bd
2456998.9710566,4.7988,0.1299,14.7569,0.0294,16.9281,1.43,V,G,bc
2457000.9960992,4.2865,0.1202,14.8795,0.0305,17.0126,1.53,V,G,bd
2457003.9774824,4.5066,0.0599,14.8252,0.0144,17.7695,1.40,V,G,bc
2457003.9980948,4.6103,0.1058,14.8005,0.0249,17.1515,1.51,V,G,bd
2457006.9819669,4.3340,0.0540,14.8676,0.0135,17.8809,1.66,V,G,bc
2457007.0042536,4.5167,0.0909,14.8227,0.0219,17.3165,1.82,V,G,bd
2457008.9763084,4.4478,0.0498,14.8394,0.0122,17.9689,1.41,V,G,bc
2457012.9696287,4.3605,0.0420,14.8609,0.0105,18.1541,1.39,V,G,bc
2457016.9611776,4.4592,0.0456,14.8366,0.0111,18.0656,1.41,V,G,bc
2457020.8374393,4.3363,0.0680,14.8670,0.0171,17.6306,1.36,V,G,bc
2457023.9491727,3.7794,0.0923,15.0162,0.0265,17.2994,1.60,V,G,bc
2457030.9267531,4.3838,0.0763,14.8551,0.0189,17.5066,1.38,V,G,bc
2457031.9986306,4.4028,0.0747,14.8505,0.0184,17.5298,1.49,V,G,bc
2457032.9264586,4.2700,0.0631,14.8837,0.0161,17.7123,1.65,V,G,bc
2457034.9264307,4.4504,0.0447,14.8388,0.0109,18.0857,1.32,V,G,bc
2457035.8747069,1.7041,0.1048,15.8811,0.0669,17.1612,1.34,V,G,bc
2457036.917474,4.5080,0.0440,14.8248,0.0106,18.1033,1.37,V,G,bc
2457038.932777,4.5390,0.0475,14.8174,0.0114,18.0195,1.37,V,G,bc
2457040.9182001,4.5023,0.0399,14.8262,0.0096,18.2105,1.37,V,G,bc
2457042.9157005,4.5300,0.0558,14.8195,0.0134,17.8453,1.35,V,G,bc
2457044.9251615,4.2232,0.0853,14.8957,0.0219,17.3856,1.38,V,G,bc
2457045.9081208,4.5111,0.0460,14.8241,0.0111,18.0543,1.39,V,G,bc
2457048.9140678,4.4620,0.0513,14.8360,0.0125,17.9364,1.53,V,G,bc
2457051.8434937,4.4628,0.0691,14.8358,0.0168,17.6132,1.38,V,G,bc
2457051.920814,4.8862,0.1198,14.7374,0.0266,17.0164,1.57,V,G,bd
2457060.9224335,4.5151,0.0795,14.8231,0.0191,17.4610,1.55,V,B,bc
2457062.9402983,4.6560,0.0774,14.7898,0.0181,17.4912,1.46,V,G,bc
2457065.8984346,4.4414,0.0875,14.8410,0.0214,17.3571,1.72,V,G,bd
2457069.9010581,4.3906,0.0537,14.8535,0.0133,17.8877,1.51,V,G,bd
2457069.9597897,4.4892,0.0720,14.8294,0.0174,17.5683,1.48,V,G,bc
