# ASAS-SN SkyPatrol ID: 214749206759
# ATLAS-REFCAT2: 131511180743614622
# Gaia DR2: 673292718435358336
# TESS Input Catalog (TIC): 63104032
# Million Quasars Catalog (MILLIQUAS): PGC 3095775
# AllWISE AGN Catalog: WISEA J075217.84+193542.3
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 3095775
# GLADE 2MASS Extended Source Catalog: 07521780+1935423


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455973.8789776,1.7441,0.0309,15.8558,0.0193,18.4875,2.34,V,G,ba
2455999.939564,1.5829,0.0841,15.9611,0.0578,17.4000,2.15,V,B,ba
2456224.0846424,2.0762,0.0559,15.6666,0.0293,17.8441,2.28,V,G,ba
2456228.0329682,1.9819,0.0862,15.7171,0.0473,17.3732,2.38,V,G,ba
2456231.0493672,1.5252,0.0903,16.0014,0.0643,17.3236,2.44,V,G,ba
2456239.1482011,2.0407,0.0698,15.6853,0.0372,17.6029,2.00,V,B,ba
2456243.0449909,1.9794,0.0473,15.7185,0.0260,18.0241,2.16,V,G,ba
2456272.0034921,1.9565,0.0547,15.7311,0.0304,17.8682,2.03,V,G,ba
2456277.0396095,1.8664,0.0410,15.7823,0.0239,18.1796,2.29,V,G,ba
2456288.0060694,1.4895,0.1474,16.0272,0.1076,16.7912,2.16,V,G,ba
2456300.0120403,1.6868,0.0432,15.8921,0.0279,18.1227,2.46,V,G,ba
2456308.9565168,1.7704,0.0515,15.8396,0.0316,17.9330,2.07,V,G,ba
2456310.9429501,1.9482,0.0471,15.7357,0.0263,18.0307,1.77,V,G,ba
2456313.9351868,1.7543,0.0755,15.8495,0.0468,17.5177,2.29,V,G,ba
2456323.9242945,1.7743,0.0735,15.8372,0.0450,17.5466,2.00,V,G,ba
2456327.9187098,1.7560,0.0548,15.8485,0.0339,17.8652,2.18,V,G,ba
2456338.7360431,1.8642,0.0506,15.7835,0.0295,17.9527,2.53,V,G,ba
2456352.7593887,1.7975,0.0436,15.8231,0.0264,18.1128,2.60,V,G,ba
2456353.7603544,1.8997,0.0657,15.7631,0.0376,17.6677,2.34,V,G,ba
2456356.7789217,1.7692,0.0362,15.8403,0.0222,18.3164,2.20,V,G,ba
2456365.7457851,1.6431,0.1732,15.9206,0.1146,16.6159,1.83,V,B,ba
2456385.7593409,1.9023,0.0587,15.7616,0.0335,17.7907,2.21,V,G,ba
2456391.7434822,1.9472,0.0451,15.7363,0.0252,18.0770,2.58,V,G,ba
2456406.7524734,2.0266,0.1437,15.6929,0.0771,16.8186,2.43,V,G,ba
2456410.7471046,2.0793,0.0579,15.6650,0.0303,17.8059,2.68,V,G,ba
2456536.1369693,1.3846,0.2331,16.1065,0.1830,16.2934,2.23,V,G,ba
2456544.1259698,2.2423,0.0826,15.5830,0.0401,17.4194,2.14,V,G,ba
2456555.0827433,2.3959,0.3016,15.5111,0.1368,16.0137,2.10,V,G,ba
2456557.0896628,2.4715,0.1772,15.4774,0.0779,16.5914,1.75,V,G,ba
2456565.0674699,2.0940,0.1123,15.6574,0.0583,17.0866,2.37,V,B,ba
2456570.0460846,2.1384,0.0762,15.6346,0.0388,17.5069,2.03,V,G,ba
2456576.0305241,1.9996,0.0922,15.7074,0.0501,17.3004,2.21,V,G,ba
2456598.0425756,2.1229,0.0591,15.6425,0.0302,17.7841,1.68,V,G,ba
2456601.0387983,1.8615,0.0541,15.7851,0.0316,17.8799,2.20,V,G,ba
2456630.9917031,2.0747,0.0634,15.6674,0.0332,17.7068,2.23,V,B,ba
2456631.9922821,2.0796,0.0744,15.6648,0.0389,17.5331,2.41,V,G,ba
2456637.8662219,2.1047,0.1735,15.6518,0.0896,16.6144,3.27,V,B,ba
2456638.8635267,2.2051,0.1421,15.6012,0.0701,16.8306,1.67,V,G,ba
2456641.8394572,1.9361,0.2301,15.7424,0.1292,16.3077,3.48,V,G,ba
2456642.9698981,1.8998,0.1816,15.7630,0.1039,16.5644,2.94,V,G,ba
2456676.750035,1.8180,0.0904,15.8108,0.0540,17.3221,2.01,V,G,ba
2456677.9229073,2.2276,0.1360,15.5902,0.0664,16.8786,2.13,V,G,ba
2456730.7527061,1.9998,0.2134,15.7073,0.1160,16.3895,2.02,V,B,ba
2456736.7972981,1.7461,0.0594,15.8546,0.0370,17.7774,2.27,V,G,ba
2456741.7994267,1.7342,0.0499,15.8621,0.0313,17.9663,1.71,V,G,ba
2456758.7476956,1.6678,0.1255,15.9044,0.0818,16.9654,3.14,V,G,ba
2456759.7734064,2.2476,0.1341,15.5805,0.0648,16.8941,1.70,V,G,ba
2456771.7592563,1.7304,0.0773,15.8644,0.0486,17.4918,2.07,V,G,ba
2456903.1388749,1.1755,0.3377,15.8912,99.9990,15.8912,1.87,V,G,ba
2456905.130132,2.2165,0.1047,15.5956,0.0513,17.1627,1.65,V,B,ba
2456911.1320422,2.0323,0.2019,15.6898,0.1080,16.4494,1.68,V,B,ba
2456912.1291714,2.3109,0.1870,15.5503,0.0879,16.5329,1.71,V,B,ba
2456914.1242651,2.3093,0.1193,15.5511,0.0562,17.0206,1.66,V,G,ba
2456915.1211391,1.9911,0.1284,15.7121,0.0701,16.9412,1.63,V,G,ba
2456923.1100601,2.0606,0.0712,15.6748,0.0376,17.5805,1.65,V,G,ba
2456924.105671,2.1162,0.0778,15.6459,0.0400,17.4850,1.75,V,G,ba
2456925.1039831,1.8851,0.0579,15.7714,0.0334,17.8053,2.08,V,G,ba
2456933.0613714,2.1556,0.1003,15.6258,0.0506,17.2087,1.63,V,G,ba
2456936.0852284,1.8500,0.0732,15.7918,0.0430,17.5506,1.66,V,G,ba
2456940.0833965,1.9205,0.1219,15.7512,0.0690,16.9977,1.71,V,B,ba
2456961.0310886,1.9115,0.0476,15.7564,0.0271,18.0188,1.74,V,G,ba
2456968.0097089,2.4992,0.1637,15.4653,0.0712,16.6775,1.72,V,G,ba
2456969.0456178,2.0381,0.3341,15.6867,0.1782,15.9026,1.72,V,B,ba
2456971.0284424,1.7458,0.1383,15.8548,0.0861,16.8606,1.68,V,G,ba
2456977.9786139,1.8763,0.0663,15.7765,0.0384,17.6588,2.28,V,G,ba
2456980.0119151,1.9289,0.0656,15.7465,0.0369,17.6709,2.04,V,G,ba
2456982.0135992,1.9823,0.0673,15.7168,0.0369,17.6416,1.80,V,G,ba
2456984.0078239,1.8132,0.0497,15.8137,0.0298,17.9720,1.68,V,G,ba
2456987.006279,1.9297,0.0631,15.7461,0.0355,17.7122,1.65,V,G,ba
2456989.0037031,1.9953,0.0601,15.7098,0.0327,17.7655,1.66,V,G,ba
2456990.9791015,1.8780,0.0510,15.7755,0.0295,17.9426,1.64,V,G,ba
2456992.920848,1.9645,0.0652,15.7267,0.0361,17.6763,1.64,V,G,ba
2456993.9209531,1.8434,0.0738,15.7957,0.0435,17.5416,1.69,V,G,ba
2456997.9867339,2.1719,0.1530,15.6177,0.0766,16.7508,1.70,V,B,ba
2457003.8643487,2.0085,0.0865,15.7026,0.0468,17.3702,1.63,V,G,ba
2457006.9787214,1.9305,0.0535,15.7456,0.0301,17.8924,2.00,V,G,ba
2457007.9703678,1.9720,0.0683,15.7225,0.0376,17.6265,1.70,V,B,ba
2457008.973209,1.9773,0.0602,15.7196,0.0331,17.7639,1.71,V,G,ba
2457012.9667134,1.8324,0.0730,15.8022,0.0433,17.5547,1.64,V,G,ba
2457017.9429999,1.9073,0.0597,15.7588,0.0340,17.7730,1.69,V,G,ba
2457020.9495023,1.9953,0.0728,15.7098,0.0396,17.5573,1.61,V,G,ba
2457023.8418072,2.0472,0.1293,15.6819,0.0686,16.9336,1.70,V,G,ba
2457030.9324081,1.8188,0.0909,15.8103,0.0543,17.3163,1.70,V,G,ba
2457032.9236516,2.0030,0.0827,15.7056,0.0449,17.4186,1.80,V,G,ba
2457034.9222061,1.7388,0.0557,15.8592,0.0348,17.8484,1.69,V,G,ba
2457036.7752411,1.8769,0.0552,15.7762,0.0320,17.8578,1.72,V,G,ba
2457037.9231124,1.6897,0.0396,15.8903,0.0255,18.2172,1.67,V,G,ba
2457039.9440433,1.7420,0.0491,15.8572,0.0306,17.9853,1.68,V,G,ba
2457041.9254494,1.9920,0.0665,15.7115,0.0363,17.6558,1.69,V,G,ba
2457042.9071944,1.8882,0.0563,15.7697,0.0324,17.8364,1.72,V,G,ba
2457044.9222878,1.7769,0.0471,15.8356,0.0288,18.0298,1.78,V,G,ba
2457046.9098454,1.7395,0.0428,15.8587,0.0267,18.1348,1.69,V,G,ba
2457048.9106646,1.7532,0.0648,15.8502,0.0402,17.6834,1.99,V,G,ba
2457049.9031053,1.7972,0.0691,15.8233,0.0418,17.6142,1.77,V,G,ba
2457051.8913945,1.7013,0.0769,15.8828,0.0491,17.4982,1.72,V,G,ba
2457060.9801506,1.9413,0.1253,15.7396,0.0702,16.9671,2.01,V,B,ba
2457062.9517701,1.7431,0.1046,15.8565,0.0652,17.1633,2.13,V,G,ba
2457065.9184769,1.7255,0.0556,15.8675,0.0350,17.8493,1.76,V,G,ba
2457069.8745819,1.7103,0.0532,15.8771,0.0338,17.8969,1.70,V,G,ba
2457071.8685326,1.7112,0.0546,15.8765,0.0347,17.8699,1.63,V,G,ba
2457076.7415364,1.6811,0.0751,15.8958,0.0486,17.5227,1.78,V,G,ba
2457077.8504108,1.6599,0.0707,15.9096,0.0463,17.5885,1.72,V,G,ba
