# ASAS-SN SkyPatrol ID: 197568605368
# ATLAS-REFCAT2: 137871295455674898
# Gaia DR2: 702572060246731520
# TESS Input Catalog (TIC): 117162585
# Million Quasars Catalog (MILLIQUAS): NGC 2622
# AAVSO International Variable Star Index: MRK 1218
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NGC 2622
# GLADE 2MASS Extended Source Catalog: 08381094+2453427


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455940.9741995,7.9815,0.1679,14.2046,0.0229,16.6497,2.90,V,B,bb
2455946.9731795,8.3407,0.0517,14.1568,0.0067,17.9288,2.52,V,G,bb
2455950.9726619,8.0924,0.0466,14.1896,0.0063,18.0425,2.84,V,G,bb
2455954.9534176,8.3232,0.0445,14.1591,0.0058,18.0920,2.90,V,G,bb
2455969.9129962,8.3179,0.0590,14.1598,0.0077,17.7852,2.01,V,G,bb
2456002.8379218,8.4291,0.0495,14.1453,0.0064,17.9748,2.09,V,G,bb
2456223.1185965,7.9200,0.0550,14.2130,0.0075,17.8622,2.04,V,G,bb
2456228.0747045,7.9088,0.0818,14.2145,0.0112,17.4300,2.02,V,G,bb
2456235.0937454,8.0629,0.0612,14.1935,0.0083,17.7448,2.16,V,G,bb
2456240.0828663,8.1565,0.0557,14.1810,0.0074,17.8483,2.60,V,G,bb
2456244.0782295,8.0678,0.0446,14.1929,0.0060,18.0890,2.49,V,G,bb
2456252.0565916,8.2382,0.0446,14.1702,0.0059,18.0896,2.03,V,B,bb
2456259.080615,8.3274,0.0723,14.1585,0.0094,17.5645,2.08,V,B,bb
2456268.0918132,7.8588,0.2362,14.2214,0.0327,16.2792,1.76,V,B,bb
2456273.0379878,8.2582,0.0454,14.1676,0.0060,18.0699,2.33,V,G,bb
2456277.0657297,8.0981,0.0444,14.1888,0.0060,18.0947,2.19,V,G,bb
2456300.0198372,8.1433,0.0368,14.1828,0.0049,18.2974,1.99,V,G,bb
2456304.0310612,8.1762,0.0504,14.1784,0.0067,17.9571,2.14,V,G,bb
2456308.9837584,8.3080,0.0516,14.1610,0.0067,17.9312,2.17,V,G,bb
