# ASAS-SN SkyPatrol ID: 197568531637
# ATLAS-REFCAT2: 136061199727748639
# Gaia DR2: 680410750553570048
# TESS Input Catalog (TIC): 284766451
# Million Quasars Catalog (MILLIQUAS): MCG +04.19.017
# AllWISE AGN Catalog: WISEA J075953.45+232324.3
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG +04.19.017
# GLADE HyperLEDA: 22412
# GLADE 2MASS Extended Source Catalog: 07595347+2323241


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456221.1385524,7.9042,0.0692,14.2151,0.0095,17.6117,2.45,V,G,ba
2456225.066725,7.7694,0.0555,14.2338,0.0078,17.8508,2.63,V,G,ba
2456229.0325206,8.2402,0.0939,14.1699,0.0124,17.2804,2.49,V,G,ba
2456240.0501117,7.7152,0.0587,14.2414,0.0083,17.7904,2.00,V,G,ba
2456244.0435971,7.7922,0.0854,14.2306,0.0119,17.3838,2.01,V,G,ba
2456258.0659441,7.8250,0.1095,14.2261,0.0152,17.1139,2.11,V,B,ba
2456260.0569538,7.6439,0.1142,14.2515,0.0162,17.0685,2.33,V,B,ba
2456325.8987955,7.8974,0.0491,14.2161,0.0068,17.9854,2.21,V,G,ba
2456337.7428579,7.6255,0.0669,14.2541,0.0095,17.6485,2.52,V,G,ba
2456352.7361398,7.7307,0.0621,14.2392,0.0087,17.7295,2.81,V,G,ba
2456353.7367959,8.0337,0.0723,14.1975,0.0098,17.5645,2.40,V,G,ba
2456356.7829951,7.6217,0.0340,14.2547,0.0049,18.3828,2.17,V,G,ba
2456369.7289369,7.7009,0.0763,14.2434,0.0108,17.5057,2.29,V,B,ba
2456386.7360293,7.6971,0.0673,14.2440,0.0095,17.6419,3.04,V,G,ba
2456401.7558887,7.7305,0.1168,14.2393,0.0164,17.0437,3.20,V,B,ba
2456408.7535308,8.2090,0.1344,14.1741,0.0178,16.8917,2.44,V,G,ba
2456415.7544723,7.6218,0.0617,14.2546,0.0088,17.7375,2.72,V,G,ba
2456544.1287081,7.5585,0.1153,14.2637,0.0166,17.0579,2.15,V,G,ba
2456556.089885,8.0466,0.1820,14.1958,0.0246,16.5621,1.85,V,G,ba
2456560.0848312,7.4480,0.1275,14.2797,0.0186,16.9483,2.10,V,G,ba
2456568.0882539,7.2548,0.1207,14.3082,0.0181,17.0084,2.10,V,G,ba
2456596.0463125,7.6227,0.2380,14.2545,0.0339,16.2707,2.42,V,G,bc
2456598.0425756,8.4409,0.2576,14.1438,0.0332,16.1849,1.69,V,G,bc
2456600.0393011,7.7105,0.2420,14.2421,0.0341,16.2528,2.17,V,G,bc
2456601.0387983,7.6524,0.1429,14.2503,0.0203,16.8245,2.25,V,G,bc
2456606.0297573,6.7362,0.1946,14.3887,0.0314,16.4895,2.23,V,G,bc
2456630.9917031,7.6095,0.0494,14.2564,0.0071,17.9789,1.61,V,G,bc
2456631.9922821,7.7331,0.0908,14.2389,0.0128,17.3166,1.40,V,B,bc
2456632.9757187,7.9987,0.0793,14.2022,0.0108,17.4635,2.67,V,G,bc
2456633.8627697,7.2890,0.1740,14.3031,0.0260,16.6108,3.65,V,B,bc
