# ASAS-SN SkyPatrol ID: 206159791284
# ATLAS-REFCAT2: 124920332399783911
# Gaia DR2: 77274609208701824
# TESS Input Catalog (TIC): 97430012
# Million Quasars Catalog (MILLIQUAS): PGC 1449281
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 1449281
# GLADE 2MASS Extended Source Catalog: 02125762+1406105


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455940.8153998,0.0000,0.0000,44.5362,0.0338,46.5583,2.47,V,G,bb
2455946.8200673,0.0000,0.0000,44.5150,0.0382,46.4027,2.07,V,G,bb
2455950.8249504,0.0000,0.0000,44.5292,0.0393,46.3850,2.43,V,G,bb
2455971.7327842,0.0000,0.0000,44.6159,0.0311,46.7263,2.48,V,B,bb
2456000.731462,0.0000,0.0000,44.4095,0.0551,45.8992,2.40,V,G,bb
2456222.8711883,0.0000,0.0000,44.7066,0.0424,46.4810,2.04,V,B,bb
2456227.8869913,0.0000,0.0000,44.4943,0.0486,46.1202,1.81,V,B,bb
2456234.0379507,0.0000,0.0000,44.8184,0.0795,45.9107,1.85,V,G,bb
2456236.863527,0.0000,0.0000,44.5420,0.0308,46.6626,1.79,V,G,bb
2456243.8807236,0.0000,0.0000,44.6090,0.0208,47.1554,2.16,V,G,bb
2456268.812859,0.0000,0.0000,44.5363,0.0323,46.6069,2.00,V,G,bb
2456275.7919021,0.0000,0.0000,44.5798,0.0180,47.2857,2.35,V,G,bb
2456288.7602042,0.0000,0.0000,44.5701,0.0678,45.8347,1.98,V,G,bb
2456300.7702105,0.0000,0.0000,44.5488,0.0443,46.2761,2.18,V,G,bb
2456302.767405,0.0000,0.0000,44.6008,0.0270,46.8669,2.13,V,G,bb
2456308.7135989,0.0000,0.0000,44.5592,0.0262,46.8563,1.79,V,G,bb
2456315.7647741,0.0000,0.0000,44.6344,0.0519,46.1906,1.99,V,G,bb
2456325.7551644,0.0000,0.0000,44.6423,0.0379,46.5384,2.00,V,G,bb
2456463.1216572,0.0000,0.0000,44.3598,0.1456,44.7948,1.72,V,B,bb
2456465.1089185,0.0000,0.0000,44.5821,0.0475,46.2332,1.71,V,G,bb
2456471.0929366,0.0000,0.0000,44.6697,0.0676,45.9382,1.96,V,G,bb
2456474.0901099,0.0000,0.0000,44.6504,0.0606,46.0371,1.82,V,G,bb
2456478.0731912,0.0000,0.0000,44.5128,0.0274,46.7626,1.78,V,G,bb
2456482.0684711,0.0000,0.0000,44.5911,0.0317,46.6831,1.62,V,B,bb
2456485.0703888,0.0000,0.0000,44.5596,0.0327,46.6180,1.77,V,G,bb
2456487.069615,0.0000,0.0000,44.5381,0.0324,46.6043,1.72,V,G,bb
2456490.0548486,0.0000,0.0000,44.5568,0.0287,46.7569,1.84,V,G,bb
2456491.1170721,0.0000,0.0000,44.4676,0.0392,46.3267,2.03,V,G,bb
2456493.0552782,0.0000,0.0000,44.5953,0.0330,46.6432,1.97,V,G,bb
2456497.0520519,0.0000,0.0000,44.9470,0.1502,45.3482,1.74,V,B,bb
2456508.0439208,0.0000,0.0000,44.6233,0.0275,46.8664,1.84,V,G,bb
2456509.0577641,0.0000,0.0000,44.5657,0.0283,46.7812,1.84,V,G,bb
2456513.121208,0.0000,0.0000,44.7032,0.0376,46.6074,1.77,V,G,bb
2456518.0023264,0.0000,0.0000,44.5420,0.0328,46.5952,1.78,V,G,bb
2456521.0942137,0.0000,0.0000,44.5293,0.0259,46.8377,1.85,V,G,bb
2456524.0137979,0.0000,0.0000,44.4489,0.0745,45.6113,1.93,V,G,bb
2456528.0063539,0.0000,0.0000,44.6559,0.0848,45.6783,2.00,V,G,bb
2456533.0359541,0.0000,0.0000,44.6181,0.0320,46.6983,1.68,V,G,bb
2456535.0864614,0.0000,0.0000,44.6894,0.0356,46.6527,1.79,V,G,bb
2456536.9926216,0.0000,0.0000,44.5077,0.0337,46.5319,1.67,V,G,bb
2456538.9814069,0.0000,0.0000,44.6476,0.0288,46.8432,1.71,V,G,bb
2456544.001242,0.0000,0.0000,44.6002,0.0308,46.7232,1.74,V,G,bb
2456554.9179453,0.0000,0.0000,44.4603,0.0919,45.3953,1.76,V,G,bb
2456556.0341836,0.0000,0.0000,44.8942,0.1066,45.6679,1.71,V,G,bb
2456562.947736,0.0000,0.0000,44.5207,0.0311,46.6316,1.74,V,G,bb
2456567.9535253,0.0000,0.0000,44.5522,0.0223,47.0248,1.82,V,G,bb
2456570.94394,0.0000,0.0000,44.5276,0.0352,46.5052,1.74,V,G,bb
2456576.0026467,0.0000,0.0000,44.6863,0.0345,46.6860,1.93,V,G,bb
2456615.8662809,1.4442,0.0895,16.0607,0.0673,17.3332,1.52,V,G,bd
2456618.8781341,1.5667,0.0456,15.9723,0.0317,18.0643,1.70,V,G,bd
2456621.8785625,1.5993,0.0454,15.9500,0.0308,18.0700,2.35,V,G,bd
2456629.8732744,1.6821,0.0549,15.8951,0.0354,17.8643,1.50,V,G,bd
2456641.7614636,1.1924,0.1142,16.2688,0.1041,17.0686,2.27,V,G,bd
2456648.8159715,1.7278,0.0550,15.8661,0.0346,17.8606,1.51,V,G,bd
2456656.7257072,1.6403,0.0526,15.9225,0.0349,17.9097,1.61,V,G,bd
2456674.7799813,1.7139,0.0861,15.8748,0.0546,17.3751,1.75,V,G,bd
2456676.7668603,1.5935,0.0455,15.9539,0.0310,18.0679,1.50,V,G,bd
2456683.7925633,1.7854,0.0559,15.8304,0.0340,17.8445,2.42,V,G,bd
2456824.1183097,1.6036,0.2141,15.9471,0.1451,16.3860,1.83,V,G,bd
2456825.1185658,1.7169,0.1681,15.8729,0.1064,16.6486,1.59,V,B,bd
2456829.1120694,1.1504,0.1334,16.3077,0.1260,16.8998,1.53,V,G,bd
2456835.1016453,1.1578,0.0596,16.3007,0.0560,17.7739,1.59,V,B,bd
2456847.0902418,1.5999,0.0671,15.9496,0.0456,17.6462,1.50,V,G,bd
2456850.0864757,1.5556,0.1398,15.9800,0.0977,16.8483,1.47,V,B,bd
2456851.0832972,1.4497,0.1353,16.0566,0.1015,16.8839,1.48,V,B,bd
2456854.070937,1.4089,0.1270,16.0876,0.0980,16.9531,1.54,V,B,bd
2456855.0701197,1.5395,0.0925,15.9913,0.0653,17.2968,1.48,V,G,bd
2456883.0203586,1.4829,0.1107,16.0320,0.0811,17.1022,1.63,V,G,bd
2456888.0714458,1.4702,0.0545,16.0413,0.0403,17.8708,1.57,V,G,bd
2456890.0155027,1.4520,0.0473,16.0549,0.0354,18.0255,1.64,V,G,bd
2456893.1250759,1.7988,0.0690,15.8224,0.0417,17.6154,1.59,V,G,bd
2456895.0155931,1.5126,0.0610,16.0104,0.0438,17.7489,1.48,V,G,bd
2456896.0162309,1.5210,0.0511,16.0045,0.0365,17.9412,1.56,V,G,bd
2456897.0163065,1.4851,0.0512,16.0304,0.0375,17.9392,1.57,V,G,bd
2456900.0087336,1.4336,0.0517,16.0687,0.0392,17.9283,1.77,V,G,bd
2456901.0113989,1.3474,0.0537,16.1360,0.0434,17.8866,1.62,V,G,bd
2456904.0083518,1.6109,0.0645,15.9421,0.0435,17.6886,1.46,V,G,bd
2456917.0778853,1.4810,0.0728,16.0334,0.0534,17.5571,1.62,V,G,bd
2456918.9753514,1.3069,0.0606,16.1691,0.0504,17.7558,1.63,V,G,bd
2456920.9740006,1.3385,0.0597,16.1432,0.0485,17.7719,1.51,V,G,bd
2456922.9728519,1.5724,0.0489,15.9684,0.0338,17.9886,1.53,V,G,bd
2456923.9925636,1.5585,0.0563,15.9780,0.0393,17.8352,1.56,V,G,bd
2456931.9635256,1.4420,0.0754,16.0624,0.0569,17.5184,1.66,V,G,bd
2456932.9542324,1.4216,0.0504,16.0778,0.0385,17.9573,1.69,V,G,bd
2456937.869975,1.0467,0.1487,16.4102,0.1545,16.7813,1.57,V,G,bd
2456943.0449472,1.5445,0.0900,15.9878,0.0633,17.3271,1.61,V,G,bd
2456943.9415459,1.2921,0.0710,16.1816,0.0597,17.5849,2.05,V,G,bd
2456969.9617591,1.0736,0.1540,16.3827,0.1559,16.7436,1.63,V,B,bd
2456970.7285274,1.2594,0.0650,16.2094,0.0561,17.6796,1.63,V,G,bd
2456971.8811031,1.3540,0.1032,16.1308,0.0829,17.1780,1.69,V,G,bd
2456972.8778184,1.8156,0.0810,15.8122,0.0485,17.4416,2.00,V,G,bd
2456973.8929851,1.3596,0.0599,16.1262,0.0479,17.7683,1.53,V,G,bd
2456979.8579018,1.5365,0.0380,15.9935,0.0269,18.2616,1.72,V,G,bd
2456981.7758668,1.5744,0.0398,15.9670,0.0274,18.2138,1.77,V,G,bd
2456982.84286,1.4064,0.1205,16.0895,0.0931,17.0097,1.50,V,B,bd
2456983.8638604,1.4561,0.0589,16.0518,0.0439,17.7877,1.47,V,G,bd
2456985.8313359,1.4880,0.0451,16.0282,0.0329,18.0774,1.47,V,G,bd
2456986.8667732,1.4939,0.0539,16.0240,0.0392,17.8843,1.55,V,G,bd
2456988.7191606,1.5946,0.0605,15.9532,0.0413,17.7571,1.42,V,B,bd
2456989.7449878,1.4899,0.0673,16.0269,0.0491,17.6424,1.46,V,G,bd
2456990.8528249,1.6571,0.0645,15.9114,0.0423,17.6881,1.49,V,G,bd
2456997.9158611,1.6343,0.1545,15.9265,0.1028,16.7397,1.73,V,B,bd
2456999.836788,1.8283,0.0920,15.8047,0.0547,17.3026,1.48,V,G,bd
2457000.8417308,1.4295,0.0669,16.0719,0.0508,17.6496,1.45,V,G,bd
2457001.8471709,1.5527,0.0499,15.9821,0.0350,17.9664,1.49,V,G,bd
2457002.8463556,1.5475,0.0612,15.9857,0.0430,17.7462,1.63,V,G,bd
2457004.8395563,1.5328,0.0505,15.9961,0.0358,17.9534,1.48,V,G,bd
2457006.8366193,1.4868,0.0590,16.0292,0.0431,17.7856,2.25,V,G,bd
2457011.857974,1.3944,0.0549,16.0988,0.0428,17.8642,1.45,V,G,bd
2457013.8388389,1.5586,0.0546,15.9780,0.0381,17.8687,1.56,V,G,bd
2457017.7109716,1.2955,0.0716,16.1787,0.0600,17.5755,1.53,V,G,bd
2457024.839134,1.0779,0.1095,16.3783,0.1104,17.1142,2.25,V,B,bd
2457030.8187027,1.3481,0.0789,16.1355,0.0637,17.4690,1.48,V,G,bd
2457032.7789367,1.4710,0.0569,16.0407,0.0421,17.8244,1.56,V,G,bd
2457035.7805864,1.6030,0.0509,15.9474,0.0345,17.9456,1.43,V,G,bd
2457037.7785783,1.4096,0.0554,16.0871,0.0427,17.8529,1.51,V,G,bd
2457039.7755509,1.3814,0.0611,16.1090,0.0481,17.7466,1.44,V,G,bd
