# ASAS-SN SkyPatrol ID: 77310714964
# ATLAS-REFCAT2: 167272208802532405
# Gaia DR2: 1591767832550891520
# TESS Input Catalog (TIC): 161000912
# Million Quasars Catalog (MILLIQUAS): CGCG 248-19
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 248-19
# GLADE HyperLEDA: 52598
# GLADE 2MASS Extended Source Catalog: 14433125+4923353


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456320.148313,4.7833,0.0979,14.7605,0.0223,17.2352,2.38,V,G,bb
2456326.1521898,4.4576,0.0538,14.8370,0.0131,17.8852,2.20,V,G,bb
2456344.937875,4.4470,0.0752,14.8396,0.0184,17.5222,2.66,V,B,bb
2456353.1429436,4.7546,0.1492,14.7670,0.0341,16.7783,3.72,V,B,bb
2456377.0067164,4.6350,0.1138,14.7947,0.0267,17.0722,2.10,V,G,bb
2456389.8164692,4.5211,0.0378,14.8217,0.0091,18.2674,1.72,V,G,bb
2456398.0036472,4.4563,0.0574,14.8373,0.0140,17.8155,1.86,V,B,bb
2456405.9376463,4.6046,0.0791,14.8018,0.0187,17.4672,2.09,V,B,bb
2456405.9396172,4.7043,0.1000,14.7785,0.0231,17.2127,2.07,V,G,bb
2456410.9249164,4.5237,0.1184,14.8211,0.0284,17.0294,1.86,V,B,bb
2456416.9380386,4.2518,0.0584,14.8884,0.0149,17.7963,1.79,V,B,bb
2456439.9701509,4.7360,0.0991,14.7713,0.0227,17.2219,2.07,V,G,bb
2456449.8326203,4.5515,0.0319,14.8144,0.0076,18.4539,2.08,V,G,bb
2456458.8491661,4.5122,0.0442,14.8238,0.0107,18.0984,1.71,V,G,bb
2456462.8263026,4.4758,0.1050,14.8326,0.0255,17.1591,1.81,V,G,bb
2456466.8421787,4.2342,0.1275,14.8929,0.0327,16.9482,2.10,V,B,bb
2456471.8957425,4.5914,0.0510,14.8049,0.0121,17.9425,1.99,V,G,bb
2456476.8235813,4.7431,0.0500,14.7696,0.0115,17.9648,1.92,V,G,bb
2456482.7962556,4.6201,0.0429,14.7981,0.0101,18.1309,2.03,V,G,bb
