# ASAS-SN SkyPatrol ID: 60130745423
# ATLAS-REFCAT2: 161442331650751673
# Gaia DR2: 1394576125825828736
# TESS Input Catalog (TIC): 116485598


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456336.9834978,0.4773,0.0630,17.2628,0.1435,17.7137,2.33,V,G,ba
2456348.9663177,0.1388,0.5452,15.3710,99.9990,15.3710,2.07,V,B,ba
2456355.0695471,0.3675,0.0774,17.4900,99.9990,17.4900,2.15,V,G,ba
2456358.0921832,0.5813,0.0595,17.0488,0.1112,17.7769,1.83,V,G,ba
2456359.1316616,0.5349,0.0751,17.1391,0.1527,17.5230,1.78,V,G,ba
2456371.0049043,0.4743,0.0549,17.2697,0.1257,17.8643,2.03,V,G,ba
2456381.0366703,0.3768,0.1284,16.9407,99.9990,16.9407,1.86,V,G,ba
2456388.9259988,0.4494,0.0805,17.3281,0.1946,17.4483,2.23,V,B,ba
2456389.926205,0.5503,0.0593,17.1083,0.1172,17.7791,2.20,V,G,ba
2456393.9459399,0.5416,0.0509,17.1255,0.1021,17.9460,2.32,V,G,ba
2456397.9887258,0.5615,0.0637,17.0864,0.1233,17.7022,2.17,V,G,ba
2456400.9800136,0.5972,0.1087,17.0195,0.1979,17.1216,2.35,V,G,ba
2456403.9432501,0.5577,0.0960,17.0938,0.1871,17.2567,2.14,V,G,ba
2456405.9428825,0.5690,0.1041,17.0721,0.1988,17.1692,2.01,V,G,ba
2456416.0338617,0.7730,0.0832,16.7394,0.1170,17.4116,2.17,V,G,ba
2456451.871813,0.5893,0.0655,17.0339,0.1207,17.6726,2.26,V,G,ba
2456456.8878353,0.3764,0.0805,17.4473,99.9990,17.4473,2.43,V,G,ba
2456460.8577444,0.5871,0.1064,17.0380,0.1971,17.1446,2.05,V,G,ba
2456463.8556084,0.2943,0.1150,17.0609,99.9990,17.0609,1.88,V,G,ba
2456468.9223651,0.7712,0.1897,16.5172,99.9990,16.5172,2.02,V,G,ba
2456471.804998,0.2880,0.0610,17.7492,99.9990,17.7492,2.24,V,G,ba
2456475.915904,0.6086,0.0738,16.9990,0.1317,17.5429,1.73,V,G,ba
2456480.8315315,0.4683,0.0761,17.2836,0.1767,17.5089,2.05,V,G,ba
2456484.8297187,0.5286,0.0437,17.1520,0.0899,18.1102,2.18,V,G,ba
2456488.8030165,0.3366,0.1103,17.1062,99.9990,17.1062,1.77,V,G,ba
2456490.7990583,0.3074,0.1166,17.0460,99.9990,17.0460,1.70,V,G,ba
2456494.837106,0.3478,0.1836,16.5528,99.9990,16.5528,2.14,V,B,ba
2456507.8000957,0.3731,0.0640,17.5302,0.1866,17.6962,2.25,V,G,ba
