JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2455982.147,2012-02-24.6451495,ba,2.36,16.881,14.945,0.038,4.034,0.141,V
2455982.149,2012-02-24.6468953,ba,2.38,16.811,15.018,0.043,3.773,0.149,V
2455986.147,2012-02-28.6451003,ba,2.27,16.738,14.878,0.04,4.291,0.16,V
2455986.149,2012-02-28.6468333,ba,2.3,16.841,14.925,0.038,4.108,0.146,V
2455998.124,2012-03-11.6216041,bb,1.67,16.268,14.746,0.054,4.847,0.241,V
2455998.126,2012-03-11.6232516,bb,1.75,16.198,14.719,0.057,4.97,0.257,V
2456000.099,2012-03-13.5967508,ba,2.34,16.343,14.969,0.063,3.948,0.225,V
2456000.101,2012-03-13.5983893,ba,2.35,16.332,14.854,0.057,4.389,0.228,V
2456004.104,2012-03-17.6010222,ba,2.08,16.825,14.906,0.038,4.184,0.148,V
2456004.106,2012-03-17.6027593,ba,2.12,16.884,14.971,0.039,3.938,0.141,V
2456004.108,2012-03-17.6046900,bb,2.01,16.816,14.7,0.032,5.057,0.148,V
2456004.109,2012-03-17.6064416,bb,2.02,16.745,14.719,0.035,4.97,0.157,V
2456015.073,2012-03-28.5700166,ba,2.2,16.998,14.887,0.032,4.255,0.125,V
2456020.038,2012-04-02.5340260,ba,2.1,16.627,14.782,0.041,4.687,0.174,V
2456020.039,2012-04-02.5357212,ba,2.1,16.803,14.782,0.035,4.688,0.149,V
2456021.033,2012-04-03.5298657,ba,2.25,99.99,99.99,99.99,99.99,99.99,V
2456021.035,2012-04-03.5314630,ba,2.3,16.412,14.831,0.052,4.484,0.212,V
2456021.037,2012-04-03.533125,ba,2.31,16.454,14.76,0.047,4.785,0.204,V
2456029.044,2012-04-11.5399674,ba,2.35,16.452,14.868,0.052,4.33,0.203,V
2456029.045,2012-04-11.5416211,ba,2.34,16.438,14.797,0.049,4.622,0.206,V
2456038.004,2012-04-20.4999207,ba,2.07,16.954,14.9,0.034,4.21,0.13,V
2456038.006,2012-04-20.5016603,ba,2.05,16.966,14.854,0.032,4.388,0.128,V
2456042.024,2012-04-24.5202386,ba,1.68,16.999,14.884,0.032,4.268,0.125,V
2456042.026,2012-04-24.5219871,ba,1.84,16.984,14.897,0.033,4.22,0.127,V
2456336.977,2013-02-13.4755811,ba,2.31,16.666,14.911,0.043,4.166,0.166,V
2456336.978,2013-02-13.4772896,ba,2.33,16.61,14.905,0.046,4.186,0.174,V
2456337.028,2013-02-13.5270945,bb,2.3,17.047,14.925,0.031,4.108,0.117,V
2456337.03,2013-02-13.5288612,bb,2.3,16.948,15.002,0.036,3.83,0.128,V
2456345.058,2013-02-21.5560271,ba,1.69,16.143,14.906,0.07,4.184,0.268,V
2456345.059,2013-02-21.5576450,ba,1.68,16.222,14.87,0.063,4.323,0.249,V
2456352.14,2013-02-28.6377152,ba,2.18,16.234,14.921,0.065,4.126,0.247,V
2456352.141,2013-02-28.6393353,ba,2.16,16.178,14.915,0.068,4.152,0.259,V
2456354.106,2013-03-02.6036832,ba,2.16,16.492,14.916,0.051,4.146,0.194,V
2456354.107,2013-03-02.6053239,ba,2.16,16.425,14.992,0.058,3.865,0.207,V
2456357.091,2013-03-05.5890688,ba,1.8,16.772,14.929,0.04,4.097,0.15,V
2456357.093,2013-03-05.5907629,ba,1.76,16.767,14.935,0.04,4.072,0.151,V
2456365.018,2013-03-13.5157659,ba,1.8,16.952,14.978,0.035,3.914,0.127,V
2456365.02,2013-03-13.5174871,ba,1.79,16.914,14.892,0.034,4.241,0.132,V
2456376.952,2013-03-25.4489354,ba,2.12,16.131,14.925,0.072,4.111,0.271,V
2456376.954,2013-03-25.4505504,ba,2.1,16.31,14.874,0.058,4.308,0.23,V
2456376.977,2013-03-25.4733862,bb,2.14,16.379,14.972,0.06,3.936,0.216,V
2456377.949,2013-03-26.4457111,ba,2.25,15.824,14.754,0.082,4.811,0.36,V
2456377.951,2013-03-26.4472916,ba,2.23,15.727,15.079,0.121,3.569,0.393,V
2456377.97,2013-03-26.4662796,bb,1.61,99.99,99.99,99.99,99.99,99.99,V
2456377.971,2013-03-26.4677961,bb,2.09,99.99,99.99,99.99,99.99,99.99,V
2456387.093,2013-04-04.5896435,bb,1.79,16.993,15.01,0.035,3.803,0.123,V
2456387.095,2013-04-04.5913685,bb,1.9,16.921,15.022,0.038,3.76,0.131,V
2456387.945,2013-04-05.4412751,ba,2.42,16.724,14.938,0.042,4.062,0.157,V
2456387.947,2013-04-05.4429989,ba,2.41,16.754,14.906,0.04,4.184,0.153,V
2456390.073,2013-04-07.5697740,bb,2.02,16.961,14.984,0.035,3.892,0.127,V
