# ASAS-SN SkyPatrol ID: 661426740234
# Million Quasars Catalog (MILLIQUAS): SDSS J163115.52+235257.4
# Chandra Source Catalog: 2CXO J163115.5+235257
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J163115.52+235257.4
# GLADE 2MASS Extended Source Catalog: 16311554+2352577


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0343841,1.2481,0.0537,16.2192,0.0468,17.8872,2.15,V,G,ba
2456349.0359695,0.7926,0.1030,16.7121,0.1413,17.1802,1.86,V,G,ba
2456355.1263145,1.1840,0.0591,16.2764,0.0543,17.7829,2.09,V,G,ba
2456358.1429092,1.0781,0.0546,16.3781,0.0551,17.8686,1.77,V,G,ba
2456359.101502,1.1665,0.0567,16.2926,0.0529,17.8275,1.85,V,G,ba
2456377.0818372,1.1563,0.0700,16.3021,0.0658,17.6000,1.76,V,G,ba
2456387.1195883,1.5316,0.0559,15.9969,0.0397,17.8438,2.22,V,G,ba
2456389.0695481,1.2909,0.0446,16.1825,0.0375,18.0895,2.03,V,G,ba
2456390.0631655,1.2087,0.0431,16.2540,0.0388,18.1264,2.02,V,G,ba
2456393.0553174,1.2359,0.0412,16.2298,0.0363,18.1738,2.01,V,G,ba
2456396.0561725,1.1975,0.0583,16.2641,0.0529,17.7984,2.07,V,B,ba
2456399.005695,1.3415,0.0554,16.1408,0.0449,17.8529,2.21,V,B,ba
2456401.9832419,1.3154,0.0434,16.1622,0.0359,18.1178,2.03,V,G,ba
2456403.9968347,1.1071,0.0711,16.3493,0.0698,17.5830,2.06,V,G,ba
2456406.9645385,1.2606,0.0938,16.2083,0.0809,17.2821,2.15,V,G,ba
2456412.9644925,1.1907,0.0981,16.2703,0.0896,17.2329,2.28,V,G,ba
2456435.9182642,1.4573,0.1174,16.0509,0.0876,17.0383,2.76,V,G,ba
2456444.9111912,1.0998,0.0649,16.3565,0.0642,17.6814,2.67,V,G,ba
2456449.960452,1.2201,0.0439,16.2438,0.0391,18.1058,2.59,V,G,ba
2456458.8799711,1.1888,0.0483,16.2720,0.0441,18.0031,2.13,V,G,ba
2456461.8867569,1.2068,0.0538,16.2557,0.0484,17.8861,1.74,V,G,ba
2456464.8750292,1.4806,0.1238,16.0337,0.0909,16.9805,1.69,V,G,ba
2456470.8601404,1.1851,0.0819,16.2754,0.0751,17.4290,2.15,V,G,ba
2456474.8734115,1.2403,0.0460,16.2260,0.0404,18.0544,1.71,V,G,ba
2456477.8624557,1.2363,0.0366,16.2295,0.0322,18.3035,1.81,V,G,ba
2456482.8554581,1.2319,0.0540,16.2333,0.0476,17.8822,2.22,V,G,ba
2456485.8468182,1.1176,0.0461,16.3391,0.0449,18.0525,2.08,V,G,ba
2456488.8395333,1.3166,0.0585,16.1612,0.0483,17.7940,2.00,V,G,ba
2456492.8292708,1.4327,0.1147,16.0694,0.0870,17.0636,1.77,V,G,ba
2456497.827972,1.3941,0.0953,16.0990,0.0743,17.2651,1.80,V,B,ba
2456508.8122581,1.3050,0.0686,16.1707,0.0571,17.6215,1.99,V,G,ba
2456513.80337,1.2692,0.0551,16.2010,0.0472,17.8587,2.01,V,G,ba
2456519.7712371,1.4531,0.1022,16.0541,0.0765,17.1883,1.74,V,G,ba
2456525.7456247,1.3906,0.1430,16.1018,0.1118,16.8238,1.88,V,G,ba
2456528.7746591,1.2086,0.0559,16.2541,0.0503,17.8434,1.67,V,G,ba
2456534.7598856,1.2320,0.0708,16.2332,0.0625,17.5869,1.84,V,G,ba
2456539.7400002,1.1749,0.0588,16.2848,0.0544,17.7881,2.03,V,G,ba
2456544.7447386,1.3924,0.0737,16.1004,0.0575,17.5435,1.80,V,G,ba
2456555.7235261,0.8961,0.1772,16.5789,0.2149,16.5913,1.81,V,B,ba
2456657.1551785,1.1000,0.0692,16.3563,0.0684,17.6117,1.96,V,G,bd
2456676.1160437,1.2521,0.1014,16.2157,0.0880,17.1977,2.84,V,G,bd
2456701.0688152,1.4953,0.1355,16.0230,0.0985,16.8828,1.54,V,G,bd
2456731.0696388,1.5218,0.0937,16.0039,0.0669,17.2830,1.70,V,G,bd
2456734.1344002,0.9955,0.1213,16.4647,0.1325,17.0025,1.49,V,G,bd
2456736.1094681,1.1204,0.1006,16.3364,0.0976,17.2064,1.49,V,B,bd
2456741.1319599,1.2743,0.0843,16.1966,0.0719,17.3978,1.87,V,G,bd
2456744.0134507,1.1915,0.0548,16.2696,0.0500,17.8650,1.50,V,G,bd
2456752.1047833,1.2477,0.0607,16.2195,0.0529,17.7540,1.54,V,G,bd
2456757.8898466,1.4943,0.1083,16.0237,0.0787,17.1262,1.44,V,G,bd
2456771.1205346,1.1837,0.0653,16.2767,0.0599,17.6758,1.68,V,G,bd
2456772.1021812,1.2458,0.0607,16.2212,0.0530,17.7543,1.78,V,G,bd
2456781.9520637,1.3630,0.0706,16.1236,0.0563,17.5904,1.51,V,G,bd
2456783.8362878,1.2103,0.0827,16.2525,0.0742,17.4191,1.48,V,G,bd
2456784.949257,1.1673,0.0839,16.2918,0.0781,17.4035,1.62,V,G,bd
2456785.9517892,1.1924,0.0640,16.2687,0.0583,17.6977,2.01,V,G,bd
2456787.9342977,1.2262,0.0823,16.2384,0.0729,17.4240,1.47,V,G,bd
2456788.9390809,0.8753,0.1024,16.6044,0.1271,17.1869,1.62,V,G,bd
2456795.9374622,1.1041,0.0936,16.3523,0.0922,17.2840,1.47,V,G,bd
2456797.0822511,1.2847,0.1090,16.1878,0.0922,17.1192,1.50,V,G,bd
2456797.9318942,1.0945,0.0834,16.3617,0.0828,17.4093,1.50,V,G,bd
2456799.0588211,1.2907,0.0734,16.1827,0.0618,17.5476,1.47,V,G,bd
2456802.0227401,1.2108,0.0618,16.2521,0.0554,17.7356,1.45,V,G,bd
2456803.9859598,1.1513,0.0792,16.3068,0.0748,17.4658,1.42,V,B,bd
2456805.9298678,1.0989,0.0511,16.3574,0.0506,17.9406,1.51,V,G,bd
2456808.9112122,1.2519,0.0914,16.2159,0.0793,17.3102,1.56,V,B,bd
2456809.9531586,1.3019,0.0625,16.1733,0.0522,17.7228,1.46,V,G,bd
2456811.7527021,1.1419,0.0941,16.3157,0.0896,17.2784,1.56,V,B,bd
2456812.9008915,1.4458,0.0580,16.0595,0.0436,17.8038,1.46,V,G,bd
2456813.9160163,1.2730,0.1405,16.1977,0.1200,16.8431,1.55,V,B,bd
2456814.8074813,1.2487,0.1050,16.2186,0.0914,17.1598,1.46,V,G,bd
2456815.9002207,1.2838,0.0893,16.1886,0.0756,17.3355,1.48,V,G,bd
2456817.8445086,1.1794,0.0849,16.2806,0.0782,17.3902,1.44,V,G,bd
2456820.8902564,1.6968,0.2152,15.8857,0.1379,16.3802,1.56,V,G,bd
2456822.8944888,1.1005,0.1273,16.3558,0.1257,16.9506,1.66,V,G,bd
2456824.9995047,1.2275,0.0727,16.2373,0.0644,17.5585,1.45,V,G,bd
2456826.9237853,0.9689,0.0823,16.4940,0.0924,17.4235,1.53,V,G,bd
2456827.9913713,1.1190,0.0795,16.3377,0.0772,17.4616,1.68,V,G,bd
2456828.8971843,1.1295,0.0596,16.3276,0.0573,17.7746,1.81,V,G,bd
2456830.892884,1.5312,0.0753,15.9972,0.0535,17.5201,1.64,V,G,bd
2456833.8853939,1.2946,0.1052,16.1795,0.0883,17.1574,1.76,V,G,bd
2456834.9348721,1.1352,0.0577,16.3221,0.0553,17.8089,1.72,V,G,bd
2456847.8534599,1.0959,0.1246,16.3604,0.1236,16.9735,1.59,V,B,bd
2456848.8610326,0.5947,0.1178,17.0241,0.2152,17.0349,1.57,V,B,bd
2456851.8498476,1.8177,0.2967,15.8110,0.1774,16.0317,1.47,V,B,bd
2456855.8859839,1.0053,0.0825,16.4541,0.0892,17.4211,1.52,V,G,bd
2456856.8478295,1.1069,0.0577,16.3495,0.0566,17.8098,1.46,V,G,bd
2456857.8530455,1.3761,0.0761,16.1131,0.0601,17.5087,1.48,V,G,bd
2456882.7994002,1.0015,0.0983,16.4582,0.1067,17.2312,1.77,V,G,bd
2456884.8004212,1.4328,0.0855,16.0693,0.0649,17.3825,1.61,V,G,bd
2456886.8027558,1.0540,0.0900,16.4027,0.0929,17.3262,2.00,V,G,bd
2456887.7931744,1.0438,0.0797,16.4132,0.0830,17.4587,1.57,V,G,bd
2456890.7863309,1.1839,0.0634,16.2765,0.0582,17.7066,1.50,V,G,bd
2456892.7853108,1.5542,0.0760,15.9810,0.0531,17.5107,1.57,V,G,bd
2456894.7791267,1.1618,0.0773,16.2970,0.0723,17.4919,1.54,V,G,bd
2456896.7771872,1.1519,0.0797,16.3063,0.0752,17.4589,1.55,V,G,bd
2456897.766952,1.1217,0.0591,16.3351,0.0572,17.7842,1.45,V,G,bd
2456899.7796174,1.2993,0.0749,16.1755,0.0627,17.5256,1.49,V,G,bd
2456900.7635269,1.3633,0.0604,16.1233,0.0482,17.7589,1.53,V,G,bd
2456904.7591682,1.0507,0.0776,16.4061,0.0802,17.4882,1.52,V,B,bd
2456907.7519236,1.1394,0.1334,16.3181,0.1273,16.8994,1.68,V,G,bd
2456909.7461227,1.2789,0.1345,16.1927,0.1143,16.8906,1.48,V,G,bd
2456911.7455833,1.0194,0.0680,16.4389,0.0725,17.6306,1.56,V,B,bd
2456912.7456469,1.1368,0.0691,16.3206,0.0661,17.6139,1.47,V,G,bd
2456913.7441375,1.4030,0.0761,16.0921,0.0590,17.5084,1.65,V,G,bd
2456914.7408128,1.2605,0.0660,16.2084,0.0569,17.6631,1.49,V,G,bd
2456915.7351995,1.1014,0.0659,16.3549,0.0651,17.6644,1.54,V,G,bd
2456917.7328489,0.9230,0.0879,16.5468,0.1035,17.3529,1.47,V,G,bd
2456919.7264904,1.1011,0.0574,16.3552,0.0567,17.8149,1.45,V,G,bd
2456920.727708,1.2246,0.0840,16.2398,0.0746,17.4011,1.48,V,B,bd
2456923.7190553,0.8006,0.0811,16.7012,0.1101,17.4396,1.72,V,G,bd
2456924.7133973,1.3928,0.1441,16.1000,0.1125,16.8156,1.50,V,G,bd
2457021.17057,1.2574,0.2027,16.2111,0.1752,16.4454,1.70,V,G,bd
2457035.1513885,1.1157,0.0858,16.3410,0.0836,17.3780,1.46,V,G,bd
2457036.1569474,1.3163,0.1982,16.1614,0.1637,16.4696,1.54,V,G,bd
2457037.126808,1.3453,0.0955,16.1378,0.0772,17.2625,1.45,V,G,bd
2457040.1399774,1.2767,0.0838,16.1946,0.0714,17.4041,1.70,V,G,bd
2457041.1406836,1.2649,0.0778,16.2046,0.0669,17.4843,1.62,V,G,bd
2457043.1392527,1.1285,0.0878,16.3285,0.0846,17.3537,1.52,V,G,bd
2457045.1333402,1.2380,0.0755,16.2280,0.0663,17.5177,1.48,V,G,bd
2457047.1262247,1.0395,0.0686,16.4178,0.0717,17.6219,1.50,V,G,bd
2457049.1285008,1.1069,0.0755,16.3495,0.0741,17.5180,1.52,V,G,bd
2457051.1245606,1.2316,0.0601,16.2336,0.0530,17.7654,1.42,V,G,bd
2457053.1243033,0.9475,0.0668,16.5184,0.0766,17.6506,1.81,V,G,bd
2457055.1216356,1.3645,0.0953,16.1224,0.0759,17.2652,1.86,V,G,bd
2457061.1069047,1.4591,0.1103,16.0496,0.0822,17.1057,2.34,V,G,bd
2457065.1057887,1.2430,0.0854,16.2236,0.0747,17.3831,1.64,V,G,bd
2457070.0987058,1.3865,0.0774,16.1050,0.0607,17.4900,2.16,V,G,bd
2457072.0889548,1.2442,0.0630,16.2226,0.0551,17.7136,1.56,V,G,bd
2457077.0814687,1.3105,0.0889,16.1662,0.0737,17.3404,1.45,V,G,bd
2457078.0688331,1.2448,0.0756,16.2220,0.0661,17.5153,1.63,V,G,bd
2457079.0580343,1.1574,0.0719,16.3011,0.0675,17.5713,1.53,V,G,bd
2457083.074832,1.3172,0.0798,16.1607,0.0659,17.4573,1.47,V,G,bd
2457085.0676295,1.2241,0.1016,16.2403,0.0903,17.1946,1.70,V,G,bd
2457092.1083914,1.0183,0.0979,16.4401,0.1045,17.2351,1.62,V,G,bd
2457096.0818433,1.2964,0.0746,16.1779,0.0625,17.5306,1.72,V,G,bd
2457097.0210604,1.2620,0.0816,16.2071,0.0703,17.4329,1.46,V,G,bd
2457099.1260446,1.3303,0.0684,16.1499,0.0559,17.6244,1.43,V,G,bd
2457100.1385191,1.3414,0.0836,16.1409,0.0677,17.4069,1.52,V,G,bd
2457101.0850521,1.1642,0.0510,16.2948,0.0476,17.9438,1.46,V,G,bd
2457104.036911,1.3061,0.0738,16.1699,0.0615,17.5416,1.46,V,G,bd
2457107.0190082,1.3749,0.0974,16.1141,0.0770,17.2414,1.45,V,G,bd
2457109.9517332,1.0147,0.0787,16.4439,0.0843,17.4721,1.61,V,G,bd
2457111.9456999,1.1138,0.0552,16.3427,0.0539,17.8573,1.43,V,G,bd
2457112.9426164,1.3489,0.0558,16.1349,0.0450,17.8451,1.43,V,G,bd
2457114.9432198,0.9786,0.2118,16.3973,99.9990,16.3973,1.56,V,G,bd
2457121.101164,1.3402,0.1081,16.1418,0.0876,17.1283,1.55,V,B,bd
2457123.0829278,1.1464,0.1017,16.3115,0.0965,17.1938,1.47,V,G,bd
2457126.0997719,1.2752,0.0633,16.1958,0.0539,17.7091,1.49,V,G,bd
2457131.0754635,1.2246,0.0734,16.2398,0.0651,17.5485,1.60,V,G,bd
2457132.0306191,1.1888,0.0673,16.2720,0.0615,17.6420,1.52,V,G,bd
2457135.9100288,1.2163,0.0740,16.2472,0.0661,17.5399,1.49,V,G,bd
2457137.9368017,1.2749,0.0630,16.1961,0.0537,17.7146,1.64,V,G,bd
2457138.8723961,1.1653,0.0461,16.2937,0.0430,18.0522,1.49,V,G,bd
2457144.9769681,1.0114,0.1343,16.4475,0.1443,16.8922,1.52,V,G,bd
2457150.0393172,1.2074,0.1087,16.2551,0.0979,17.1217,1.49,V,G,bd
2457152.0271838,1.3233,0.2204,16.1556,0.1810,16.3544,1.57,V,B,bd
2457154.0921311,1.1650,0.1689,16.2940,0.1576,16.6434,1.48,V,B,bd
2457156.0194529,1.2745,0.0803,16.1965,0.0685,17.4499,1.63,V,G,bd
2457160.9214493,1.2479,0.0737,16.2194,0.0642,17.5435,1.45,V,G,bd
2457166.7911694,1.1287,0.0565,16.3284,0.0544,17.8326,1.69,V,G,bd
2457171.8449691,1.2208,0.1090,16.2432,0.0971,17.1187,1.47,V,G,bd
2457173.7692419,0.4389,0.1508,16.7661,99.9990,16.7661,2.01,V,G,bd
2457177.9751028,1.1874,0.1381,16.2733,0.1264,16.8622,1.46,V,G,bd
2457179.9961341,1.3156,0.1121,16.1620,0.0927,17.0879,1.62,V,G,bd
2457180.8353075,1.2220,0.0899,16.2421,0.0800,17.3275,1.53,V,G,bd
2457181.8187426,1.2106,0.0554,16.2523,0.0497,17.8542,1.52,V,G,bd
2457184.8870583,1.2895,0.0802,16.1837,0.0676,17.4515,1.47,V,G,bd
2457189.9160735,1.2116,0.0695,16.2514,0.0623,17.6076,1.46,V,B,bd
2457191.9043798,1.2055,0.0826,16.2568,0.0744,17.4204,1.46,V,G,bd
2457195.7675908,1.4455,0.0829,16.0597,0.0624,17.4154,1.60,V,G,bd
2457196.9310729,1.0579,0.0647,16.3987,0.0665,17.6845,1.52,V,G,bd
2457199.8739708,1.4396,0.1099,16.0642,0.0830,17.1096,1.49,V,G,bd
2457202.751167,1.1174,0.2098,16.3393,0.2041,16.4078,1.48,V,G,bd
2457204.9444676,0.8291,0.1986,16.4675,99.9990,16.4675,1.49,V,G,bd
2457206.9379783,1.1326,0.1469,16.3246,0.1410,16.7948,1.45,V,G,bd
2457208.9304662,0.8877,0.1077,16.5891,0.1319,17.1315,1.75,V,G,bd
2457210.9349976,1.0942,0.0787,16.3620,0.0781,17.4729,1.63,V,G,bd
2457212.8318453,1.1267,0.0639,16.3303,0.0617,17.6983,1.51,V,G,bd
2457217.8310685,0.9582,0.0752,16.5061,0.0853,17.5221,1.45,V,G,bd
2457222.8945098,1.2879,0.0741,16.1851,0.0626,17.5376,1.53,V,G,bd
2457227.8026471,0.9722,0.0741,16.4904,0.0828,17.5381,1.46,V,G,bd
2457230.8257746,1.5194,0.1223,16.0056,0.0875,16.9933,1.49,V,G,bd
2457232.8742964,1.2101,0.2897,16.0574,99.9990,16.0574,1.51,V,B,bd
2457233.8711134,0.9211,0.1449,16.5490,0.1710,16.8099,1.58,V,G,bd
2457237.859537,1.0812,0.1020,16.3750,0.1025,17.1911,1.50,V,G,bd
2457240.8489701,1.2502,0.0704,16.2173,0.0612,17.5941,1.46,V,G,bd
2457243.8372463,0.9544,0.0760,16.5104,0.0865,17.5105,1.47,V,G,bd
2457245.829961,0.8507,0.0679,16.6354,0.0867,17.6330,1.50,V,G,bd
2457251.817814,1.3230,0.0713,16.1559,0.0586,17.5794,1.52,V,G,bd
2457256.8104262,1.2240,0.1407,16.2403,0.1249,16.8418,1.48,V,B,bd
2457262.7828365,0.6757,0.1206,16.8854,0.1941,17.0087,1.50,V,G,bd
2457268.76487,0.9471,0.0994,16.5187,0.1141,17.2190,1.43,V,G,bd
2457270.7606479,1.0671,0.0820,16.3893,0.0835,17.4281,1.46,V,G,bd
2457272.7576778,1.3037,0.0599,16.1718,0.0500,17.7680,1.67,V,G,bd
2457274.7447344,1.2768,0.0651,16.1944,0.0554,17.6783,1.50,V,G,bd
2457277.7389979,1.1066,0.0641,16.3498,0.0630,17.6951,1.50,V,G,bd
2457285.717259,1.3086,0.1621,16.1677,0.1346,16.6880,1.45,V,G,bd
2457389.1745959,1.2737,0.2712,16.1292,99.9990,16.1292,2.34,V,G,bd
2457391.1710829,1.2851,0.1429,16.1874,0.1209,16.8245,1.56,V,G,bd
2457395.1575286,1.1059,0.0648,16.3505,0.0637,17.6835,1.65,V,G,bd
2457400.1584061,1.0880,0.1140,16.3682,0.1139,17.0702,1.48,V,G,bd
2457402.1518973,1.2675,0.0732,16.2024,0.0628,17.5505,1.48,V,G,bd
2457405.1416293,1.1388,0.0580,16.3187,0.0553,17.8043,1.56,V,G,bd
2457410.1316572,0.9445,0.1489,16.5218,0.1713,16.7803,1.53,V,G,bd
2457413.1246492,1.3325,0.1460,16.1481,0.1191,16.8012,1.53,V,G,bd
2457415.1380591,1.1387,0.0779,16.3187,0.0744,17.4834,1.54,V,G,bd
2457416.1814015,0.2715,0.6881,15.1182,99.9990,15.1182,1.59,V,G,bd
2457417.1086034,1.0426,0.1159,16.4144,0.1208,17.0520,1.52,V,G,bd
2457420.1590263,1.2232,0.0581,16.2410,0.0516,17.8028,1.46,V,G,bd
2457423.1109473,1.2656,0.0708,16.2041,0.0608,17.5869,1.56,V,G,bd
2457427.0853655,0.8285,0.1094,16.6640,0.1435,17.1149,2.48,V,G,bd
2457429.0978373,1.2934,0.0565,16.1805,0.0475,17.8320,1.48,V,G,bd
2457437.0550427,1.2712,0.0692,16.1993,0.0591,17.6127,1.58,V,G,bd
2457439.0519378,0.9084,0.1055,16.5641,0.1263,17.1541,1.74,V,G,bd
2457441.0710503,1.5120,0.1430,16.0109,0.1028,16.8240,1.50,V,G,bd
2457442.1445937,1.1782,0.1124,16.2817,0.1037,17.0854,1.51,V,G,bd
2457445.0571168,1.4006,0.1156,16.0940,0.0897,17.0548,1.48,V,G,bd
2457448.0881285,1.0012,0.0691,16.4585,0.0750,17.6141,1.45,V,G,bd
2457451.1040446,1.1954,0.0650,16.2660,0.0591,17.6793,1.58,V,G,bd
2457452.0776216,1.2345,0.0489,16.2311,0.0430,17.9896,1.46,V,G,bd
2457454.036587,1.0919,0.0569,16.3643,0.0567,17.8236,1.45,V,G,bd
2457456.0293059,1.1062,0.0653,16.3502,0.0642,17.6747,1.47,V,B,bd
2457457.1093694,1.0317,0.0565,16.4258,0.0595,17.8331,2.18,V,G,bd
2457459.9924537,1.1782,0.0618,16.2818,0.0571,17.7342,1.48,V,G,bd
2457462.0421568,1.3029,0.0790,16.1725,0.0659,17.4688,1.45,V,B,bd
2457464.0427013,1.1421,0.0556,16.3156,0.0530,17.8489,1.47,V,G,bd
2457465.9788893,1.3498,0.0856,16.1341,0.0689,17.3809,1.50,V,G,bd
2457467.0473331,1.2170,0.1023,16.2465,0.0914,17.1873,1.43,V,G,bd
2457467.9717088,1.0798,0.0993,16.3764,0.1000,17.2194,1.45,V,G,bd
2457478.049427,1.2680,0.0626,16.2020,0.0537,17.7211,1.54,V,G,bd
2457481.0842069,1.0636,0.0629,16.3929,0.0643,17.7159,1.73,V,G,bd
2457483.941275,1.2634,0.0591,16.2059,0.0509,17.7827,1.47,V,G,bd
2457487.949516,1.1080,0.0673,16.3485,0.0660,17.6420,1.45,V,G,bd
2457490.9085885,1.2672,0.0556,16.2027,0.0477,17.8503,1.55,V,G,bd
2457493.9015613,1.2479,0.0960,16.2193,0.0836,17.2564,1.63,V,G,bd
2457495.0043549,1.0553,0.0713,16.4014,0.0734,17.5801,1.54,V,G,bd
2457496.1120281,1.1929,0.0536,16.2682,0.0489,17.8885,1.68,V,G,bd
2457499.9302023,1.0742,0.1307,16.3821,0.1322,16.9218,1.53,V,G,bd
2457503.0029403,1.5262,0.1120,16.0008,0.0798,17.0890,1.58,V,G,bd
2457505.9545327,1.3487,0.0844,16.1350,0.0680,17.3969,1.77,V,G,bd
2457506.9247353,1.2533,0.0744,16.2146,0.0645,17.5339,1.59,V,G,bd
2457508.9863583,1.2000,0.0701,16.2618,0.0635,17.5980,1.50,V,G,bd
2457512.0020712,1.2522,0.0514,16.2156,0.0446,17.9342,1.46,V,G,bd
2457520.8887602,1.2340,0.0749,16.2315,0.0659,17.5266,1.46,V,G,bd
2457526.8427421,1.2129,0.1046,16.2502,0.0937,17.1640,1.53,V,G,bd
2457529.8821979,1.1731,0.1305,16.2864,0.1209,16.9233,1.63,V,G,bd
2457532.895139,1.0523,0.1046,16.4044,0.1081,17.1633,1.52,V,G,bd
2457538.0418092,1.3807,0.0693,16.1095,0.0545,17.6107,1.44,V,G,bd
2457539.9662847,1.1990,0.0451,16.2628,0.0409,18.0778,1.69,V,G,bd
2457543.9297866,1.3983,0.0791,16.0958,0.0615,17.4665,1.50,V,B,bd
2457546.968398,1.1709,0.0707,16.2885,0.0657,17.5882,1.46,V,G,bd
2457547.9764609,1.1774,0.0539,16.2825,0.0497,17.8836,1.43,V,G,bd
