# ASAS-SN SkyPatrol ID: 661426769951
# Million Quasars Catalog (MILLIQUAS): SDSS J163332.13+245905.0
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J163332.13+245905.0
# GLADE 2MASS Extended Source Catalog: 16333213+2459049


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456004.1448894,2.8043,0.0485,15.3402,0.0188,17.9978,1.80,V,G,bb
2456220.7093952,2.7840,0.0612,15.3481,0.0239,17.7447,2.27,V,B,bb
2456232.7068213,2.6946,0.1028,15.3836,0.0415,17.1821,2.06,V,G,bb
2456338.0459673,2.6089,0.0415,15.4186,0.0173,18.1673,2.21,V,G,bb
2456349.1160367,2.7301,0.0828,15.3693,0.0330,17.4176,3.05,V,B,bb
2456369.1235133,2.5235,0.0713,15.4548,0.0307,17.5800,2.18,V,B,bb
2456378.0892069,3.4778,0.2083,15.1065,0.0651,16.4154,2.08,V,B,bb
2456387.1232999,2.5186,0.0451,15.4569,0.0195,18.0770,1.80,V,G,bb
2456390.9976671,2.7481,0.0396,15.3622,0.0157,18.2176,2.24,V,G,bb
2456397.071553,2.6375,0.0387,15.4068,0.0159,18.2442,2.05,V,G,bb
2456399.072266,3.1057,0.0557,15.2294,0.0195,17.8484,2.05,V,G,bb
2456401.0397254,2.7136,0.0355,15.3759,0.0142,18.3363,2.02,V,G,bb
2456403.0168252,2.5965,0.0357,15.4238,0.0149,18.3318,2.03,V,G,bb
2456405.04817,2.7321,0.0548,15.3685,0.0218,17.8655,2.07,V,G,bb
2456409.9700656,3.1125,0.1062,15.2270,0.0371,17.1470,1.80,V,G,bb
2456415.023597,2.7733,0.0425,15.3523,0.0167,18.1412,1.80,V,G,bb
2456435.939573,2.8031,0.0857,15.3407,0.0332,17.3801,1.75,V,G,bb
2456444.9178659,2.7044,0.0323,15.3796,0.0130,18.4383,1.72,V,G,bb
2456450.8859486,2.5758,0.0458,15.4325,0.0193,18.0612,1.73,V,G,bb
2456459.8776065,2.7243,0.0527,15.3717,0.0210,17.9071,1.68,V,G,bb
2456462.8870999,2.6849,0.0788,15.3875,0.0319,17.4712,1.72,V,G,bb
2456467.9119316,2.7947,0.1172,15.3439,0.0456,17.0404,2.15,V,G,bb
2456470.97402,2.4926,0.0820,15.4681,0.0357,17.4283,1.77,V,G,bb
2456474.8790527,2.5405,0.0466,15.4475,0.0199,18.0426,2.07,V,G,bb
2456477.868291,2.7057,0.0411,15.3791,0.0165,18.1774,2.01,V,G,bb
2456482.8582659,2.7889,0.0438,15.3462,0.0171,18.1079,1.79,V,G,bb
2456485.855236,2.5711,0.0446,15.4345,0.0189,18.0893,1.74,V,G,bb
2456488.8480608,2.6162,0.0442,15.4156,0.0184,18.0992,1.98,V,G,bb
2456492.8319989,2.5714,0.0796,15.4344,0.0336,17.4607,1.75,V,G,bb
2456496.8393098,2.8286,0.1031,15.3309,0.0396,17.1794,2.12,V,G,bb
2456509.8351125,2.5923,0.0473,15.4255,0.0198,18.0246,1.85,V,G,bb
2456516.7839567,2.7430,0.0442,15.3642,0.0175,18.0990,2.21,V,G,bb
2456520.7915542,2.5841,0.0647,15.4290,0.0272,17.6852,2.14,V,G,bb
2456525.7679047,2.2501,0.1120,15.5793,0.0541,17.0893,2.52,V,G,bb
2456532.7582245,2.4936,0.0462,15.4677,0.0201,18.0515,2.51,V,G,bb
2456535.7708494,2.6534,0.0447,15.4003,0.0183,18.0861,2.04,V,G,bb
2456539.753911,2.5763,0.0446,15.4323,0.0188,18.0895,2.00,V,G,bb
2456549.7469387,2.8417,0.0824,15.3258,0.0315,17.4232,2.61,V,G,bb
2456658.1582065,2.8174,0.0489,15.3352,0.0189,17.9896,1.91,V,G,bb
2456701.1331326,2.6376,0.0453,15.4068,0.0187,18.0722,1.71,V,G,bb
2456730.1118924,2.6225,0.0467,15.4130,0.0194,18.0389,1.69,V,G,bb
2456734.1087782,2.5147,0.1568,15.4586,0.0678,16.7240,1.67,V,G,bb
2456735.0942907,2.6273,0.1123,15.4110,0.0465,17.0863,1.69,V,G,bb
2456736.0702269,2.6926,0.1010,15.3844,0.0408,17.2015,1.68,V,G,bb
2456741.03437,2.7555,0.0548,15.3593,0.0216,17.8648,2.26,V,G,bb
2456744.0160896,2.6482,0.0451,15.4024,0.0185,18.0763,2.20,V,G,bb
2456752.0939086,2.8974,0.0485,15.3048,0.0182,17.9974,2.07,V,G,bb
2456756.919559,2.7451,0.0822,15.3634,0.0325,17.4254,1.70,V,G,bb
2456757.8925058,2.8380,0.1151,15.3272,0.0441,17.0592,1.77,V,G,bb
