InputID,MasterFrame,ID,Mag,Magerr,RA,Decl,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
10222-12701,1009016050876,5120600901611029235,13.718791,0.0530832070021295,43.0975,-8.51044,4.72,0,5120600901611,53710.2163417707,1.35,30,3215.9,4002.81,123461,377,0,7.8,3.354,5.18,0
10222-12701,1009016050876,5120600901621029469,13.72638,0.053094894446086,43.0975,-8.51045,4.71,0,5120600901621,53710.2223447221,1.35,30,3216.62,3985.84,122959,374,0,7.7,3.52,5.4,0
10222-12701,1009016050876,5120600901631029495,13.725152,0.0530931898472389,43.09749,-8.51046,4.81,0,5120600901631,53710.2283491897,1.35,30,3227.64,4010.74,123032,379,0,7.9,3.378,5.24,0
10222-12701,1009016050876,5120600901641029545,13.711804,0.0530576256104269,43.09739,-8.51047,4.73,0,5120600901641,53710.2343450924,1.35,30,3205.52,4008.05,124572,386,0,8.4,3.427,5.35,0
10222-12701,1009016050876,5110300901611029123,13.738797,0.0533128557349052,43.0975,-8.51046,4.45,0,5110300901611,53677.2843667939,1.37,30,3193.09,4039.55,114196,360,0,8.2,3.784,5.53,0
10222-12701,1009016050876,5110300901621028955,13.718265,0.0532375095474723,43.0975,-8.51046,4.62,0,5110300901621,53677.2907534605,1.36,30,3191.89,4025.26,117102,375,0,8.4,3.707,5.5,0
10222-12701,1009016050876,5110300901631028837,13.713592,0.0532846597524433,43.09736,-8.51046,4.41,0,5110300901631,53677.2971677776,1.35,30,3196.46,4048.35,115269,372,0,7.9,3.756,5.52,0
10222-12701,1009016050876,5110300901641029409,13.721704,0.0532522158462697,43.09755,-8.51048,4.73,0,5110300901641,53677.303569722,1.35,30,3175.21,4045.77,116525,362,0,8.1,3.639,5.41,0
10222-12701,1009016050876,5113000901611025652,13.71955,0.0532139381388129,43.09745,-8.51044,4.74,0,5113000901611,53704.2778115277,1.39,30,3216.11,4006.4,118037,393,0,8.3,3.506,5.22,0
10222-12701,1009016050876,5113000901621025309,13.714753,0.0531997730077418,43.09744,-8.51045,4.74,0,5113000901621,53704.2863994562,1.42,30,3218.81,3987.31,118605,382,0,8,3.466,5.24,0
10222-12701,1009016050876,5113000901631026508,13.735087,0.0532778945182203,43.09745,-8.51046,4.82,0,5113000901631,53704.2949699075,1.45,30,3231.89,4011.94,115529,353,0,8,3.334,5.2,0
10222-12701,1009016050876,5113000901641027019,13.719223,0.0532374841667783,43.09748,-8.51046,4.91,0,5113000901641,53704.3035647799,1.48,30,3211.54,4008.61,117103,376,0,8.6,3.403,5.17,0
10222-12701,1009016050876,5100800901611024955,13.721714,0.0535389239205175,43.09747,-8.51043,4.98,0,5100800901611,53651.3693402316,1.35,30,3202.11,4007.78,106172,342,0,8.2,3.554,5.07,0
10222-12701,1009016050876,5100800901621025425,13.708429,0.0535017669781929,43.09752,-8.51047,4.49,0,5100800901621,53651.3753015278,1.35,30,3204.89,3985.4,107424,354,0,8,3.575,5.26,0
10222-12701,1009016050876,5100800901631028991,13.722897,0.0535367370221057,43.09744,-8.51045,4.57,0,5100800901631,53651.3812604975,1.35,30,3211.64,4010.89,106245,327,0,7.8,3.607,5.21,0
10222-12701,1009016050876,5100800901641029057,13.698033,0.0534607052452665,43.09745,-8.51048,4.27,0,5100800901641,53651.3872097568,1.35,30,3190.31,4007,108837,341,0,8.5,3.609,5.2,0
10222-12701,1009016050876,5102400901611029102,13.717875,0.0531453517001831,43.09755,-8.51048,4.35,0,5102400901611,53667.3560282984,1.35,30,3192.17,4003.05,120831,334,0,8.8,3.72,5.28,0
10222-12701,1009016050876,5102400901621029244,13.743788,0.0532146143626782,43.0974,-8.51045,4.27,0,5102400901621,53667.3687113426,1.37,30,3192.89,3982.08,118010,312,0,8.4,3.79,5.3,0
10222-12701,1009016050876,5102400901631025177,13.717897,0.0531485071603275,43.09744,-8.51047,4.98,0,5102400901631,53667.3810845255,1.4,30,3207.06,4003.86,120700,319,0,8.4,3.835,5.05,0
10222-12701,1009016050876,5102400901641024975,13.716833,0.0531563849800081,43.09746,-8.51044,4.38,0,5102400901641,53667.3935146527,1.44,30,3183.74,3999.05,120374,324,0,8.1,3.699,5.16,0
10222-12701,1009016050876,5091300901611024891,13.739161,0.0534973938734069,43.09751,-8.51046,4.34,0,5091300901611,53626.370063426,1.57,30,3668.97,4015.66,107573,353,0,8.5,3.638,5.34,0
10222-12701,1009016050876,5091300901621024809,13.732821,0.0534611651341554,43.09757,-8.51045,4.49,0,5091300901621,53626.3790749884,1.52,30,3712.02,4012.58,108821,357,0,8.5,3.627,5.34,0
10222-12701,1009016050876,5091300901631025026,13.751635,0.0535057086425457,43.09755,-8.51048,5.02,0,5091300901631,53626.3880567942,1.48,30,3732.59,4010.18,107290,344,0,8.3,3.613,5.27,0
10222-12701,1009016050876,5091300901641025245,13.741855,0.0534643299809419,43.0975,-8.51041,4.64,0,5091300901641,53626.3970380323,1.44,30,3772.91,4007.14,108711,357,0,7.8,3.684,5.28,0
10222-12701,1009016050876,6122200901611030022,13.711037,0.0528682626483327,43.09746,-8.51046,4.75,0,6122200901611,54091.1872874536,1.35,30,3149.5,3976.7,133353,379,0,8,3.486,5.3,0
10222-12701,1009016050876,6122200901621030308,13.686023,0.0528195320645568,43.09747,-8.51044,4.54,0,6122200901621,54091.193246088,1.35,30,3148.69,3956.33,135784,394,0,8.2,3.385,5.4,0
10222-12701,1009016050876,6122200901631029706,13.706602,0.0529155877767987,43.0975,-8.51048,4.52,0,6122200901631,54091.199212824,1.36,30,3139.5,3980.44,131062,379,0,8.1,3.354,5.36,0
10222-12701,1009016050876,6122200901641030150,13.716068,0.0529029129062144,43.09746,-8.51043,4.5,0,6122200901641,54091.2051677429,1.37,30,3161.91,3977.31,131669,376,0,8,3.439,5.3,0
10222-12701,1009016050876,6010700901611025385,13.739794,0.0531308537972528,43.09741,-8.51042,4.59,0,6010700901611,53742.1228727428,1.35,30,3204.56,3963.68,121436,318,0,7.9,3.446,5.11,0
10222-12701,1009016050876,6010700901621025180,13.685648,0.0529891058659045,43.09744,-8.51046,4.4,0,6010700901621,53742.1313507175,1.35,30,3204.85,3943.67,127633,357,0,7.8,3.612,5.18,0
10222-12701,1009016050876,6010700901631025014,13.712865,0.0530566204615718,43.09752,-8.51042,4.47,0,6010700901631,53742.1398252081,1.35,30,3216.99,3971.57,124616,331,0,7.6,3.498,5.06,0
10222-12701,1009016050876,6010700901641025321,13.73626,0.0531127671970269,43.09749,-8.51045,4.43,0,6010700901641,53742.1482895138,1.35,30,3197.2,3968.23,122198,314,0,8.6,3.554,5.17,0
