InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
8553-1901,1157047034163,14.46,0.08,233.96867,57.90249,53901.32232,0
8553-1901,1157047034163,14.43,0.08,233.96888,57.90249,53901.32336,0
8553-1901,1157047034163,14.45,0.08,233.96875,57.90253,53901.32442,0
8553-1901,1157047034163,14.46,0.08,233.96872,57.90247,53901.32547,0
8553-1901,1157047034163,14.29,0.06,233.96861,57.90255,53856.42218,0
8553-1901,1157047034163,14.27,0.06,233.96869,57.90255,53856.42774,0
8553-1901,1157047034163,14.27,0.06,233.96866,57.90258,53856.43334,0
8553-1901,1157047034163,14.28,0.06,233.96871,57.90254,53856.43898,0
8553-1901,1157047034163,14.39,0.06,233.96873,57.90257,53880.43439,0
8553-1901,1157047034163,14.38,0.06,233.96876,57.90261,53880.44127,0
8553-1901,1157047034163,14.36,0.06,233.96874,57.90256,53880.44811,0
8553-1901,1157047034163,14.37,0.06,233.96870,57.90256,53880.45496,0
8553-1901,1157047034163,14.45,0.06,233.96870,57.90253,53884.33524,0
8553-1901,1157047034163,14.33,0.05,233.96870,57.90256,54210.41084,0
8553-1901,1157047034163,14.32,0.05,233.96867,57.90257,54210.41616,0
8553-1901,1157047034163,14.31,0.05,233.96862,57.90255,54210.42148,0
8553-1901,1157047034163,14.32,0.05,233.96861,57.90258,54210.42680,0
8553-1901,1157047034163,14.33,0.05,233.96861,57.90257,54158.45565,0
8553-1901,1157047034163,14.31,0.05,233.96870,57.90261,54158.46241,0
8553-1901,1157047034163,14.30,0.05,233.96870,57.90256,54158.46904,0
8553-1901,1157047034163,14.32,0.05,233.96868,57.90259,54158.47565,0
8553-1901,1157047034163,14.38,0.06,233.96861,57.90255,54275.23701,0
8553-1901,1157047034163,14.37,0.06,233.96869,57.90253,54275.24260,0
8553-1901,1157047034163,14.37,0.06,233.96873,57.90253,54275.24817,0
8553-1901,1157047034163,14.37,0.06,233.96861,57.90258,54275.25374,0
8553-1901,1157047034163,14.27,0.05,233.96869,57.90256,54630.31385,0
8553-1901,1157047034163,14.26,0.05,233.96876,57.90253,54630.31900,0
8553-1901,1157047034163,14.26,0.05,233.96874,57.90257,54630.32415,0
8553-1901,1157047034163,14.25,0.05,233.96877,57.90255,54630.32929,0
8553-1901,1157047034163,14.32,0.05,233.96853,57.90252,54946.45536,0
8553-1901,1157047034163,14.33,0.05,233.96848,57.90251,54946.46147,0
8553-1901,1157047034163,14.31,0.05,233.96847,57.90253,54946.46750,0
8553-1901,1157047034163,14.32,0.05,233.96849,57.90253,54946.47353,0
8553-1901,1157047034163,14.41,0.05,233.96853,57.90251,54865.48260,0
8553-1901,1157047034163,14.41,0.05,233.96852,57.90251,54865.49063,0
