# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-06-15 at 21:13:49
#
# Requested input R.A. = 154.527786255 degrees
# Requested input Dec. = 0.0999489203095 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460478.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 418 16 3 ZTF_r 445257676315 0 2.1133 70.7254 9.99573 24.5152 3.5052e-05 0.0453012 0.0854739 5.80237e-05 392 30. 0.05078 0.046395 18.1569 24.5152 1 2458199.7576736 418120263 -71.5710112211635 43.4996632843009 -1.83023164127839 1.0433374899267 -132.900339584996 81.6582436904289 -1.6384803906111 1.03544097386072 0.312421937356485 16.3879999160767 0.0480000004172325 4.62599992752075 0.200000002980232 2458160.791412 2458450.023322 0
 1 418 16 3 ZTF_r 445272826315 0 2.2117 217.335 7.74936 25.7338 7.7154e-06 0.0260426 0.0913907 1.15108e-05 577 30. 0.048111 0.045901 19.6556 25.7338 1 2458199.7728241 418120263 -61.777250377381 36.4745151477396 -1.8840561771084 1.01794131697655 -59.3037366223711 66.8898346692765 -0.892559400030636 1.03595725903531 0.312421937356485 16.3879999160767 0.0480000004172325 4.62599992752075 0.200000002980232 2458160.791412 2458450.023322 0
 2 418 16 3 ZTF_g 448254206315 0 2.5733 133.572 7.76829 26.2137 1.41434e-05 0.0339506 -0.0294422 2.42187e-05 516 30. 0.047479 0.049051 20.0569 26.2137 1 2458202.7542014 418120163 -81.7843330172553 45.227819557403 -2.01149643157406 1.0627923433007 -66.3146423414617 71.7183868074326 -0.930880883479652 1.0882587528696 0.328219434238252 17.2290002822876 0.0500000007450581 5.1399998664856 0.180000007152557 2458202.754201 2458461.959583 0
 3 418 16 3 ZTF_g 453294366315 0 2.5498 130.363 21.9004 26.2271 3.08978e-05 0.0365652 -0.040226 7.19579e-05 322 30. 0.051566 0.051761 18.8498 26.2271 1 2458207.7943634 418120163 -22.5143751872488 114.958365201902 -0.217858305302517 1.04362368595648 80.374375450989 189.453539074079 0.427100501207026 1.06853095266119 0.328219434238252 17.2290002822876 0.0500000007450581 5.1399998664856 0.180000007152557 2458202.754201 2458461.959583 0
 4 418 16 3 ZTF_g 456262256315 0 2.3485 100.305 14.4817 25.9202 2.62768e-05 0.0381491 -0.0239173 5.47258e-05 375 30. 0.050907 0.051381 19.0653 25.9202 1 2458210.7622569 418120163 -57.7856499952296 76.1251835389224 -0.844396551743335 0.963083548208901 -38.366740325892 127.386526998031 -0.303212148408842 1.06936797918625 0.328219434238252 17.2290002822876 0.0500000007450581 5.1399998664856 0.180000007152557 2458202.754201 2458461.959583 0
 5 418 16 3 ZTF_g 456276846315 0 2.3935 91.522 15.2085 25.8206 3.87443e-05 0.0432947 -0.025005 8.33245e-05 338 30. 0.046584 0.050597 18.9033 25.8206 1 2458210.7768403 418120163 67.3639242288542 82.1320207560167 0.912367216262892 0.990014718125111 196.164315140226 133.582793403711 1.4783752312482 1.0814294958072 0.328219434238252 17.2290002822876 0.0500000007450581 5.1399998664856 0.180000007152557 2458202.754201 2458461.959583 0
 6 418 16 3 ZTF_r 460196436315 0 2.4443 38.7295 10.3768 23.9326 0.000183178 0.0780963 0.109114 0.000334732 251 30. 0.066622 0.061737 17.3995 23.9326 1 2458214.6964352 418120263 -32.1212263276259 51.0217461449103 -0.700312052877509 1.05828180437019 52.9141860928464 84.6585080492004 0.629240550159892 1.06257883744664 0.312421937356485 16.3879999160767 0.0480000004172325 4.62599992752075 0.200000002980232 2458160.791412 2458450.023322 0
 7 418 16 3 ZTF_r 463216216315 0 2.2375 273.184 6.72381 25.9893 7.3081e-06 0.0255981 0.0959714 1.0929e-05 584 30. 0.049824 0.047279 20.0699 25.9893 1 2458217.7162153 418120263 -127.914176047978 30.9146566827264 -4.60266165651301 0.903578092149284 -142.398263108962 56.2587192833625 -2.54817964983905 1.04300177182981 0.312421937356485 16.3879999160767 0.0480000004172325 4.62599992752075 0.200000002980232 2458160.791412 2458450.023322 56
 8 418 16 3 ZTF_r 463244746315 0 2.4029 295.896 6.37236 26.073 6.8565e-06 0.024755 0.0999429 1.01996e-05 584 30. 0.051852 0.046183 20.1659 26.073 1 2458217.7447454 418120263 -10.2177802848767 28.4723339591408 -0.399197940301577 1.07402033168098 30.5073654031388 43.5911790034971 0.704565349377301 1.04077988676177 0.312421937356485 16.3879999160767 0.0480000004172325 4.62599992752075 0.200000002980232 2458160.791412 2458450.023322 56
