# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-06-16 at 14:24:57
#
# Requested input R.A. = 29.1377802755 degrees
# Requested input Dec. = -0.174999472916 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460478.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 400 15 3 ZTF_g 547481355915 0 2.3933 78.9558 16.4938 26.1153 6.352e-05 0.0466109 -0.048552 0.000118716 209 30. 0.074734 0.061605 19.0824 26.1153 1 2458301.9813542 400120159 -42.2584729267079 83.5638070250909 -0.562536080298726 0.990247037939602 -65.4835451119933 144.854214462556 -0.455109855108521 1.05192640021428 0.262660301954361 16.9379999160767 0.0659999996423721 4.6560001373291 0.451999992132187 2458321.943669 2458366.931111 0
 1 400 15 3 ZTF_r 558443125915 0 2.4925 100.793 6.23788 25.8358 2.55975e-05 0.0349026 0.0951941 3.7419e-05 300 30. 0.079234 0.061488 19.8384 25.8358 1 2458312.943125 400120259 29.0770438930362 31.0948018173659 1.04020098324336 1.22060054558114 125.292815625242 55.0623004935701 2.29079912783371 1.0298659719527 0.441932892548322 16.1180004119873 0.0659999996423721 5.1729998588562 0.439000010490417 2458312.943125 2458362.924734 0
 2 400 15 3 ZTF_g 567443665915 0 2.1965 85.042 4.8684 26.1885 1.69588e-05 0.0284087 -0.0554498 2.48959e-05 300 30. 0.062147 0.057907 20.6278 26.1885 1 2458321.943669 400120159 -8.07397494280087 23.720178071377 -0.378638048691201 1.08341032757265 -32.2929880881995 43.1131457332278 -0.754073558494515 1.05290891564169 0.262660301954361 16.9379999160767 0.0659999996423721 4.6560001373291 0.451999992132187 2458321.943669 2458366.931111 0
 3 400 15 3 ZTF_r 567483535915 0 2.0668 144.458 6.05424 26.201 1.37754e-05 0.0254826 0.102577 2.00142e-05 302 30. 0.051619 0.047229 20.446 26.201 1 2458321.9835301 400120259 60.1176719058346 27.5872737492253 2.42408682182356 1.5065927050769 9.80175736878714 51.7238254649607 0.19077809268562 1.03343841807947 0.441932892548322 16.1180004119873 0.0659999996423721 5.1729998588562 0.439000010490417 2458312.943125 2458362.924734 0
 4 400 15 3 ZTF_g 570435925915 0 2.1732 75.8706 9.92495 26.0362 3.84509e-05 0.0408066 -0.0121911 6.49787e-05 256 30. 0.068209 0.061422 19.6643 26.0362 1 2458324.9359259 400120159 -92.4889402794197 50.9320438715625 -2.02000990974616 1.01121253413185 -223.473892959109 87.7099856553787 -2.56503294128566 1.08025035296997 0.262660301954361 16.9379999160767 0.0659999996423721 4.6560001373291 0.451999992132187 2458321.943669 2458366.931111 0
 5 400 15 3 ZTF_r 570484575915 0 2.2814 140.557 5.8772 26.1553 1.17856e-05 0.0235459 0.0996827 1.75319e-05 302 30. 0.055296 0.051055 20.3158 26.1553 1 2458324.9845718 400120259 7.31837057557563 28.7876294822976 0.282789508785729 1.33928295270485 7.59512543665032 52.350465873751 0.146059426899674 1.03886511517425 0.441932892548322 16.1180004119873 0.0659999996423721 5.1729998588562 0.439000010490417 2458312.943125 2458362.924734 0
 6 400 15 3 ZTF_g 573482075915 0 2.0646 69.4037 16.8561 26.004 5.54859e-05 0.0454105 -0.0734527 0.000104253 219 30. 0.055114 0.052575 19.0632 26.004 1 2458327.9820718 400120159 88.0429997735979 75.0398475129975 1.30514177116967 0.990774424280045 87.4949723821685 142.148652966342 0.619662967021112 1.04671323976435 0.262660301954361 16.9379999160767 0.0659999996423721 4.6560001373291 0.451999992132187 2458321.943669 2458366.931111 0
 7 400 15 3 ZTF_r 576435255915 0 2.3244 129.777 16.342 26.1045 2.66797e-05 0.0350269 0.0882584 3.94505e-05 292 30. 0.064388 0.062104 19.1044 26.1045 1 2458330.9352546 400120259 -52.0852526105313 74.9743487849289 -0.772781779229054 1.06135853897155 82.5506944729626 136.919414591564 0.606975120348677 1.03257935117323 0.441932892548322 16.1180004119873 0.0659999996423721 5.1729998588562 0.439000010490417 2458312.943125 2458362.924734 0
 8 400 15 3 ZTF_g 576482105915 0 2.1892 83.2894 15.5834 26.1855 4.36821e-05 0.0405239 -0.0344296 7.82798e-05 222 30. 0.05729 0.054132 19.309 26.1855 1 2458330.9821065 400120159 248.717744380335 84.3072349855474 3.28168374208776 0.88423381990745 367.078503748069 146.671308034114 2.51958480185291 1.07453741929459 0.262660301954361 16.9379999160767 0.0659999996423721 4.6560001373291 0.451999992132187 2458321.943669 2458366.931111 0
