\fixlen = T
\RowsRetrieved = 894
\ORIGIN = IPAC Infrared Science Archive (IRSA), Caltech/JPL
\SIMULATED_TABLE = n
\DATETIME = 2024-06-18 08:46:18
\DATABASE = ZTF DR21 Objects (ztf_objects_dr21)
\EQUINOX = J2000
\NOTE = Column names with suffix _01 are from the input file midir_vars.tbl_812787066.
\NOTE = Column cntr_01 is a sequential counter added to ID each row in the user input file midir_vars.tbl_812787066.
\NOTE = dist_x is the distance in arcsec between each input source and its potential match in the ZTF DR21 Objects.
\NOTE = 'pang_x is position angle, measured eastward from north, between the input source and potential match in the ZTF DR21 Objects.
\NOTE = Output rows are ordered by increasing cntr_01, and for each cntr_01 by increasing dist_x.
\StatusFile = /workspace/TMP_djdUct_687/Gator/irsa/3778/log.3778.html
\SQL = WHERE  (A.cntr_01 = B.cntr_x) and (((B.x-A.x_01)*(B.x-A.x_01)+(B.y-A.y_01)*(B.y-A.y_01)+(B.z-A.z_01)*(B.z-A.z_01)) 
\SQL = SELECT (27 column names follow in next row.)
\Upload = file=midir_vars.tbl_812787066 radius=2 unit=arcsec
\ 
\ Cont.  = '<= 9.40177221556549239e-11d) '
\ 
\ cntr_01
\ ___ entry counter (key) number (unique within table)
\ oid
\ ___ Unique object identifier
\ ra (deg)
\ ___ Object Right Ascension
\ dec (deg)
\ ___ Object Declination
\ field
\ ___ Field identifier
\ ccdid
\ ___ CCD identifier (1-16)
\ qid
\ ___ Quadrant (1-4)
\ filtercode
\ ___ Filter code (zg, zr, zi)
\ ngoodobs
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ ngoodobsrel
\ ___ Number of epochal detections in this release not associated with bad pixels
\ nobs
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ nobsrel
\ ___ Total number of epochal detections that are in this release
\ refmag (mag)
\ ___ Object magnitude from reference image if detected (not transient)
\ refmagerr (mag)
\ ___ Error in refMag
\ astrometricrms (deg)
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ chisq
\ ___ Chi-square metric using nobs detections
\ magrms (mag)
\ ___ Root Mean Squared deviation over nobs magnitudes
\ maxmag (mag)
\ ___ Maximum magnitude over nobs detections
\ medianabsdev (mag)
\ ___ Median absolute deviation in magnitudes over nobs detections
\ medianmag (mag)
\ ___ Median magnitude over nobs detections
\ medmagerr (mag)
\ ___ Median of magerr values over nobs detections
\ minmag (mag)
\ ___ Minimum magnitude over nobs detections
\ 
\
|cntr_01|dist_x  |pang_x     |plateifu_01|ra_01           |dec_01           |oid             |ra         |dec       |field|ccdid|qid |filtercode|ngoodobs|ngoodobsrel|nobs|nobsrel|refmag      |refmagerr   |astrometricrms|chisq       |magrms      |maxmag      |medianabsdev|medianmag   |medmagerr   |minmag      |
|long   |double  |double     |char       |double          |double           |long            |double     |double    |int  |int  |int |char      |int     |int        |int |int    |double      |double      |double        |double      |double      |double      |double      |double      |double      |double      |
|       |arcsec  |deg        |           |                |                 |                |deg        |deg       |     |     |    |          |        |           |    |       |mag         |mag         |deg           |            |mag         |mag         |mag         |mag         |mag         |mag         |
|null   |null    |null       |null       |null            |null             |null            |null       |null      |null |null |null|null      |null    |null       |null|null   |null        |null        |null          |null        |null        |null        |null        |null        |null        |null        |
       1 0.034380 -124.305280 10216-12704 1.1816230011E+02  1.8321605682E+01  566306100028477 118.1622918 18.3216003   566     6    1 zi               74          42   79      45 1.604000E+01 6.500000E-02   7.738237E-07 3.979830E+00 7.094944E-02 1.620755E+01 4.424191E-02 1.603598E+01 1.648137E-02 1.583419E+01 
       1 0.042669  149.216013 10216-12704 1.1816230011E+02  1.8321605682E+01 1561213100028183 118.1623065 18.3215955  1561    13    1 zr               74          49   79      52 1.649200E+01 6.400000E-02   8.387017E-07 5.335619E+00 1.346855E-01 1.654618E+01 5.359459E-02 1.643794E+01 1.489224E-02 1.595164E+01 
       1 0.115683 -149.833945 10216-12704 1.1816230011E+02  1.8321605682E+01  566106100003900 118.1622831 18.3215779   566     6    1 zg              259         247  391     372 1.732700E+01 6.200000E-02   7.828630E-07 3.566822E+00 1.154401E-01 1.754125E+01 5.449677E-02 1.735096E+01 2.265235E-02 1.671343E+01 
       1 0.142452  101.194872 10216-12704 1.1816230011E+02  1.8321605682E+01 1561113100017791 118.1623410 18.3215980  1561    13    1 zg               64          44   78      52 1.738400E+01 7.500000E-02   7.361874E-07 3.504302E+00 1.013136E-01 1.759383E+01 5.175209E-02 1.733517E+01 2.189528E-02 1.706233E+01 
       1 0.155795  -86.664923 10216-12704 1.1816230011E+02  1.8321605682E+01  566206100013860 118.1622546 18.3216082   566     6    1 zr              740         713  826     798 1.648200E+01 5.800000E-02   7.823612E-07 4.354441E+00 1.238580E-01 1.667400E+01 4.725552E-02 1.642089E+01 1.608956E-02 1.590488E+01 
       2 0.034136   80.578007 10217-3704  1.1839567344E+02  1.4473324348E+01 1561105100006254 118.3956831 14.4733259  1561     5    1 zg               74          46   87      53 1.768400E+01 6.100000E-02   8.556917E-07 3.524612E+00 9.760184E-02 1.799644E+01 5.101967E-02 1.766709E+01 2.146102E-02 1.738729E+01 
       2 0.053827  -36.286629 10217-3704  1.1839567344E+02  1.4473324348E+01  516216300001638 118.3956643 14.4733364   516    16    3 zr              915         900 1030    1015 1.670400E+01 4.900000E-02   7.496489E-07 3.590349E+00 1.111968E-01 1.695431E+01 3.809929E-02 1.672020E+01 1.573273E-02 1.622925E+01 
       2 0.060768  -63.042177 10217-3704  1.1839567344E+02  1.4473324348E+01  516316300001842 118.3956579 14.4733320   516    16    3 zi               72          40   80      45 1.630800E+01 6.700000E-02   6.052741E-07 3.337752E+00 7.202466E-02 1.640793E+01 3.118896E-02 1.630486E+01 1.385386E-02 1.598569E+01 
       2 0.090209    1.242120 10217-3704  1.1839567344E+02  1.4473324348E+01 1562208200008774 118.3956740 14.4733494  1562     8    2 zr               57          47   70      50 1.670300E+01 6.400000E-02   8.323576E-07 4.265903E+00 1.030773E-01 1.680207E+01 4.136276E-02 1.667789E+01 1.437548E-02 1.632045E+01 
       2 0.163889  -54.629877 10217-3704  1.1839567344E+02  1.4473324348E+01 1562108200025084 118.3956351 14.4733507  1562     8    2 zg               56          35   68      41 1.773000E+01 6.100000E-02   6.406382E-07 3.495672E+00 6.407487E-02 1.785123E+01 4.719353E-02 1.770007E+01 2.001593E-02 1.757697E+01 
